title,author,year,n_tokens,summary,error,pass
A Conceptual Framework for Assessing the Benefits of a Global Earth Observation System of Systems,"Fritz, S. and Scholes, R.J. and Obersteiner, M. and Bouma, J. and Reyers, B.",2008,11572,"The paper discusses the methods used to estimate societal benefits through the application of free satellite imagery, digital elevation data, and open-source spatial analysis software in the context of natural resource management in developing regions, specifically in eastern Indonesia.     The methods employed in the paper include:  1. **Decentralization of Governance:** The paper explores the use of new opportunities provided by free geospatial data and GIS software to improve evidence-based natural resource management at the local government and NGO levels.    2. **Case Studies:** The paper presents case studies showcasing the use of free satellite imagery for mapping and monitoring, as well as the application of digital elevation models for terrain modeling in different districts of eastern Indonesia.    3. **Spatial Analysis Techniques:** The methods involve conducting land cover mapping, sediment flow modeling, erosion risk analysis, and fire frequency mapping using satellite imagery (Landsat 5, Landsat 8) and digital elevation data.    4. **Software and Data Sources:** The primary tools used include the SAGA GIS software due to its ease of use and functionality for landsat data visualization, hydrological and terrain modeling. Free data sources such as Landsat imagery, SRTM digital evaluation data, and WorldClim modelled rainfall data were used for the analyses.    5. **Engagement and Capacity Building:** The analyses were conducted through joint capacity-building activities involving local government agencies, NGOs, and universities in Indonesia and Australia.    6. **Evaluation of Contributions to Good Governance:** The paper evaluates the potential contributions of these hi-tech raster analysis tools to participatory GIS for increasing local capacity, competence, legitimacy, equity, and accountability in natural resource management.    Overall, the methods employed focus on empowering local governments and stakeholders in developing regions to utilize free and open-source geospatial tools for improved natural resource management, aiming to enhance transparency, community engagement, and decision-making processes at the local level.",NA,1
Essential Variables for Environmental Monitoring: What Are the Possible Contributions of Earth Observation Data Cubes,"Giuliani, Gregory and Egger, Elvire and Italiano, Julie and Poussin, Charlotte and Richard, Jean-Philippe and Chatenoux, Bruno",2020,42497,NA,manual: context window exceeded,NA
Knowledge Generation Using Satellite Earth Observations to Support Sustainable Development Goals (SDG): A Use Case on Land Degradation,"Giuliani, Gregory and Mazzetti, Paolo and Santoro, Mattia and Nativi, Stefano and Van Bemmelen, Joost and Colangeli, Guido and Lehmann, Anthony",2020,15528,"The paper presents a conceptual framework for assessing the benefits of a global Earth Observation System of Systems (GEOSS). It outlines methods to estimate the societal benefits of satellite or Earth Observation data in various areas such as health, biodiversity, ecosystems, weather, climate, agriculture, disaster management, energy, and water. The authors propose using a benefit chain concept to evaluate the incremental benefits and costs of improving the observation system at both national and international levels. They provide examples of applying the benefit chain concept in case studies related to fire control, conservation planning, and water quality management. The paper emphasizes the importance of linking improved information to better decision-making processes and highlights the need for effective collaboration in global Earth Observation systems to maximize societal benefits.",NA,1
As Seen From Space: Tele-Epidemiological Data as Pandemic Memory,"Gleason, Louis",2022,17069,NA,manual: context window exceeded,NA
Use of Climate Information for Socio-Economic Benefits,"Gunasekera, Don",2010,13501,NA,context_length_exceeded,NA
A Cost-Benefit Analysis of The National Map,"Halsing, David L. and Theissen, Kevin and Bernknopf, Richard",2003,8576,"The paper discusses the methods used to estimate or quantify the societal benefits of satellite or Earth Observation data in the context of historical pandemics such as the COVID-19 pandemic. Here is a summary of the key methods discussed in the paper:    1. **Use of Satellites for Tracking Viral Vectors:** Satellites are proposed to be used to track viral vectors and epidemiological data to fill the statistical gaps between developed and developing countries. By leveraging Earth Observation technologies, researchers can monitor the movement of potential vectors, including animals, humans, insects, and bacteria to predict the spread of viruses and identify vulnerable areas.    2. **Identification of Mass Burial Sites:** Satellite imagery, including standard satellite imagery and remote sensing techniques, can be employed to identify mass burial sites and locations where mass graves have been dug during pandemics. Techniques such as ground-penetrating radars and analysis of crop marks can help locate hidden mass burial sites that are not visible through conventional aerial photography.    3. **Tele-epidemiology Techniques:** Tele-epidemiology involves using a variety of scientific instruments and functions available to satellites to predict the movement of disease vectors and generate geographic models of virus dispersion. These models help in identifying areas prone to infection and can assist in pinpointing emerging epicenters of infection.    4. **Real-Time Monitoring of Mass Burial Activity:** Researchers can use satellite imagery in real time to monitor mass burial activity during pandemics. By analyzing satellite data on mass grave locations, researchers can corroborate or challenge official mortality statistics provided by governments and establish a more accurate record of the pandemic's impact.    5. **Historical Documentation:** Satellite technology can help in providing a more inclusive narrative of the impact of pandemics on different populations. By overcoming data inequality issues in historical storytelling and documenting mass burials and their impact, satellites can assist in preserving the historical record of marginalized communities disproportionately affected by pandemics.    These methods demonstrate the potential of satellite and Earth Observation technologies in filling data gaps, providing a more accurate assessment of the societal impacts of pandemics, and rectifying historical amnesia associated with pandemics.",NA,1
Earth Observation and the Public Good,"Harris, Ray and Miller, Lewis",2011,2243,"The paper by Don Gunasekera explores the use of climate information for socio-economic benefits, particularly focusing on the importance of climate data as a global public good. The methods used in the paper include empirical studies and examples to demonstrate the value of climate information in various sectors, notably agriculture. These studies estimate the economic benefits of using climate information, such as the potential increase in agricultural production or income in different regions. The paper also discusses challenges faced by both service providers and users in effectively utilizing climate information for economic gains, emphasizing the need for a multidisciplinary approach and collaboration between scientists, users, and policymakers. Looking ahead, the author suggests the development of a global framework for climate services to enhance access to climate information and promote climate risk management and adaptation globally.",NA,1
Pricing Policy and Legal Issues: 6th and 7th EOPOLE Workshops,"Harris, Ray and Olby, Nicola",2000,34819,NA,manual: context window exceeded,NA
A Method for Estimating the Socioeconomic Impact of Earth Observations in Wildland Fire Suppression Decisions,"Herr, Vincent and Kochanski, Adam K. and Miller, Van V. and McCrea, Rich and O'Brien, Dan and Mandel, Jan",2020,3493,"The paper discusses various methods and approaches related to pricing policies and legal issues in the Earth Observation sector. The paper provides insights into estimating the societal benefits of satellite or Earth Observation data by considering factors such as market size, growth forecasts, pricing strategies, value propositions, and strategic considerations. Some key methods and points discussed in the paper are:    1. **Market Analysis**: The paper explores the Earth Observation market, highlighting its size, fragmentation, and complexity. It discusses the growth forecasts for the sector and the role of very high-resolution data in shaping pricing policies.    2. **Pricing Strategies**: The paper examines the pricing of Earth Observation data, emphasizing the relationship between price and spatial resolution. It discusses factors influencing pricing, such as pixel size, value to the customer, licensing fees per sq. km, and differentiation of prices based on various factors.    3. **Value Identification**: The paper suggests a focus on identifying the value of Earth Observation data to customers, as it plays a significant role in pricing strategies. It discusses categories of value (economic, social, environmental) and the importance of assessing value in relation to customer needs and willingness to pay.    4. **European Strategic Considerations**: The paper advocates for aligning pricing policies with mission objectives, such as environmental security and technology independence. It proposes utilizing European structural funds to support Earth Observation initiatives and contribute to broader strategic objectives.    5. **Policy and Legal Framework**: The paper discusses the role of national laws and policies in guiding Earth Observation activities. It highlights the need for legal frameworks to address issues such as data management, access, pricing, and supporting global monitoring programs.    6. **Business Models**: The paper explores new business models for Earth Observation, including providing data for free and generating revenue through advertising, using satellite TV broadcast channels for data dissemination, and incorporating GIS tools with data access.    7. **Civil and Military Context**: The paper addresses the implications of Earth Observation data in civil and military contexts, emphasizing privacy issues and national security concerns. It discusses the need for legal regulations to address sensitive data collection.    8. **European Community Funding**: The paper discusses the role of the European Community in supporting Earth Observation activities through funding mechanisms, public-private partnerships, and initiatives like the Global Monitoring for Environment and Security (GMES).    Overall, the paper provides a comprehensive overview of the methods and considerations involved in assessing and quantifying the societal benefits of satellite or Earth Observation data in the context of pricing policies and legal frameworks.",NA,1
The Potential Value of Improved Ocean Observation Systems in the Gulf of Mexico,"Kaiser, Mark J. and Pulsipher, Allan G.",2004,11193,"This paper explores the concept of public goods in the context of Earth observation data. It discusses the economic theory behind public goods, which are defined by non-rivalry and non-excludability. The paper categorizes nine Earth observation missions, programs, or types of data based on their level of rivalry and excludability.     Some key points from the analysis of the data types include:    1. Meteorological data is considered a public good due to its non-excludability and non-rivalrous nature, with data older than 3 hours being the purest public good.    2. Landsat data is categorized as a public good due to its non-excludability and minimal cost distribution policy, with slight elements of merit good characteristics due to restrictions on commercial and operational use.    3. NOAA AVHRR data is considered a merit good, with some elements of public good characteristics, as accessing specific data may require scheduling and priority access.    4. Envisat ASAR data is considered a quasi-private good, where commercial obligations and exclusions based on use categories introduce elements of rivalry and excludability.    5. SPOT data is seen as a quasi-private good, with competitive market prices and licensing agreements introducing elements of rivalry and excludability.    6. Radarsat SAR data is considered a private good, with price-based exclusions and competition for limited satellite resources leading to rivalry and excludability.    7. Google Earth data is managed as a club good, as users agree to terms of service that govern access and use, introducing elements of rivalry and excludability.    8. International Charter for Space and Major Disasters data is categorized as a club good, with conditions such as legal agreements and tasking priorities leading to exclusions and limited accessibility.    9. Very high resolution sensor data is categorized as a private good, as price-based exclusion and competition for satellite time introduce rivalry and excludability.    Overall, the paper demonstrates that Earth observation data can exhibit varying degrees of publicness, with most data types falling under the category of merit goods rather than pure public goods. The categorization of Earth observation data based on rivalry and excludability provides insight into the complexities of managing and valuing such data in economic terms.",NA,1
Agricultural Producers' Willingness to Pay for Real-Time Mesoscale Weather Information,"Kenkel, Phil L. and Norris, Patricia E.",1995,12223,"To estimate the socioeconomic impact of Earth observations in the context of wildland fire suppression decisions, the researchers in the study proposed a method that involved analyzing outcomes of hypothetical fire suppression scenarios. These scenarios were generated using a coupled atmosphere-fire behavior model based on decisions made by a wildfire incident management team with and without the benefits of MODIS satellite observations and the WRF-SFIRE wildfire behavior simulation system. The study focused on the 2011 Las Conchas fire in New Mexico.    Key components of the methodology included:    1. Analysis of outcomes of hypothetical fire suppression scenarios generated by a coupled atmosphere-fire behavior model.  2. Decisions made by a wildfire incident management team with and without the benefits of MODIS satellite observations and the WRF-SFIRE wildfire behavior simulation system.  3. Integration of fire model output with property values and other asset values to estimate total losses associated with each scenario.  4. Estimation of the socioeconomic impact of satellite and modeling data used during the decision-making process.    Overall, the research aimed to demonstrate how Earth observations, particularly satellite data and modeling, can influence and enhance decision-making in wildland fire suppression efforts, ultimately leading to improved socioeconomic outcomes.",NA,1
Valuing Weather Observation Systems For Forest Fire Management,"Khabarov, N. and Moltchanova, E. and Obersteiner, M.",2008,15657,NA,context_length_exceeded,NA
Assessing the Economic Value of Early Warning Systems,"Klafft, Michael and Meissen, Ulrich",2011,10140,"The paper uses the contingent valuation technique to determine the willingness of Oklahoma farmers and ranchers to pay for real-time mesoscale weather information provided by the Mesonet system. The authors conducted a mail survey to gather data from 175 respondents, assessing their willingness to pay for both raw weather data and value-added weather information products derived from the Mesonet system.    The study focuses on evaluating the societal benefits of improved weather information in aiding agricultural decision-making and reducing weather-related losses. Factors such as gross sales, irrigation usage, and past weather losses were found to significantly impact the willingness to pay for mesoscale weather information. Producers with larger farms, irrigation systems, and higher weather-related losses were generally willing to pay more for the weather data and decision aids.    The study provides estimates of the mean willingness to pay for raw weather data ($5.83 per month) and the combined raw data with value-added information products ($6.55 per month). These estimates contribute to understanding the economic value that agricultural producers place on real-time mesoscale weather information and decision aids. The research findings suggest that while agricultural producers see value in improved weather information, their willingness to pay is relatively modest, potentially posing challenges for funding and sustaining such systems through user fees alone.",NA,1
A Scalable Earth Observations-Based Decision Support System for Hydropower Planning in Africa,"Koppa, Akash and Gebremichael, Mekonnen and Hopson, Thomas M. and Riddle, Emily and Boehnert, Jennifer and Broman, Daniel P.",2021,8240,"The paper ""Valuing Weather Observation Systems for Forest Fire Management"" by Nikolay Khabarov, Elena Moltchanova, and Michael Obersteiner investigates how improvements in weather observation systems can reduce burned areas in forest fire management. The methods used in the study include simulation studies to quantify the benefits of enhanced weather observations. The authors use two weather datasets, namely ""rough"" and ""fine"" grids, to analyze the impact of weather observations on reducing burned areas. The study also incorporates a stochastic model to simulate forest fires and evaluate the sensitivity of the model to the quality of input data.    Furthermore, the researchers explore the system of systems effect, considering the benefits of integrating weather observations into forest fire management practices. They investigate the role of improved efficiency and effectiveness in fire management through finer resolved weather information and the utilization of air patrolling schedules based on the Nesterov index calculated from observed weather data. Additionally, the study assesses the marginal improvement in reducing burned forest areas with better weather observations in critical regions.    The methods employed in the paper include assessing fire danger classes, probabilities of fire occurrence, calculation of burned areas and patrolled areas based on the Nesterov index, as well as performing simulations to evaluate the impact of different factors such as grid resolution, number of weather stations, and optimal station locations on the effectiveness of forest fire management strategies. The goal is to demonstrate the value of enhanced weather observations in optimizing fire management practices and reducing forest fire risks on a global scale.",NA,1
The Value of Information: Methodological Frontiers and New Applications in Environment and Health,NA,2012,7257,"The paper by Klafft et al. proposes an economic assessment model for evaluating the societal benefits of early warning systems. The authors discuss existing methods for assessing the economic value of Earth Observation or satellite data, focusing on two main approaches: contingent valuation and cost avoidance calculations.    Contingent valuation estimates the value of a system by analyzing users' willingness to pay, while cost avoidance calculations determine the amount of damage prevented by the system compared to the investment needed. The paper suggests that cost avoidance calculations are preferred due to potential biases in contingent valuation methods.    The authors also highlight factors influencing the effectiveness of early warning systems, including personal and cultural factors, prediction-related factors, and dissemination-related factors. These factors influence how warnings are received and translated into protective actions by individuals.    The paper proposes an assessment model that considers factors such as disaster occurrence, prediction accuracy, damage potential, and socio-cultural variables. The model calculates the economic impact of early warnings by assessing the benefits of additional protective actions initiated by the system and comparing them to the costs of the system's operation and induced protective actions.    In conclusion, the paper aims to provide a framework for more precise and comprehensive evaluations of the costs and benefits of early warning systems. The proposed model supports decision-making processes related to investments in early warning applications, potentially leading to more sustainable spending on these systems in the future. The authors acknowledge the need for further research on socio-cultural variables and emphasize the importance of considering intangible factors in evaluating the value of early warning systems.",NA,1
Using Earth Observations to Enhance Water Resources Decision-Making and Disaster Assessment Processes in the United States and the Developing World,"Lee, Christine M. and Searby, Nancy D. and Hemmings, Sarah N.",2013,26560,NA,manual: context window exceeded,NA
Data Poverty: A Global Evaluation for 2009 to 2013 - Implications for Sustainable Development and Disaster Risk Reduction,"Leidig, Mathias and Teeuw, Richard M. and Gibson, Andrew D.",2016,5451,"This paper discusses various projects within the NASA Applied Sciences Program that focus on utilizing Earth observation tools to improve water resources decision-making and disaster assessment processes in the United States and developing countries. The methods used in these projects include developing applications for disasters management, capacity building programs, and training programs to enhance the capacity of end users to utilize Earth observation-based tools in decision support. These methods involve utilizing satellite data such as MODIS, TRMM, SRTM, Landsat, and others to develop applications for flood monitoring, drought assessment, and water resource management. The projects aim to strengthen the use of Earth observations for water-related challenges through activities like remote sensing training, workshop sessions, and data analysis. By engaging with end users and partners such as US agencies, international organizations, and research institutions, these projects aim to enhance the utility of Earth observations in addressing critical water-related issues and disasters.",NA,1
Do Users Benefit from Additional Information in Support of Operational Drought Management Decisions in the Ebro Basin?,"Lin{\'e}s, Clara and Iglesias, Ana and Garrote, Luis and Sot{\'e}s, Vicente and Werner, Micha",2018,13039,"The paper discusses the concept of ""data poverty"" and introduces the Data Poverty Index (DPI) as a tool for evaluating global access to data and information. The DPI uses factors such as internet speed, internet users, mobile phone subscriptions, and education to assess data poverty in different countries. The methodology involves feature scaling the input data to provide comparable representations, with a focus on freely available sources like the World Bank.    The study conducts a time series analysis of the DPI from 2009 to 2013, categorizing countries based on their income classification. The results show an overall decreasing trend in data poverty globally, with variations between different income categories and regions. The paper highlights the importance of monitoring data poverty for disaster risk reduction, sustainable development goals, and climate change adaptation.    The analysis indicates challenges in data availability in certain regions, such as Africa, and discusses the potential impact of data poverty on disaster management and economic development. The study suggests that advancements in technology and education are key factors in reducing data poverty and improving resilience to disasters.    Overall, the paper underscores the significance of the DPI as a tool for tracking global access to data and information, particularly in the context of sustainable development and disaster risk reduction. Further research and updates to the DPI methodology are recommended to address the evolving landscape of digital disparities.",NA,1
Valuing Geospatial Information: Using the Contingent Valuation Method to Estimate the Economic Benefits of Landsat Satellite Imagery,"Loomis, John and Koontz, Steve and Miller, Holly and Richardson, Leslie",2015,20235,NA,manual: context window exceeded,NA
Ascribing Societal Benefit to Environmental Observations of the Earth from Space: The Multiangle Imaging Spectroradiometer (Misr,"Macauley, Molly K.",2006,13137,"The paper describes a method using Contingent Valuation Method (CVM) to estimate the economic benefits of Landsat satellite imagery to users. The study surveyed downloaders of Landsat imagery and found that the imagery has value to users, with established users valuing it higher than new or returning users. The paper estimated that the total economic benefits to US users for the scenes downloaded from EROS in 2011 is around $1.8 billion USD annually. Different user groups were analyzed, including academic, government, private sector, and non-profit organizations, showing variations in willingness-to-pay for Landsat imagery.    The study also evaluated the potential economic losses to society if a price were to be charged for Landsat imagery. Charging for Landsat imagery could result in a deadweight loss to society, which was calculated for different price scenarios per scene ($10 USD, $100 USD, $1,000 USD). The analysis estimated the potential loss to society if users were to drop out of acquiring Landsat imagery due to increasing costs, highlighting the economic implications of charging for access to Landsat imagery.",NA,1
Ascribing Societal Benefit to Applied Remote Sensing Data Products: An Examination of Methodologies Based on the Multi-angle Imaging SpectroRadiometer Experience,"Macauley, Molly K. and Diner, David J.",2007,11832,"This paper outlines frameworks for describing societal benefits associated with Earth observations, specifically focusing on the Multiangle Imaging Spectroradiometer (MISR) data. It presents two main frameworks: the NASA Earth Science framework and the NRC framework for the U.S. Department of Energy. The NASA framework emphasizes the practical applications of data in resource management and public policy decision-making, while the NRC framework categorizes benefits as realized, options, and knowledge.    The paper illustrates how MISR data can contribute to societal benefits within these frameworks. It discusses the contributions of MISR data to themes such as weather forecasting, climate variability and change, global land observations, water supply measurement, air quality monitoring, and more. Additionally, it highlights the limitations faced by MISR, such as being an experimental instrument with design constraints that may hinder its full potential in realizing societal benefits.    Overall, the paper emphasizes the importance of identifying and pursuing practical applications of Earth observation data and suggests ways to frame these applications to support decision-making in resource management and public policy. It underscores the need for continued efforts to define, pursue, realize, and communicate the practical benefits of Earth observation data in the face of constrained resources and evolving demands.",NA,1
From Science to Applications: Determinants of Diffusion in the Use of Earth Observations,"Macauley, Molly K. and Maher, Joseph Andrew and Shih, J. S.",2010,9503,"The paper discusses various methods for estimating the societal benefits of satellite or Earth Observation data in the context of resource management. The author emphasizes the importance of measuring the value of information derived from these spacecraft for decision-making purposes. The paper reviews different frameworks and approaches for assessing the economic value of Earth science data.     The methods used in the paper include econometric estimation, hedonic pricing studies, and contingent valuation surveys. These methods aim to quantify the value of information by analyzing its impact on productivity, output gains, and market prices. The paper provides examples of previous studies that have applied these methods to assess the value of weather information for agriculture, energy forecasts, and other sectors.     The paper also suggests a framework for measuring the value of Earth science data by considering various factors such as uncertainty, stakeholder decisions, information costs, and the availability of substitutes. It highlights the importance of explicitly identifying and evaluating the costs and benefits associated with the use of satellite data for societal applications.     Overall, the paper serves as a guide for researchers and decision-makers in understanding and quantifying the economic value of satellite-derived Earth science data for resource management and other applications.",NA,1
The Value of Information: Measuring the Contribution of Space-Derived Earth Science Data to Resource Management,"Macauley, Molly K.",2006,12793,"The paper discusses the methods to estimate the societal benefits associated with data products from the Multi-angle Imaging Spectroradiometer (MISR), which was launched into polar orbit aboard NASA's Terra spacecraft in 1999. The authors aim to provide frameworks and illustrations on how to characterize and demonstrate these societal benefits related to Earth Observation data.    The methods include the use of two frameworks for describing societal benefits:   1. National Aeronautics and Space Administration (NASA/ES) Framework: This involves a flow chart from Earth observations to decision support tools, informing resource management and public policy decisions.  2. National Research Council (NRC/DOE) Framework: This model involves different categories of benefits, such as realized benefits, options benefits, and knowledge benefits to assess the benefits of taxpayer investment in energy research and development.    The paper also highlights the limitations and challenges related to the experimental nature of the MISR instrument, challenges with data continuity and longevity, and data latency for operational applications. Additionally, incompatibilities with existing software interfaces and the need for financial incentives for researchers to pursue practical applications are discussed.    Overall, the paper provides a detailed analysis of methodologies and frameworks to estimate the societal benefits of satellite or Earth Observation data, specifically focusing on the MISR instrument.",NA,1
The Role of Stakeholders in Creating Societal Value From Coastal and Ocean Observations,"Mackenzie, Bev and Celliers, Louis and Assad, Luiz Paulo De Freitas and Heymans, Johanna J. and Rome, Nicholas and Thomas, Julie and Anderson, Clarissa and Behrens, James and Calverley, Mark and Desai, Kruti and DiGiacomo, Paul M. and Djavidnia, Samy and Dos Santos, Francisco and Eparkhina, Dina and Ferrari, Jos{\'e} and Hanly, Caitriona and Houtman, Bob and Jeans, Gus and Landau, Luiz and Larkin, Kate and Legler, David and Le Traon, Pierre-Yves and Lindstrom, Eric and Loosley, David and Nolan, Glenn and Petihakis, George and Pellegrini, Julio and Roberts, Zoe and Siddorn, John R. and Smail, Emily and {Sousa-Pinto}, Isabel and Terrill, Eric",2019,14036,"The paper presents a comprehensive framework and empirical evaluation on how the use of Earth observations data has diffused over time in social science research. The research aims to provide insights into substantiating and documenting the societal benefits of investing in Earth observations in a systematic and documented manner. The methods used in the paper include statistical regression analysis and standard bibliometric methods.    In the statistical regression analysis, the researchers examined the diffusion of Earth observations data by considering factors such as the deployment of Geographic Information Systems (GIS) as a complementary tool and the cost of data. They found that increases in the deployment of GIS tools encourage the spread of Earth observations data applications, while increases in data prices reduce the spread of use.    The paper also utilized citation analysis to assess the extent to which Earth observations data have been adopted and referenced in a growing community of social science research. The analysis showed evidence of an increasing number of applications of Earth observations data in a broadening range of topics and geographic regions. However, there was limited evidence of a strong network of scholars building on and extending previous research in the social science literature represented in the data.    Overall, the paper highlights the importance of continued deployment of GIS tools and the need to address data costs to further the use of Earth observations data in social science research. The study also emphasizes the significance of enhancing cross-scholar communication to strengthen the evidence of the societal benefits of investing in Earth observations.",NA,1
Using Architecture Modeling to Assess the Societal Benefits of the Global Earth Observation System-of-Systems,"Martin, J.N.",2008,25213,NA,manual: context window exceeded,NA
Banda Aceh-The Value of Earth Observation Data in Disaster Recovery and Reconstruction: A Case Study,"McCallum, I. and Kidd, R. and Fritz, S. and Kraxner, F. and Obersteiner, M. and Shvidenko, Anatoly",2008,4685,"The paper titled ""Using Architecture Modeling to Assess the Societal Benefits of the Global Earth Observation System-of-Systems"" by James N. Martin discusses the development of an enterprise architecture by NASA to assess the societal benefits of Earth observation data. The architecture model contains approximately 3000 elements involved in Earth science research, including observation sources, sensors, environmental parameters, data products, and decision-support tools.     The paper emphasizes the importance of understanding how NASA's Earth-sun science research contributes to meeting the operational needs of partner agencies and supporting decision-makers in areas such as weather forecasting, disaster management, and resource monitoring. The architecture model is intended to help in planning for the development of complex space-based environmental sensors.    The six-step process for architecture development includes problem framing, conceptual schema development, and metamodel creation. The architecture model incorporates data from various spacecraft, ground-based observatories, instruments, and prediction models, supporting decision-makers in various application areas such as weather prediction and disaster management.    The paper provides a detailed example of using the architecture model to examine elements related to hurricane prediction, including the utilization of Earth observation satellites, decision-support solutions, and mission thread analysis. By utilizing the architecture model, analysts can quickly identify relevant elements, assess potential outcomes, and export data for further analysis.    Overall, the paper highlights the usefulness of enterprise architecture tools, such as the Metis tool used in the study, for analyzing and assessing the societal benefits of Earth observation data. The architecture model enables decision-makers to understand the interrelationships between various elements of Earth observation systems and their societal impacts.",NA,1
"Users, Uses, and Value of Landsat Satellite Imagery: Results from the 2012 Survey of Users","Miller, Holly M. and Richardson, Leslie A. and Koontz, Stephen R. and Loomis, John and Koontz, Lynne",2013,8511,"The paper outlines a study on the societal benefits of using Earth Observation data in disaster recovery and reconstruction efforts in the aftermath of the 2004 tsunami in Banda Aceh, Indonesia. The methods used in the study include:    1. **Questionnaire:** A questionnaire was designed and implemented to collect information from 18 organizations operating in Banda Aceh to assess the use, sources, quality, and benefits of Earth Observation data in the relief/reconstruction effort.    2. **Cost-Benefit Examples:** Specific cost-benefit examples were identified to quantify the value of Earth Observation data. Examples include:     - Cost-benefit of GPS for community-based bathymetric mapping     - Comparison of traditional surveying to orthophotos     - Use of orthophotos for community-based mapping and survey     - Banda Aceh water strategy 2007–2030 and short-term action plan     - Digital orthophoto cost-benefit    Results from the questionnaire indicated an improvement in spatial data quality post-tsunami, although challenges such as insufficient training and timely data delivery were identified. The cost-benefit examples showed substantial cost and time savings associated with the use of Earth Observation data, with benefits typically in the order of millions of dollars. The examples highlighted the importance of Earth Observation data in disaster recovery and the positive impact on reconstruction efforts.",NA,1
Improved Hydrological Decision Support System for the Lower Mekong River Basin Using Satellite-Based Earth Observations,"Mohammed, Ibrahim and Bolten, John and Srinivasan, Raghavan and Lakshmi, Venkat",2018,28852,NA,manual: context window exceeded,NA
Landsat Data Ecosystem Case Study: Actor Perceptions of the Use and Value of Landsat,"Molder, Edmund B. and Schenkein, Sarah F. and McConnell, Abby E. and Benedict, Karl K. and Straub, Crista L.",2022,12087,"The paper utilizes multiple satellite-based Earth observations and traditional station data in conjunction with the Soil & Water Assessment Tool (SWAT) hydrologic model to enhance the Lower Mekong River Basin's hydrological decision support system:    1. Introduced a methodology for filling in the integrated multi-satellite retrieval using the Global Precipitation Measurement Mission (imerg) data for the years 2001 to 2014.  2. Developed a software tool to access and format satellite-based Earth observation systems for precipitation and air temperatures.  3. Utilized remote sensing data to improve the model-simulated streamflow patterns in the Lower Mekong compared to in-situ station data.  4. Implemented satellite-based precipitation adjustment maps for the Mekong region to correct precipitation data for other applications.    The study area covered the Lower Mekong River Basin and neighboring countries, which have complex challenges like growing populations, sustaining socio-economic activities, and ecological needs. The study area used a Digital Elevation Model (DEM), soil texture, land use/land cover data, in-situ data for discharge, precipitation, and air temperature. The study performed calibration and validation of the model utilizing TRMM and GPM Earth observation data, addressing the complexity of managing water resources in the region.    The paper highlights the importance of adopting satellite-based Earth observations for a more comprehensive and accurate hydrological modeling process in the Lower Mekong River Basin. The methods applied in the study include data processing, model calibration, and verification to improve the hydrological decision support system for the region. The developed 'nasaaccess' software package in R provides a tool for accessing and processing NASA Earth observation data products efficiently.",NA,1
Integrating Earth Observation Data into Geospatial Databases That Support Public Health Decisions,"Morain, S. A. and Budge, A. M.",2006,21457,NA,manual: context window exceeded,NA
The Socio-Economic Value of Scientific Publications: The Case of Earth Observation Satellites,"Morretta, Valentina and Vurchio, Davide and Carrazza, Stefano",2022,4525,"This paper outlines the methods used in integrating Earth Observation (EO) data into geospatial databases to support public health decisions. The study focuses on enhancing disease surveillance systems for dust-related respiratory diseases in the desert southwest of the United States. Several EO data sets are utilized to improve simulations of particulate matter entrainment, concentrations, and movement. The study compares output from an enhanced dust forecasting model with actual dust episodes recorded by atmospheric patterns and ground-based air monitoring systems.     Key methods employed in the study include replacing traditional parameters with EO data sets derived from sources like MODIS (MOD12) and SRTM for land cover and elevation data, respectively. The data assimilations aim to optimize dust forecast scenarios for public health authorities by measuring improvements in model outputs on an hourly, daily, and weekly basis.    The study incorporates a series of model runs with different combinations of assimilated EO data sets to assess their impact on the model's performance. Results from these runs are statistically evaluated to measure the improvements achieved in forecasting dust entrainment and concentrations. Additionally, the study emphasizes the importance of experimental design to address non-linear interactions between data sets and model performance.    Overall, the paper highlights the significance of incorporating EO data into disease surveillance systems to provide accurate and reliable information for public health decision-making. It emphasizes the need for validating the benefits of EO data inputs through statistical analysis and benchmarking to increase system reliability and user confidence.",NA,1
"The Value of Satellite-Based Active Fire Data for Monitoring, Reporting and Verification of REDD+ in the Lao PDR","M{\""u}ller, Daniel and Suess, Stefan and Hoffmann, Anja A. and Buchholz, Georg",2013,16193,NA,context_length_exceeded,NA
Visual Evidence from Above: Assessing the Value of Earth Observation Satellites for Supporting Human Rights,"Notley, Tanya and {Webb-Gannon}, Camellia",2016,12857,"The methods used in the paper ""The Value of Satellite-Based Active Fire Data for Monitoring, Reporting and Verification of REDD+ in the Lao PDR"" involved assessing the feasibility of using active fire data derived from the Moderate Resolution Imaging Spectroradiometer (MODIS) to monitor fires in Laos. The study examined the potential of active fire data for supporting national-level Monitoring, Reporting, and Verification (MRV) systems in assessing the effectiveness of measures related to reducing emissions from deforestation and forest degradation (REDD+).     The researchers conducted both qualitative and quantitative accuracy assessments of the fire data, including comparing the active fire data with ground-truth data from field verifications, digitized shifting cultivation plots, and high-resolution satellite imagery. They also analyzed the spatial and temporal patterns of fire activity in Laos using MODIS fire data, producing fire density maps to visualize variations in fire occurrences over time.    The findings of the study indicated challenges in the accuracy of active fire data at a local level, particularly in detecting small-scale vegetation fires in shifting cultivation areas. The study highlighted the limitations of using MODIS active fire data for site-specific monitoring and emphasized the need for further research to improve the effectiveness of using such data for monitoring vegetation fires in the context of REDD+ initiatives.",NA,1
