given,family,sequence,affiliation,doi,ORCID,authenticated-orcid,error,name,suffix
C. A.,Diop,additional,"Agence Nationale de l’Aviation Civile et de la Météorologie, Dakar, Senegal;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
E.,Adefisan,additional,"African Centre of Meteorological Application for Development, Niamey, and Federal University of Technology Akure, Akura, Nigeria;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
M. A.,Ahiataku,additional,"Ghana Meteorological Agency, Accra, Ghana;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
S. O.,Ansah,additional,"Ghana Meteorological Agency, Accra, Ghana;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
C. E.,Birch,additional,"University of Leeds, Leeds, United Kingdom;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
H. L.,Burns,additional,"University of Leeds, Leeds, United Kingdom;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
S. J.,Clarke,additional,"University of Leeds, Leeds, United Kingdom;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
J.,Gacheru,additional,"Kenya Meteorological Department, Nairobi, Kenya;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
T. D.,James,additional,"University of Leeds, Leeds, United Kingdom;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
C. K. Ngetich,Tuikong,additional,"Ghana Meteorological Agency, Accra, Ghana;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
D.,Koros,additional,"Ghana Meteorological Agency, Accra, Ghana;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
V. S.,Indasi,additional,"African Centre of Meteorological Application for Development, Niamey, Niger;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
B. L.,Lamptey,additional,"Federal University of Technology Akure, Akura, Nigeria;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
K. A.,Lawal,additional,"Nigeria Meteorological Agency, Abuja, Nigeria, and ACDI, University of Cape Town, Cape Town, South Africa;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
D. J.,Parker,additional,"University of Leeds, and National Centre for Atmospheric Science, Leeds, United Kingdom, and Norwegian Research Centre (NORCE), Bergen, Norway;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
A. J.,Roberts,additional,"University of Leeds, and National Centre for Atmospheric Science, Leeds, United Kingdom;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
T. H. M.,Stein,additional,"University of Reading, Reading, United Kingdom;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
E.,Visman,additional,"U.K. Centre for Ecology and Hydrology, Wallingford, United Kingdom;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
J.,Warner,additional,"Met Office, Exeter, United Kingdom;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
B. J.,Woodhams,additional,"University of Leeds, Leeds, United Kingdom, and Karlsruhe Institute of Technology, Karlsruhe, Germany;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
L. H.,Youds,additional,"University of Leeds, Leeds, United Kingdom, and World Meteorological Organization, Geneva, Switzerland;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
V. O.,Ajayi,additional,"Federal University of Technology Akure, Akura, Nigeria;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
E. N.,Bosire,additional,"University of Nairobi, Nairobi, Kenya;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
C.,Cafaro,additional,"University of Reading, Reading, United Kingdom;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
C. A. T.,Camara,additional,"Agence Nationale de l’Aviation Civile et de la Météorologie, Dakar, Senegal;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
B.,Chanzu,additional,"Kenya Meteorological Department, Nairobi, Kenya;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
C.,Dione,additional,"African Centre of Meteorological Application for Development, Niamey, Niger;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
W.,Gitau,additional,"University of Nairobi, Nairobi, Kenya;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
D.,Groves,additional,"National Centre for Atmospheric Science, Leeds, United Kingdom;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
J.,Groves,additional,"National Centre for Atmospheric Science, Leeds, United Kingdom;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
P. G.,Hill,additional,"University of Reading, Reading, United Kingdom;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
I.,Ishiyaku,additional,"Nigeria Meteorological Agency, Abuja, Nigeria;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
C. M.,Klein,additional,"U.K. Centre for Ecology and Hydrology, Wallingford, United Kingdom, and University of Innsbruck, Innsbruck, Austria;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
J. H.,Marsham,additional,"University of Leeds, Leeds, United Kingdom;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
B. K.,Mutai,additional,"University of Nairobi, Nairobi, Kenya;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
P. N.,Ndiaye,additional,"Agence Nationale de l’Aviation Civile et de la Météorologie, Dakar, Senegal;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
M.,Osei,additional,"Kwame Nkrumah University of Science and Technology, Kumasi, Ghana;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
T. I.,Popoola,additional,"Meteorological Research and Training Institute, Lagos, Nigeria",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
J.,Talib,additional,"U.K. Centre for Ecology and Hydrology, Wallingford, United Kingdom;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
C. M.,Taylor,additional,"U.K. Centre for Ecology and Hydrology, Wallingford, United Kingdom;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
D.,Walker,additional,"National Centre for Atmospheric Science, Leeds, United Kingdom;",10.1175/bams-d-21-0156.1,NA,NA,NA,NA,NA
Jean-Pierre,Florens,first,NA,10.1006/jeem.1999.1072,NA,NA,NA,NA,NA
Caroline,Foucher,additional,NA,10.1006/jeem.1999.1072,NA,NA,NA,NA,NA
NA,NA,NA,NA,https://pubs.usgs.gov/pp/1796/,NA,NA,try error,NA,NA
Cecilia,Fraccaroli,first,NA,10.1016/j.cliser.2021.100247,NA,NA,NA,NA,NA
Valentino,Marini Govigli,additional,NA,10.1016/j.cliser.2021.100247,NA,NA,NA,NA,NA
Siebe,Briers,additional,NA,10.1016/j.cliser.2021.100247,NA,NA,NA,NA,NA
Nieves,Peña Cerezo,additional,NA,10.1016/j.cliser.2021.100247,NA,NA,NA,NA,NA
Jorge,Paz Jiménez,additional,NA,10.1016/j.cliser.2021.100247,NA,NA,NA,NA,NA
Maria,Romero,additional,NA,10.1016/j.cliser.2021.100247,NA,NA,NA,NA,NA
Marcus,Lindner,additional,NA,10.1016/j.cliser.2021.100247,NA,NA,NA,NA,NA
Inazio,Martínez de Arano,additional,NA,10.1016/j.cliser.2021.100247,NA,NA,NA,NA,NA
John,Francis,first,NA,10.1016/j.ufug.2023.128115,NA,NA,NA,NA,NA
Mathias,Disney,additional,NA,10.1016/j.ufug.2023.128115,NA,NA,NA,NA,NA
Stephen,Law,additional,NA,10.1016/j.ufug.2023.128115,NA,NA,NA,NA,NA
S.,Fritz,first,NA,10.1109/jsyst.2008.926688,NA,NA,NA,NA,NA
R.J.,Scholes,additional,NA,10.1109/jsyst.2008.926688,NA,NA,NA,NA,NA
M.,Obersteiner,additional,NA,10.1109/jsyst.2008.926688,NA,NA,NA,NA,NA
J.,Bouma,additional,NA,10.1109/jsyst.2008.926688,NA,NA,NA,NA,NA
B.,Reyers,additional,NA,10.1109/jsyst.2008.926688,NA,NA,NA,NA,NA
Sabine,Fuss,first,NA,10.1016/j.spacepol.2008.09.008,NA,NA,NA,NA,NA
Jana,Szolgayova,additional,NA,10.1016/j.spacepol.2008.09.008,NA,NA,NA,NA,NA
Michael,Obersteiner,additional,NA,10.1016/j.spacepol.2008.09.008,NA,NA,NA,NA,NA
NA,NA,NA,NA,https://www.jstor.org/stable/26218055,NA,NA,try error,NA,NA
Nidia Catherine,González,first,"Global Development Studies, University of Helsinki, Helsinki, Finland",10.1080/14747731.2022.2093556,https://orcid.org/0000-0003-1170-8349,FALSE,NA,NA,NA
Markus,Kröger,additional,"Global Development Studies, University of Helsinki, Helsinki, Finland",10.1080/14747731.2022.2093556,https://orcid.org/0000-0001-7324-4549,FALSE,NA,NA,NA
Nicholas E.,Graham,first,NA,https://doi.org/10.1016/j.advwatres.2005.12.005,NA,NA,NA,NA,NA
Konstantine P.,Georgakakos,additional,NA,https://doi.org/10.1016/j.advwatres.2005.12.005,NA,NA,NA,NA,NA
Carlos,Vargas,additional,NA,https://doi.org/10.1016/j.advwatres.2005.12.005,NA,NA,NA,NA,NA
Modesto,Echevers,additional,NA,https://doi.org/10.1016/j.advwatres.2005.12.005,NA,NA,NA,NA,NA
Arto,Haara,first,NA,10.14214/sf.10089,NA,NA,NA,NA,NA
Annika,Kangas,additional,NA,10.14214/sf.10089,NA,NA,NA,NA,NA
Sakari,Tuominen,additional,NA,10.14214/sf.10089,NA,NA,NA,NA,NA
David L.,Halsing,first,NA,https://doi.org/10.3133/cir1271,NA,NA,NA,NA,NA
Kevin,Theissen,additional,NA,https://doi.org/10.3133/cir1271,NA,NA,NA,NA,NA
Richard,Bernknopf,additional,NA,https://doi.org/10.3133/cir1271,NA,NA,NA,NA,NA
James W.,Hansen,first,NA,https://doi.org/10.1016/j.agsy.2009.03.005,NA,NA,NA,NA,NA
Ashok,Mishra,additional,NA,https://doi.org/10.1016/j.agsy.2009.03.005,NA,NA,NA,NA,NA
K.P.C.,Rao,additional,NA,https://doi.org/10.1016/j.agsy.2009.03.005,NA,NA,NA,NA,NA
Matayo,Indeje,additional,NA,https://doi.org/10.1016/j.agsy.2009.03.005,NA,NA,NA,NA,NA
Robinson Kinuthia,Ngugi,additional,NA,https://doi.org/10.1016/j.agsy.2009.03.005,NA,NA,NA,NA,NA
NA,NA,NA,NA,pii: s0265-9646(00)00039-4,NA,NA,try error,NA,NA
John,Haskins,first,NA,10.3389/fenvs.2021.642906,NA,NA,NA,NA,NA
Charlie,Endris,additional,NA,10.3389/fenvs.2021.642906,NA,NA,NA,NA,NA
Alexandra S.,Thomsen,additional,NA,10.3389/fenvs.2021.642906,NA,NA,NA,NA,NA
Fuller,Gerbl,additional,NA,10.3389/fenvs.2021.642906,NA,NA,NA,NA,NA
Monique C.,Fountain,additional,NA,10.3389/fenvs.2021.642906,NA,NA,NA,NA,NA
Kerstin,Wasson,additional,NA,10.3389/fenvs.2021.642906,NA,NA,NA,NA,NA
NA,NA,NA,NA,978-951-38-7170-3,NA,NA,try error,NA,NA
Graeme C.,Hays,first,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Helen,Bailey,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Steven J.,Bograd,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
W. Don,Bowen,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Claudio,Campagna,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Ruth H.,Carmichael,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Paolo,Casale,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Andre,Chiaradia,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Daniel P.,Costa,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Eduardo,Cuevas,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
P.J.,Nico de Bruyn,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Maria P.,Dias,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Carlos M.,Duarte,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Daniel C.,Dunn,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Peter H.,Dutton,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Nicole,Esteban,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Ari,Friedlaender,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Kimberly T.,Goetz,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Brendan J.,Godley,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Patrick N.,Halpin,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Mark,Hamann,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Neil,Hammerschlag,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Robert,Harcourt,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Autumn-Lynn,Harrison,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Elliott L.,Hazen,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Michelle R.,Heupel,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Erich,Hoyt,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Nicolas E.,Humphries,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Connie Y.,Kot,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
James S.E.,Lea,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Helene,Marsh,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Sara M.,Maxwell,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Clive R.,McMahon,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
Giuseppe,Notarbartolo di Sciara,additional,NA,10.1016/j.tree.2019.01.009,NA,NA,NA,NA,NA
