author,year,title,doi,key,notes
"Macauley, Molly K.",2006,The Value Of Information: Measuring The Contribution Of Space-Derived Earth Science Data To Resource Management,10.1016/j.spacepol.2006.08.003,macauley_informationmeasuringcontributionspace_2006,NA
"Macauley, Molly",2010,The Value Of Information: ‘Methodological Frontiers And New Applications For Realizing Social Benefit’ Workshop,https://doi.org/10.1016/j.spacepol.2010.08.007,macauley_informationmethodologicalfrontiersapplications_2010,NA
"Mackenzie, Bev",2019,The Role Of Stakeholders In Creating Societal Value From Coastal And Ocean Observations,10.3389/fmars.2019.00137,mackenzie_rolestakeholderscreatingsocietal_2019,NA
"Martin, James",2008,Using Architecture Modeling To Assess The Societal Benefits Of The Global Earth Observation System-Of-Systems,10.1109/jsyst.2008.925974,martin_architecturemodelingassesssocietal_2008,NA
"Masami, Onoda",2017,Satellite Earth Observations And Their Impact On Society And Policy,https://doi.org/10.1007/978-981-10-3713-9,masami_satelliteearthobservationsimpact_2017,NA
"Mattal, Shagun",2022,Linking Poverty-Based Inequalities With Transportation And Accessibility Using Mobility Data: A Case Study Of Greater Maputo,https://doi.org/10.1177/03611981221116623,mattal_linkingpovertybasedinequalities_2022,NA
"Mazzetti, Paolo",2022,Knowledge Formalization For Earth Science Informed Decision-Making: The Geoessential Knowledge Base,https://doi.org/10.1016/j.envsci.2021.12.023,mazzetti_knowledgeformalizationearthscience_2022,NA
"McCallum, Ian",2008,Banda Aceh-The Value Of Earth Observation Data In Disaster Recovery And Reconstruction: A Case Study,http://pure.iiasa.ac.at/8741/,mccallum_bandaacehearthobservation_2008,NA
"McDonald, Spencer",2019,Web-Based Decision Support System Tools: The Soil And Water Assessment Tool Online Visualization And Analyses (Swatonline) And Nasa Earth Observation Data Downloading And Reformatting Tool,https://doi.org/10.1016/j.envsoft.2019.104499,mcdonald_webbaseddecisionsupport_2019,NA
"Meza, Francisco",2008,Economic Value Of Seasonal Climate Forecasts For Agriculture: Review Of Ex-Ante Assessments And Recommendations For Future Research,https://doi.org/10.1175/2007jamc1540.1,meza_economicseasonalclimateforecasts_2008,NA
"Miller, Benjamin",2018,The Not-So-Marginal Value Of Weather Warning Systems,https://doi.org/10.1175/wcas-d-16-0093.1,miller_marginalweatherwarningsystems_2018,NA
"Millner, Antony",2008,Getting The Most Out Of Ensemble Forecasts: A Valuation Model Based On User–Forecast Interactions,https://doi.org/10.1175/2008jamc1899.1,millner_ensembleforecastsvaluationmodel_2008,NA
"Mjelde, James",1996,Government Institutional Effects On The Value Of Seasonal Climate Forecasts,https://doi.org/10.2307/1243789,mjelde_governmentinstitutionaleffectsseasonal_1996,NA
"Mjelde, James",1989,The Socioeconomic Value Of Climate And Weather Forecasting: A Review,https://www.isws.illinois.edu/pubdoc/mp/iswsmp-112.pdf,mjelde_socioeconomicclimateweatherforecasting_1989,NA
"Mohammed, Inrahim N.",2018,Improved Hydrological Decision Support System For The Lower Mekong River Basin Using Satellite-Based Earth Observations,https://doi.org/10.3390/rs10060885,mohammed_improvedhydrologicaldecisionsupport_2018,NA
"Molder, Edmund",2022,Landsat Data Ecosystem Case Study: Actor Perceptions Of The Use And Value Of Landsat,10.3389/fenvs.2021.805174,molder_landsatdataecosystemstudy_2022,NA
"Morain, S.A.",2006,Integrating Earth Observation Data Into Geospatial Databases That Support Public Health Decisions,https://www.isprs.org/proceedings/xxxvi/part4/wg-viii-2-2.pdf,morain_integratingearthobservationdata_2006,NA
"Morrs, Rebecca",2008,Societal And Economic Research And Applications For Weather Forecasts,https://doi.org/10.1175/bams-89-3-335,morrs_societaleconomicresearchapplications_2008,NA
"Muchoney, Douglas",2008,Earth Observations For Terrestrial Biodiversity And Ecosystems,http://dx.doi.org/10.1016/j.rse.2008.01.003,muchoney_earthobservationsterrestrialbiodiversity_2008,NA
"Müller, Daniel",2013,"The Value Of Satellite-Based Active Fire Data For Monitoring, Reporting And Verification Of Redd+ In The Lao Pdr",https://doi.org/10.1007/s10745-013-9565-0,muller_satellitebasedactivefire_2013,NA
"Nagabhatla, Nidhi",2009,"Investigation Of Aquaculture Dynamics At A Ramsar Site, Using Earth Observation Systems In Conjunction With A Socio-Economic Assessment",https://doi.org/10.1111/j.1440-1770.2009.00413.x,nagabhatla_investigationaquaculturedynamicsramsar_2009,NA
"Namian, D.",1985,Analysis Of Past Funding For Noaa's Satellite Programs,https://archive.org/details/dtic_ada165070,namian_analysispastfundingnoaa's_1985,NA
National Oceanic and Atmospheric Administration,2011,Identifying Methods For Quantifying The Societal Impacts Of The National Oceanic And Atmospheric Administration,https://www.researchgate.net/publication/353247247_noaa_science_challenge_workshop_identifying_methods_for_quantifying_the_societal_impacts_of_the_national_oceanic_and_atmospheric_administration,nationaloceanicandatmosphericadministration_identifyingmethodsquantifyingsocietal_2011,NA
"Navalgund, Ranganath",2006,Indian Earth Observation Programme Towards Societal Benefits: Geoss Perspective,https://doi.org/10.1117/12.697269,navalgund_indianearthobservationprogramme_2006,NA
"Nelson, James",2019,Enabling Stakeholder Decision-Making With Earth Observation And Modeling Data Using Tethys Platform,https://doi.org/10.3389/fenvs.2019.00148,nelson_enablingstakeholderdecisionearth_2019,NA
"Notley, Tanya",2016,Visual Evidence From Above: Assessing The Value Of Earth Observation Satellites For Supporting Human Rights,https://ro.uow.edu.au/cgi/viewcontent.cgi?article=5028&context=sspapers,notley_visualevidenceassessingearth_2016,NA
"Oddo, Perry",2019,The Value Of Near Real-Time Earth Observations For Improved Flood Disaster Response,10.3389/fenvs.2019.00127,oddo_realtimeearthobservations_2019,NA
"Oikonomou, Panagiotis",2019,Enhancing The Standardized Drought Vulnerability Index By Integrating Spatiotemporal Information From Satellite And In Situ Data,https://doi.org/10.1016/j.jhydrol.2018.11.058,oikonomou_enhancingstandardizeddroughtvulnerability_2019,NA
"Ovienmhada, Ufuoma",2021,Inclusive Design Of Earth Observation Decision Support Systems For Environmental Governance: A Case Study Of Lake Nokoué,10.3389/fclim.2021.717418,ovienmhada_inclusivedesignearthobservation_2021,NA
"Park, Sun-Young",2018,The Public Value Of Improving A Weather Forecasting System In Korea: A Choice Experiment Study,https://doi.org/10.1080/00036846.2017.1368995,park_publicimprovingweatherforecasting_2018,NA
"Parselia, Elisavat",2019,"Satellite Earth Observation Data In Epidemiological Modeling Of Malaria, Dengue And West Nile Virus: A Scoping Review",https://doi.org/10.3390/rs11161862,parselia_satelliteearthobservationdata_2019,NA
"Pavone, Rosario",2014,Economic Benefits Expected From Earth Observation Applications. The Case Of The Eu Fp7 Itaca Project,978-163439986-9,pavone_economicbenefitsexpectedearth_2014,NA
"Pearlman, Francoise",2008,Creation And Operation Of A Global Earth Observation System Of Systems,https://doi.org/10.1109/oceans.2008.5289425,pearlman_creationoperationglobalearth_2008,NA
"Peck, Stephen",1993,Global Warming Uncertainties And The Value Of Information: An Analysis Using Ceta,https://doi.org/10.1016/0928-7655(93)90019-q,peck_globalwarminguncertaintiesinformation_1993,NA
"Perrels, Adriaan",2013,Socio-Economic Benefits Of Weather And Climate Services In Europe,https://doi.org/10.5194/asr-10-65-2013,perrels_socioeconomicbenefitsweather_2013,NA
"Perrels, Adriaan",2012,Weather Service Chain Analysis (Wsca) - An Approach For Appraisal Of The Social-Economic Benefits Of Improvements In Weather Services,https://www.researchgate.net/publication/233776312_weather_service_chain_analysis_wsca_-_an_approach_for_appraisal_of_the_social-economic_benefits_of_improvements_in_weather_services/link/0c96051d41704df50a000000/download,perrels_weatherservicechainanalysis_2012,NA
"Petersen, E.H.",2001,An Assessment Of The Value Of Seasonal Forecasting Technology For Western Australian Farmers,https://doi.org/10.1016/s0308-521x(01)00012-9,petersen_assessmentseasonalforecastingtechnology_2001,NA
"Petrou, Zisis",2015,Remote Sensing For Biodiversity Monitoring: A Review Of Methods For Biodiversity Indicator Extraction And Assessment Of Progress Towards International Targets,https://doi.org/10.1007/s10531-015-0947-z,petrou_remotesensingbiodiversitymonitoring_2015,NA
"Pettorelli, Nathalie",2014,"Satellite Remote Sensing, Biodiversity Research And Conservation Of The Future",10.1098/rstb.2013.0190,pettorelli_satelliteremotesensingbiodiversity_2014,NA
"Plag, Hans-Peter",2019,A Transformative Concept: From Data Being Passive Objects To Data Being Active Subjects,10.3390/data4040135,plag_transformativeconceptdatapassive_2019,NA
"Plag, Hans-Peter",2009,Earth Observations As Decision Support For Adaptation And Mitigation Strategies In Response To Coastal Sea Level Rise,http://hpplag.com/publications/pubs/2009_plag_lsl_isrse_paper.pdf,plag_earthobservationsdecisionsupport_2009,NA
"Plag, Hans-Peter",2013,Labeling Geo-Referenced Information In Support Of Data Sharing And The Facilitating Of Societal Benefits Of Earth Observations,http://dx.doi.org/10.1051/e3sconf/20130128004,plag_labelinggeoreferencedinformation_2013,NA
"Powell, A",2006,"Noaa-Isro Joint Science Projects On Earth Observation System Science, Technology, And Applications For Societal Benefits",https://doi.org/10.1117/12.694020,powell_noaaisrojointscience_2006,NA
"Quiroga, Sonia",2011,The Economic Value Of Drought Information For Water Management Under Climate Change: A Case Study In The Ebro Basin,https://doi.org/10.5194/nhess-11-643-2011,quiroga_economicdroughtinformationwater_2011,NA
"Ramirez-Reyes, Carlos",2019,Reimagining The Potential Of Earth Observations For Ecosystem Service Assessments,10.1016/j.scitotenv.2019.02.150,ramirezreyes_reimaginingpotentialearthobservations_2019,NA
"Raunikar, Ronald",2013,What Is The Economic Value Of Satellite Imagery?,https://pubs.usgs.gov/fs/2013/3003/,raunikar_economicsatelliteimagery_2013,NA
"Reid, Jack",2020,"Decision Support Model And Visualization For Assessing Environmental Phenomena, Ecosystem Services, Policy Consequences, And Satellite Design Using Earth Observation Data",https://hdl.handle.net/1721.1/128378,reid_decisionsupportmodelvisualization_2020,NA
"Reid, Jack",2020,"Interactive Model For Assessing Mangrove Health, Ecosystem Services, Policy Consequences, And Satellite Design In Rio De Janeiro Using Earth Observation Data",https://hdl.handle.net/1721.1/129598,reid_interactivemodelassessingmangrove_2020,NA
"Remillard, C.M.",2016,Bridging The Gap Between Nasa Earth Observations And Decision Makers Through The Nasa Develop National Program,https://doi.org/10.5194/isprsarchives-xli-b6-145-2016,remillard_bridginggapnasaearth_2016,NA
"Robinove, Charles",1973,Value And Validity Of Earth Resources Observations From Space,https://doi.org/10.1080/02626667309494008,robinove_validityearthresourcesobservations_1973,NA
"Rodrigues, Joao",2016,The Economic Value Of Seasonal Forecasts: Stochastic Economywide Analysis For East Africa,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2820148,rodrigues_economicseasonalforecastsstochastic_2016,NA
"Rollins, Kimberly",2003,Using Willingness‐To‐Pay To Assess The Economic Value Of Weather Forecasts For Multiple Commercial Sectors,https://doi.org/10.1017/s1350482703005048,rollins_willingnesspayassesseconomic_2003,NA
"Ross, Kenton",2009,A Professional Review For Integration Of Earth Observations Into Fews Net Decision Support,978-161567322-3,ross_professionalreviewintegrationearth_2009,NA
"Shao, Anthony",2014,Quantifying The Cost Reduction Potential For Earth Observation Satellites,https://smad.com/wp-content/uploads/2014/11/rs-paper_final.pdf,shao_quantifyingcostreductionpotential_2014,NA
"Sharda, Vaishali",2016,Value Of Enso-Forecasted Drought Information For The Management Of Water Resources Of Small To Mid-Size Communities,https://doi.org/10.13031/trans.59.11589,sharda_ensoforecasteddroughtinformation_2016,NA
"Shorr, Bernard",1966,The Cost/Loss Utility Ratio,https://www.jstor.org/stable/26173275,shorr_costlossutilityratio_1966,NA
"Shukla, Shraddhanand",2021,Enhancing Access And Usage Of Earth Observations In Environmental Decision-Making In Eastern And Southern Africa Through Capacity Building,10.3389/fsufs.2021.504063,shukla_enhancingaccessusageearth_2021,NA
"Shukla, Shraddhanand",2021,Enhancing The Application Of Earth Observations For Improved Environmental Decision-Making Using The Early Warning Explorer (Ewx),10.3389/fclim.2020.583509,shukla_enhancingapplicationearthobservations_2021,NA
"Siddiqi, Alfreen",2020,Valuation Of Calibration For Satellite Constellations,https://digitalcommons.usu.edu/calcon/calcon2020/all2020content/30/,siddiqi_valuationcalibrationsatelliteconstellations_2020,NA
"Smart, Alan",2014,Position Paper: Evaluation Methods And Techniques,https://www.geovalue.org/wp-content/uploads/2013/05/background-position-paper-smart1.pdf,smart_positionpaperevaluationmethods_2014,NA
"Smythe, Isabella",2022,Geographic Microtargeting Of Social Assistance With High-Resolution Poverty Maps,https://doi.org/10.1073/pnas.2120025119,smythe_geographicmicrotargetingsocialassistance_2022,NA
"Solís, Patricia",2018,Engaging Global Youth In Participatory Spatial Data Creation For The Un Sustainable Development Goals: The Case Of Open Mapping For Malaria Prevention,https://doi.org/10.1016/j.apgeog.2018.07.013,solis_engagingglobalyouthparticipatory_2018,NA
"Solow, Andrew",1998,The Value Of Improved Enso Prediction To U.s. Agriculture,https://doi.org/10.1023/a:1005342500057,solow_improvedensopredictionu.s_1998,NA
"Song, Yongze",2021,Earth Observation For Sustainable Infrastructure: A Review,https://doi.org/10.3390/rs13081528,song_earthobservationsustainableinfrastructure_2021,NA
"Stel, Jan H.",1996,A Benefit-Cost Analysis Of A Regional Global Ocean Observing System: Seawatch Europe,https://doi.org/10.1016/0308-597x(96)00029-2,stel_benefitcostanalysisregional_1996,NA
"Stroming, Signe",2020,Quantifying The Human Health Benefits Of Using Satellite Information To Detect Cyanobacterial Harmful Algal Blooms And Manage Recreational Advisories In U.s. Lakes,10.1029/2020gh000254,stroming_quantifyinghumanhealthbenefits_2020,NA
"Sullivan, Daniel",2018,Using Satellite Data To Fill The Gaps In The Us Air Pollution Monitoring Network,https://www.rff.org/valuables/impact-assessments/,sullivan_satellitedatafillgaps_2018,NA
"Sundararajan, Venkatesan",2015,Stakeholder Value Network (Svn) Analysis For Indian Earth Observation Program,https://doi.org/10.2514/6.2015-4635,sundararajan_stakeholdernetworksvnanalysis_2015,NA
"Sutherland, Timothy",2012,Program Goals For The Nasa/Noaa Earth Observation Program Derived From A Stakeholder Value Network Analysis,http://dx.doi.org/10.1016/j.spacepol.2012.09.007,sutherland_programgoalsnasanoaa_2012,NA
"Tassa, Alessandra",2022,"On-Going European Space Agency Activities On Measuring The Benefits Of Earth Observations To Society: Challenges, Achievements And Next Steps",10.3389/fenvs.2022.788843,tassa_europeanspaceagencyactivities_2022,NA
"Teillet, P.M.",2002,Toward Integrated Earth Sensing: The Role Of In Situ Sensing,https://www.isprs.org/proceedings/xxxiv/part1/paper/00097.pdf,teillet_integratedearthsensingrole_2002,NA
"Thangavel, Kathiravan",2022,Near Real-Time Wildfire Management Using Distributed Satellite System,https://doi.org/10.1109/lgrs.2022.3229173,thangavel_realtimewildfiremanagement_2022,NA
"Thapa, Rajesh",2019,Capacity Building Approach And Application: Utilization Of Earth Observation Data And Geospatial Information Technology In The Hindu Kush Himalaya,https://doi.org/10.3389/fenvs.2019.00165,thapa_capacitybuildingapproachapplication_2019,NA
"Thompson, J.",1955,The Economic Utility Of Weather Forecasts,https://journals.ametsoc.org/view/journals/mwre/83/11/1520-0493_1955_083_0249_teuowf_2_0_co_2.xml?tab_body=pdf,thompson_economicutilityweatherforecasts_1955,NA
"Thompson, Matthew",2011,Integrated National-Scale Assessment Of Wildfire Risk To Human And Ecological Values,https://doi.org/10.1007/s00477-011-0461-0,thompson_integratednationalscaleassessment_2011,NA
"Thompson, Matthew",2011,Uncertainty And Risk In Wildland Fire Management: A Review,https://doi.org/10.1016/j.jenvman.2011.03.015,thompson_uncertaintyriskwildlandfire_2011,NA
"Thomson, Dana",2019,Extending Data For Urban Health Decision-Making: A Menu Of New And Potential Neighborhood-Level Health Determinants Datasets In Lmics,https://doi.org/10.1007/s11524-019-00363-3,thomson_extendingdataurbanhealth_2019,NA
"van Loenen, Bastiaan",2009,"Sdi Convergence: Research, Emerging Trends, And Critical Assessment",978 90 6132 310 5,vanloenen_sdiconvergenceresearchemerging_2009,NA
"Virapongse, Arika",2020,Ten Rules To Increase The Societal Value Of Earth Observations,10.1007/s12145-020-00453-w,virapongse_tenrulesincreasesocietal_2020,NA
"Voigt, Stefan",2007,Satellite Image Analysis For Disaster And Crisis-Management Support,https://doi.org/10.1109/tgrs.2007.895830,voigt_satelliteimageanalysisdisaster_2007,NA
"Voss, Katalyn",2013,Groundwater Depletion In The Middle East From Gracewith Implications For Transboundary Water Management In The Tigris-Euphrates-Western Iran Region,https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1002/wrcr.20078#lw100,voss_groundwaterdepletionmiddleeast_2013,NA
"Wehn, Uta",2015,The Social Innovation Potential Of Ict-Enabled Citizen Observatories To Increase Eparticipation In Local Flood Risk Management,https://doi.org/10.1016/j.techsoc.2015.05.002,wehn_socialinnovationpotentialict_2015,NA
"Weigland, Matthias",2019,Remote Sensing In Environmental Justice Research—A Review,http://dx.doi.org/10.3390/ijgi8010020,weigland_remotesensingenvironmentaljustice_2019,NA
"Wellman, Katharine",2008,Potential Benefits Of Coastal Ocean Observing Systems To Alaskan Commercial Fisheries,https://doi.org/10.1080/08920750701868051,wellman_potentialbenefitscoastalocean_2008,NA
"Whitcraft, A.K.",2020,Nasa Harvest(Ing) Earth Observations For Informed Agricultural Decisions,https://doi.org/10.1109/igarss39084.2020.9324176,whitcraft_nasaharvestingearth_2020,NA
"Wieand, Kenneth",2008,A Bayesian Methodology For Estimating The Impacts Of Improved Coastal Ocean Information On The Marine Recreational Fishing Industry,http://10.1080/08920750701866436,wieand_bayesianmethodologyestimatingimpacts_2008,NA
"Wilks, D.S.",2001,A Skill Score Based On Economic Value For Probability Forecasts,https://doi.org/10.1017/s1350482701002092,wilks_skillscorebasedeconomic_2001,NA
"Woodhouse, Iaian",2009,Towards Best Practice In Earth Observation Research In Developing Countries,https://www.infona.pl/resource/bwmeta1.element.ieee-art-000005417650?&locale=en,woodhouse_practiceearthobservationresearch_2009,NA
"Wu, Bingfang",2020,Cloud Services With Big Data Provide A Solution For Monitoring And Tracking Sustainable Development Goals,https://doi.org/10.1016/j.geosus.2020.03.006,wu_cloudservicesdataprovide_2020,NA
"Yang, Wenze",2016,"Satellite Climate Data Records: Development, Applications, And Societal Benefits",https://doi.org/10.3390/rs8040331,yang_satelliteclimatedatarecords_2016,NA
"Zaitchik, Benjamin",2008,Assimilation Of Grace Terrestrial Water Storage Data Into A Land Surface Model: Results For The Mississippi River Basin,https://doi.org/10.1175/2007jhm951.1,zaitchik_assimilationgraceterrestrialwater_2008,NA
"Zell, Erica",2012,A User-Driven Approach To Determining Critical Earth Observation Priorities For Societal Benefit,10.1109/jstars.2012.2199467,zell_userdrivenapproachdetermining_2012,NA
"Zhou, Guoqing",2005,Future Earth Observation Strategy For Societal Benefits,https://doi.org/10.1109/igarss.2005.1526433,zhou_futureearthobservationstrategy_2005,NA
"Zhu, Zhe",2019,Benefits Of The Free And Open Landsat Data Policy,https://doi.org/10.1016/j.rse.2019.02.016,zhu_benefitsfreelandsatdata_2019,NA
"Ziolkowska, Jadwiga R.",2017,Benefits And Beneficiaries Of The Oklahoma Mesonet: A Multisectoral Ripple Effect Analysis,https://doi.org/10.1175/wcas-d-16-0139.1,ziolkowska_benefitsbeneficiariesoklahomamesonet_2017,NA
"Ziolkowska, Jadwiga R.",2018,Economic Value Of Environmental And Weather Information For Agricultural Decisions – A Case Study For Oklahoma Mesonet,https://doi.org/10.1016/j.agee.2018.07.008,ziolkowska_economicenvironmentalweatherinformation_2018,NA
"Kansakar, Patistha",2016,A Review Of Applications Of Satellite Earth Observation Data For Global Societal Benefit And Stewardship Of Planet Earth,10.1016/j.spacepol.2016.05.005,kansakar_reviewapplicationssatelliteearth_2016,NA
[AEOCCG]Australian Earth Observation Community Coordinating Group,2016,Australian Earth Observation Community Plan 2026,https://www.eoa.org.au/aeocp-the-plan,australianearthobservationcommunitycoordinatinggroup_australianearthobservationcommunity_2016,NA
[ESA]European Space Agency,2019,Advancing The Understanding And Measurement Of The Societal Benefits Of Earth Observations,https://geovalue.org/wp-content/uploads/2020/05/proceedings4_eo_value_ws_191031-published.pdf,europeanspaceagency_advancingunderstandingmeasurementsocietal_2019,NA
[ESA]European Space Agency,2015,Earth Observation Science Strategy For Esa: A New Era For Scientific Advances And Societal Benefits,https://esamultimedia.esa.int/multimedia/publications/sp-1329_1/sp-1329-1.pdf,europeanspaceagency_earthobservationsciencestrategy_2015,NA
"Borzacchiello, Maria-Teresa",2011,Socio-Economic Benefits From The Use Of Earth Observations,https://doi.org/10.2788/78532,borzacchiello_socioeconomicbenefitsearth_2011,NA
"Clark, John",2020,Assessing The Full Effects Of Public Investment In Space,http://dx.doi.org/10.1016/j.spacepol.2014.03.001,clark_assessingeffectspublicinvestment_2014,NA
"Destandau, Francois",2016,An Analysis Of The Value Of Additional Information Provided By Water Quality Measurement Network,http://dx.doi.org/10.4236/jwarp.2016.88062,destandau_analysisadditionalinformationprovided_2016,NA
"Fisher, Rohan",2017,Free Satellite Imagery And Digital Elevation Model Analyses Enabling Natural Resource Management In The Developing World: Studies From Eastern Indonesia,https://doi.org/10.1111/sjtg.12210,fisher_freesatelliteimagerydigital_2017,NA
"Forney, W.M.",2012,An Economic Value Of Remote-Sensing Information—Application To Agricultural Production And Maintaining Groundwater Quality,https://pubs.usgs.gov/pp/1796/,forney_economicremotesensinginformation_2012,NA
"Leidig, Mathias",2015,Data Poverty: A Global Evaluation For 2009 To 2013- Implications For Sustainable Development And Disaster Risk Reduction,https://doi.org/10.1016/j.jag.2016.03.001,leidig_datapovertyglobalevaluation_2016,NA
"Macauley, Molly",2006,Ascribing Societal Benefit To Environmental Observations Of Earth From Space,https://dx.doi.org/10.2139/ssrn.901785,macauley_ascribingsocietalbenefitenvironmental_2006,NA
"Miller, Holly",2013,"Users, Uses, And Value Of Landsat Satellite Imagery - Results From The 2012 Survey Of Users",http://dx.doi.org/10.3133/ofr20131269,miller_userslandsatsatelliteimagery_2013,NA
"Musa, Zahrah",2010,Satellite Earth Observation Value-Added Service In The Nigerian Economy,https://doi.org/10.13140/2.1.2805.5845,musa_satelliteearthobservationadded_2010,NA
"Pearlman, Francoise",2019,"Demonstrating The Value Of Earth Observations- Methods, Practical Applications And Solutions -Group On Earth Observations Side Event Proceedings",https://doi.org/10.3133/ofr20191033,pearlman_demonstratingearthobservationsmethods_2019,NA
"Rydzak, Felicjan",2010,Impact Of Global Earth Observation –Systemic View Across Geoss Societal Benefit Areas,10.2902/1725-0463.2010.05.art9,rydzak_impactglobalearthobservation_2010,NA
"Serbina, Larisa",2014,Landsat And Water—Case Studies Of The Uses And Benefits Of Landsat Imagery In Water Resources,http://dx.doi.org/10.3133/ofr20141108,serbina_landsatwaterstudiesbenefits_2014,NA
"Williamson, Ray A.",2002,The Socioeconomic Benefits Of Earth Science And Applications Research: Reducing The Risks And Costs Of Natural Disasters,pii: s 0265-9646(01)00057-1,williamson_socioeconomicbenefitsearthscience_2002,NA
"Morretta, Valentina",2022,The Socio-Economic Value Of Scientific Publications: The Case Of Earth Observation Satellites,10.1016/j.techfore.2022.121730,NA,morretta_socioeconomicscientificpublications_2022
"Starr-McCluer, Martha",2000,The Effects Of Weather On Retail Sales,https://doi.org/10.17016/feds.2000.08,NA,starrmccluer_effectsweatherretailsales_2000
"Tassa, Alessandra",2020,"The Socio-Economic Value Of Satellite Earth Observations: Huge, Yet To Be Measured",10.1080/17487870.2019.1601565,NA,tassa_socioeconomicsatelliteearth_2020
