title,author,year,n_tokens,summary,error,pass,screening_decision,reason_for_exclusion,Quick notes,economic_method,societal_benefit,value_units,eo_data,applied_science_theme,Notes
Global Multi-Scale Grid Integer Coding and Spatial Indexing: A Novel Approach for Big Earth Observation Data,"Lei, Yi and Tong, Xiaochong and Zhang, Yongsheng and Qiu, Chunping and Wu, Xiangyu and Lai, Guangling and Li, He and Guo, Congzhou and Zhang, Yong",2020,15200,"The paper ""Global Multi-Scale Grid Integer Coding and Spatial Indexing: A Novel Approach for Big Earth Observation Data"" by Lei et al. (2020) presents innovative methods for managing and querying large Earth Observation (EO) datasets. Here is a summary of the methods used in the paper to estimate or quantify the societal benefits of satellite or Earth Observation data:    ### 1. Global Multi-Scale Grid Integer Coding Model (GMGICM)  The authors propose a new coding model called GMGICM that aims to efficiently manage and index big EO data, characterized by multiple sources, resolutions, and temporal scales. Key components of the GMGICM include:    - **Multi-Scale Grid Subdividing**: The grid subdividing method is based on a quad-tree structure and longitude-latitude grid partitioning, which allows for the organization of EO data into manageable grids of varying sizes.    - **Integer Coding**: Each grid in the GMGICM is assigned a unique 64-bit unsigned integer code, which facilitates efficient indexing and querying. The use of integer codes enhances computational efficiency compared to traditional string-based methods.    ### 2. Spatial Indexing and Querying  The paper details the application of the GMGICM for spatial indexing and querying of EO data. The authors develop a strategy to ensure the completeness of spatial queries, overcoming limitations of existing grid-based coding models. The key steps in this approach include:    - **Association of EO Data and Grids**: This involves linking EO data (e.g., satellite images) to a limited number of grids that correspond closely to the coverage area of the data. This reduces redundancy and improves query accuracy.    - **Spatial Querying**: The authors describe a method to transform complex two-dimensional spatial queries into simpler one-dimensional integer-coded queries, significantly improving the efficiency and speed of spatial data retrieval.    ### 3. Performance Evaluation  The proposed methods are extensively tested using both simulated and real EO datasets. Performance metrics include:    - **Clustering Property Analysis**: The authors compare the clustering properties of GMGICM codes to traditional methods (e.g., geohash) to demonstrate improved spatial continuity and retrieval efficiency.    - **Efficiency Comparisons**: Querying efficiencies are measured, showing that the GMGICM approach is approximately 20 times faster than existing methods. The authors also measure the accuracy of the querying results, achieving high accuracy rates without omissions.    ### 4. Societal Benefits Quantification  While the paper primarily focuses on the technical aspects of data management, the methodologies proposed can lead to societal benefits by:    - **Enhancing Disaster Response**: The improved querying capabilities can facilitate faster and more accurate gathering of EO data during emergencies, aiding in disaster response and recovery efforts.    - **Supporting Environmental Monitoring**: The efficient management and retrieval of EO data can support applications in environmental monitoring, urban planning, and resource management, contributing to sustainable development.    - **Improving Data Accessibility**: By streamlining the data management process, the methods can increase the accessibility of EO data for researchers, policymakers, and the public, thereby fostering informed decision-making based on satellite observations.    In summary, the methods outlined in the paper offer a robust framework for managing and querying large EO datasets, which can translate into significant societal benefits in terms of disaster management, environmental monitoring, and data accessibility.",NA,1,Exclude,Does not value data,"assesses methods for working with big data, but does not assess societal benefits",,,,,,
Where Have All the People Gone? Enhancing Global Conservation Using Night Lights and Social Media,"Levin, Noam and Kark, Salit and Crandall, David",2015,11943,"The paper ""Where Have All the People Gone? Enhancing Global Conservation Using Night Lights and Social Media"" by Noam Levin, Salit Kark, and David Crandall introduces innovative methods to quantify human presence in natural areas, which is critical for conservation planning. The authors combine social media data (specifically from Flickr) with satellite-derived night-light data to assess patterns of human visitation beyond urban centers. Below are the key methods used in the study:    1. **Data Sources**:     - **Flickr Data**: The authors utilized geo-tagged photos from Flickr to estimate visitation patterns. They collected approximately 187 million geo-tagged images uploaded by over one million users, primarily taken since 2004 using smartphones and digital cameras.     - **Night-Light Data**: The study employed version 4 of the Defense Meteorological Satellite Program's Operational Linescan System (DMSP-OLS) data to quantify night-light brightness. This data served as an indicator of urbanization and human activity. The authors focused on stable light data from 2004 to 2012.    2. **Defining Human Presence**:     - Areas that are both highly photographed and unlit (low night-light brightness) were identified as significant natural spaces attracting visitors. The authors established thresholds for defining lit areas based on night-light brightness.    3. **Correlation Analysis**:     - The authors examined the relationship between Flickr metrics (e.g., number of photos and photographers) and night-light data to assess patterns of human activity. They used Spearman rank correlations and quantile regression to analyze spatial variations in visitation data.    4. **Protected Areas Analysis**:     - The study explored visitation patterns within protected areas and compared these to visitor counts from local authority data to validate their Flickr-based estimates. They calculated the mean number of photos and the number of unique photographers within different spatial units, including countries and biodiversity hotspots.    5. **Mapping and Identifying Hotspots**:     - Using a grid cell approach, the authors mapped areas with high photography rates and their relationship to light pollution, identifying hotspots of recreation that are both popular and largely unprotected.    6. **Biodiversity and Conservation Implications**:     - The integrated approach allowed the researchers to identify potential conservation gaps and pressures in real time, highlighting areas that attract significant visitation but lack formal protection.    7. **Statistical Techniques**:     - The authors employed statistical methods to correlate various factors such as population density, GDP, and internet penetration rates with Flickr usage and night-light data to explore the socio-economic dimensions of visitation patterns.    In summary, the study combines the use of big data from social media and satellite imagery to provide a novel method for assessing human presence in natural areas, which can inform future conservation strategies and management practices. This approach is particularly valuable for identifying unprotected areas that attract significant human activity, thus highlighting conservation priorities.",NA,1,Exclude,Does not value data,Combines Flickr photo frequency with VIIRS night lights to identify conservation priorities� but doesn't assess value,,,,,,
Incorporating Water Quantity and Quality Modelling into Forest Management,"Li, Xiangfei and Nour, Mohamed H. and Smith, Daniel W. and Prepas, Ellie E. and Putz, Gordon and Watson, Brett M.",2008,11577,"The paper titled ""Incorporating Water Quantity and Quality Modelling into Forest Management"" by Xiangfei Li et al. outlines a comprehensive approach to assessing the environmental impacts of forestry operations using advanced modelling techniques, particularly focusing on water quantity and quality. Below is a summary of the key methods used to estimate or quantify the societal benefits of satellite or Earth Observation data through this research.    ### Methods Summary:    1. **Hybrid Modelling Approach**:     - The project employs a hybrid modelling tool that combines remote sensing data with ground truthing to model streamflow, suspended solids, and nutrient dynamics in boreal plain watersheds. This approach aims to enhance the environmental management of forestry practices.    2. **Use of Remote Sensing (RS) Data**:     - The study utilizes moderate-resolution imaging spectroradiometer (MODIS) data to capture vegetation dynamics and water quality parameters. MODIS-derived indices, such as the Enhanced Vegetation Index (EVI), are used to represent vegetation health and to estimate nutrient dynamics, which are crucial for water quality models.    3. **Artificial Neural Networks (ANNs)**:     - ANNs are applied as a data-driven modelling tool to predict water quantity and quality metrics such as streamflow, total suspended solids (TSS), total phosphorus (TP), and nitrogen concentrations (NO3- and TDN). ANNs are particularly beneficial as they can handle complex patterns in data with fewer input variables compared to mechanistic models.    4. **Soil and Water Assessment Tool (SWAT)**:     - The SWAT model is employed in a physically-based, distributed manner to simulate hydrological processes and assess the impact of land management practices on water resources. Modifications to the SWAT model are made to tailor it for boreal forest ecosystems, including the incorporation of a litter layer to account for nutrient storage and a new wetlands model that simulates lateral flow.    5. **Geographical Information Systems (GIS)**:     - GIS technology is integrated with RS and simulation models to analyze spatial data and support watershed management. GIS aids in delineating watersheds, processing input data, and visualizing output data.    6. **Statistical Analysis and Model Calibration**:     - Various statistical measures (e.g., coefficient of determination, root mean squared error) are used to evaluate model performance. The models undergo rigorous calibration and validation processes to ensure accuracy and robustness, particularly when applied to different watersheds.    7. **Scenario-Based Analysis**:     - The methodology includes scenario-based assessments that simulate the effects of different forest harvesting practices on water resources. This allows for predictions of how management decisions will affect streamflow and water quality parameters.    8. **Framework for Implementation**:     - The paper proposes a step-by-step framework for incorporating the modelling results into the detailed forest management plan (DFMP) of Millar Western Forest Products Ltd. This framework emphasizes the need to delineate the management area into smaller watersheds, identify relevant inputs, and validate models across different environmental conditions.    By utilizing these methods, the study aims to provide a robust decision support tool that helps in sustainable forest management, ensuring water quality and quantity are maintained while balancing industrial activities and environmental integrity. The integration of remote sensing data significantly enhances the capacity to monitor water resources cost-effectively, leading to better management practices in forestry operations.",NA,1,Exclude,Does not value data,,,,,,Forest management,
Observation of Pm2.5 Using a Combination of Satellite Remote Sensing and Low-Cost Sensor Network in Siberian Urban Areas with Limited Reference Monitoring,"Lin, C. and Labzovskii, L. D. and Mak, H. W. L. and Fung, J. C. H. and Lau, A. K. H. and Kenea, S. T. and Bilal, M. and Vande Hey, J. D. and Lu, X. and Ma, J.",2020,14800,"The paper presents a method for estimating PM2.5 concentrations in urban areas with limited ground-based monitoring, specifically focusing on Krasnoyarsk, a highly industrialized city in Siberia. The method combines satellite remote sensing and a low-cost sensor network to improve the accuracy and spatial coverage of air quality data. Here is a summary of the key methods used to estimate or quantify the societal benefits of satellite or Earth Observation data:    1. **Integration of Satellite Remote Sensing and Ground-Based Measurements**:      - The study utilized satellite-derived aerosol optical depth (AOD) data from MODIS (Moderate Resolution Imaging Spectroradiometer) and combined it with ground-based PM2.5 measurements from a low-cost sensor network, known as the Nebo network, to estimate long-term PM2.5 concentrations.    2. **Development of a Physical Model**:      - A physical model was developed to estimate PM2.5 concentrations from satellite observations, using parameters such as meteorological data and radiosonde observations to understand vertical mixing in the atmosphere.    3. **Calibration of Satellite Data**:      - Ground-based sensor data were used to calibrate the satellite-derived PM2.5 estimates, addressing systematic deviations identified in the satellite data. For example, the study found that satellite-derived annual PM2.5 concentrations were consistently higher than ground measurements, and this discrepancy was corrected by adjusting the model parameters.    4. **Statistical Analysis and Correlation**:      - The correlation between satellite-derived and ground-based PM2.5 concentrations was analyzed. The study reported a correlation coefficient (r) of 0.78 on a monthly scale, indicating a good agreement between the two data sources.    5. **Application of Correction Factors**:      - Correction factors were applied to account for the differences in temporal variations between satellite-derived and ground-based measurements. For instance, a correction factor of 1.20 was applied to adjust the satellite-derived monthly average concentrations to better reflect the actual PM2.5 levels.    6. **Use of Low-Cost Sensors**:      - The low-cost sensors provided high-frequency measurements and were calibrated against reference monitors. The sensor network enabled broad spatial coverage within the urban area, facilitating the collection of PM2.5 data in locations where traditional ground monitoring was lacking.    7. **Assessment of Uncertainty**:      - The study assessed uncertainties related to the satellite-derived data, including variations in aerosol characteristics and meteorological conditions. It also evaluated the performance of the low-cost sensors, highlighting the importance of quality control measures to ensure data reliability.    8. **Exploration of Societal Implications**:      - The findings suggest that the combined method of using satellite data and low-cost sensors can provide valuable information for urban air quality management. The results have implications for public health and environmental policy, particularly in regions with limited monitoring infrastructure.    Overall, the paper demonstrates the potential of integrating satellite remote sensing with low-cost sensor networks to enhance air quality monitoring, particularly in urban settings that face challenges due to insufficient ground-based data. The methodology outlined offers a framework that can be applied globally to address air quality issues in poorly monitored regions.",NA,1,Exclude,Does not value data,,,,,,Air pollution and health,calibration/validation
Environmental Indicators Combined with Risk Analysis to Evaluate Potential Wildfire Incidence on the Dadu Plateau in Taiwan,"Lin, Chao-Yuan and Shieh, Pei-Ying and Wu, Shao-Wei and Wang, Po-Cheng and Chen, Yung-Chau",2022,14744,"This paper investigates the societal benefits of satellite or Earth Observation data in the context of estimating and quantifying wildfire risks, particularly on the Dadu Plateau in Taiwan. The methodology combines environmental indicators with risk analysis to model the spatial and temporal distribution of wildfires. Here are the key methods discussed in the paper:    1. **Data Collection**: The study utilizes a variety of data sources, including:     - **Satellite Imagery**: Landsat 4-5 TM and Landsat 8 OLI/TIRS images are used to extract relevant environmental indices such as the Normalized Difference Vegetation Index (NDVI), Normalized Difference Water Index (NDWI), and Normalized Burn Ratio (NBR).     - **Meteorological Data**: Data from weather stations are analyzed to determine factors like temperature, relative humidity, and accumulated rainfall, which contribute to models of fire risk.     - **Field Surveys**: On-site surveys provide data on biomass and moisture content of guinea grass, which is a significant fuel type in the study area.    2. **Wildfire Risk Modeling**: The authors employ a risk assessment framework that defines wildfire risk as the product of wildfire hazard and environmental vulnerability:     - **Risk Equation**: \( \text{Risk} = \text{Hazard} \times \text{Vulnerability} \)     - The hazard is characterized by conditions that could lead to fire (e.g., prior fire locations), while vulnerability includes factors such as vegetation type and moisture content.    3. **Principal Component Analysis (PCA)**: PCA is used to reduce the dimensionality of the environmental vulnerability indicators. This technique helps in identifying the most significant factors contributing to wildfire vulnerability by combining multiple variables into a smaller set that retains most of the original information.    4. **Temporal and Spatial Analysis**:     - **Temporal Analysis**: Monthly wildfire vulnerability is assessed by analyzing environmental factors over time, identifying periods of heightened risk based on climatic conditions and vegetation status.     - **Spatial Analysis**: The spatial distribution of wildfire risk is mapped using environmental indicators, allowing the identification of high-risk areas based on the characteristics of vegetation and moisture levels.    5. **Dynamic Normalized Burn Ratio (DNBR)**: The study improves upon previous methodologies by dynamically adjusting DNBR thresholds to account for atmospheric humidity effects, thus enhancing the accuracy of fire location identification from satellite imagery.    6. **Verification of Risk Models**: The models are validated using historical fire records, ensuring that the predictions align with actual fire occurrences. The authors also assess the correlation between their risk assessments and reported fire incidents to confirm the models' practical applicability.    7. **Societal Application**: The resulting village-level wildfire risk maps are intended to guide local fire management strategies and enhance community awareness and preparedness regarding wildfire risks.    Overall, the paper illustrates the integration of satellite data, meteorological analysis, and statistical techniques to assess wildfire risks, emphasizing the societal benefits of using Earth Observation data for disaster management and environmental protection.",NA,1,Exclude,Does not value data,,,,,,wildfire,calibration/validation
"Comparative Assessment of Uav and Sentinel-2 Ndvi and Gndvi for Preliminary Diagnosis of Habitat Conditions in Burunge Wildlife Management Area, Tanzania","Mangewa, Lazaro J. and Ndakidemi, Patrick A. and Alward, Richard D. and Kija, Hamza K. and Bukombe, John K. and Nasolwa, Emmanuel R. and Munishi, Linus K.",2022,12843,"The paper by Mangewa et al. (2022) evaluates the effectiveness of unmanned aerial vehicle (UAV) and Sentinel-2 satellite imagery in assessing habitat conditions in the Burunge Wildlife Management Area, Tanzania, using two vegetation indices: the Normalized Difference Vegetation Index (NDVI) and the Green NDVI (GNDVI). Here is a summary of the methods employed in the study, particularly those used to estimate or quantify the societal benefits of satellite or Earth Observation data.    ### Study Design and Data Collection  1. **Study Area**: The research was conducted in the Burunge Wildlife Management Area, which features diverse land cover types, including grasslands, shrublands, woodlands, riverine areas, and mosaics.    2. **Survey Plots**: Thirteen survey plots were randomly assigned within the main land cover types to ensure representative sampling.    3. **Data Acquisition**:     - **UAV Data**: The authors utilized a hexacopter UAV equipped with a multispectral camera (RedEdge3) to capture high-resolution images at altitudes of 120 meters. The UAV flights were designed to ensure significant overlap of images for accurate processing.     - **Satellite Data**: Sentinel-2 imagery was acquired during the same time frame as UAV data (February-March 2020) to ensure comparability, with strict criteria for cloud cover (<5%).    ### Data Processing  1. **Image Processing**:      - UAV images were processed using Pix4Dmapper to create orthomosaics and calculate NDVI and GNDVI values.     - Sentinel-2 imagery underwent geometric and radiometric corrections to ensure accuracy.    2. **Vegetation Indices Calculation**:     - NDVI and GNDVI were calculated using standardized formulas:       - NDVI = (NIR - Red) / (NIR + Red)       - GNDVI = (NIR - Green) / (NIR + Green)     - Values were categorized into habitat condition classes (very good, good, poor, very poor) based on established thresholds.    ### Statistical Analysis  1. **Descriptive Statistics**: The study employed descriptive statistics to summarize NDVI and GNDVI values, including mean, standard deviation, and coefficient of variation.    2. **Linear Regression**: The authors conducted linear regression analyses to establish the relationship between NDVI and GNDVI values derived from UAV and Sentinel-2 platforms, assessing their correlation across different land cover types.    3. **ANOVA**: One-way analysis of variance (ANOVA) was used to identify statistically significant differences in habitat condition assessments between the two platforms.    ### Societal Benefits Quantification  The societal benefits of the findings are implied through the enhanced capability of UAVs to detect and map habitat conditions compared to traditional satellite imagery. The paper outlines several ways these benefits manifest:  - **Improved Habitat Management**: The detailed spatial distribution of habitat conditions provided by UAVs allows wildlife managers to target interventions more effectively, which could enhance biodiversity conservation and sustainable resource management.  - **Real-time Monitoring**: The ability to obtain high-resolution data affordably and rapidly supports timely decision-making for wildlife management and conservation efforts, addressing potential ecological problems before they escalate.  - **Community Engagement**: By improving the monitoring of wildlife habitats, the research supports local communities that rely on wildlife for their livelihoods, ensuring that conservation efforts align with community interests and contribute to local economies.    ### Conclusion  Overall, the study underscores the importance of UAV technology in enhancing habitat monitoring and provides insights into its potential societal impacts, particularly in conservation and resource management. The results advocate for further research into UAV applications across diverse ecosystems to optimize wildlife habitat assessments and management strategies.",NA,1,Exclude,Does not value data,"""The detailed qualitative information observed in the UAV-based VI maps improve managers� abilities to fulfill near real-time needs in ecological monitoring of wildlife habitats."" ""The obtained NDVI and GNDVI preliminary signals of any possible abnormalities regarding habitat conditions would guide wildlife managers and ecologists to quickly get to those sites for timely interventions.""  But the value is implicit, not explicit",,,,,ecological conservation,calibration/validation
Understanding the Spatio-Temporal Behaviour of the Sunflower Crop for Subfield Areas Delineation Using Sentinel-2 Ndvi Time-Series Images in an Organic Farming System,"Marino, Stefano",2023,11377,"The paper titled ""Understanding the spatio-temporal behaviour of the sunflower crop for subfield areas delineation using Sentinel-2 NDVI time-series images in an organic farming system"" by Stefano Marino employs several methods to estimate or quantify the societal benefits of satellite or Earth Observation data, particularly focusing on precision agriculture and sustainable farming practices. Below is a summary of the key methods used in the study:    1. **Study Area and Data Collection**:     - The research was conducted on a 29-hectare field in Central Italy, specifically on sunflower crops in an organic farming system.     - Ground data measurements included crop traits, phenological stages, and yield data collected through georeferenced sampling.    2. **Satellite Imaging and NDVI Calculation**:     - The study utilized Sentinel-2 satellite imagery, which provides multispectral data with high spatial resolution.     - The Normalized Difference Vegetation Index (NDVI) was calculated from the red and near-infrared bands of the satellite data, enabling the assessment of vegetation health and biomass.    3. **Time-Series Analysis**:     - NDVI data were collected at different growth stages of the sunflower crop, allowing for an analysis of spatio-temporal variability throughout the growing season.    4. **Cluster Analysis**:     - The K-means clustering algorithm was applied to the NDVI data to delineate subfield areas based on their spectral signatures. This unsupervised classification helped identify zones within the field that exhibited different yield potential.     - Hierarchical clustering was also employed for analyzing yield-related traits, helping to categorize areas based on crop performance.    5. **Statistical Analysis**:     - A combination of regression analysis and non-parametric tests (e.g., Kruskal-Wallis test) was utilized to examine relationships between NDVI values and crop yield metrics.     - The study assessed the correlation between NDVI and yield at various growth stages, revealing significant relationships particularly during late vegetative stages.    6. **Yield Estimation**:     - Yield data were stratified based on clusters identified through NDVI analysis, allowing for the quantification of yield variability across different subfield areas.     - The study reported how much each cluster contributed to overall yield, providing insights into the efficiency of resource use and potential areas for management intervention.    7. **Implications for Sustainable Farming**:     - By identifying subfield areas with varying productivity, the study illustrates how satellite-based insights can inform site-specific agronomic practices, potentially leading to improved sustainability in organic farming systems.     - The methods demonstrate how remote sensing data can be integrated into precision agriculture, enhancing decision-making processes that align with sustainability goals.    Overall, the study highlights the utility of satellite-derived data in improving agricultural practices, ultimately contributing to food security and sustainable land management. The methods employed serve as a framework for leveraging Earth Observation data to optimize agricultural outputs while minimizing environmental impacts.",NA,1,Exclude,Does not value data,Sentinel NDVI for monitoring crops,,,,,agriculture,calibration/validation
Demonstration of a Modular Prototype End-to-End Simulator for Aquatic Remote Sensing Applications,"Matthews, M. W. and Dekker, A. and Price, I. and Drayson, N. and Pease, J. and Antoine, D. and Anstee, J. and Sharp, R. and Woodgate, W. and Phinn, S. and Gensemer, S.",2023,10593,"The paper presents a prototype end-to-end simulator designed to assess the design trade-offs of satellite multispectral sensors in aquatic applications. The methods employed to estimate or quantify the societal benefits of satellite or Earth Observation (EO) data through this simulator include the following key components:    1. **Simulator Architecture and Scene Construction**: The simulator supports various instrument types and configurations, allowing users to construct realistic synthetic scenes that represent the aquatic environments being studied. It utilizes two-dimensional geospatial maps and one-dimensional radiative transfer simulations to model the spatially varying radiance observed by satellite sensors.    2. **Forward and Inverse Modeling**: The simulator incorporates both forward (observation) and inverse (data processing) components. The forward component simulates water-leaving radiance, its propagation through the atmosphere, and the sensor's image sampling, while the inverse component processes this data to produce value-added products (e.g., chlorophyll-a concentration, water depth, substrate types).    3. **Instrument Models**: The simulator includes parametric models for different types of instruments, allowing for the exploration of various physical properties (e.g., optical aperture size, sensor read noise). This enables the assessment of how design changes impact the quality of the final products.    4. **Case Studies**: The simulator was validated through case studies involving the monitoring of cyanobacterial blooms, coral reefs, and turbidity in aquaculture. These case studies allow for a quantitative assessment of how different sensor configurations affect product quality and retrieval accuracy.    5. **Quantitative Assessment of Retrieval Algorithms**: The simulator was used to evaluate the performance of various retrieval algorithms by comparing the modeled outputs against known inputs. Performance metrics, such as Mean Absolute Error (MAE) and bias, were calculated to quantify the accuracy of the retrieved products based on different instrument designs.    6. **Trade-off Analysis**: By examining the differences in product performance between cubesat and smallsat configurations, the simulator allows for a systematic evaluation of trade-offs related to sensor design, costs, and end-user requirements. This helps in understanding the implications of design decisions on the performance and utility of EO data.    Overall, the simulator serves as a valuable tool for engineers and scientists involved in satellite design, enabling them to make informed decisions about sensor specifications and configurations that maximize societal benefits from EO data, particularly in monitoring aquatic ecosystems. The findings emphasize the importance of considering design trade-offs early in the development process to ensure that the resulting satellite instruments meet the performance needs of end-users effectively.",NA,1,Exclude,ESI data not used (simulation); Does not value data,"""Having a tool that can simulate how sensor design trade-offs impact the final product quality will enhance the efficient and cost-effective design of future sensors."" but not valued here",,,,simulation,water resources,calibration/validation
Possibility Investigation of Tree Diversity Mapping Using Landsat Etm+ Data in the Hyrcanian Forests of Iran,"Mohammadi, J. and Shataee, S.",2010,7693,"The paper investigates tree diversity mapping in the Hyrcanian forests of Iran using Landsat ETM+ data, focusing on methods to estimate and quantify the societal benefits of remote sensing for biodiversity assessment. Here is a summary of the methods used in this study:    1. **Study Area and Field Data Collection**:     - The study was conducted in the Hyrcanian vegetation zone, known for its rich biodiversity. A systematic cluster sampling method was employed during the summer of 2004, with 11 clusters and 90 plots (each 60 x 60 meters) to gather field data on tree species and their diameters.    2. **Satellite Data Acquisition and Preprocessing**:     - Landsat ETM+ imagery was used, specifically from path 162, row 34, acquired on August 7, 2002. The imagery underwent geometric, radiometric, and atmospheric corrections. The cost model was applied for atmospheric correction to convert digital numbers to reflectance values, addressing issues of atmospheric absorption and scattering.    3. **Vegetation Indices and Band Selection**:     - Various vegetation indices were generated, including Normalized Difference Vegetation Index (NDVI), Brightness, Greenness, Wetness, and others, to enhance the information content from the Landsat spectral data. The study focused on relationships between Landsat bands and biodiversity metrics.    4. **Statistical Analysis**:     - Stepwise multiple linear regression was used to explore the relationships between biodiversity indices (species richness and the reciprocal of Simpson index) as dependent variables and Landsat bands and vegetation indices as independent variables. The Kolmogorov-Smirnov test was used to determine data normality, and the models with the highest adjusted R² and lowest root mean square error (RMSE) were selected for predictions.    5. **Modeling and Mapping of Biodiversity Indices**:     - Two regression models were developed:       - **Species Richness Model**: Utilized a combination of ETM+ bands (ETM5, ETM7, DVI, Wetness, and variances of ETM1, ETM2, ETM5) with an adjusted R² of 0.59 and RMSE of 1.51.       - **Reciprocal of Simpson Index Model**: Used NDVI, Brightness, Greenness, and variances of ETM2, ETM5, and ETM7, achieving an adjusted R² of 0.459 and RMSE of 1.15.     - These models were applied to generate predictive maps of species richness and diversity indices across the study area.    6. **Validation and Accuracy Assessment**:     - A holdout validation sample (15% of data) was used to evaluate the accuracy of the models, analyzing RMSE and bias. The results indicated high accuracy for predicting tree species diversity, useful for forest management and conservation strategies.    7. **Societal Benefits**:     - The predictive maps generated through this methodology provide insights for forest managers, aiding in sustainable management, conservation planning, and prioritization of areas for protection based on tree species diversity.    In conclusion, the methodologies employed in this study effectively demonstrate how Landsat ETM+ data can be utilized to assess and map tree diversity, ultimately supporting biodiversity conservation and management efforts in forest ecosystems.",NA,1,Exclude,Does not value data,,,,,,Forest management,calibration/validation
Automatic Parameter Optimization for Support Vector Regression for Land and Sea Surface Temperature Estimation from Remote Sensing Data,"Moser, Gabriele and Serpico, Sebastiano B.",2009,16459,"The paper by Gabriele Moser and Sebastiano B. Serpico presents an approach for the automatic optimization of parameters used in Support Vector Regression (SVR) for estimating land surface temperature (LST) and sea surface temperature (SST) from satellite data. Here are the key methods discussed in the paper, particularly focusing on how societal benefits of satellite or Earth Observation data are estimated or quantified:    ### Methodology Overview  1. **Support Vector Regression (SVR)**:     - The authors use SVR, a supervised learning technique, to establish a relationship between satellite-derived features (e.g., brightness temperature) and in situ measurements of LST and SST. SVR is chosen for its robustness and ability to handle non-linear relationships through kernel functions.    2. **Parameter Optimization**:     - Traditional SVR requires careful selection of parameters (e.g., trade-off parameter \( C \), error tolerance \( \epsilon \), and kernel parameters). The authors propose an innovative method for automatic parameter optimization to ensure that the regression model achieves minimal estimation errors without manual intervention.    3. **Span-Bound Functional**:     - The core of their optimization technique revolves around minimizing the ""span-bound"" functional, which serves as an upper bound on the regression error. This functional is shown to correlate strongly with actual regression errors on test sets, making it a suitable target for optimization.    4. **Powell’s Method for Minimization**:     - Powell’s method is employed to minimize the span-bound functional. This method is advantageous as it does not require gradient information, making it suitable for handling nondifferentiable functions, which is relevant to the span-bound.    5. **Experimental Validation**:     - The proposed method is validated on three real datasets, comparing its performance against traditional grid search methods for parameter tuning. The experiments involved estimating LST from AVHRR data and SST from buoy data, with results showing that the automatic method yields comparable accuracy while significantly reducing computational time.    ### Estimation of Societal Benefits  - The societal benefits of satellite data, as alluded to in the paper, can be understood through the context in which LST and SST data are used. These temperature measurements are critical for various environmental models that inform:    - Climate change monitoring and forecasting.    - Agricultural planning and water resource management.    - Disaster management, particularly in flood prevention and monitoring.      - By optimizing the parameter settings for SVR, the authors enable more accurate and efficient retrieval of LST and SST data from satellite observations. This enhances the reliability of the data for decision-making processes in environmental management and policy, thus amplifying the societal benefits derived from Earth observation data.    ### Conclusion  The paper underscores the importance of methodological advancements in parameter optimization for SVR, demonstrating that automated approaches can facilitate better utilization of satellite data for environmental monitoring and management. The enhancements in accuracy and reductions in computational cost contribute positively to the societal benefits associated with the application of satellite-derived temperature data.",NA,1,Exclude,Does not value data,Algorithm for tuning parameters,,,,,,
