title,author,abstract,journal,year,doi,screening_status,pub_year,keywords
"Demonstrating the Value of Earth Observations- Methods, Practical Applications and Solutions -Group on Earth Observations side event proceedings","Pearlman, Francoise","The U.S. Geological Survey, the National Oceanic and Atmospheric Administration, the European Association for Remote Sensing Companies, and the European Space Agency in coordination with the GEOValue Community hosted a side event to the Group on Earth Observations Plenary on October 23-24, 2017, in Washington, D.C. The workshop, entitled ""Demonstrating the Value of Earth Observations: Methods, Practical Applications and Solutions,"" brought together more than 60 international experts including economists, scientists, and engineers to consider the state of the science and applications of valuing Earth observations (EO).\n\nThis 2-day workshop built upon previous activities developed under the GEOValue initiative. This workshop brought together expert analysts from multiple disciplines and backgrounds who are developing methods to identify and measure the value of information generated from the use of satellite and in-situ data. The mix of government agencies, international financial institutions, and independent consultants who participated in the workshop blended to develop a rich mix of views, approaches, and outcomes.\n\nDuring the first part of the workshop, the focus was on the latest science in valuing EO. A number of methodologies were described. Approaches generally assess the societal benefits of specific actions (for example, investments in EO). Some methods focus on broad measures of economic activity (for example, gross domestic product) or methods to assess total economic value such as contingent valuation surveys. Alternatively, use-case approaches (a use case is defined as an evaluation in which one or more decisions, applications, or other uses of data, information, and information products are specifically considered) start with the specific actions and how information is used to support decision making and affect outcomes. \n\nThe second part of the meeting was focused on the use and development of value chains and decision trees. A value chain can be defined as the set of value-adding activities that one or more organizations perform in creating and distributing goods and services. In terms of EO, the value chain approach can be applied to consider societal benefits of the data and assess the value of data and data features. The EO value chain considers the geospatial data sources and the processing of the data into value added information to be incorporated into decision-support systems, leading to decision maker's actions. To understand the value of EO, one would also need to recognize the demand side of the equation or how EO benefits users. Extending the value chain concept and incorporating tenets of Bayesian decision making, a decision tree would include one or more use cases. The value provided by the marginal increase in information could flow from one or several parts of the supply side of the value chain. The decision tree is based on the premise that information has no value if it is not used in at least one decision. By connecting the value chain and the decision tree, a framework is created that allows for conceptualizing the value of EO in its many uses. One can then apply economic techniques to monetize the marginal benefit of an outcome with information versus one without. \n\nA third part of the meeting applied the value chain and decision-tree frameworks to five specific thematic areas, each with the focus of using information for a decision point: \n- Effect of increasing temperatures on human health; \n- Flooding- Mitigating, managing, and avoiding impacts to safety and property damage; \n- Energy and mineral supply- Mitigating, managing, and avoiding impacts of shortfalls on the economy; and\n- Effects of natural hazards on transportation systems- Effects on mobility, safety, and the economy.\n\nDuring the working session, five separate groups worked to define and delineate the value chains and decision trees associated with each topic, discussing the related challenges and data needs. The outcomes were reported back to the full group. Because of the complexity of the topics, most groups first identified a network of value chains and then narrowed the scope to develop a single value chain to address their group's topic. Although they worked separately and on different topics, the groups came to similar conclusions, concurring that the value chain and decision-tree frameworks are very effective for informing quantitative impact assessments and developing a relatable narrative to assist the public in understanding the link between EO and citizens.",NA,2019,https://doi.org/10.3133/ofr20191033,included,2019,NA
The Value of Near Real-Time Earth Observations for Improved Flood Disaster Response,"Oddo, Perry","Information is a critical resource in disaster response scenarios. Data regarding the geographic extent, severity, and socioeconomic impacts of a disaster event can help guide emergency responders and relief operations, particularly when delivered within hours of data acquisition. Information from remote observations provides a valuable tool for assessing conditions “on the ground” more quickly and efficiently. Here, we evaluate the social value of a near real-time flood impact system using a disaster response case study, and quantify the Value of Information (VOI) of satellite-based observations for rapid response using a hypothetical flooding disaster in Bangkok, Thailand. MODIS imagery from NASA’s Land, Atmosphere Near real-time Capability for EOS (LANCE) system is used to produce operational estimates of inundation depths and economic damages. These rapid Earth observations are coupled with a decision-analytical model to inform decisions on emergency vehicle routing. Emergency response times from vehicles routed using flood damage data are compared with baseline routes without the benefit of advance information on road conditions. Our results illustrate how the application of near real-time Earth observations can improve the response time and reduce potential encounters with flood hazards when compared with baseline routing strategies. Results indicate a potential significant economic benefit (i.e., millions of dollars) fromapplying near real-time Earth observations for improved flood disaster response and management.",Frontiers in Environmental Science,2019,https://doi.org/10.3389/fenvs.2019.00127,included,2019,value of information|near real-time|emergency response|applied Earth observations|socioeconomic
Benefits of the free and open Landsat data policy,"Zhu, Zhe","The United States (U.S.) federal government provides imagery obtained by federally funded Earth Observation satellites typically at no cost. For many years Landsat was an exception to this trend, until 2008 when the United States Geological Survey (USGS) made Landsat data accessible via the internet for free. Substantial increases in downloads of Landsat imagery ensued and led to a rapid expansion of science and operational applications, serving government, private sector, and civil society. The Landsat program hence provides an example to space agencies worldwide on the value of open access for Earth Observation data and has spurred the adaption of similar policies globally, including the European Copernicus Program. Here, we describe important aspects of the Landsat free and open data policy and highlight the importance and continued relevance of this policy.",Remote Sensing of Environment,2019,https://doi.org/10.1016/j.rse.2019.02.016,included,2019,Open access|Land cover|Land use|Land change|Open data|Policy
Advancing the understanding and measurement of the societal benefits of Earth Observations,[ESA]European Space Agency,"The goal of this workshop was to advance valuation of the benefits from Earth Observation (EO) through case studies and through cross-fertilization with researchers, practitioners and managers from different disciplines. It brought together around 60 economists, engineers, scientists, policy makers and key personnel from space agencies and international organisations to discuss the motivations, the approaches and the challenges for valuing EO. During a dense three days programme, the participants shared ideas about areas for improvement and elaborated concrete recommendations to support the advancement of EO valuation practices. The working sessions, addressing separately different types of\nbenefits (i.e. socio-economic, socio- environmental, regulatory, on innovation and entrepreneurship and on scientific research), stimulated the participants to discuss the challenges intrinsic to the measurement of the different impacts. The splinter sessions allowed concrete and interactive discussions among small groups, whose conclusions were brought together during a final session. The workshop summary findings and the recommendations are documented in these proceedings.",NA,2019,https://geovalue.org/wp-content/uploads/2020/05/Proceedings4_EO_Value_WS_191031-published.pdf,included,2019,NA
"The socio-economic value of satellite earth observations: huge, yet to be measured","Tassa, Alessandra","Earth-observing satellites provide regular and accurate data that can support evidence-based decisions and public policies in a wide range of domains, potentially bringing huge socio-economic benefits. However, obstacles to effective data exploitation and poor awareness about their impacts risk hindering this potentiality and threaten the investments. Leveraging on the case of the Copernicus Programme, we review the challenges related to the full exploitation of free environmental space data and to the measurement of the related impacts. We then discuss the need for empirical approaches based on value-chain analysis with the objective to stimulate further societal and economic research.",Journal of Economic Policy and Reform,2019,https://doi.org/10.1080/17487870.2019.1601565,included,2019,Socio-economic benefits|satellite-based earth observations|open environmental geospatial data|impact
The role of stakeholders in creating societal value from coastal and ocean observations,"Mackenzie, Bev","The importance of stakeholder engagement in ocean observation and in particular the realization of economic and societal benefits is discussed, introducing a number of overarching principles such as the convergence on common goals, effective communication, co-production of information and knowledge and the need for innovation. A series of case studies examine the role of coordinating frameworks such as the United States’ Interagency Ocean Observing System (IOOS®), and the European Ocean Observing System (EOOS), public–private partnerships such as Project Azul and the Coastal Data Information Program (CDIP) and finally the role of the “third” or voluntary sector. The paper explores the value that stakeholder engagement can bring as well as making recommendations for the future.",Frontiers in Marine Science,2019,https://doi.org/10.3389/fmars.2019.00137,included,2019,ocean observing systems|stakeholder engagement|case studies|societal benefits|SDG 14
Investigating the Global Socio-Economic Benefits of Satellite Industry and Remote Sensing Applications,"Alvino, Letizia","In recent years we have seen a growth in the revenues and investments of satellite industry. Originally, satellites, remote sensing (RS), and other navigations systems were only employed for government and military purposes. However, in the past two decades there has been an increase use of these tools for commercial purposes. In particular, satellites and RS can be used for space and earth observations, support military operations, precision agriculture, meteorological forecasting, communication and internet connectivity to lesser-known applications such as in transport tracking and monitoring of utility networks. In this paper, we analyse the current trends, benefits and limitations of the use of satellites and RS. In particular, we try to identify the main socio-economic benefits deriving from the use of RS in several sectors. We also seek to introduce economists to the science of RS data, and give a flavour of how this new fountain of data can be utilized so far and what might be done in the future.",Proceedings of the 33rd IBIMA Conference,2019,https://research.tilburguniversity.edu/en/publications/investigating-the-global-socio-economic-benefits-of-satellite-ind,included,2019,satellite industry|remote sensing|socio-economic benefits|satellite industry revenues
Earth Observation in a cost-benefit analysis perspective: Cosmo SkyMed satellites of the Italian Space Agency,"Clò, Stefano","Over the past decade, an increasing number of high-resolution satellite images have become available to public administration, policymakers and scientists, boosting the amount of information they can obtain to manage and analyse different issues. Satellites allow observing different natural and socio-economic phenomena that would be very hard and costly to monitor from the ground with the same optimal coverage, accuracy and consistency, providing valuable information both to the private and public sector. These phenomena include global societal challenges, such as climate change and air pollution, as well as local ones such as precision farming, urbanisation and transport infrastructures monitoring. This working paper aims at paving the way to a comprehensive assessment of the socio-economic impact of the Italian Space Agency (ASI) concerning the creation of innovative products and services generated by the Earth Observation (EO)1. Although the wide range of potential applications of EO satellite data, little is known about the effective use of Cosmo SkyMed (CSK) data so far. Most of the benefits related to their availability remain potential, unexpressed and undervalued. The analysis also intends to identify the institutional and organisational barriers that limit their full exploitation and formulate sounds policy recommendations to release the untapped potential of the Italian space downstream sector.",NA,2019,https://siecon3-607788.c.cdn77.org/sites/siecon.org/files/media_wysiwyg/111-morretta-vurchio.pdf,included,2019,Earth Observation|Space Economy|Cosmo SkyMed|Italian Space Agency
Enhancing the standardized drought vulnerability index by integrating spatiotemporal information from satellite and in situ data,"Oikonomou, Panagiotis","Drought is a complex natural hazard with its adverse multifaceted impacts cascading in every physical and human system. The vulnerability magnitude of various areas to drought mostly depends on their exposure to water deficiency, the existing water management policy framework and its implementation. The Standardized Drought Vulnerability Index (SDVI) is an integrated attempt towards characterizing drought vulnerability based on a comparative classification system, incorporating precipitation patterns, the supply and demand trends, and the socioeconomic background as the most crucial contributors to drought vulnerability. This work attempts to evolve the SDVI by presenting a more rigorous method of index parameters estimation and argues that the combination of in-situ and satellite data improve the index results in an effort to further minimize the paucity of drought related information. At the same time, it helps to surpass previous limitations in temporal and spatial propagation of the vulnerability concept. The new framework is applied in the South Platte Basin, within Colorado, on the 2012 summer drought (July-September). The proposed index modification may convey drought information in a more holistic manner to decision makers. SDVI could aid in advancing the understanding of each component contribution through in situ and remote sensing data integration and in avoiding existing practices of broken linkages and fragmentation of the reported impacts. Thus, it is believed that the SDVI could serve as an additional tool to guide decisions and target mitigation and adaptation actions, allowing for a more integrated management approach.",Journal of Hydrology,2019,https://doi.org/10.1016/j.jhydrol.2018.11.058,included,2019,Drought|Drought vulnerability|Drought impacts|SDVI|Water resources|South platte
The value of remotely sensed information: the case of a GRACE-enhanced drought severity index,"Bernknopf, Richard","A decision framework is developed for quantifying the economic value of information (VOI) from the Gravity Recovery and Climate Experiment (GRACE) satellite mission for drought monitoring, with a focus on the potential contributions of groundwater storage and soil moisture measurements from the GRACE data assimilation(GRACE-DA) system. The study consists of (i) the development of a conceptual framework to evaluate the socioeconomic value of GRACE-DA as a contributing source of information to drought monitoring; (ii) structured listening sessions to understand the needs of stakeholders who are affected by drought monitoring; (iii) econometric analysis based on the conceptual framework that characterizes the contribution of GRACE-DA to the U.S. Drought Monitor (USDM) in capturing the effects of drought on the agricultural sector; and (iv) a demonstration of how the improved characterization of drought conditions may influence decisions made in a real-world drought disaster assistance program. Results show that GRACE-DA has the potential to lower the uncertainty associated with the understanding of drought and that this improved understanding has the potential to change policy decisions that lead to tangible societal benefits.","Weather, Climate, and Society",2018,https://doi.org/10.1175/WCAS-D-16-0044.1,included,2018,NA
Improved Hydrological Decision Support System for the Lower Mekong River Basin Using Satellite-Based Earth Observations,"Mohammed, Inrahim N.","Multiple satellite-based earth observations and traditional station data along with the Soil & Water Assessment Tool (SWAT) hydrologic model were employed to enhance the Lower Mekong River Basin region's hydrological decision support system. A nearest neighbor approximation methodology was introduced to fill the Integrated Multi-satellite Retrieval for the Global Precipitation Measurement mission (IMERG) grid points from 2001 to 2014, together with the Tropical Rainfall Measurement Mission (TRMM) data points for continuous precipitation forcing for our hydrological decision support system. A software tool to access and format satellite-based earth observation systems of precipitation and minimum and maximum air temperatures was developed and is presented. Our results suggest that the model-simulated streamflow utilizing TRMM and IMERG forcing data was able to capture the variability of the observed streamflow patterns in the Lower Mekong better than model-simulated streamflow with in-situ precipitation station data. We also present satellite-based and in-situ precipitation adjustment maps that can serve to correct precipitation data for the Lower Mekong region for use in other applications. The inconsistency, scarcity, poor spatial representation, difficult access and incompleteness of the available in-situ precipitation data for the Mekong region make it imperative to adopt satellite-based earth observations to pursue hydrologic modeling.",Remote Sensing,2018,https://doi.org/10.3390/rs10060885,included,2018,Mekong River|water balance|remote sensing|SWAT|streamflow
Do users benefit from additional information in support of operational drought management decisions in the Ebro basin?,"Lines, Clara","We follow a user-based approach to examine how information supports operational drought management decisions in the Ebro basin and how these can benefit from additional information such as from remote sensing data. First we consulted decision-makers at basin, irrigation district and farmer scale to investigate the drought-related decisions they make and the information they use to support their decisions. This allowed us to identify the courses of action available to the farmers and water managers, and to analyse their choices as a function of the information they have available to them. Based on the findings of the consultation, a decision model representing the interrelated decisions of the irrigation association and the farmers was built. The purpose of the model is to quantify the effect of additional information on the decisions made. The modelled decisions, which consider the allocation of water, are determined by the expected availability of water during the irrigation season. This is currently informed primarily by observed reservoir level data. The decision model was then extended to include additional information on snow cover from remote sensing. The additional information was found to contribute to better decisions in the simulation and ultimately higher benefits for the farmers. However, the ratio between the cost of planting and the market value of the crop proved to be a critical aspect in determining the best course of action to be taken and the value of the (additional) information. Risk-averse farmers were found to benefit least from the additional information, while less risk-averse farmers stand to benefit most as the additional information helps them take better informed decisions when weighing their options.",Hydrology and Earth System Sciences,2018,https://doi.org/10.5194/hess-22-5901-2018,included,2018,NA
Using satellite data to fill the gaps in the US air pollution monitoring network,"Sullivan, Daniel","Compliance with the Clean Air Act’s National Ambient Air Quality Standards (NAAQS) is determined at the county level using local air pollution monitors. However, the vast majority of counties have zero or one monitor, and air pollution concentrations can vary dramatically over short distances. In addition, recent evidence suggests monitor placement may be skewed to make NAAQS compliance easier. As a result, the network of air pollution monitors may not detect all areas with pollution levels that exceed the NAAQS. This paper explores this possibility using satellite-derived data on fine particulate matter concentrations (PM2.5) to assess NAAQS compliance for the continental United States at a 1 kilometer (km) resolution. We compare the satellite-based assessments with official attainment designations made by the terrestrial monitor network and calculate the number of people living in “misclassified” areas—areas with PM2.5 levels that exceed the NAAQS but are classified as being in attainment based on the ground monitors and the US Environmental Protection Agency’s (EPA’s) official determination. We estimate that about 24.4 million people are living in these misclassified areas— about as many as are living in properly classified nonattainment areas—and that if such areas had sped up their PM2.5 reductions as much as nonattainment areas did, 5,452 premature deaths would have been avoided, a welfare gain to society of $49 billion.",NA,2018,https://www.rff.org/valuables/impact-assessments/,included,2018,Clean Air Act|Ambient Air Pollution|Air Pollution Minitoring
Engaging global youth in participatory spatial data creation for the UN sustainable development goals: The case of open mapping for malaria prevention,"Solís, Patricia","Practitioners bemoan lack of data as one of the biggest obstacles to progress towards global sustainable development goals. This paper explores a scaled-up participatory method developed by YouthMappers, for creating missing geospatial data derived from remotely sensed imagery in order to contribute to persistent data needs in the context of the United Nations Sustainable Development Goals (SDGs). We explore the application of this method to a case related to SDG 3 on Health. We document how our approach centered on creating a global academic network designed to engage and empower university students and their faculty mentors to participate in broader efforts to create open, free spatial data on open platforms to inform humanitarian and development objectives outlined by the funding agency, the United States Agency for International Development (USAID). This approach expressly links supply and demand for geospatial knowledge by connecting specific needs for geographic information to specific development objectives in targeted places where USAID works to end extreme poverty. We discuss the rationale and context for the methodology as it draws from and builds upon prominent literature of participatory GIS (PGIS) and volunteered geographic information (VGI). We demonstrate how the mapping of building and road infrastructure in Mozambique and Kenya was carried out in order to provide information for an insecticide spray campaign to prevent malaria and protect public health. Throughout these efforts, steps are taken to ensure spatial data quality and to offer opportunities for youth volunteer embeddedness in mapping tasks and themes in places where students otherwise would not engage with real world data or connect with peers from different countries. We reflect on the opportunities and challenges for how this scaled-up “remote participatory sensing” approach to spatial data creation can inform development projects in the context of the SDGs.",Applied Geography,2018,https://doi.org/10.1016/j.apgeog.2018.07.013,included,2018,Remote sensing|Sustainable development goals|Participatory|Open data|Malaria
Satellite Earth Observations and Their Impact on Society and Policy,"Masami, Onoda","The result of a workshop bringing together an international advisory board of experts in science, satellite technologies, industry innovations, and public policy, this book addresses the current and future roles of satellite Earth observations in solving large-scale environmental problems. The book showcases the results of engaging distinct communities to enhance our ability to identify emerging problems and to administer international regimes created to solve them. It also reviews the work of the Policy and Earth Observation Innovation Cycle (PEOIC) project, an effort aimed at assessing the impact of satellite observations on environmental policy and to propose a mission going forward that would launch an “innovation cycle”. The achievements of such a mission would feed back to innovations in next-generation observation technology, thus contributing to global policy demand for policy-relevant information.\n",NA,2017,https://doi.org/10.1007/978-981-10-3713-9,included,2017,Satellite Earth observation|Science; analysis|Observation-based environmental policy|Open Access|remote sensing/photogrammetry|Climate ch; policy|Benefits assessment|Big data
Benefits and Beneficiaries of the Oklahoma Mesonet: A Multisectoral Ripple Effect Analysis,"Ziolkowska, Jadwiga R.","Since the Oklahoma Mesonet (the state’s automated mesoscale weather station network) was established in 1994, it has served a number of diverse groups and provided public services to foster weather preparedness, education, and public safety, while also supporting decision-making in agricultural production and wildland fire management. With 121 monitoring stations across the state, the Oklahoma Mesonet has developed an array of technologies to observe a variety of atmospheric and soil variables in 5- to 30-min intervals. These consistent observations have been especially critical for predicting and preparing for extreme weather events like droughts, floods, ice storms, and severe convective storms as well as for development of value-added tools. The tools, outreach programs, and mesoscale data have been widely utilized by the general public, state decision-makers, public safety officials, K–12 community, agricultural sector, and researchers, thus generating wide societal and economic benefits to many groups. Based on practical application examples of weather information provided by the Oklahoma Mesonet, this paper analyzes both benefits generated by Oklahoma Mesonet information to the public and decision-makers and ripple effects (spreading amplified outcomes/implications) of those benefits in the short and long term. The paper further details ongoing and anticipated Oklahoma Mesonet innovations as a response to changing needs for weather-related information over time, especially as a result of technological developments and weather variability.",American Meteorological Society,2017,https://doi.org/10.1175/WCAS-D-16-0139.1,included,2017,NA
GEOValue: The Socioeconomic Value of Geospatial Information,"Kuse, Jamie","Quantifying the social and economic value that geospatial information contributes to modern society is a complex task. To construct reliable and consistent valuation measures requires an understanding of the sequence of processes that starts with data acquisition, and leads to decision-makers’ choices that impact society. GEOValue explores each step in this complex value chain from the viewpoint of domain experts spanning disciplines that range from the technical side of data acquisition and management to the social sciences that provide the framework to assess the benefit to society. The book is intended to provide foundational understanding of the techniques and complexities of each step in the process. As such it is intended to be assessable to a reader without prior training in data acquisition systems, information systems, or valuation methods. In addition, a number of case studies are provided that demonstrate the use of geospatial information as a critical input for evaluation of policy pertaining to a wide range of application areas, such as agricultural and environmental policy, natural catastrophes, e-government and transportation systems.",NA,2017,9781315154640,included,2017,NA
Earth observation in service of the 2030 Agenda for Sustainable Development,"Anderson, Katherine","This paper reviews the key role that Earth Observations (EO) play in achieving the Sustainable Development Goals (SDGs) as articulated in the 2030 Agenda document and in monitoring, measuring, and reporting on progress towards the associated targets. This paper also highlights how the Group on Earth Observations (GEO) would contribute to ensure the actual use of EO in support of the 2030 Agenda; and how the Global Earth Observations System of Systems meets requirements for efficient investments in science and technology and a good return on investment, which is elaborated in the Addis Ababa Action Agenda on development financing. Through a number of examples, we first discuss how extensive EO use would: provide a substantial contribution to the achievements of the SDGs by enabling informed decision-making and by allowing monitoring of the expected results; improve national statistics for greater accuracy, by ensuring that the data are “spatially-explicit” and directly contribute to calculate the agreed SDG Targets and Indicators support the fostering of synergy between the SDGs and multilateral environmental agreements by addressing cross-cutting themes such as climate and energy; and facilitate countries’ approaches for working across different development sectors, which is, according to the special adviser on the 2030 Agenda, a key challenge to achieve the SDGs. We then focus on the role that GEO could play in enabling actual use of EO in support of the 2030 Agenda by directly addressing the Strategic Development Goal 17 on partnerships.",Geo-spatial Information Science,2017,https://doi.org/10.1080/10095020.2017.1333230,included,2017,Sustainable Development Goal (SDG)|Group on Earth Observations (GEO)|the 2030 Agenda|Earth observati
Free satellite imagery and digital elevation model analyses enabling natural resource management in the developing world: studies from Eastern Indonesia,"Fisher, Rohan","Decentralization of governance and natural resource management is an ongoing process in many parts of Africa and Asia. Natural resource management requires spatial land resource data for planning. However, currently the financial and human capacity for natural resource mapping, monitoring and modelling remains low in local governments. In this context, this paper explores how new opportunities provided by the increasing availability of free satellite imagery, digital elevation data and open source spatial analysis software, can be applied by local government and NGOs to conduct sophisticated natural resource mapping and modelling in ways that meet their needs and incorporates local knowledge. Reported are cases of a local government using free geospatial data and GIS software to improve evidence-based natural resource management in the developing world with a focus on raster data applications for satellite image analysis and terrain modelling. It is argued that, through removing barriers to uptake, such applications provide a means of decentralizing landscape analysis skills to improve local natural resource management. This hypothesis is supported through examples of a local government applying these tools in eastern Indonesia, and within this context barriers to wider adoption are explored.",Singapore Journal of Tropical Geography,2017,https://doi.org/10.1111/sjtg.12210,included,2017,GIS|remote sensing|capacity building| open source|DEM|decentralization
Seeing Our Planet Whole: A Cultural and Ethical View of Earth Observation,"Eyres, Harry","Takes a uniquely broad view of earth observation, by focusing less on techno-scientific questions and more on cultural and ethical implications\nProvides a timely new angle on climate change and other environmental concerns by showing how satellite earth observation can transform our knowledge, understanding and feelings\nLooks at the implications for environmental democracy of the free and open access policy for satellite Earth Observation data",NA,2017,https://doi.org/10.1007/978-3-319-40603-9,included,2017,satellite climate change|earth observation climate change|earthrise environmental movement|space env
An Analysis of the Value of Additional Information Provided by Water Quality Measurement Network,"Destandau, Francois","European Community policy concerning water is placing increasing demands on the acquisition of information about the quality of aquatic environments. The cost of this information has led to a reflection on the rationalization of monitoring networks and, therefore, on the economic value of information produced by these networks. The aim of this article is to contribute to this reflection. To do so, we used the Bayesian framework to define the value of additional information in relation to the following three parameters: initial assumptions (prior probabilities) on the states of nature, costs linked to a poor decision (error costs) and accuracy of additional information. We then analyzed the impact of these parameters on this value, particularly the combined role of prior probabilities and error costs that increased or decreased the value of information depending on the initial uncertainty level. We then illustrated the results using a case study of a stream in the Bas-Rhin department in France.",Journal of Water Resource and Protection,2016,http://dx.doi.org/10.4236/jwarp.2016.88062,included,2016,Bayesian Decision Theory|Eutrophication|Value of Information|Water Quality Monitoring Network|Water
Visual Evidence from Above: Assessing the Value of Earth Observation Satellites for Supporting Human Rights,"Notley, Tanya","Public access to data collected by remote sensing Earth Observation Satellites has, until recently, been very limited. Now, citizens and rights advocacy groups are increasingly utilising satellite-collected images to interrogate justice issues; to document, prevent and verify rights abuses; and to imagine and propose social change. Yet while other communication technologies have received substantial critical analysis regarding their value as tools of social justice, activism and resistance, satellites have received comparatively scant attention. This article examines the uses of satellite-collected images in human rights contexts including the opportunities, challenges and risks they pose. We conclude this examination by arguing that if satellites are to be used effectively to collect evidence from above by rights advocates, greater attention to and capacity for ensuring accountability from below is required.",The Fibreculture Journal,2016,https://ro.uow.edu.au/cgi/viewcontent.cgi?article=5028&context=sspapers,included,2016,supporting|observation|human|earth|satellites|value|evidence|rights|assessing|visual|above
Cost and value of multidisciplinary fixed-point ocean observatories,"Cristini, Luisa","Sustained ocean observations are crucial to understand both natural processes occurring in the ocean and human influence on the marine ecosystems. The information they provide increases our understanding and is therefore beneficial to the society as a whole because it contributes to a more efficient use and protection of the marine environment, upon which human livelihood depends. In addition the oceans, which occupy 73% of the planet surface and host 93% of the biosphere, play a massive role in controlling the climate. Eulerian or fixed-point observatories are an essential component of the global ocean observing system as they provide several unique features that cannot be found in other systems and are therefore complementary to them. In addition they provide a unique opportunity for multidisciplinary and interdisciplinary work, combining physical, chemical and biological observations on several time scales. The fixed-point open ocean observatory network (FixO3) integrates the 23 European open ocean fixed-point observatories in the Atlantic Ocean and in the Mediterranean Sea. The programme also seeks to improve access to key installations and the knowledge they provide for the wider community, from scientists, to businesses, to civil society. This paper summarises the rationale behind open ocean observatories monitoring the essential ocean variables. It also provides an estimate of the costs to operate a typical fixed-point observatory such as those included in the FixO3 network. Finally an assessment of the type of data and services provided by ocean observations and their value to society is also given.",Marine Policy,2016,http://dx.doi.org/10.1016/j.marpol.2016.05.029,included,2016,Ocean|Observations|Cost|Value|Services|Data
Australian Earth Observation Community Plan 2026,[AEOCCG]Australian Earth Observation Community Coordinating Group,"Earth Observation — the suite of activities used to gather data about the earth from satellites, aircraft, remotely piloted systems, and other platforms — delivers spatial information that underpins our daily weather and oceanographic forecasts, disaster management systems, water and power supply, infrastructure monitoring, mining, agricultural production, environmental monitoring and more. Within Australia, Earth Observation is so commonly used across all levels of government, industry and society that the minimum economic impact of Earth Observation from space-borne sensors alone is approximately $5.3 billion each year.",NA,2016,https://www.eoa.org.au/aeocp-the-plan,included,2016,NA
Data poverty: A global evaluation for 2009 to 2013- implications for sustainable development and disaster risk reduction,"Leidig, Mathias","The article presents a time series (2009–2013) analysis for a new version of the “Digital Divide” concept that developed in the 1990s. Digital information technologies, such as the Internet, mobile phones and social media, provide vast amounts of data for decision-making and resource management. The Data Poverty Index (DPI) provides an open-source means of annually evaluating global access to data and information. The DPI can be used to monitor aspects of data and information availability at global and national levels, with potential application at local (district) levels. Access to data and information is a major factor in disaster risk reduction, increased resilience to disaster and improved adaptation to climate change. In that context, the DPI could be a useful tool for monitoring the Sustainable Development Goals of theSendai Framework for Disaster Risk Reduction (2015–2030). The effects of severe data poverty, particularly limited access to geoinformatic data, free software and online training materials, are discussed in the context of sustainable development and disaster risk reduction. Unlike many other indices, the DPI isunderpinned by datasets that are consistently provided annually for almost all the countries of the world and can be downloaded without restriction or cost.",International Journal of Applied Earth Observation and Geoinformation,2015,https://doi.org/10.1016/j.jag.2016.03.001,included,2015,Data poverty|Global digital divide|Time series Global monitoring|Sustainable development
Economic Assessment of the Use Value of Geospatial Information,"Bernknopf, Richard","Geospatial data inform decision makers. An economic model that involves application of spatial and temporal scientific, technical, and economic data in decision making is described. The value of information (VOI) contained in geospatial data is the difference between the net benefits (in present value terms) of a decision with and without the information. A range of technologies is used to collect and distribute geospatial data. These technical activities are linked to examples that show how the data can be applied in decision making, which is a cultural activity. The economic model for assessing the VOI in geospatial data for decisionmaking is applied to three examples: (1) a retrospective model about environmental regulation of agrochemicals; (2) a prospective model about the impact and mitigation of earthquakes in urban areas; and (3) a prospective model about developing private–public geospatial information or an ecosystem services market. Each example demonstrates the potential value of geospatial information in a decision with uncertain information.",ISPRS International Journal of Geo-Information,2015,https://doi.org/10.3390/ijgi4031142,included,2015,costs; geospatial information|economics|economic impacts|open access|value of information|technological inn
The social innovation potential of ICT-enabled citizen observatories to increase eParticipation in local flood risk management,"Wehn, Uta","We live in the age of Big Data, yet many areas of environmental management are still suffering from a lack of relevant data, information and knowledge that impedes sound decision making in the face of change and increasing challenges. A highly relevant phenomenon is therefore the so-called citizen observatories whereby the observations of ordinary citizens, and not just those of professionals and scientists, are included in earth observation and environmental management. Advanced citizen observatories can enable a two-way communication paradigm between citizens and decision makers, potentially resulting in profound changes to local environmental management processes and, as such, in social innovation processes and outcomes. This paper analyses the social innovation potential of such ICT-enabled citizen observatories to increase eParticipation in local flood risk management. The findings from empirical research in two case study locations highlight the divergent roles that authorities conceive for citizens and the role(s) that citizens in practice assign to themselves. Moreover, given the institutional structures identified in these cases and the obligation of authorities to be accountable for their decisions, citizen observatories do not automatically imply that citizens will have a higher level of participation in flood risk management, nor that communication between stakeholders improves.",Technology in Society,2015,https://doi.org/10.1016/j.techsoc.2015.05.002,included,2015,Social innovation|Citizen observatory|eParticipation|Flood risk management|Environmental management
