title,author,year,key,n_tokens,summary,error,pass
Benchmarking Optical/Thermal Satellite Imagery for Estimating Evapotranspiration and Soil Moisture in Decision Support Tools,"Hendrickx, Jan M. H. and Allen, Richard G. and Brower, Al and Byrd, Aaron R. and Hong, Sung-ho and Ogden, Fred L. and Pradhan, Nawa Raj and Robison, Clarence W. and Toll, David and Trezza, Ricardo and Umstot, Todd G. and Wilson, John L.",2016,hendrickx_benchmarkingopticalthermalsatellite_2016,33900,"The paper employs a benchmarking approach to evaluate the effectiveness of using optical/thermal satellite imagery, specifically from Landsat and MODIS, for enhancing hydrologic decision support tools focused on estimating evapotranspiration (ET) and soil moisture. The methodology involves comparing three existing hydrologic models: the ET toolbox, the Gridded Surface/Subsurface Hydrologic Analysis (GSSHA) model, and the Distributed Parameter Watershed Model (DPWM), against their performance when integrated with satellite-derived data.    The benchmarking focuses on specific performance indicators: annual ET forecasts for the ET toolbox, predicted rainfall-runoff hydrographs for GSSHA, and average annual groundwater recharge for DPWM. The use of satellite-derived ET and soil moisture maps, generated through algorithms like SEBAL and METRIC, significantly improves the accuracy of these models compared to traditional methods. The study quantifies the societal benefits of this improved accuracy, suggesting that the financial value of enhanced groundwater recharge estimation alone may exceed $1 billion, highlighting the substantial cost-benefit ratio of utilizing satellite data in hydrologic modeling and water resource management.",NA,1
Willingness to Pay for an Early Warning System for Infectious Diseases,"Himmler, S. and {van Exel}, J. and {Perry-Duxbury}, M. and Brouwer, W.",2020,himmler_willingnesspaywarningsystem_2020,11436,"The study employed a contingent valuation method to estimate the public's willingness to pay (WTP) for an international early warning system for infectious diseases across six European countries. Conducted via online surveys from February to March 2018, the research targeted representative samples from Denmark, Germany, Hungary, Italy, the Netherlands, and the UK, yielding 3,140 respondents aged 18-65.    The survey utilized a two-stage WTP elicitation process, beginning with a warm-up exercise to familiarize participants with the valuation task, followed by a primary task where respondents indicated their WTP using a payment scale. Statistical analyses, including pooled regression and descriptive statistics, assessed how factors like household income, age, and risk aversion influenced WTP. The mean WTP was estimated at €21.80 per household per month, with notable variations across countries.    This approach highlighted not only monetary values but also societal perceptions of health safety, providing insights for policymakers regarding the potential benefits of investing in such a system. Limitations included the hypothetical nature of valuations and potential biases in the design and framing of the survey.",NA,1
Building User-Readiness for Satellite Earth Observing Missions: The Case of the Surface Water and Ocean Topography (Swot) Mission,"Hossain, Faisal and Das, Pritam and Srinivasan, Margaret and Tsontos, Vardis and Oaida, Catalina M. and Nickles, Cassandra and McNelis, Jack and Bonnema, Matthew and Picot, Nicolas and {Pena-Luque}, Santiago and Doorn, Bradley and {Vinogradova-Shiffer}, Nadya and Andral, Alice and Gaultier, Lucile and Jayaluxmi, Indu and Zhu, John and Fernando, Nelun and {Ul-Hasan}, Faizan and Fatima, Bareerah and Ahsan, Mufeezah and Dhanya, C. T. and Jayasinghe, Susantha and Meechaiya, Chinaporn and Barajas, Miguel and Balakrishnan, Vivek and Eldardiry, Hisham and Elkholy, Mohamed and Abdelrazek, Ahmed and Fenoglio, Luciana and Durand, Mike and Wei, Rui and Pavelsky, Tamlin",2022,hossain_buildinguserreadinesssatellite_2022,8201,"The paper outlines the Early Adopter Program (EAP) for the Surface Water and Ocean Topography (SWOT) satellite mission, emphasizing proactive engagement with potential user communities to enhance readiness for utilizing satellite data. The EAP involves a systematic outreach strategy that identifies stakeholders, promotes the mission's societal benefits, and encourages their participation in the program.    Key methods include organizing workshops and hackathons to build technical literacy, facilitating collaboration among early adopters, and developing educational materials to bridge the gap in data usability. The program fosters a community-centric approach, ensuring continuous engagement and mentoring to address challenges related to data access and processing.    This proactive engagement model aims to maximize the societal benefits of SWOT data across various sectors, such as disaster management, water resource planning, and ecosystem monitoring. By demonstrating the utility of satellite data before the mission's launch, the EAP seeks to quantify and articulate the anticipated societal impacts, thereby aiding in securing future investments in satellite missions. The authors argue that sustained user engagement is essential for realizing the full potential of Earth observation initiatives.",NA,1
Geospatial Web-Based Sensor Information Model for Integrating Satellite Observation: An Example in the Field of Flood Disaster Management,"Hu, Chuli and Chen, Nengcheng and Li, Jia",2013,hu_geospatialwebbasedsensor_2013,10239,"The paper proposes a standardized metadata-filled satellite sensor information (SSI) model for integrating Earth Observation (EO) data, specifically for flood disaster management. The authors first identify the requirements for sharing and interoperability among flood observation-supporting satellite sensors (fo-SSS). They develop the SSI model based on existing metadata standards, including SensorML, to facilitate the integration and sharing of sensor information.    The methodology involves a wizard-based modeling approach where users can input relevant sensor data, including identification, observation capabilities, geolocation, and quality information. This model allows for the dynamic querying of satellite sensors based on specified criteria such as temporal and spatial resolution, and specific measurement capabilities related to flood observation.    An experiment focusing on the middle reaches of the Yangtze River demonstrates the effectiveness of the model by identifying suitable fo-SSS for flood monitoring. By providing a systematic integration framework, the proposed SSI model enhances the ability of emergency managers to access and utilize relevant satellite data, thereby improving disaster response and recovery efforts. The findings underscore the importance of standardized metadata in maximizing the societal benefits of satellite data during emergencies.",NA,1
How Much Would You Pay for a Satellite Image?: Lessons Learned from French Spatial-Data Infrastructure,"Jabbour, Chady and Hoayek, Anis and Maurel, Pierre and {Rey-Valette}, Helene and Salles, Jean-Michel",2020,jabbour_paysatelliteimagelessons_2020,17955,"The paper employs a contingent valuation method to estimate the willingness to pay (WTP) for high-resolution satellite imagery among users of a French Spatial Data Infrastructure (SDI). A survey targeting approximately 979 registered users collected data on their WTP for satellite images, membership fees for a pooling system, and preferences regarding payment terms. The survey included structured questions to derive economic values, employing a double-bounded dichotomous choice format to minimize strategic behavior and capture genuine willingness to pay.    Statistical analysis involved a generalized multinomial logistic regression model, which evaluated the probabilistic distribution of WTP amounts based on user characteristics, type of services, and anticipated usage volume. Results indicated significant variances in WTP across different user sectors, with an overall mean WTP of €1,696 per high-resolution image and a mean membership value of €3,022 for access to an image pooling service. The total estimated user benefits from the satellite imagery amounted to €12.7 million, highlighting the economic value attributed to satellite data in supporting various public sector functions and justifying investments in these resources.",NA,1
Benefits of Earth Observation Data for Conservation Planning in the Case of European Wetland Biodiversity,"Jantke, Kerstin and Schleupner, Christine and Schneider, Uwe A.",2013,jantke_benefitsearthobservationdata_2013,11433,"The paper evaluates the societal benefits of Earth Observation (EO) data for conservation planning, specifically focusing on European wetland biodiversity. The authors developed a habitat allocation model integrating both fine-scale (1 km² resolution) and coarse-scale datasets to assess the impacts on conservation planning efficiency. They derived fine-scale datasets from existing geographical, biophysical, and economic data, while coarse-scale data often masked heterogeneities, leading to underestimations of conservation costs and area requirements.    The model employed mixed-integer programming to minimize total opportunity costs while ensuring the representation of viable populations of wetland species. Scenarios compared included non-geoss (coarse data), habitat-data (fine-scale habitats, coarse rents), cost-data (coarse habitats, fine-scale rents), and geoss (both fine-scale datasets).    Results showed that fine-scale data improved the accuracy of habitat requirements and cost estimations, revealing that the benefits of implementing detailed EO data outweighed their acquisition costs. The study concluded that reliance on coarse-scale data significantly undermines effective conservation planning, emphasizing the critical need for high-quality, spatially explicit EO datasets to enhance biodiversity conservation outcomes.",NA,1
"Smart Solutions for Municipal Flood Management: Overview of Literature, Trends, and Applications in German Cities","Josipovic, Neven and Viergutz, Kathrin",2023,josipovic_smartsolutionsmunicipalflood_2023,17213,"The paper employs a transdisciplinary approach to analyze the societal benefits of satellite and Earth Observation data for flood management in German cities. The authors utilize a literature review to identify key concepts in big data, digital twins, and remote sensing technologies that enhance urban resilience to flooding.     To estimate societal benefits, the authors integrate different data streams to improve situational awareness, employing big data analytics to monitor rainfall and water levels. They explore the use of digital twins to simulate disaster scenarios, thereby enhancing decision-making and facilitating an early warning system. Additionally, the implementation of remote sensing technologies, including UAVs, allows for real-time monitoring and data collection in inaccessible areas.    The paper emphasizes the practical applicability of these technologies through case studies in German cities, highlighting how these smart solutions can improve communication, streamline logistics during disasters, and enhance community preparedness. Ultimately, the authors aim to bridge the gap between theoretical advancements in flood management and their practical implementation, demonstrating the potential for smart technologies to mitigate the impacts of flooding and promote urban resilience.",NA,1
"The Potential of Remote Sensing Data for Decision Makers at the State, Local and Tribal Level: Experiences from Nasa's Synergy Program","Kalluri, S and Gilruth, P and Bergman, R",2003,kalluri_potentialremotesensingdata_2003,13801,"The paper discusses the methods utilized in NASA's Synergy Program to estimate the societal benefits of Earth Observation (EO) data across various applications, including agriculture, range management, and water resource management.     The methodology involved collaborative partnerships among federal, state, local, tribal governments, academia, and industry, focusing on user-oriented application development. The program conducted workshops to identify the specific needs of decision-makers and to demonstrate the utility of remote sensing data in enhancing decision-making processes.     Quantitative metrics, such as cost savings and environmental benefits, were employed to evaluate the effectiveness of remote sensing applications. For instance, precision agriculture practices derived from EO data were shown to reduce chemical usage and improve crop yields, while also minimizing environmental contamination.     User training and continuous feedback loops between developers and end users were critical components of the implementation strategy, aiming to enhance user confidence and ensure the sustainability of remote sensing applications. The program emphasized the importance of proven benefits, accessibility of data, and the long-term continuity of data streams to foster widespread adoption and effective decision-making.",NA,1
Value of Airborne Laser Scanning and Digital Aerial Photogrammetry Data in Forest Decision Making,"Kangas, A. and Gobakken, T. and Puliti, S. and Hauglin, M. and Naesset, E.",2018,kangas_airbornelaserscanningdigital_2018,12743,"The paper by Kangas et al. evaluates the societal benefits of Airborne Laser Scanning (ALS) and Digital Aerial Photogrammetry (DAP) in forest management using a cost-plus-loss analysis method. This approach quantifies the economic value of information by estimating monetary losses associated with decision-making errors stemming from data inaccuracies.     The authors conducted simulations of forest treatment schedules using a model (GAYA) that incorporates growth dynamics and economic factors over multiple periods. They compared the optimal treatment schedules derived from accurate field data with those based on potentially erroneous ALS and DAP data to estimate losses. A key finding was that increased errors in data significantly raised expected losses; specifically, a 1% increase in relative root mean square error (RMSE) of volume estimates caused an average loss increase of €4.4 per hectare.    Furthermore, a meta-analysis was performed to understand variations in losses across different studies, linking errors in volume estimates to greater financial impacts. The study concluded that while ALS data is slightly more accurate, DAP performs comparably in decision-making contexts, suggesting that data selection can prioritize cost over accuracy without substantial loss in decision quality.",NA,1
Evaluating Nox Emission Inventories for Regulatory Air Quality Modeling Using Satellite and Air Quality Model Data,"Kemball-Cook}, Susan and Yarwood, Greg and Johnson, Jeremiah and Dornblaser, Bright and Estes, Mark",2015,kemballcook_evaluatingnoxemissioninventories_2015,9088,"This paper evaluates nitrogen oxides (NOx) emissions inventories for air quality modeling in the southeastern U.S. by utilizing satellite data from the Ozone Monitoring Instrument (OMI) and the Comprehensive Air Quality Model with Extensions (CAMx). The authors employed two top-down emission estimation methods using OMI tropospheric NO2 columns derived from two different retrieval algorithms: the KNMI DOMINO v2.0 and NASA SP2. The mass balance method was applied to compare observed NO2 columns with modeled values from CAMx, allowing the estimation of top-down NOx emissions.    The study identified significant disparities between the two retrieval methods, which led to differing NOx emissions estimates that were too large to constrain the Texas Commission on Environmental Quality's (TCEQ) bottom-up emissions inventory. The paper highlights the importance of using satellite data cautiously in regulatory contexts, given the variability in retrievals. The authors suggest that continued refinement of both regional air quality models and satellite retrievals is essential for improving the accuracy of NOx emissions inventories and enhancing air quality management efforts.",NA,1
Satellite Remote Sensing as a Tool in Lahar Disaster Management,"Kerle, N and Oppenheimer, C",2002,kerle_satelliteremotesensingtool_2002,14523,"The paper investigates the utility of satellite remote sensing for lahar disaster management, particularly through the case study of the 1998 Casita volcano disaster in Nicaragua. The authors assess currently available and upcoming optical and radar satellite sensors, focusing on their capabilities for timely damage assessment and disaster response. They identify necessary information for effective disaster management, including the spatial extent of lahars, damage to infrastructure, and the number of affected individuals.    The study finds that while past satellite imagery could not have significantly enhanced response efforts due to cloud cover and the limitations of existing sensors, forthcoming satellites—especially high-resolution radar—show promise for improving real-time response capabilities. The research emphasizes the need for dedicated satellite constellations to ensure rapid image acquisition and efficient data dissemination post-disaster. It highlights the critical role of integrating satellite imagery with geographic information systems (GIS) and other auxiliary data for comprehensive damage assessment and improved disaster management strategies. Overall, the paper outlines both the potential benefits and current limitations of satellite technology in disaster scenarios, advocating for advancements in sensor capabilities and organizational frameworks for effective application.",NA,1
The Role of African Emerging Space Agencies in Earth Observation Capacity Building for Facilitating the Implementation and Monitoring of the African Development Agenda: The Case of African Earth Observation Program,"Kganyago, Mahlatse and Mhangara, Paidamwoyo",2019,kganyago_roleafricanemergingspace_2019,20177,"The paper examines the role of Earth Observation (EO) data in supporting Africa's development goals, particularly in the context of AU Agenda 2063. The authors employ a qualitative approach to identify existing capacity-building resources related to EO and assess their potential societal benefits. They highlight the importance of open and free EO data, open-source software, and various dissemination platforms that can enhance decision-making processes for sustainable development.     The study discusses the utilization of EO data in various applications, including agricultural monitoring, disaster management, and water resource management, demonstrating how such data can address pressing socio-economic challenges. It emphasizes the necessity for capacity building to improve understanding and use of EO products among policymakers, researchers, and practitioners. Furthermore, the authors advocate for strategic partnerships and international collaboration to leverage existing expertise and technology, facilitating the widespread adoption of EO solutions.    Overall, the paper underscores the critical need for enhanced capacity-building efforts to ensure that EO data translates into actionable insights, ultimately contributing to Africa's sustainable development and the effective monitoring of AU Agenda 2063 objectives.",NA,1
Satellite Analysis Ready Data for the Sustainable Development Goals,"Killough, B. D.",2022,killough_satelliteanalysisreadydata_2022,8765,"The paper discusses the use of Analysis Ready Data (ARD) derived from satellite observations to support the United Nations Sustainable Development Goals (SDGs). The methodology focuses on preparing satellite data into a standardized format that minimizes user effort for analysis, allowing for seamless integration with modern data management technologies like Open Data Cube (ODC). This approach facilitates time series analysis and enhances interoperability among diverse datasets.    The authors illustrate the societal benefits of ARD through case studies from the Africa Regional Data Cube, showcasing applications such as flood risk mapping and deforestation detection. Specific algorithms, including the Water Observations from Space (WOfS) and Normalized Difference Vegetation Index (NDVI) anomaly, are employed to quantify changes in water extent and forest cover over time. These methodologies yield critical insights for local decision-making, such as optimizing vaccine distribution in flood-prone areas and monitoring illegal mining activities.    The paper emphasizes the importance of consistent data preparation and accessibility to empower users, particularly in developing regions, thus maximizing the societal benefits of Earth observation data in addressing pressing environmental and social challenges.",NA,1
Evaluating the Public Value of Improving Early Detection Accuracy of Cumulonimbus Using a Geostationary Satellite in South Korea,"Kim, Ju-Hee and Lim, Hancheol and Shin, Jinho and Yoo, Seung-Hoon",2022,kim_evaluatingpublicimprovingdetection_2022,10495,"This paper evaluates the societal benefits of enhancing the early detection accuracy of cumulonimbus clouds using the Cheollian Satellite 2A (GK-2A) in South Korea, employing the contingent valuation (CV) method. The study follows a three-step approach:     1. **Questionnaire Development**: A CV questionnaire was created to assess the willingness to pay (WTP) for improved detection of cumulonimbus clouds. It included background information on cumulonimbus and its associated risks, and posed questions to gauge respondents’ WTP for enhanced forecasting.    2. **Survey Implementation**: A nationwide survey of 1,000 households was conducted through personal interviews, ensuring scientific sampling techniques were applied to capture diverse demographic data.    3. **Data Analysis**: The WTP data was analyzed using statistical models, resulting in an average annual WTP of KRW 2,143 (USD 1.91) per household, translating to a total public value of KRW 44.1 billion (USD 39.3 million) for South Korea. The study also performed a pilot cost-benefit analysis, suggesting that the benefits of improved detection capabilities justify the costs involved, confirming the economic feasibility of the GK-2A's operations.",NA,1
Using Remote Sensing Data for Earthquake Damage Assessment in Afghanistan: The Role of the International Charter,"Korsu Kandeh, J. M. and Ahadi, A. W. and Kumar, L.",2005,korsukandeh_remotesensingdataearthquake_2005,3812,"The paper employs remote sensing data and Geographic Information Systems (GIS) to assess earthquake damage in Afghanistan, utilizing satellite imagery for both pre- and post-disaster analysis. The methodology involves several key steps:     1. **Image Acquisition**: Satellite imagery is requested through the International Charter for Major Disasters, especially following the April 2004 earthquake. Pre-crisis images are obtained alongside crisis data.    2. **Image Processing**: Using ERDAS Imagine software, images are pre-processed and rectified, with change detection analysis performed to identify structural changes post-earthquake.    3. **GIS Integration**: The change detection maps are overlaid with various GIS layers, including population density, settlements, major fault lines, and topographic data, using ArcView GIS. This integration allows for the creation of detailed damage assessment maps.    4. **Decision Support**: The resulting maps provide critical information for humanitarian agencies and government authorities, facilitating effective disaster management and resource allocation.    The authors highlight the benefits of satellite data in overcoming access challenges in rugged terrains, while also noting the need for increased awareness and capacity building in using such technologies for disaster response in developing countries.",NA,1
Space Assets for Demining Assistance,"Kruijff, Michiel and Eriksson, Daniel and Bouvet, Thomas and Griffiths, Alexander and Craig, Matthew and Sahli, Hichem and {Valcarce Gonzalez-Roson}, Fernando and Willekens, Philippe and Ginati, Amnon",2013,kruijff_spaceassetsdeminingassistance_2013,15451,"The paper discusses the methods used in the Space Assets for Demining Assistance (SADA) project, which aims to enhance mine action through the integration of satellite and Earth observation (EO) data. The project consists of two main phases: feasibility studies and demonstration projects.     During the feasibility studies, the authors identified user needs in mine action and explored the potential contributions of EO and GNSS technologies to improve land release processes. They employed risk and impact analysis, prioritization, and resource management strategies to assess the viability and sustainability of space-enabled services.    The studies involved close interaction with mine action end users to develop proofs of concept that tested the applicability of these services in various operational settings. The economic viability of integrating EO data with existing mine action tools was evaluated, focusing on enhancing efficiency in non-technical surveys, hazard area confirmation, and technical survey planning.    Additionally, the authors emphasized the importance of providing easy access to EO data for mapping and assessing socio-economic impacts, which could facilitate better prioritization and resource allocation in mine action activities. The integration of these technologies is aimed at increasing the socio-economic benefits of land release, thereby improving the overall effectiveness and sustainability of mine action efforts.",NA,1
"Coordinated Capacity Development to Maximize the Contributions of Space Science, Technology, and Its Applications in Support of Implementing Global Sustainable Development Agendas-a Conceptual Framework","Kumar, A. Senthil and Camacho, Sergio and Searby, Nancy D. and Teuben, Joost and Balogh, Werner",2020,kumar_coordinatedcapacitydevelopmentmaximize_2020,14705,"The paper discusses a conceptual framework aimed at enhancing the capacity development for utilizing Earth Observation (EO) data in support of global sustainable development agendas. The authors emphasize the importance of coordinated efforts among various stakeholders, including international organizations, regional bodies, and national entities, to effectively integrate EO data into the monitoring and implementation of Sustainable Development Goals (SDGs).     The methodology involves several key strategies:     1. **Harmonization**: Establishing a common understanding among stakeholders regarding capacity development initiatives to avoid duplication and ensure resources are effectively used.    2. **Training Programs**: Developing and implementing training curricula that focus on core technical skills related to EO data, as well as fostering research and knowledge sharing to enhance understanding of EO applications across different sectors.    3. **Intergovernmental Collaboration**: Promoting best practices and experiences among countries to build a network of expertise and resources that can be shared for improved EO application.    4. **Results-Based Management**: Implementing a framework to measure the impact of capacity development efforts, ensuring accountability and continuous improvement in utilizing EO data for societal benefits.    The proposed framework aims to enhance the accessibility, reliability, and effectiveness of EO data in addressing critical societal challenges.",NA,1
The Role of Satellite Telemetry Data in 21st Century Conservation of Polar Bears (Ursus Maritimus),"Laidre, Kristin L. and Durner, George M. and Lunn, Nicholas J. and Regehr, Eric V. and Atwood, Todd C. and Rode, Karyn D. and Aars, Jon and Routti, Heli and Wiig, Oystein and Dyck, Markus and Richardson, Evan S. and Atkinson, Stephen and Belikov, Stanislav and Stirling, Ian",2022,laidre_rolesatellitetelemetrydata_2022,23719,"The paper reviews the critical role of satellite telemetry (ST) data in polar bear conservation, focusing on its societal benefits. The authors use a comprehensive approach, including literature reviews and case studies, to quantify the benefits of ST data in understanding polar bear movements, habitat use, and population dynamics. They emphasize the importance of ST in delineating subpopulations, estimating vital rates and abundance, and assessing the impacts of climate change and human activities on polar bear ecology.    The methodology involves analyzing long-term data from satellite-collared bears to inform management decisions regarding sustainable harvest rates, critical habitat identification, and regulatory requirements. The authors assess how ST data improves the accuracy of demographic estimates and reduces biases associated with traditional monitoring methods. They highlight specific examples where ST has facilitated better conservation outcomes, such as understanding migration patterns and habitat shifts due to sea ice loss. The paper concludes that continued collection and integration of ST data are essential for effective polar bear management in the context of ongoing environmental changes.",NA,1
An Inter-Comparison Exercise of Sentinel-2 Radiometric Validations Assessed by Independent Expert Groups,"Lamquin, Nicolas and Woolliams, Emma and Bruniquel, Veronique and Gascon, Ferran and Gorrono, Javier and Govaerts, Yves and Leroy, Vincent and Lonjou, Vincent and Alhammoud, Bahjat and Barsi, Julia A. and {Czapla-Myers}, Jeffrey S. and McCorkel, Joel and Helder, Dennis and Lafrance, Bruno and Clerc, Sebastien and Holben, Brent N.",2019,lamquin_intercomparisonexercisesentinel_2019,15936,"The paper describes a comprehensive inter-comparison exercise conducted among independent expert groups to validate the radiometric calibration of the Sentinel-2A and Sentinel-2B multi-spectral instruments (MSI). The methods employed for estimating societal benefits of satellite or Earth Observation data primarily focus on several vicarious calibration methodologies that assess the quality of satellite-retrieved products.    Key methodologies include:    1. **Dark Signal Calibration**: Utilizes nighttime ocean acquisitions to assess dark signal coefficients, essential for evaluating instrument stability.    2. **Sun-Diuser Method**: Involves comparing acquired images of a sun-diffuser panel against simulated reflectance based on solar spectral irradiance, enabling estimation of absolute and relative gain coefficients.    3. **Rayleigh Scattering Method**: Leverages natural atmospheric conditions to validate absolute calibration by comparing the observed signal with modelled Rayleigh scattering signatures, primarily in the blue spectral region.    4. **Deep Convective Clouds and Coastal Waters**: These targets are used to monitor interband calibration and validate low radiance measurements, respectively, providing high statistical significance and robust datasets for analysis.    5. **Pseudo-Invariant Calibration Sites (PICS)**: Long-term stable sites are utilized to transfer absolute calibration across different sensors, allowing for cross-calibration.    Each method's effectiveness is analyzed statistically, providing insights into their advantages and areas for potential improvement, ultimately supporting long-term environmental monitoring and decision-making based on high-quality remote sensing data.",NA,1
Factors Affecting Farmer Adoption of Remotely Sensed Imagery for Precision Management in Cotton Production,"Larson, James A. and Roberts, Roland K. and English, Burton C. and Larkin, Sherry L. and Marra, Michele C. and Martin, Steven W. and Paxton, Kenneth W. and Reeves, Jeanne M.",2008,larson_factorsaffectingfarmeradoption_2008,9760,"The paper evaluates factors influencing cotton farmers' adoption of remote sensing (RS) for precision agriculture using a binomial logit model. Data were collected via a mail survey conducted in 2005, yielding responses from 1,215 cotton producers across 11 southern U.S. states, with 98 identified as RS adopters. Key variables were analyzed, including farm size, income, irrigation, farmer age, education, and technology usage.    The logit model assessed the probability of adopting RS technology based on these variables. Significant factors included younger age, higher education, larger farm area, and the use of portable computers for data management. Notably, farmers generating their own map-based prescriptions were 23.8 times more likely to adopt RS compared to non-generators. Consultant usage also positively influenced adoption.    The analysis identified the potential societal benefits of RS, including improved resource management (like water and fertilizers), which could enhance productivity and sustainability in cotton production. The findings suggest that increased availability of value-added services from RS providers, alongside education and technology access, significantly boosts adoption likelihood, thereby amplifying the economic and environmental benefits of precision agriculture.",NA,1
Integrating Indigenous Ecological Knowledge and Multi-Spectral Image Classification for Marine Habitat Mapping in Oceania,"Lauer, Matthew and Aswani, Shankar",2008,lauer_integratingindigenousecologicalknowledge_2008,11035,"The paper integrates Indigenous Ecological Knowledge (IEK) with remote sensing techniques to map marine habitats in Roviana Lagoon, Solomon Islands. Local fishers visually interpreted a Landsat-7 Enhanced Thematic Mapper (ETM+) multi-spectral satellite image to identify shallow-water habitats, which informed a supervised classification process for habitat mapping. The participatory approach involved collecting local knowledge about habitat classifications, leading to the creation of habitat maps that reflect locally recognized ecological zones.    The authors employed a combination of visual assessments by knowledgeable local informants and training samples for supervised classification using image processing software, achieving a thematic accuracy of 64.5%. They compared the results against independent underwater visual surveys to validate the accuracy of the habitat maps. This hybrid methodology demonstrated that integrating IEK with scientific techniques can produce reliable habitat maps, enhancing conservation management and local engagement in marine resource governance. Ultimately, the study highlights the potential societal benefits of incorporating local knowledge into scientific methodologies, fostering improved resource management and community involvement in conservation efforts.",NA,1
"Policy Implications of Remote Sensing in Understanding Urban Environments: Developing a Wetlands Inventory for Community Decision-Making in Lucas County, Ohio","Lawrence, P. L. and Czajowski, K. and Torbick, N.",2005,lawrence_policyimplicationsremotesensing_2005,7247,"The paper employs remote sensing technology, specifically Landsat 7 Enhanced Thematic Mapper Plus imagery, to create a detailed wetlands inventory for Lucas County, Ohio. The methodology involves several key steps: preprocessing of satellite data to enhance spectral separability, identification of areas of interest (AOI) based on hydric soils and existing land use, and classification of wetland types using both supervised and unsupervised methods within the ERDAS Imagine software. The study utilized a hybrid approach integrating GIS and remote sensing, applying expert classifiers and knowledge engineering techniques to improve accuracy. Ground-truthing and accuracy assessments, including Kappa statistics, were conducted to validate the classifications, ultimately achieving a high overall classification accuracy of 94.5%.    The policy implications of this study underscore the importance of accurate wetland mapping for urban planning and decision-making, highlighting the need for community engagement, improved access to remote sensing data, and ongoing education for local planners and stakeholders to effectively utilize these resources in wetland conservation efforts.",NA,1
Space-Based Earth Observations for Disaster Risk Management,"Le Cozannet, G. and Kervyn, M. and Russo, S. and Speranza, C. Ifejika and Ferrier, P. and Foumelis, M. and Lopez, T. and Modaressi, H.",2020,lecozannet_spacebasedearthobservations_2020,20136,"The paper employs a comprehensive review methodology to explore the societal benefits of space-based Earth Observation (EO) data in disaster risk management (DRM). The authors categorize DRM into phases: prevention, preparedness, crisis management, and post-crisis recovery. They analyze literature and case studies from coastal, hydro-meteorological, and geohazards to illustrate how EO data has been utilized in these contexts.    Key methods include assessing EO's role in hazard assessment, vulnerability mapping, and exposure analysis, highlighting both successes and unmet needs. The authors advocate for a multi-risk approach to optimize data collection across different hazards, emphasizing the importance of continuous monitoring and capacity building.    The evaluation framework focuses on aligning EO data with user workflows in DRM, facilitating a user-centric perspective that considers decision-making needs. They suggest systematic efforts to assess EO contributions to DRM, emphasizing the need for improved integration of EO data into operational frameworks and enhancing stakeholder collaboration to maximize societal benefits. The study concludes by identifying opportunities and challenges in leveraging EO for effective DRM strategies.",NA,1
Remote Sensing in Support for Monitoring Rice in the Senegal Catchment,"Lefrancq, Marie and Diarra, Mamadou and Hane, Ousmane and Lhuissier, Ludovic and Ndour, Thierno and Thumerel, Bernard and Toumiat, Farouk and Yena, Mama",2020,lefrancq_remotesensingsupportmonitoring_2020,6584,"The paper discusses the use of satellite imagery, specifically from Sentinel-2, to monitor rice cultivation in the Senegal River catchment. The methodology involved a collaborative ""living lab"" approach among various stakeholders, including SOGED (water management company), CACG, and E2L. The project, named MOSIS, aimed to develop a web-based Geographic Information System (WebGIS) tool that quantifies and locates irrigated rice fields based on satellite data to improve water fee collection.    Field surveys were conducted to validate satellite data, ensuring accurate identification of irrigated areas. The project utilized a combination of the Modified Normalized Difference Water Index (MNDWI) and the Normalized Difference Vegetation Index (NDVI) to assess water presence and crop growth, respectively, through a robust image processing pipeline developed in Python.    The results indicated enhanced user engagement and communication, improved identification of water users, and increased revenue from irrigation fees. The tool has potential for broader applications, including tracking other agricultural practices and environmental management, contributing to integrated water resource management amidst climate challenges. This comprehensive approach highlights the societal benefits of remote sensing data in agricultural monitoring and resource management.",NA,1
Economic Feasibility Study for Pavement Monitoring Using Synthetic Aperture Radar-Based Satellite Remote Sensing Cost-Benefit Analysis,"Li, Mingxin and Faghri, Ardeshir and Ozden, Abdulkadir and Yue, Yixiang",2017,li_economicfeasibilitystudypavement_2017,10585,"The paper conducts a comprehensive cost-benefit analysis (CBA) to evaluate the economic feasibility of using Synthetic Aperture Radar (SAR) satellite remote sensing for pavement monitoring. The authors propose a framework that quantifies both the costs and the benefits associated with SAR data utilization.     Key methods include:    1. **Cost Estimation**: The analysis differentiates between capital costs (e.g., equipment, software, and personnel training) and ongoing operational costs (e.g., data acquisition and processing). Various cost scenarios are examined, including in-house versus outsourced processing of SAR data.    2. **Benefit Quantification**: The benefits are categorized into direct benefits to agencies (reduced inspection trips, improved monitoring efficiency) and indirect societal benefits (enhanced roadway safety, reduced maintenance costs). The analysis leverages existing research to estimate savings from reduced vehicle inspections and improved asset management.    3. **CBA Framework**: The authors utilize standard profitability metrics, such as benefit-cost ratios and discounted cash flow analyses, over a 20-year horizon to assess the long-term financial viability of SAR-based monitoring.     The results indicate that SAR monitoring can be cost-effective, with high benefit-cost ratios, particularly when medium-resolution imagery is used in-house.",NA,1
