title,abstract,year,author,doi,tags,screening_status,excl_reasons
Measuring The Economic Benefits Of An Environmental Monitoring Satellite Project: The Value Of Information Approach,"This paper reports a first application of contingent valuation method to measure the value of information generated by earth science data from an environmental geostationary satellite payload called Geostationary Environmental Monitoring Satellite. The purpose of the space project is to improve the accuracy of air pollution information by enhancing air pollution monitoring and forecasting system coupled with conventional ground level monitoring stations located throughout South Korea. Estimation results based on a survey data of 1000 households show that most explanatory variables including bid amounts and household income significantly influenced dichotomous choice contingent valuation responses with expected signs. When applied to the whole sample, mean willingness to pay reflecting both use and non-use values was stable at around \$3.70 per year for the improvement of air quality information. Present values of total benefits over the lifetime period of the space satellite exceed the cost born by tax payers with a benefit-cost ratio of 2.77. The result of this study clearly suggests that contingent valuation method can be used as an alternative approach in measuring the value of information from a space-derived earth science project. (C) 2013 Elsevier Ltd. All rights reserved.",NA,NA,10.1016/j.spacepol.2013.06.003,{},included,NA
"How Remote Sensing Supports Mangrove Ecosystem Service Valuation: A Case Study In Ca Mau Province, Vietnam","This paper highlights the importance of using household survey and remote sensing data for the assessment of mangrove ecosystem services (fisheries and timber related products, carbon sequestration, storm protection) in Ca Mau Province, Vietnam. The results indicate that remote sensing plays an important role in ecosystem service valuation in the large areas where mangroves and aquaculture are mixed. We estimated the value of mangrove ecosystem services using market price and replacement cost approaches to determine an initial assessment of the overall contribution of mangroves to human well-being. The total estimated value was US\$ 600 million/year for 187,533 ha (approximately US\$ 3000/ ha/year), which is slightly smaller than the gross domestic product (GDP) of the province (US\$ 0.69 billion in 2010). However, this is only a partial estimate that does not consider other services (tourism, biocliversity, cultural and social values), clue to the absence of primary data The main contribution of this study is that it is the first to combine the approaches of remote sensing and household survey for the quantification of mangrove ecosystem services in the mangrove-shrimp integrated system. Our findings indicate that the continued expansion of acivaculture has reduced the benefits to local communities provided by the mangrove ecosystem. (C) 2015 Elsevier B.V. All rights reserved,",NA,NA,10.1016/j.ecoser.2015.04.007,{},included,NA
The Six Dimensions Of Value Associated To The Use Of Copernicus Sentinel Data: Key Findings From The Sentinel Benefits Study,"The role of Earth Observation (EO) data from satellites in supporting informed decision-making and more efficient operational processes is becoming increasingly recognized. However, analysing the value that this generates remains a challenge. Often, top-down cost-benefit analyses are used to justify budgets but with very broad-based, macro-economic assumptions. The approach discussed in this paper is bottom-up building on the use of a single product or service arising from the use of data coming from one or more of the Copernicus Sentinel satellites. This allows a much finer, detailed understanding of how the data is being used and hence contributing to informed decision making. A case-based, value-chain methodology has been applied through which the impact on society can be analysed. Whilst early cases focused on economic value i.e., monetized benefits, later ones recognise that often the benefits may be wider than this. For instance, organisations can benefit through an increased reputation, or societal values such as quality of life can be felt. Consequently, a set of non-monetary dimensions have been defined which provide a new framework for the analysis. The six dimensions are described in the paper and have been tested on a significant number of recent cases. The paper describes the updated methodology and the results obtained through its application.",NA,NA,10.3389/fenvs.2022.804862,{},included,NA
Numerical Modelling And Satellite Remote Sensing As Tools For Research And Management Of Marine Fishery Resources,"This chapter outlines the use of modelled and satellite remote sensing (SRS) data in supporting the research, technology-development and management of marine fishery resources. The value of such methods used in marine fisheries management is emphasized. State of art techniques in fisheries resource management utilizing numerical models, and SRS, separately and jointly, are described here. Numerical models are useful for studying fish and other aquatic invertebrate larval transport. SRS data are used to locate fish stocks, locate areas of reef stress and delineate areas of high productivity in the wake of cyclone paths. Coupling SRS with models helps to manage fishery resources on an ecosystem scale, generate potential fishing zones (PFZ), forecast ocean state (OSF), detect meso-scale features such as eddies and track cyclones threatening coastal resources. Modelled, SRS and in situ data sets in combination can be used in the estimation of potential fishery resources in the exclusive economic zone (EEZ), which in turn can help in fishing fleet management. Hence, there is a huge scope for application of numerical modelling and SRS in marine fisheries research and management. © 2014, Springer International Publishing Switzerland.",NA,NA,10.1007/978-3-319-06326-3_18,{},included,NA
"Coordinated Capacity Development To Maximize The Contributions Of Space Science, Technology, And Its Applications In Support Of Implementing Global Sustainable Development Agendas-A Conceptual Framework","Space science, technology, and its applications have the potential to make essential contributions to the implementation of global development agendas which encompass the 2030 Agenda for Sustainable Development, the Sendai Framework for Disaster Risk Reduction, and the Paris Agreement on Climate Change. Member States of the United Nations are ultimately responsible for implementing the development agendas at the national level. The use of Earth observation tools can provide timely and reliable input data to the Global Indicator Framework to directly follow-up and review some of the sustainable development goals 169 targets. The continued user of these tools gives Member States the capability to evaluate the effectiveness of actions taken to reach specific targets and to report on progress achieved or shortcomings that need to be addressed. For many countries, capacity development is an essential factor for making optimal use of solutions offered by space activities. A large number of stakeholders, including international, regional, and national entities, are providing relevant capacity development activities. This article provides a pragmatic conceptual framework for improved collaboration and coordination of capacity development to assist Member States to fully utilize the contributions of space science, technology, and its applications to implement the global development agendas and to benefit society. The proposed coordination of capacity development needs to be integrated into an overall results-based management approach for optimizing the use of space science, technology, and its applications in support of global development agendas. (C) 2019 Elsevier Ltd. All rights reserved.",NA,NA,10.1016/j.spacepol.2019.101346,{},included,NA
Economic Feasibility Study For Pavement Monitoring Using Synthetic Aperture Radar-Based Satellite Remote Sensing Cost-Benefit Analysis,Recent developments in satellite remote sensing and the availability of high-resolution synthetic aperture radar (SAR) products have created an opportunity for the use of SAR-based monitoring for pavement and infrastructure management. No previous studies have performed a detailed cost-benefit analysis to analyze the economic feasibility of pavement monitoring through the use of SAR-based satellite remote sensing. The aim of this study was to fill this knowledge gap by proposing a comprehensive methodology to estimate the most important benefits and expenses associated with the use of data obtained from satellites by SAR and interferometric SAR for advanced monitoring of the infrastructure and to gain a better understanding of the strategies used to identify their effects. A general cost-benefit analysis framework that could serve as a pavement management tool for assessment of pavement deformations and deformation velocities with millimeter accuracy was developed. The results of a case study performed in the state of Delaware to demonstrate how the proposed approaches can be used to assess the impacts of SAR-based monitoring projects are also presented.,NA,NA,10.3141/2645-01,{},included,NA
Review Of Fews Net Biophysical Monitoring Requirements,"The Famine Early Warning System Network (FEWS NET) provides monitoring and early warning support to decision makers responsible for responding to famine and food insecurity. FEWS NET transforms satellite remote sensing data into rainfall and vegetation information that can be used by these decision makers. The National Aeronautics and Space Administration has recently funded activities to enhance remote sensing inputs to FEWS NET. To elicit Earth observation requirements, a professional review questionnaire was disseminated to FEWS NET expert end-users; it focused upon operational requirements to determine additional useful remote sensing data and, subsequently, to assess whether such data would be beneficial as FEWS NET biophysical supplementary inputs. The review was completed by over 40 experts from around the world. Reviewers were asked to evaluate the relative importance of environmental variables and spatio-temporal requirements for Earth science data products, in particular for rainfall and vegetation products. The results showed that spatio-temporal resolution requirements are complex and need to vary according to place, time, and hazard; that high resolution remote sensing products continue to be in demand; and that rainfall and vegetation products are valued as data that provide actionable food security information.",NA,NA,10.1088/1748-9326/4/2/024009,{},included,NA
Remote Sensing For Restoration Planning: How The Big Picture Can Inform Stakeholders,"The use of remote sensing in ecosystem management has transformed how land managers, practitioners, and policymakers evaluate ecosystem loss, gain, and change at multiple spatial and temporal scales. Less developed is the use of these spatial tools for planning, implementing, and evaluating ecosystem restoration projects and especially so in multifunctional landscapes. We use a case study approach in a multistakeholder tropical dryland restoration project to highlight the potential of remotely sensed products to quantitatively and economically guide often conflicting restoration priorities with stakeholder objectives. High-resolution digital elevation models derived from an airborne remote sensing platform informed land managers tasked with endangered species restoration by guiding their efforts to highly suitable areas of the landscape where plant growth, performance, and survival should be greater. In turn, satellite-based monitoring offered a temporal approach to broadly quantify vegetation fire risk in order to restrict fire promoting activities in dry landscapes most modified by fire promoting invasive grasses. Together, the delineation of high suitability areas for plant-based restoration and low suitability areas for wildfire management ultimately releases moderate suitability land for alternative land uses deemed important in multistakeholder landscapes. We review the benefits of using remotely sensed data for restoration planning, and highlight the costs and benefits of various data sources.",NA,NA,10.1111/rec.12448,{},included,NA
"Policy Implications Of Remote Sensing In Understanding Urban Environments: Developing A Wetlands Inventory For Community Decision-Making In Lucas County, Ohio","The growth in urbanized land has created a variety of impacts to natural areas. Urbanization has many effects on a wetland in terms of climate, air and water quality, hydrological changes, and boundaries and fragmentation of flora and fauna (Ehrenfeld, 2000). Wetlands must be valued as they provide many public amenities with long-term functions, which may be unrecoverable if the wetlands are lost through development, including drainage, water supply and natural habitat provisions (Mitsch et al, 2000). Because public policy supported the filling and destruction of wetlands for so long, land use planners are often reluctant or uninformed on how to integrate them into urban environments (Tilton, 1995). The use of remote sensing technology for the identification, inventory, mapping, and classification of land wetlands has been a common application of satellite imagery (MacDonald, 1999; Lyon, 2001). Numerous studies have discussed the positive benefits and opportunities presented by the technology as well as the barriers and limitations (Hardisky et al, 1986; Johnston and Barson, 1993; Kindscher et al., 1998; Lunetta and Barlogh, 1999; Munyati, 1999; Schmidt and Skidmore, 2003, Shuman and Ambrose, 2003, Townsend and Walsh, 2001). With recent improvements in the methods, computing advances, and the easier access and availability of the satellite imagery and data, it has become more possible to consider further advancements in the use of remote sensing to specifically address issues associated with wetlands research and related policy implications. The results of such research have important applications in addressing wetland management issues-such as wetland loss, degradation, and potential for restoration and remediation-within urban centers where land use pressures have negative impacts on the existence and health of wetland ecosystems. For a comprehensive review of the issues regarding the use of satellite remote sensing for wetlands, the reader is referred to Ozesmi and Bauer (2002). Beyond the methodological and technological advances-and remaining limitations-related to the use of remote sensing for wetlands inventories there are several other practical related issues in regards to how the results from such studies can be applied to address the management and decision-making at the community scale in urban areas. In addition to overcoming common barriers characteristic to the transfer of advanced computer technology-such as needs for software training, access to data sets, the availability of sufficient computer hardware requirements, and related cost issues-the use of remote sensing requires consideration of several other additional remaining issues. The application and transfer of remote sensing methods and technology for urban planning requires understanding of the complexity of wetland definitions and related management issues, acceptance of the level of accuracy obtained by the remote sensing technology, commitment for the support and funding necessary to continue and maintain inventories, databases, and for future updating of the wetland classification. The technical, educational, and decision-making issues regarding the development and utilization of remote sensing for a wetlands inventory for use in urban planning and decision-making will be examined in this paper. © Springer-Verlag Berlin Heidelberg 2005.",NA,NA,10.1007/3-540-26676-3_3,{},included,NA
Cooperation In Earth Observation Missions In Africa: A Role For Afrigeoss,"This paper is aimed at examining the role of African Global Earth Observation System of Systems (AfriGEOSS) in Earth Observation (EO) mission cooperation on the continent of Africa. It discusses the importance of earth observation programs for developing countries as well as the benefits of international cooperative efforts. The paper further examined some collaborative projects on Earth Observation in Africa and their associated problems. It specifically looked at the EO data coordination initiatives such as the Spatial Data Infrastructure (SDI), GEOSS, Africa Discovery Broker, etc. It then situates AfriGEOSS in the context of African Space Agenda (ASA) with recommendations especially to the Africa Union Commission for the realization of ASA set goals. The paper reiterated that regardless of whether developed or developing, Earth observation information provides substantial benefit supporting economic development, decision making and policy implementation of all countries of the world. This is as a result of its multifarious benefits to humans in areas like agriculture, forestry, risk management, disaster monitoring, maritime, defence and security and natural resources management. Consequently, the paper argued that the numerous benefits from space assets have driven countries within the continent of Africa to either acquire or develop capabilities in space systems which is devoted to improving quality of life in general. The paper concluded that while space systems are expensive, there is need for continuity and sustainability as a result of its numerous advantages to the human's society.",NA,NA,10.1007/s10708-017-9840-5,{},included,NA
Design And Simulation In Sar Satellites' Task Planning System Using Genetic Algorithm With Entropy Operator,"Purpose - This paper aims to innovatively propose to improve the efficiency of satellite observation and avoid the waste of satellite resources, a genetic algorithm with entropy operator (GAE) of synthetic aperture radar (SAR) satellites' task planning algorithm. Design/methodology/approach - The GAE abbreviated as GAE introduces the entropy value of each orbit task into the fitness calculation of the genetic algorithm, which makes the orbit with higher entropy value more likely to be selected and participate in the remaining process of the genetic algorithm. Findings - The simulation result shows that in a condition of the same calculate ability, 85\% of the orbital revisit time is unchanged or decreased and 30\% is significantly reduced by using the GAE compared with traditional task planning genetic algorithm, which indicates that the GAE can improve the efficiency of satellites' task planning. Originality/value - The GAE is an optimization of the traditional genetic algorithm. It combines entropy in thermodynamics with task planning problems. The algorithm considers the whole lifecycle of task planning and gets the desired results. It can greatly improve the efficiency of task planning in observation satellites and shorten the entire task execution time. Then, using the GAE to complete SAR satellites' task planning is of great significance in reducing satellite operating costs and emergency rescue, which brings certain economic and social benefits.",NA,NA,10.1108/aeat-11-2020-0247,{},included,NA
Uav-Based Smart Environmental Monitoring,"In the context of digital governance, manmade activities will have the most impact on the environment. The concept of internet of things (IoT) is much more profound, supposedly having an impact on the way environmental sampling of data takes place. The cost benefits of unmanned aerial vehicles (UAVs) as alternate to satellite or high-altitude platform system (HAPS) is established as these are more flexible, mission specific, and versatile. UAV in sensor network context and communication relaying as well as data harvesting application is explored. Proposal to upgrade environmental laws and implementing network infrastructure security and cyber insurance for HetNets involving UAVs and environmental monitoring will be covered as well. © 2020 by IGI Global. All rights reserved.",NA,NA,10.4018/978-1-7998-1851-9.ch016,{},included,NA
Satellite Data For The Offshore Renewable Energy Sector: Synergies And Innovation Opportunities,"Can satellite data be used to address challenges currently faced by the Offshore Renewable Energy (ORE) sector? What benefit can satellite observations bring to resource assessment and maintenance of ORE farms? Can satellite observations be used to assess the environmental impact of offshore renewables leading towards a more sustainable ORE sector? This review paper faces these questions presenting a holistic view of the current interactions between satellite and ORE sectors, and future needs to make this partnership grow. The aim of the work is to start the conversation between these sectors by establishing a common ground. We present offshore needs and satellite technology limitations, as well as potential opportunities and areas of growth. To better understand this, the reader is guided through the history, current developments, challenges and future of offshore wind, tidal and wave energy technologies. Then, an overview on satellite observations for ocean applications is given, covering types of instruments and how they are used to provide different metocean variables, satellite performance, and data processing and integration. Past, present and future satellite missions are also discussed. Finally, the paper focuses on innovation opportunities and the potential of synergies between the ORE and satellite sectors. Specifically, we pay attention to improvements that satellite observations could bring to standard measurement techniques: assessing uncertainty, wind, tidal and wave conditions forecast, as well as environmental monitoring from space. Satellite-enabled measurement of ocean physical processes and applications for fisheries, mammals and birds, and habitat change, are also discussed in depth.",NA,NA,10.1016/j.rse.2021.112588,"{""probably not""}",included,NA
Modis Provides A Satellite Focus On Operation Iraqi Freedom,"Extreme weather conditions over southwest Asia posed significant challenges to military operations conducted during the 2003 Operation Iraqi Freedom (OIF) campaign. This paper describes an effort to provide improved environmental characterization by way of a suite of value-added satellite imagery tools leveraging moderate resolution imaging spectroradiometer (MODIS) data. Available from the National Aeronautics and Space Administration (NASA) Terra and Aqua platforms, these research-grade data were made available to operational users in 2 to 3 hours turn-around time via a near real-time processing effort (NRTPE) interagency collaboration between the National Oceanographic and Atmospheric Administration (NOAA), NASA, and the Department of Defense (DoD). Derived products were packaged into a centralized online graphical user interface, Satellite Focus, which provided a one-stop resource for satellite information over the southwest Asia domain. A central goal of Satellite Focus was to expedite information gathering while augmenting the capabilities of users tasked to synthesize a wide variety of environmental information in support of time-critical decisions impacting operational safety and mission success. Presented herein are several examples illustrating the unprecedented capabilities available to Coalition Force users during OIF enabled by near real-time access to Terra/Aqua MODIS. © 2006 Taylor & Francis.",NA,NA,10.1080/01431160500383772,{},included,NA
Measuring And Monitoring Restored Ecosystems: Can Remote Sensing Be Applied To The Ecological Recovery Wheel To Inform Restoration Success?,"The commencement of the United Nations Decade on Ecosystem Restoration has highlighted the urgent need to improve restoration science and fast-track ecological outcomes. The application of remote sensing for monitoring purposes has increased over the past two decades providing a variety of image datasets and derived products suitable to map and measure ecosystem properties (e.g. vegetation species, community composition, and structural dimensions such as height and cover). However, the operational use of remote sensing data and derived products for ecosystem restoration monitoring in research, industry, and government has been relatively limited and underutilized. In this paper, we use the Society for Ecological Restoration (SER) ecological recovery wheel (ERW) to assess the current capacity of drone-airborne-satellite remote sensing datasets to measure each of the SER's recommended attributes and sub-attributes for terrestrial restoration projects. Based on our combined expertise in the areas of ecological monitoring and remote sensing, a total of 11 out of 18 sub-attributes received the highest feasibility score and show strong potential for remote sensing assessments; while sub-attributes such as gene flows, all trophic levels and chemical and physical substrates have a reduced capacity for monitoring. We argue that in the coming decade, ecologists can combine remote sensing with the ERW to monitor restoration recovery and reference ecosystems for improved restoration outcomes at the local, regional, and landscape scales. The ERW approach can be adapted as a monitoring framework for projects to utilize the benefits of remote sensing and inform management through scalable, operational, and meaningful outcomes.",NA,NA,10.1111/rec.13724,{},included,NA
Valuing The Potential Impacts Of Geoss: A Systems Dynamics Approach,"Global earth observations are perceived as instrumental to attaining sustainable development goals. Methods to assess the long-run socioeconomic benefits of the emerging global Earth observation system of systems (GEOSS) as an integrated multisensor infrastructure have been missing to date. This chapter presents a systems dynamics approach to assess the effect of improvements in Earth observations across the nine societal benefit areas of the Group on Earth Observation (GEO). Two types of integration are assessed with the proposed model structure: (1) measuring benefits in an integrated assessment environment (e.g., improved weather forecasting through better measurement of cloud properties could lead to benefits in the agriculture, energy and water sectors); and (2) measuring benefits of an integrated observing system (e.g., in areas with high cloud cover, improvements in the resolution of optical sensors will lead to benefits only if linked to supplementary observing systems such a radar or ground surveys). The benefits from integration relate mostly to economies of scope on both the observation and benefit system sides. Cost reduction from economies of scale are derived from a global or large scale observing system vis-a-vis the currently prevailing patchwork system of national or regional observing systems. Results indicate that the total system benefits of GEOSS are usually orders of magnitude higher than their costs. Benefits are also policy dependent and tend to increase with the degree of implementation of mainly international environmental agreements. © Springer Science+Business Media Dordrecht 2012.",NA,NA,10.1007/978-94-007-4839-2_4,{},included,NA
The Efficacy Of Tm Satellite Imagery For Rapid Assessment Of Chihuahuan Xeric Habitat Intactness For Ecoregion-Scale Conservation Planning,"A critical step in designing effective conservation landscapes is the identification of relatively intact natural habitats. Satellite remote sensing has been effectively used to distinguish relatively intact and degraded forests at a number of scales. However, the utility of remote sensing data for rapid and cost-effective assessments of habitat intactness across large and regions has not been adequately tested. To this end, we tested the ability of TM imagery to rapidly discriminate different levels of habitat degradation across large regions of the Chihuahuan Desert. We were able to identify relatively intact habitat in many cases. However, degraded habitat was often misidentified as relatively intact. The use of both mid- and late-season imagery provides some improvement by highlighting phenological differences among the intactness classes. Overall, low vegetation cover and inter- and intra-seasonal variability diminish the utility of TM imagery for large-scale conservation planning in the Chihuahuan Desert. (C) 2002 Published by Elsevier Science Ltd.",NA,NA,10.1006/jare.2001.0984,{},included,NA
Using Landsat Satellite Data To Support Pesticide Exposure Assessment In California,"Background: The recent U. S. Geological Survey policy offering Landsat satellite data at no cost provides researchers new opportunities to explore relationships between environment and health. The purpose of this study was to examine the potential for using Landsat satellite data to support pesticide exposure assessment in California. Methods and Results: We collected a dense time series of 24 Landsat 5 and 7 images spanning the year 2000 for an agricultural region in Fresno County. We intersected the Landsat time series with the California Department of Water Resources (CDWR) land use map and selected field samples to define the phenological characteristics of 17 major crop types or crop groups. We found the frequent overpass of Landsat enabled detection of crop field conditions (e. g., bare soil, vegetated) over most of the year. However, images were limited during the winter months due to cloud cover. Many samples designated as single-cropped in the CDWR map had phenological patterns that represented multi-cropped or non-cropped fields, indicating they may have been misclassified. Conclusions: We found the combination of Landsat 5 and 7 image data would clearly benefit pesticide exposure assessment in this region by 1) providing information on crop field conditions at or near the time when pesticides are applied, and 2) providing information for validating the CDWR map. The Landsat image time-series was useful for identifying idle, single-, and multi-cropped fields. Landsat data will be limited during the winter months due to cloud cover, and for years prior to the Landsat 7 launch (1999) when only one satellite was operational at any given time. We suggest additional research to determine the feasibility of integrating CDWR land use maps and Landsat data to derive crop maps in locations and time periods where maps are not available, which will allow for substantial improvements to chemical exposure estimation.",NA,NA,10.1186/1476-072x-9-46,{},included,NA
Translating Marine Animal Tracking Data Into Conservation Policy And Management,"There have been efforts around the globe to track individuals of many marine species and assess their movements and distribution, with the putative goal of supporting their conservation and management. Determining whether, and how, tracking data have been successfully applied to address real-world conservation issues is, however, difficult. Here, we compile a broad range of case studies from diverse marine taxa to show how tracking data have helped inform conservation policy and management, including reductions in fisheries bycatch and vessel strikes, and the design and administration of marine protected areas and important habitats. Using these examples, we highlight pathways through which the past and future investment in collecting animal tracking data might be better used to achieve tangible conservation benefits.",NA,NA,10.1016/j.tree.2019.01.009,{},included,NA
The Economic Impact Analysis Of Satellite Development And Its Application In Korea,"Many countries began satellite development from the beginning of the space era and especially after the Apollo era. Korea started satellite development in 1992 by launching small satellite KITSAT-1 more than 20 years after the Apollo 11 lunar landing. Since then, Korea has developed 15 satellites including eight small satellites, five low earth orbit (LEO) Korean Multi-Purpose Satellites (KOMPSAT), and two geostationary orbit (GEO) satellites. Korea is currently developing KOMPSAT 6 and 7 with advanced optical and radar observation capability, GEO-KOMPSAT 2B, middle-sized Compact Advanced Satellites (CAS), and next generation small satellite (NEXTSat). These efforts will raise Korea's satellite technology to the next level. To prepare strategies for efficient and effective development of satellites, it is essential to elaborately assess the economic impacts of previous satellite development projects and their application. In this paper, we examine the economic impacts of Korea's investment into the research and development of national satellites, and their application in the perspective of satellite value chain. To this end, we conducted a cost-benefit analysis on the development of representative satellites. As non-economic impacts, we examined the change of technology independence and technology level, network building effect, and aerospace ecosystem activation effects.",NA,NA,10.1016/j.actaastro.2020.06.031,{},included,NA
Using Very High Resolution Remote Sensing For The Management Of Coral Reef Fisheries: Review And Perspectives,"Coral reef fisheries are critical for food security and as a source of income in developing and developed countries, but they are collapsing in many areas. Following the emergence and routine availability of commercial very high spatial resolution (0.6-10 m) multispectral satellite images, we reviewed the use of these new high-quality remote sensing data and products for coral reef fisheries management. The availability of habitats maps improves management by guiding sampling strategies, mapping resources, involving local communities, identifying conservation areas, and facilitating Ecosystem Based Fishery Management (EBFM) approaches. However, despite their potential, very little use of products designed specifically for fishery management can be reported, likely due to high costs, inherent technology limitations and lack of awareness on the possibilities. Given the theoretical benefits brought by relevant habitat maps in EBFM frameworks, we advocate the use of adequate remote sensing products that integrate fishery technical services demands and local requirements. (C) 2010 Elsevier Ltd. All rights reserved.",NA,NA,10.1016/j.marpolbul.2010.07.002,{},included,NA
Satellite Analysis Ready Data For The Sustainable Development Goals,"Satellite data efficiently prepared into analysis ready format have the potential to exploit the growing volumes of free and open data to address the United Nations Sustainable Development Goals (SDG). Combining these data with modern data management technologies, such as the Open Data Cube, allows users to rapidly produce analytical products and utilize time series data sets for change detection and interoperable use of diverse data sets. To demonstrate the potential of these data and systems to address the SDGs, several examples will be shown from the Africa Regional Data Cube. It is these use cases that demonstrate the value and impact of Earth observation data for a sustainable future. © 2022 American Geophysical Union.",NA,NA,10.1002/9781119536789.ch8,{},included,NA
The Social Value Of Earth Observation: A New Evaluation Framework For Public High-Tech Infrastructures,"This paper addresses the main challenges of evaluating the socio-economic impact of high-tech infrastructures, using Earth observation (EO) as an example. EO is a critical domain of the space economy, providing valuable insights into planet Earth's natural and societal aspects. As national agencies invest in high-tech infrastructures like EO, there is a growing need for evaluate their socio-economic returns (not to be confused with their financial returns). However, there is no clear consensus on how to assess such social impact. Building on a new field of studies of social cost-benefit analysis of research infrastructures and the socioeconomic impact of investment in the space economy, we propose a new evaluation framework that considers the various stakeholders along the EO value chain. This approach can be adapted to evaluate the socio-economic returns of other high-tech public infrastructures, such as telescopes, particle accelerators, genomic platforms, synchrotron light sources, supercomputers and cloud infrastructures.",NA,NA,10.1016/j.strueco.2023.09.003,{},included,NA
Integrating Remote Sensing In Natura 2000 Habitat Monitoring: Prospects On The Way Forward,"Monitoring and reporting on the state of nature gained increasing importance in the European Union with the implementation of the Habitats Directive and the Natura 2000 network. Reporting habitat conservation status requires detailed knowledge on many aspects of habitats at different spatial levels. Remote sensing is recognised as a powerful tool to acquire synoptic data on habitats, but to date, its use for Natura 2000 monitoring and reporting is still very limited. One reason for this appears to be the knowledge gap between the nature conservation agencies and the remote sensing community. We conducted a review of legal monitoring and reporting requirements on Natura 2000 habitats, looked into the current use of remote sensing in habitat reporting, and consulted monitoring experts in nature conservation administrations to find out about their attitude and expectations towards remote sensing. In this paper, we disclose and summarise the real data needs behind the legal requirements for Natura 2000 habitat monitoring and reporting, analyse opportunities and constraints for remote sensing, and highlight bottlenecks and pathways to resolve them. Monitoring experts are not unwilling to use remote sensing data, but they are unsure of whether remote sensing can suit their needs in a cost-effective way. They look upon remote sensing as a one-way process of data deliverance and fail to see the importance of their active cooperation. Based on our findings, we argue that the integration of remote sensing into Natura 2000 habitat monitoring could benefit from (1) harmonising and standardising approaches, (2) focusing on data at hand to develop readily useful products, (3) a proper validation of both traditional and remote sensing methods, and (4) an enhanced sharing and exchange of ideas and results between the different research communities involved. © 2010 Elsevier GmbH.",NA,NA,10.1016/j.jnc.2010.07.003,{},included,NA
"Smart Solutions For Municipal Flood Management: Overview Of Literature, Trends, And Applications In German Cities","The paper outlines the challenges municipalities face when it comes to dealing with flood disasters and identifies general concepts for smart solutions that address the challenges and help cities to improve their flood resilience. It follows a unique and novel transdisciplinary approach in that it condenses the scientific literature to the most salient concepts in the fields of big data, digital twins, and remote sensing and support. As for big data applications, their main improvement to conventional flood management stems from the integration of different data streams to improve situational awareness. Digital twins not only help to improve the speed and quality of management decisions by visualizing complex data in a simple and accessible way during a disaster; they can also simulate the evolution of a disaster while taking into account the unique characteristics and conditions of a city, thereby acting as a critical element of an early warning system. Remote sensing and support with UAV solve the problem of physical and informational access to a disaster zone. In conclusion, the paper shows that smart solutions can be of great benefit for flood management, and that cities should strive to enhance existing infrastructure and processes with digital technologies.",NA,NA,10.3390/smartcities6020046,{},included,NA
Layering Natural Resource And Human Resource Data For Planning Watershed Conservation Strategies,"This article provides a case study of how natural resource inventory information from preexisting geographic information system (GIS) data layers and an analysis of IKONOS satellite imagery can be combined with data from a survey of landowners to create a unique strategic planning process for watershed protection. The ability to identify important environmental features such as unfragmented forest, stream systems, and forested wetlands is an important part of watershed conservation projects, as is the ability to identify landowners cost/benefit perceptions and intentions concerning conservation practices such as forest stewardship. Together these two functions permit land protection techniques and landowner outreach strategies to be targeted where they will be most efficient and effective. Knowing the disposition of landowners in priority areas allows decision makers to plan their communication with these landowners strategically.",NA,NA,10.1080/08941920490261276,{},included,NA
Land Cover Classification In Mangrove Ecosystems Based On Vhr Satellite Data And Machine Learning-An Upscaling Approach,"Mangrove forests grow in the inter-tidal areas along coastlines, rivers, and tidal lands. They are highly productive ecosystems and provide numerous ecological and economic goods and services for humans. In order to develop programs for applying guided conservation and enhancing ecosystem management, accurate and regularly updated maps on their distribution, extent, and species composition are needed. Recent advances in remote sensing techniques have made it possible to gather the required information about mangrove ecosystems. Since costs are a limiting factor in generating land cover maps, the latest remote sensing techniques are advantageous. In this study, we investigated the potential of combining Sentinel-2 and Worldview-2 data to classify eight land cover classes in a mangrove ecosystem in Iran with an area of 768 km(2). The upscaling approach comprises (i) extraction of reflectance values from Worldview-2 images, (ii) segmentation based on spectral and spatial features, and (iii) wall-to-wall prediction of the land cover based on Sentinel-2 images. We used an upscaling approach to minimize the costs of commercial satellite images for collecting reference data and to focus on freely available satellite data for mapping land cover classes of mangrove ecosystems. The approach resulted in a 65.5\% overall accuracy and a kappa coefficient of 0.63, and it produced the highest accuracies for deep water and closed mangrove canopy cover. Mapping accuracies improved with this approach, resulting in medium overall accuracy even though the user's accuracy of some classes, such as tidal zone and shallow water, was low. Conservation and sustainable management in these ecosystems can be improved in the future.",NA,NA,10.3390/rs12172684,{},included,NA
Factors Affecting Farmer Adoption Of Remotely Sensed Imagery For Precision Management In Cotton Production,"This research evaluated the factors that influenced cotton (Gossypium hirsutum L.) producers to adopt remote sensing for variable-rate application of inputs. A logit model estimated with data from a 2005 mail survey of cotton producers in 11 southern USA states was used to evaluate the adoption of remote sensing. The most frequently made management decisions using remote sensing were the application of plant growth regulators, the identification of drainage problems and the management of harvest aids. A producer who was younger, more highly educated and had a larger farm with irrigated cotton was more likely to adopt remote sensing. In addition, farmers who used portable computers in fields and produced their own map-based prescriptions had a greater probability of using remote sensing. The results suggest that value-added map-making services from imagery providers greatly increased the likelihood of a farmer being a user of remote sensing.",NA,NA,10.1007/s11119-008-9065-1,{},included,NA
