title,key,author,journal,year,doi
"When Digital Technology Innovation Enhances Indigenous Peoples' E-Participation In Climate Change Resilience-Building: Perspectives Under The ""E-Gis Smart, Inclusive, And, Climate-Resilient Indigenous Peoples Landscape And Community Clearing-House Mechanism Solution""",manga_digitaltechnologyinnovationenhances_2023,"Manga, Sylvestre-Jose-Tidiane",Journal Of Environmental Planning And Management,2023,10.1080/09640568.2022.2078690
Advanced Processing Of Multiplatform Remote Sensing Imagery For The Monitoring Of Coastal And Mountain Ecosystems,marcello_advancedprocessingmultiplatformremote_2021,"Marcello, Javier and Eugenio, Francisco and Gonzalo-Martin, Consuelo and Rodriguez-Esparragon, Dionisio and Marques, Ferran",Ieee Access,2021,10.1109/access.2020.3046657
The Utility Of Infrequent Snow Depth Images For Deriving Continuous Space-Time Estimates Of Seasonal Snow Water Equivalent,margulis_utilityinfrequentsnowdepth_2019,"Margulis, Steven A. and Fang, Yiwen and Li, Dongyue and Lettenmaier, Dennis P. and Andreadis, Konstantinos",Geophysical Research Letters,2019,10.1029/2019gl082507
Biophysical Characterization Of Protected Areas Globally Through Optimized Image Segmentation And Classification,martinezlopez_biophysicalcharacterizationprotectedglobally_2016,"Martinez-Lopez, Javier and Bertzky, Bastian and Javier Bonet-Garcia, Francisco and Bastin, Lucy and Dubois, Gregoire",Remote Sensing,2016,10.3390/rs8090780
"A Call For An Aloft Air Quality Monitoring Network: Need, Feasibility, And Potential Value",mathur_callaloftairquality_2018,"Mathur, Rohit and Hogrefe, Christian and Hakami, Amir and Zhao, Shunliu and Szykman, James and Hagler, Gayle",Environmental Science \& Technology,2018,10.1021/acs.est.8b02496
Detection And Mapping The Spatial Distribution Of Bracken Fern Weeds Using The Landsat 8 Oli New Generation Sensor,matongera_detectionmappingspatialdistribution_2017,"Matongera, Trylee Nyasha and Mutanga, Onisimo and Dube, Timothy and Sibanda, Mbulisi",International Journal Of Applied Earth Observation And Geoinformation,2017,10.1016/j.jag.2016.12.006
Justification For Site-Specific Weed Management Based On Ecology And Economics,maxwell_justificationsitespecificweed_2005,"Maxwell, BD and Luschei, EC",Weed Science,2005,10.1614/ws-04-071r2
Crowdsourcing To Enhance Insights From Satellite Observations,mazumdar_crowdsourcingenhanceinsightssatellite_2018,"Mazumdar, Suvodeep and Wrigley, Stuart N. and Ciravegna, Fabio and Pelloquin, Camille and Chapman, Sam and De Vendictis, Laura and Grandoni, Domenico and Ferri, Michele and Bolognini, Luca",NA,2018,10.1007/978-3-319-70878-2\_2
Geocolor: A Blending Technique For Satellite Imagery,miller_geocolorblendingtechniquesatellite_2020,"Miller, Steven D. and Lindsey, Daniel T. and Seaman, Curtis J. and Solbrig, Jeremy E.",Journal Of Atmospheric And Oceanic Technology,2020,10.1175/jtech-d-19-0134.1
"Digital Soil Texture Mapping And Spatial Transferability Of Machine Learning Models Using Sentinel-1, Sentinel-2, And Terrain-Derived Covariates",mirzaeitalarposhti_digitalsoiltexturemapping_2022,"Mirzaeitalarposhti, Reza and Shafizadeh-Moghadam, Hossein and Taghizadeh-Mehrjardi, Ruhollah and Demyan, Michael Scott",Remote Sensing,2022,10.3390/rs14235909
Comparison Of Multi-Source Satellite Data For Quantifying Water Quality Parameters In A Mining Environment,modiegi_comparisonmultisourcesatellite_2020,"Modiegi, Monaledi and Rampedi, Isaac T. and Tesfamichael, Solomon G.",Journal Of Hydrology,2020,10.1016/j.jhydrol.2020.125322
The Value Of Rapid Damage Assessment For Efficient Earthquake Response,moltchanova_rapiddamageassessmentefficient_2011,"Moltchanova, Elena and Khabarov, Nikolay and Obersteiner, Michael and Ehrlich, Daniele and Moula, Micheline",Safety Science,2011,10.1016/j.ssci.2011.03.008
Unmanned Aircraft In Nature Conservation: An Example From Plant Invasions,mullerova_unmannedaircraftnatureconservation_2017,"Mullerova, Jana and Bartalos, Tomas and Bruna, Josef and Dvorak, Petr and Vitkova, Michaela",International Journal Of Remote Sensing,2017,10.1080/01431161.2016.1275059
Measurement Of Seagrass Standing Crop Using Satellite And Digital Airborne Remote Sensing,mumby_measurementseagrassstandingcrop_1997,"Mumby, PJ and Green, EP and Edwards, AJ and Clark, CD",Marine Ecology Progress Series,1997,10.3354/meps159051
Uav Assisted Spatiotemporal Analysis And Management Of Bushfires: A Case Study Of The 2020 Victorian Bushfires,munawar_uavassistedspatiotemporalanalysis_2021,"Munawar, Hafiz Suliman and Ullah, Fahim and Khan, Sara Imran and Qadir, Zakria and Qayyum, Siddra",Fire-Switzerland,2021,10.3390/fire4030040
Conservation Impacts Of A Near Real-Time Forest Monitoring And Alert System For The Tropics,musinsky_conservationimpactsrealtime_2018,"Musinsky, John and Tabor, Karyn and Cano, Carlos A. and Ledezma, Juan Carlos and Mendoza, Eddy and Rasolohery, Andriambolantsoa and Sajudin, Ermayanti R.",Remote Sensing In Ecology And Conservation,2018,10.1002/rse2.78
"Correlation Of Publication Frequency Of Newspaper Articles With Environment And Public Health Issues In Fire-Prone Peatland Regions Of Riau In Sumatra, Indonesia",ohashi_correlationpublicationfrequencynewspaper_2021,"Ohashi, Masafumi and Kameda, Akihiro and Kozan, Osamu and Kawasaki, Masahiro and Iriana, Windy and Tonokura, Kenichi and Naito, Daisuke and Ueda, Kayo",Humanities \& Social Sciences Communications,2021,10.1057/s41599-021-00994-5
"Practicing Critical Zone Observation In Agricultural Landscapes: Communities, Technology, Environment And Archaeology",opitz_practicingcriticalzoneobservation_2023,"Opitz, Rachel and De Smedt, Philippe and Mayoral-Herrera, Victorino and Campana, Stefano and Vieri, Marco and Baldwin, Eamonn and Perna, Carolina and Sarri, Daniele and Verhegge, Jeroen",Land,2023,10.3390/land12010179
Exploring The Potential Value Of Satellite Remote Sensing To Monitor Chlorophyll-A For Us Lakes And Reservoirs,papenfus_exploringpotentialsatelliteremote_2020,"Papenfus, Michael and Schaeffer, Blake and Pollard, I, Amina and Loftin, Keith",Environmental Monitoring And Assessment,2020,10.1007/s10661-020-08631-5
Autonomous Unmanned Aerial Vehicles In Bushfire Management: Challenges And Opportunities,partheepan_autonomousunmannedaerialvehicles_2023,"Partheepan, Shouthiri and Sanati, Farzad and Hassan, Jahan",Drones,2023,10.3390/drones7010047
Assumption-Versus Data-Based Approaches To Summarizing Species' Ranges,peterson_assumptionversusdatabased_2018,"Peterson, A. Townsend and Navarro-Siguenza, Adolfo G. and Gordillo, Alejandro",Conservation Biology,2018,10.1111/cobi.12801
"Evaporative Fluxes And Surface Soil Moisture Retrievals In A Mediterranean Setting From Sentinel-3 And The ""Simplified Triangle""",petropoulos_evaporativefluxessurfacesoil_2020,"Petropoulos, George P. and Sandric, Ionut and Hristopulos, Dionissios and Carlson, Toby Nahum",Remote Sensing,2020,10.3390/rs12193192
Remotely Sensed Data For Ecosystem Analyses: Combining Hierarchy Theory And Scene Models,phinn_remotelysenseddataecosystem_2003,"Phinn, SR and Stow, DA and Franklin, J and Mertes, LAK and Michaelsen, J",Environmental Management,2003,10.1007/s00267-002-2837-x
"Assessing The Effects Of Severe Weather Events Through Remote Sensing On Samothrace, Greece: Applications For The Management Of Cultural Resources",plekhov_assessingeffectssevereweather_2018,"Plekhov, Daniel and Levine, I, Evan",Journal Of Archaeological Science-Reports,2018,10.1016/j.jasrep.2018.09.002
"Study Of Productivity And Biomass Above The Ground, Using Vegetation Indices In Plantations Of Tectona Grandis L. (Teak) Located In Guanacaste, Costa Rica",porrasgranados_studyproductivitybiomassground_2022,"Porras-Granados, V, Arleth and Arias-Aguilar, Dagoberto and Soto-Montoya, Casia and Rios-Garro, Vinicio",Tecnologia En Marcha,2022,10.18845/tm.v35i6.6229
Nasa?S Global Precipitation Measurement Mission: Leveraging Stakeholder Engagement \& Applications Activities To Inform Decision-Making,portier_nasaglobalprecipitationmeasurement_2023,"Portier, Andrea and Kirschbaum, Dalia and Gebremichael, Mekonnen and Kemp, Eric and Kumar, Sujay and Llabres, Iker and Snodgrass, Eric and Wegiel, Jerry",Remote Sensing Applications-Society And Environment,2023,10.1016/j.rsase.2022.100853
Evaluating The Potential Of Freely Available Multispectral Remotely Sensed Imagery In Mapping American Bramble (Rubus Cuneifolius),rajah_evaluatingpotentialfreelymultispectral_2018,"Rajah, Perushan and Odindi, John and Mutanga, Onisimo",South African Geographical Journal,2018,10.1080/03736245.2018.1461683
A Study Of Autonomous Small Satellite Constellations For Disaster Management And Deep Space Strategy,rashed_studyautonomoussatelliteconstellations_2022,"Rashed, Mohammed Irfan and Bang, Hyochoong",Remote Sensing,2022,10.3390/rs14236148
The Advantages Of Using Drones Over Space-Borne Imagery In The Mapping Of Mangrove Forests,ruwaimana_advantagesdronesspaceborne_2018,"Ruwaimana, Monika and Satyanarayana, Behara and Otero, Viviana and Muslim, Aidy M. and Syafiq, Muhammad A. and Ibrahim, Sulong and Raymaekers, Dries and Koedam, Nico and Dahdouh-Guebas, Farid",Plos One,2018,10.1371/journal.pone.0200288
Maximizing Societal Benefit Across Multiple Hyperspectral Earth Observation Missions: A User Needs Approach,schiavon_maximizingsocietalbenefitmultiple_2023,"Schiavon, Emma and Taramelli, Andrea and Tornato, Antonella and Lee, Christine M. and Luvall, Jeffrey C. and Uz, Stephanie Schollaert and Townsend, Philip A. and Cima, Valentina and Geraldini, Serena and Xuan, Alessandra Nguyen and Valentini, Emiliana and Miller, Charles E.",Journal Of Geophysical Research-Biogeosciences,2023,10.1029/2023jg007569
Remote Sensing Applications For Precision Agriculture: A Learning Community Approach,seelan_remotesensingapplicationsprecision_2003,"Seelan, SK and Laguette, S and Casady, GM and Seielstad, GA",Remote Sensing Of Environment,2003,10.1016/j.rse.2003.04.007
Evapotranspiration Estimation Using Sebal Algorithm Integrated With Remote Sensing And Experimental Methods,shamloo_evapotranspirationestimationsebalalgorithm_2021,"Shamloo, Nazila and Taghi Sattari, Mohammad and Apaydin, Halit and Valizadeh Kamran, Khalil and Prasad, Ramendra",International Journal Of Digital Earth,2021,10.1080/17538947.2021.1962996
Remote Sensing And Site-Specific Weed Management,shaw_remotesensingsitespecific_2005,"Shaw, DR",Frontiers In Ecology And The Environment,2005,10.1890/1540-9295(2005)003[0526:rsaswm]2.0.co;2
On The Contribution Of Satellite Altimetry-Derived Water Surface Elevation To Hydrodynamic Model Calibration In The Han River,shen_contributionsatellitealtimetryderived_2020,"Shen, Youjiang and Liu, Dedi and Jiang, Liguang and Yin, Jiabo and Nielsen, Karina and Bauer-Gottwein, Peter and Guo, Shenglian and Wang, Jun",Remote Sensing,2020,10.3390/rs12244087
Overview And Applications Of The New York State Mesonet Profiler Network,shrestha_overviewapplicationsyorkmesonet_2021,"Shrestha, Bhupal and Brotzge, J. A. and Wang, J. and Bain, N. and Thorncroft, C. D. and Joseph, E. and Freedman, J. and Perez, S.",Journal Of Applied Meteorology And Climatology,2021,10.1175/jamc-d-21-0104.1
Accessing Satellite Imagery For Disaster Response Through The International Charter: Lessons Learned From The 2011 Us Midwestern Floods,sivanpillai_accessingsatelliteimagerydisaster_2017,"Sivanpillai, Ramesh and Jones, Brenda K. and Lamb, Rynn M.",Space Policy,2017,10.1016/j.spacepol.2017.08.003
Monitoring And Early Warning Systems - A Design For Human Survival,skyttner_monitoringwarningsystemsdesign_2002,"Skyttner, L",Kybernetes,2002,10.1108/03684920210417292
Exploring The Potential Of Google Earth As A Communication And Engagement Tool In Collaborative Natural Flood Management Planning,smith_exploringpotentialgoogleearth_2020,"Smith, Katherine and Berry, Robert and Clarke, Lucy E.",Geographical Journal,2020,10.1111/geoj.12323
"Economic Comparison Of Satellite, Plane And Uav-Acquired Ndvi Images For Site-Specific Nitrogen Application: Observations From Italy",sozzi_economiccomparisonsatelliteplane_2021,"Sozzi, Marco and Kayad, Ahmed and Gobbo, Stefano and Cogato, Alessia and Sartori, Luigi and Marinello, Francesco",Agronomy-Basel,2021,10.3390/agronomy11112098
The Enmap Hyperspectral Imager- : An Advanced Optical Payload For Future Applications In Earth Observation Programmes,stuffler_enmaphyperspectralimageradvanced_2007,"Stuffler, T. and Kaufmann, C. and Hofer, S. and Foerster, K. P. and Schreier, G. and Mueller, A. and Eckardt, A. and Bach, H. and Penne, B. and Benz, U. and Haydn, R.",Acta Astronautica,2007,10.1016/j.actaastro.2007.01.033
Grid-Scale Agricultural Land And Water Management: A Remote-Sensing-Based Multiobjective Approach,tang_gridscaleagriculturalland_2020,"Tang, Yikuan and Zhang, Fan and Engel, Bernard A. and Liu, Xiao and Yue, Qiong and Guo, Ping",Journal Of Cleaner Production,2020,10.1016/j.jclepro.2020.121792
Discharge Estimation And Forecasting By Modis And Altimetry Data In Niger-Benue River,tarpanelli_dischargeestimationforecastingmodis_2017,"Tarpanelli, Angelica and Amarnath, Giriraj and Brocca, Luca and Massari, Christian and Moramarco, Tommaso",Remote Sensing Of Environment,2017,10.1016/j.rse.2017.04.015
The Added Value Of A Proposed Satellite Imager For Ground Level Particulate Matter Analyses And Forecasts,timmermans_addedproposedsatelliteimager_2009,"Timmermans, Renske M. A. and Segers, Arjo J. and Builtjes, Peter J. H. and Vautard, Robert and Siddans, Richard and Elbern, Hendrik and Tjemkes, Stephen A. T. and Schaap, Martijn",Ieee Journal Of Selected Topics In Applied Earth Observations And Remote Sensing,2009,10.1109/jstars.2009.2034613
Conceptual Case For Assimilating Interferometric Synthetic Aperture Radar Data Into The Hazus-Mh Earthquake Module,tralli_conceptualassimilatinginterferometricsynthetic_2007,"Tralli, David M. and Blom, Ronald G. and Fielding, Eric J. and Donnellan, Andrea and Evans, Diane L.",Ieee Transactions On Geoscience And Remote Sensing,2007,10.1109/tgrs.2007.895848
Remote Sensing For Ecosystem Services And Urban Sustainability,trinder_remotesensingecosystemservices_2021,"Trinder, John C.",Photogrammetric Engineering And Remote Sensing,2021,10.14358/pers.87.3.189
Construction Of Super-Resolution Model Of Remote Sensing Image Based On Deep Convolutional Neural Network,wei_constructionsuperresolutionmodel_2021,"Wei, Zikang and Liu, Yunqing",Computer Communications,2021,10.1016/j.comcom.2021.06.022
Assessing Impacts Of Mining: Recent Contributions From Gis And Remote Sensing,werner_assessingimpactsminingrecent_2019,"Werner, T. T. and Bebbington, Anthony and Gregory, Gillian",Extractive Industries And Society,2019,10.1016/j.exis.2019.06.011
Development Of A Multi-Spatial Resolution Approach To The Surveillance Of Active Fire Lines Using Himawari-8,wickramasinghe_developmentmultispatialresolution_2016,"Wickramasinghe, Chathura H. and Jones, Simon and Reinke, Karin and Wallace, Luke",Remote Sensing,2016,10.3390/rs8110932
The Rocky Road From Research To Operations For Satellite Ocean-Colour Data In Fishery Management,wilson_rockyroadresearchoperations_2011,"Wilson, Cara",Ices Journal Of Marine Science,2011,10.1093/icesjms/fsq168
Comprehensive Analysis For Long-Term Hydrological Simulation By Deep Learning Techniques And Remote Sensing,xu_comprehensiveanalysistermhydrological_2022,"Xu, Chaowei and Wang, Yizhen and Fu, Hao and Yang, Jiashuai",Frontiers In Earth Science,2022,10.3389/feart.2022.875145
Disaster Management And Virtual Globes: A High Potential For Developing Countries,zeug_disastermanagementvirtualglobes_2013,"Zeug, Gunter and Brunner, Dominik",NA,2013,10.4018/978-1-4666-2038-4.ch095
A Sensor Web And Web Service-Based Approach For Active Hydrological Disaster Monitoring,zhai_sensorwebwebservice_2016,"Zhai, Xi and Yue, Peng and Zhang, Mingda",Isprs International Journal Of Geo-Information,2016,10.3390/ijgi5100171
Depthwise Separable Convolution Neural Network For High-Speed Sar Ship Detection,zhang_depthwiseseparableconvolutionneural_2019,"Zhang, Tianwen and Zhang, Xiaoling and Shi, Jun and Wei, Shunjun",Remote Sensing,2019,10.3390/rs11212483
Technological Innovations Bringing Spatial Technology To Precision Agriculture In The Northern Great Plains,zhang_technologicalinnovationsbringingspatial_2014,"Zhang, Xiaodong and Seelan, Santhosh and Nowatzki, John",Technology And Innovation,2014,10.3727/194982414x13971392823271
Satellite-Based Et Mapping To Assess Variation In Et With Timing Of Crop Development,tasumi_satellitebasedmappingassess_2007,"Tasumi, Masahiro and Allen, Richard G.",Agricultural Water Management,2007,10.1016/j.agwat.2006.08.010
Application Of China-Brazil Earth Resources Satellite In China,qiaoyuliangandzhaoshangminandliuzhenandjiabei_applicationchinabrazilearth_2009,Qiao Yuliang and Zhao Shangmin and Liu Zhen and Jia Bei,Advances In Space Research,2009,10.1016/j.asr.2008.07.015
Centers For Space Science And Technology Education - A United-Nations Initiative,abiodun_centersspacesciencetechnology_1993,"ABIODUN, AA",International Journal Of Remote Sensing,1993,10.1080/01431169308953992
Assessing The Impact Of L-Band Observations On Drought And Flood Risk Estimation: A Decision-Theoretic Approach In An Osse Environment,kumar_assessingimpactbandobservations_2014,"Kumar, Sujay V. and Harrison, Kenneth W. and Peters-Lidard, Christa D. and Santanello, Jr., Joseph A. and Kirschbaum, Dalia",Journal Of Hydrometeorology,2014,10.1175/jhm-d-13-0204.1
A Daily 25km Short-Latency Rainfall Product For Data-Scarce Regions Based On The Integration Of The Global Precipitation Measurement Mission Rainfall And Multiple-Satellite Soil Moisture Products,massari_daily25kmshortlatency_2020,"Massari, Christian and Brocca, Luca and Pellarin, Thierry and Abramowitz, Gab and Filippucci, Paolo and Ciabatta, Luca and Maggioni, Viviana and Kerr, Yann and Prieto, Diego Fernandez",Hydrology And Earth System Sciences,2020,10.5194/hess-24-2687-2020
