title,abstract,year,author,doi,screening_status,excl_reasons
Assessing The Impact Of L-Band Observations On Drought And Flood Risk Estimation: A Decision-Theoretic Approach In An Osse Environment,"Observing system simulation experiments (OSSEs) are often conducted to evaluate the worth of existing data and data yet to be collected from proposed new missions. As missions increasingly require a broader Earth systems focus, it is important that the OSSEs capture the potential benefits of the observations on end-use applications. Toward this end, the results from the OSSEs must also be evaluated with a suite of metrics that capture the value, uncertainty, and information content of the observations while factoring in both science and societal impacts. This article presents a soil moisture OSSE that employs simulated L-band measurements and assesses its utility toward improving drought and flood risk estimates using the NASA Land Information System (LIS). A decision-theory-based analysis is conducted to assess the economic utility of the observations toward improving these applications. The results suggest that the improvements in surface soil moisture, root-zone soil moisture, and total runoff fields obtained through the assimilation of L-band measurements are effective in providing improvements in the drought and flood risk assessments as well. The decision-theory analysis not only demonstrates the economic utility of observations but also shows that the use of probabilistic information from the model simulations is more beneficial compared to the use of corresponding deterministic estimates. The experiment also demonstrates the value of a comprehensive modeling environment such as LIS for conducting end-to-end OSSEs by linking satellite observations, physical models, data assimilation algorithms, and end-use application models in a single integrated framework.",NA,NA,10.1175/jhm-d-13-0204.1,included,NA
Testing And Validation Of Cloud Infrastructures For Earth Observation Services With Satellite Constellations,"Earth observation (EO) with satellites has been applied in different fields such as environment monitoring, natural disasters response, emergencies management, civil security, intelligence, maritime surveillance, and many others. Some of the application fields are very demanding in terms of system revisit time and product delivery time. This is the case of responses to natural disasters. However EO still presents critical challenges to overcome in order to cover the actual demand of services: (i) high revisit time, (ii) high response time, and (iii) easy and instant access to EO products. To increase the revisit time and broaden the applications of the remote sensing, new space concepts such as constellations and formations of satellites have been developed. However, the traditional ground infrastructures, which are required to process and store data, are expensive. Moreover, their limited scalability as well as their limited flexibility to manage large and variable amounts of imagery data shall also be considered. Along this work, we propose a cloud infrastructure for data management to be validated with a constellation of 17 satellites acquiring the Earth’s surface on a daily basis in order to offer high added value services for highly demanding applications. The satellites download the raw data images in a network of 12 ground stations distributed around the world to provide global coverage. The cloud system is based on previous works carried out by the research group. Thus the cloud infrastructure is tested and evaluated for its use in the EO sector and applied to different realistic scenarios, including an intensive comparison with a traditional system responding to the Lorca’s earthquake, which occurred in Spain in 2011. © 2015 Taylor & Francis.",NA,NA,10.1080/01431161.2015.1070324,included,NA
Technological Innovations Bringing Spatial Technology To Precision Agriculture In The Northern Great Plains,"In addition to land, labor, and capital, which have long been agriculture's traditional assets, technology and information management has become the fourth asset of increasing importance and has come to be known as precision agriculture. Information of both spatial and temporal dimensions is required for precision agriculture. Remote sensing imagery acquired from satellites, aircrafts, or unmanned aerial vehicles (UAVs) offers tremendous potential in providing information in both dimensions for precision crop management. Of course, spatial data is valuable only to the extent that it is timely delivered and properly interpreted to drive decision making. To help regional producers benefit from recent advancements in spatial technology, we have innovated in multiple frontiers, including sensor technology, Internet data delivery, and knowledge diffusion. Airborne Environmental Research Observational Camera and International Space Station Agriculture Camera were developed to provide near real-time high-resolution imagery. Data acquired by the two sensors and those by satellites are delivered to users through Digital Northern Great Plains (DNGP) and a zone-mapping application for precision agriculture (ZoneMAP), the two systems that were designed to allow regional producers access to remote sensing data easily and efficiently. By creating a learning community, we lowered the barrier for end users to understand and learn the technologies effectively from peers as well as professionals. Through continuous innovative efforts, we have been helping the producers utilizing the spatial technology to increase profit while reducing waste for over one decade.",NA,NA,10.3727/194982414x13971392823271,included,NA
Big Data Analysis Applied In Agricultural Planting Layout Optimization,"Mile is a region in Yunnan Province, China. The planting-related industry is its pillar industry. Its agricultural population accounts for 59.3\% of the total population. Temporal fluctuations of crop price and yield have a significant influence on farmers' revenue. Farmers' selection of crop species, crop planting strategy, and agricultural planting layout according to the market price is important in securing their revenue. In this study, we used a web crawler program to obtain a large amount of data on agricultural product prices from the Internet. Then, the price fluctuation trend of the main economic crops was analyzed by using the K-means clustering method. The net investment yield and the Sharpe ratio were used to compare the economic benefits and investment risks of 10 crops and five cultivation strategies in Mile. Furthermore, a comprehensive comparative advantage index, which integrates the net investment yield, Sharpe ratio, scale advantage index, productivity advantage index, and ecological suitability advantage index, was adopted to comprehensively measure the advantages of crop cultivation. Finally, we propose a spatial-temporal big data analysis model based on the cuckoo search algorithm to optimize the spatial layout of the main crops in Mile in 2017. Based on the comparative analysis of the remote sensing monitoring results and the spatial optimization layout results of the main crops in 2017, several suggestions were given. The results based on agricultural big data analysis, such as crop selection cluster analysis, economic benefit analysis, and crop planting layout optimization, can give suggests to farmers plant suitable crops on right lands, in right time. Thus, it can help farmers stabilize their revenue and minimize the risk by choosing the right crops and planting strategy in accordance with the local conditions.",NA,NA,10.13031/aea.12790,included,NA
Remote Sensing For Assessing Landslides And Associated Hazards,"Multi-platform remote sensing using space-, airborne and ground-based sensors has become essential tools for landslide assessment and disaster-risk prevention. Over the last 30 years, the multiplicity of Earth Observation satellites mission ensures uninterrupted optical and radar imagery archives. With the popularization of Unmanned Aerial Vehicles, free optical and radar imagery with high revisiting time, ground and aerial possibilities to perform high-resolution 3D point clouds and derived digital elevation models, it can make it difficult to choose the appropriate method for risk assessment. The aim of this paper is to review the mainstream remote-sensing methods commonly employed for landslide assessment, as well as processing. The purpose is to understand how remote-sensing techniques can be useful for landslide hazard detection and monitoring taking into consideration several constraints such as field location or costs of surveys. First we focus on the suitability of terrestrial, aerial and spaceborne systems that have been widely used for landslide assessment to underline their benefits and drawbacks for data acquisition, processing and interpretation. Several examples of application are presented such as Interferometry Synthetic Aperture Radar (InSAR), lasergrammetry, Terrestrial Optical Photogrammetry. Some of these techniques are unsuitable for slow moving landslides, others limited to large areas and others to local investigations. It can be complicated to select the most appropriate system. Today, the key for understanding landslides is the complementarity of methods and the automation of the data processing. All the mentioned approaches can be coupled (from field monitoring to satellite images analysis) to improve risk management, and the real challenge is to improve automatic solution for landslide recognition and monitoring for the implementation of near real-time emergency systems.",NA,NA,10.1007/s10712-020-09609-1,included,NA
Using The Social Cost Of Carbon To Value Earth Observing Systems,"The goal of this study is to show how to quantify the benefits of accelerated learning about key parameters of the climatic system and use this knowledge to improve decision-making on climate policy. The US social cost of carbon (SCC) methodology is used in innovative ways to value new Earth observing systems (EOSs). The study departs from the strict US SCC methodology, and from previous work, in that net benefits are used instead of only damages to calculate the value of information of the enhanced systems. In other respects the US SCC methodology is followed closely. We compute the surfeit expected net benefits of learning the actionable information earlier, with the enhanced system, versus learning later with existing systems. The enhanced systems are designed to give reliable information about climate sensitivity on accelerated timescales relative to existing systems; therefore, the decision context stipulates that a global reduced emissions path would be deployed upon receiving suitable information on the rate of temperature rise with a suitable level of confidence. By placing the enhanced observing system in a decision context, the SCC enables valuing this system as a real option. Policy relevance Uncertainty in key parameters of the climatic system is often cited as a barrier for near-term reductions of carbon emissions. It is a truism among risk managers that uncertainty costs money, and its reduction has economic value. Advancing policy making under uncertainty requires valuing the reduction in uncertainty. Using CLARREO, a new proposed EOS,as an example, this article applies value of information/real option theory to value the reduction of uncertainty in the decadal rate of temperature rise. The US interagency social cost of carbon directive provides the decision context for the valuations. It is shown that the real option value of the uncertainty reduction, relative to existing observing systems, is a very large multiple of the new system's cost. © 2016 Taylor & Francis.",NA,NA,10.1080/14693062.2015.1110109 and ce and real option value and social cost of carbon and value of in,included,NA
Resource Management In Rangeland,"Adequate assessments of vast expanses of rangeland-a primary prerequisite to effective conservation planning-require landscape-scale evaluations that accurately represent the resources (e.g., soil, vegetation, wildlife, water), the structure and function of the resource-providing systems, and the natural range of variation in measured resource condition indicators. We discuss why conventional rangeland survey methods are inadequate for this task and how geographic information systems, ground survey data, and high-altitude and/or satellite imagery can be used with 1-to 50-mm-resolution digital imagery and new software programs to make rangeland surveys more objective, repeatable, and cost effective. We then review example applications of rangeland surveys that we have conducted to answer specific landscape-scale management questions. The online exercise adds to the illustrated utility of these kinds of aerial surveys with hands-on examples of survey planning, database queries, and how to use commonly available software in data evaluation and analyses. © 2015 by Taylor and Francis Group, LLC.",NA,NA,10.1201/b18173-15,included,NA
Accuracy And Impact Of Spatial Aids Based Upon Satellite Enumeration To Improve Indoor Residual Spraying Spatial Coverage,"Background: Indoor residual spraying (IRS) is a key tool in the fight to control, eliminate and ultimately eradicate malaria. IRS protection is based on a communal effect such that an individual's protection primarily relies on the community-level coverage of IRS with limited protection being provided by household-level coverage. To ensure a communal effect is achieved through IRS, achieving high and uniform community-level coverage should be the ultimate priority of an IRS campaign. Ensuring high community-level coverage of IRS in malaria-endemic areas is challenging given the lack of information available about both the location and number of households needing IRS in any given area. A process termed 'mSpray' has been developed and implemented and involves use of satellite imagery for enumeration for planning IRS and a mobile application to guide IRS implementation. This study assessed (1) the accuracy of the satellite enumeration and (2) how various degrees of spatial aid provided through the mSpray process affected community-level IRS coverage during the 2015 spray campaign in Zambia. Methods: A 2-stage sampling process was applied to assess accuracy of satellite enumeration to determine number and location of sprayable structures. Results indicated an overall sensitivity of 94\% for satellite enumeration compared to finding structures on the ground. Results: After adjusting for structure size, roof, and wall type, households in Nchelenge District where all types of satellite-based spatial aids (paper-based maps plus use of the mobile mSpray application) were used were more likely to have received IRS than Kasama district where maps used were not based on satellite enumeration. The probability of a household being sprayed in Nchelenge district where tablet-based maps were used, did not differ statistically from that of a household in Samfya District, where detailed paper-based spatial aids based on satellite enumeration were provided. Conclusion: IRS coverage from the 2015 spray season benefited from the use of spatial aids based upon satellite enumeration. These spatial aids can guide costly IRS planning and implementation leading to attainment of higher spatial coverage, and likely improve disease impact.",NA,NA,10.1186/s12936-018-2236-2,included,NA
"Comparing The Information Content Of Coral Reef Geomorphological And Biological Habitat Maps, Amirantes Archipelago (Seychelles), Western Indian Ocean","Increasing the use of geomorphological map products in marine spatial planning has the potential to greatly enhance return on mapping investment as they are commonly two orders of magnitude cheaper to produce than biologically-focussed maps of benthic communities and shallow substrates. The efficacy of geomorphological maps derived from remotely sensed imagery as surrogates for habitat diversity is explored by comparing two map sets of the platform reefs and atolls of the Amirantes Archipelago (Seychelles), Western Indian Ocean. One mapping campaign utilised Compact Airborne Spectrographic Imagery (19 wavebands, 1 m spatial resolution) to classify 11 islands and associated reefs into 25 biological habitat classes while the other campaign used Landsat 7 + ETM imagery (7 bands, 30 m spatial resolution) to generate maps of 14 geomorphic classes. The maps were compared across a range of characteristics, including habitat richness (number of classes mapped), diversity (Shannon-Weiner statistic) and thematic content (Cramer's V statistic). Between maps, a strong relationship was revealed for habitat richness (R-2 = 0.76), a moderate relationship for class diversity and evenness (R-2 = 0.63) and a variable relationship for thematic content, dependent on site complexity (V range 0.43 -0.93). Geomorphic maps emerged as robust predictors of the habitat richness in the Amirantes. Such maps therefore demonstrate high potential value for informing coastal management activities and conservation planning by drawing on information beyond their own thematic content and thus maximizing the return on mapping investment. Crown Copyright (C) 2012 Published by Elsevier Ltd. All rights reserved.",NA,NA,10.1016/j.ecss.2012.06.001,included,NA
"Assessing The Effects Of Severe Weather Events Through Remote Sensing On Samothrace, Greece: Applications For The Management Of Cultural Resources","This article demonstrates the utility of high temporal and spatial resolution satellite imagery for the detection and study of the effects of intense surface runoff, particularly in respect to mitigation efforts to protect archaeological sites. We make use of PlanetScope imagery, which has recently become available as a freely available remote sensing data source with a revisit time of less than 24 hours, almost global coverage, and spectral and spatial resolution on par with other commercially available sensors. The high temporal resolution of PlanetScope data allows for better detection of changes in land cover that are the result of severe weather events, whose effects may be cleared up within several days of occurring or are more pronounced in the immediate aftermath of disturbances. Focusing on two severe storms that struck the island of Samothrace, in the northern Aegean, on July 17 and September 25/26 2017 respectively and which caused considerable damage to local infrastructure and archaeological sites, we test the utility of these data for detecting the island-wide distribution of the effects of these weather events. We find that these data are sufficiently sensitive to detect and quantify the extent of surface runoff processes and argue that the detection and monitoring capabilities of these data provide a useful tool for outlining policies to mitigate future damages to cultural heritage sites.",NA,NA,10.1016/j.jasrep.2018.09.002,included,NA
"Digital Soil Texture Mapping And Spatial Transferability Of Machine Learning Models Using Sentinel-1, Sentinel-2, And Terrain-Derived Covariates","Soil texture is an important property that controls the mobility of the water and nutrients in soil. This study examined the capability of machine learning (ML) models in estimating soil texture fractions using different combinations of remotely sensed data from Sentinel-1 (S1), Sentinel-2 (S2), and terrain-derived covariates (TDC) across two contrasting agroecological regions in Southwest Germany, Kraichgau and the Swabian Alb. Importantly, we tested the predictive power of three different ML models: the random forest (RF), the support vector machine (SVM), and extreme gradient boosting (XGB) coupled with the remote sensing data covariates. As expected, ML model performance was not consistent regarding the input covariates, soil texture fractions, and study regions. For example, in the Swabian Alb, the SVM model performed the best for the sand content with S2 + TDC (RMSE = 3.63\%, R-2 = 0.42), and XGB best predicted the clay content with S1 + S2 + TDC (RMSE = 6.84\%, R-2 = 0.64). In Kraichgau, the best models for sand (RMSE = 7.54\%, R-2 = 0.79) and clay contents (RMSE = 6.14\%, R-2 = 0.48) were obtained using XGB and SVM, respectively. Moreover, the results indicated that TDC were critical in estimating soil texture fractions, especially in Kraichgau, which indicated that topography plays an important role in defining the spatial distribution of soil properties. In contrast, the contribution of remote sensing data better predicted the silt and clay content in the Swabian Alb. The transferability of a region-specific model to the other region was low as indicated by poor predictive performance. The resulting soil-texture-fraction maps could be a significant source of information for efficient land resource management and environmental monitoring. Nonetheless, further research to evaluate the added value of the Sentinel imagery and to better analyze the spatial transferability of machine learning models is highly recommended.",NA,NA,10.3390/rs14235909,included,NA
"Correlation Of Publication Frequency Of Newspaper Articles With Environment And Public Health Issues In Fire-Prone Peatland Regions Of Riau In Sumatra, Indonesia","Forest fires in peatlands emit pollutants to the atmosphere, affecting public health. Though air quality data and epidemiology information are helpful in the management of the environment and public health, they are not always available. We aimed to reveal the utility of newspaper articles for estimating the public health concerns posed by air pollution. Using the database of a local newspaper, Riau Pos, in Riau Province of Sumatra, Indonesia, we have studied spatiotemporal correlations between publication frequency of newspaper articles mentioning search terms relevant to health issues and Fire Radiation Power (FRP) of peatland fires. FRP from one of the NASA satellite databases has been used as an index of air pollution caused by peatland fires. Visibility data for airport operation were also used as an index of particulate matter concentrations. The study regions are primarily the fire-prone Riau Province and nearby areas in the central area of Sumatra, Indonesia, from 2009 to 2018. Newspaper articles related to public health are found to be associated with FRP and visibility, or regional air pollution.",NA,NA,10.1057/s41599-021-00994-5,included,NA
Applications Of Geospatial Technologies For Precision Agriculture,"Agriculture remains one of the most important concerns for sustainable livelihood and employment. Precision Agriculture (PA) offers a sustainable management solution to meet the increasingly high demand of food and raw materials. PA is also believed to increase safety of the environment, reduce climate change effects, and improve food security. Farmers need to make timely decisions throughout the agricultural life cycle, that is, from paddock to plate. Crop management (from sowing till harvesting) is an important component of this cycle and needs apt decision by the farmers. Such decisions must be timely and precise, for example, how much of weedicide needs to be sprayed and where exactly in the fields it is needed. Geospatial technologies assist in identifying variabilities in soil, weather, water, and crop performance. These are important crop limiting factors and need to be addressed through various management operations. Geospatial technologies in combination with Internet of Things (IoT) guides farmers not only to identify these factors but also provide support in making optimal decisions. This process makes agriculture a digital entity and thus provides considerable information about the land characteristics of individual farms. Remotely sensed imagery is frequently used for mapping agricultural land use, crop yield prediction, and stress monitoring. Remote and in-situ sensors have been developed and used for mapping and monitoring of soil and water characteristics such as electrical conductivity, soil moisture, and microclimate of plants. This information is transformed into knowledge through using machine learning techniques. The potential of these machine learning techniques to monitor various types of crop stresses has been explored to a large extent during past 10 years and more recently deep learning techniques are being developed owing to the rapid advancements in computing capabilities. This chapter, firstly, introduces the need of PA in response to economic and environmental impacts of increased food production to feed about eight billion people. While introducing its need, we argue that PA needs to be adopted as a management philosophy. Secondly, enabling geospatial technologies including Geographic Information System (GIS) and Remote Sensing (RS) has been discussed in relation to their utility in PA. After giving the reader an idea about the magnitude of data obtained using GIS and RS techniques, big data analytics have been presented to show its potential for operationalizing PA. Thirdly, a state-of-the-art conceptual system of PA is described along with the practical use of geospatial technologies for its various components with practical examples from Australian Center for International Agriculture Research's (ACIAR) funded projects. However, the user can be doubtful when it comes to data sharing. Lastly, survey results have been shared with the readers to apprise them of the use of technology in agriculture relevant to PA components. © 2023 Elsevier Inc. All rights reserved.",NA,NA,10.1016/b978-0-443-18953-1.00004-0,included,NA
Managing Agricultural Water Considering Water Allocation Priority Based On Remote Sensing Data,"To fairly distribute limited irrigation water resources in arid regions, a water allocation priority evaluation method based on remote sensing data was proposed and integrated with an optimization model. First, the water supply response unit was divided according to canal system conditions. Then, a spatialization method was used for generating spatial agricultural output value (income from planting industry) and grain yield (yield of food crops) with the help of NDVI and the potential yield of farmland. Third, the AHP-TOPSIS method was employed to calculate the water allocation priority based on the above information. Finally, the evaluation results were integrated with a nonlinear multiobjective model to optimally allocate agricultural land and water resources, considering the combined objective of minimum envy and proportional fairness. The method was applied to Hetao irrigation area, an arid agriculture-dominant region in Northwest China. After solving the model, optimization alternatives were obtained, which indicate that: (1) the spatial method of agricultural output value can improve the accuracy by around 16\% compared with the traditional method, and the spatial method of grain yield also have good accuracy (MAPE = 14.66\%); (2) the rank of water allocation priority can reflect more spatial information, and provide practical decision support for the distribution of water resources; (3) the envy index can better improve the efficiency of an allocation system compared to the Gini coefficient method.",NA,NA,10.3390/rs13081536,included,NA
Mapping Of Potential Fuel Regions Using Uncrewed Aerial Vehicles For Wildfire Prevention,"This paper presents a comprehensive forest mapping system using a customized drone payload equipped with Light Detection and Ranging (LiDAR), cameras, a Global Navigation Satellite System (GNSS), and Inertial Measurement Unit (IMU) sensors. The goal is to develop an efficient solution for collecting accurate forest data in dynamic environments and to highlight potential wildfire regions of interest to support precise forest management and conservation on the ground. Our paper provides a detailed description of the hardware and software components of the system, covering sensor synchronization, data acquisition, and processing. The overall system implements simultaneous localization and mapping (SLAM) techniques, particularly Fast LiDAR Inertial Odometry with Scan Context (FASTLIO-SC), and LiDAR Inertial Odometry Smoothing and Mapping (LIOSAM), for accurate odometry estimation and map generation. We also integrate a fuel mapping representation based on one of the models, used by the United States Secretary of Agriculture (USDA) to classify fire behavior, into the system using semantic segmentation, LiDAR camera registration, and odometry as inputs. Real-time representation of fuel properties is achieved through a lightweight map data structure at 4 Hz. The research results demonstrate the effectiveness and reliability of the proposed system and show that it can provide accurate forest data collection, accurate pose estimation, and comprehensive fuel mapping with precision values for the main segmented classes above 85\%. Qualitative evaluations suggest the system's capabilities and highlight its potential to improve forest management and conservation efforts. In summary, this study presents a versatile forest mapping system that provides accurate forest data for effective management.",NA,NA,10.3390/f14081601,included,NA
"Cloud Data And Computing Services Allow Regional Environmental Assessment: A Case Study Of Macquarie-Castlereagh Basin, Australia","Large amounts of data at various temporal and spatial scales require terabyte (TB) level storage and computation, both of which are not easy for researchers to access. Cloud data and computing services provide another solution to store, process, share and explore environmental data with low costs, stronger computation capacity and easy access. The purpose of this paper is to examine the benefits and challenges of using freely available satellite data products from Australian Geoscience DataCube and Google Earth Engine (GEE) online data with time series for integrative environmental analysis of the Macquarie-Castlereagh Basin in the last 15 years as a case study. Results revealed that the cloud platform simplifies the procedure of traditional catalog data processing and analysis. The integrated analysis based on the cloud computing and traditional methods represents a great potential as a low-cost, efficient and user-friendly method for global and regional environmental study. The user can save considerable time and cost on data integration. The research shows that there is an excellent promise in performing regional environmental analysis by using a cloud platform. The incoming challenge of the cloud platform is that not all kinds of data are available on the cloud platform. How data are integrated into a single platform while protecting or recognizing the data property, or how one portal can be used to explore data archived on different platforms represent considerable challenges. © 2019, Science Press, Northeast Institute of Geography and Agroecology, CAS and Springer-Verlag GmbH Germany, part of Springer Nature.",NA,NA,10.1007/s11769-019-1040-4,included,NA
Bioclimatic Variables From Precipitation And Temperature Records Vs. Remote Sensing-Based Bioclimatic Variables: Which Side Can Perform Better In Species Distribution Modeling?,"Bioclimatic variables are considered as an indispensable data type in species distribution modeling. Such variables are available from the WorldClim database for the entire earth surface and at various spatial resolutions. Moreover, convenient access to real-time satellite data and their products has recently created a new way to produce environmental variables. Therefore, in the present study, it was attempted to compare the performance of bioclimatic variables derived from precipitation and temperature instrumental records (scenario I) and variables derived from remote sensing data (scenario II) where both scenarios were from 2001 to 2017. The variables were employed to predict the distribution of Artemisia sieberi in central Iran through five Species Distribution Models (SDMs) such as Generalized Linear Model (GLM), Random Forest (RF), Classification Tree Analysis (CTA), Multivariate Adaptive Regression Splines (MARS), and Maximum Entropy (Maxent). The DEM layer was derived from 90-m Shuttle Radar Topography Mission (SRTM), 1-km MODIS land surface temperature and vegetation indices products, and downscaled PERSIANN-CDR precipitation data were employed as derivations of temperature and precipitation to produce bioclimatic variables for scenario II. The results obtained from independent sample t-test on AUC(ratio) values derived from the correlative models showed that it had more satisfactory results when they were getting from the data of scenario II than the scenario I (p < .01). RF scored the highest partial AUC values (AUC(ratio)) among the single models, and based on both scenarios, ensemble map was able to provide the most accurate predictions. There were also non-significant differences among the performance of RF, CTA and ensemble models under two scenarios (p < .01). Results emphasized the importance of bioclimatic variables derived from remote sensing to produce more up-to-date information and also to improve the predictive performance of SDMs. Finally, it was suggested that convenient access to reliable and up-to-date information can assist modelers to outline management practices well.",NA,NA,10.1016/j.ecoinf.2020.101060,included,NA
Implication Of Geo-Informatics (Gis/Rs) On Agricultural Irrigation Management: The State Of The Art,"The agricultural sector is the highest water consumer worldwide. Its production is the essential pillar in world’s food security. Limited water resources are the major constraint in an agricultural production system. Better application of irrigation water will result in increased water and land productivity for the planted crops. Precision irrigation is one of the promising keys to solve this dilemma. It allows applying the exact needed amount of water in its optimal place at the right time. Yet, this requires a huge information database to be accurately able to apply precision irrigation. The traditional trial-and-error technique in agricultural experiments to improve land and water productivity is time-consuming and sometimes is economically unaffordable. Thus, there is a need to develop more cost-effective and accurate tools to correctly survey world’s natural resources and its most sustainable exploitation. Geo-informatics implication in combination with suitable decision support systems plays a relevant role in water management in agricultural sector, especially when applying precision irrigation and farming techniques. This chapter aims to provide an overview about the implication of geo-informatics (with a special focus on geographic information systems and remote sensing) in irrigation water management on both local level (Egypt) and international level. Although geo-informatics applications for agricultural management have been used since the early 1980s, still there is a place for further research to maximize the benefits of its use. Public involvement is critically needed to ensure sustainability of applied water management programs using geo-informatics. © 2017, Springer International Publishing AG.",NA,NA,10.1007/698_2017_174,included,NA
Using Remote Sensing As A Support To The Implementation Of The European Marine Strategy Framework Directive In Sw Portugal,"The exclusive economic zones (EEZ) of coastal countries are coming under increasing pressure from various economic sectors such as fishing, aquaculture, shipping and energy production. In Europe, there is a policy to expand the maritime economic sector without damaging the environment by ensuring that these activities comply with legally binding Directives, such as the Marine Strategy Framework Directive (MSFD). However, monitoring an extensive maritime area is a logistical and economic challenge. Remote sensing is considered one of the most cost effective, methods for providing the spatial and temporal environmental data that will be necessary for the effective implementation of the MSFD. However, there is still a concern about the uncertainties associated with remote sensed products. This study has tested how a specific satellite product can contribute to the monitoring of a MSFD Descriptor for ""good environmental status"" (GES). The results show that the quality of the remote sensing product Algal Pigment Index 1 (API 1) from the MEdium Resolution Imaging Spectrometer (MERIS) sensor of the European Space Agency for ocean colour products can be effectively validated with in situ data from three stations off the SW Iberian Peninsula. The validation results show good agreement between the MERIS API 1 and the in situ data for the two more offshore stations, with a higher coefficient of determination (R-2) of 0.79, and with lower uncertainties for the average relative percentage difference (RPD) of 24.6\% and 27.9\% and a root mean square error (RMSE) of 0.40 and 0.38 for Stations B and C, respectively. Near to the coast, Station A has the lowest R-2 of 0.63 and the highest uncertainties with an RPD of 112.9\% and a RMSE of 1.00. It is also the station most affected by adjacency effects from the land: when the Improved Contrast between Ocean and Land processor (ICOL) is applied the R-2 increases to 0.77 and there is a 30\% reduction in the uncertainties estimated by RPD. The MERIS API 1 product decreases from inshore to offshore, with higher values occurring mainly between early spring and the end of the summer, and with lower values during winter. By using the satellite images for API 1, it is possible to detect and track the development of algal blooms in coastal and marine waters, demonstrating the usefulness of remote sensing for supporting the implementation of the MSFD with respect to Descriptor 5: Eutrophication. It is probable that remote sensing will also prove to be useful for monitoring other Descriptors of the MSFD. (C) 2015 The Authors. Published by Elsevier Ltd. This is an open access article under the CC BY-NC-ND license.",NA,NA,10.1016/j.csr.2015.03.011,included,NA
"Evaporative Fluxes And Surface Soil Moisture Retrievals In A Mediterranean Setting From Sentinel-3 And The ""Simplified Triangle""","Earth Observation (EO) makes it possible to obtain information on key parameters characterizing interactions among Earth's system components, such as evaporative fraction (EF) and surface soil moisture (SSM). Notably, techniques utilizing EO data of land surface temperature (Ts) and vegetation index (VI) have shown promise in this regard. The present study investigates, for the first time, the accuracy of one such technique, known as the ""simplified triangle"", using Sentinel-3 EO data, acquired for 44 days in 2018 at three savannah FLUXNET sites in Spain. The technique was found to be able to predict both EF and SSM with reasonable accuracy when compared to collocated ground measurements. Comparisons performed for all days together showed relatively low Root Mean square Difference (RMSD) for both EF (0.191) and SSM (0.012 cm(3) cm(-3)) and good correlation coefficients (R) of 0.721 and 0.577, respectively. Both EF and SSM were also largely in agreement with land cover and seasonal variability. The present study comprises the first detailed assessment of the ""simplified triangle"", in this case, using Sentinel-3 data and in a Mediterranean setting. Findings, albeit preliminary, are of significant value regarding the use of the investigated technique as a tool of environmental management, and towards ongoing, worldwide efforts aiming at developing operationally relevant products based on the Ts/VI feature space and EO data based on new satellites such as Sentinel-3.",NA,NA,10.3390/rs12193192,included,NA
Conceptual Case For Assimilating Interferometric Synthetic Aperture Radar Data Into The Hazus-Mh Earthquake Module,"The study of the Earth as a system is being adopted widely by geoscientists. Numerical models and simulations are providing the capability to rapidly test hypotheses and make forecasts of complex geophysical behavior. International efforts are seeking to integrate existing and emerging Earth observation systems into a global network, with enhanced data distribution, models, and decision support tools. Remote sensing is poised to fulfill the increasing need for a synoptic framework. However, the desire to improve the connection between scientific research and societal benefits has not been matched with resources and tools required to bridge the gap between research and applications. Natural hazards research and disaster management are a prime example. Here, we present a conceptual case for how interferometric synthetic aperture radar (InSAR) data could make a definitive contribution to understanding earthquake processes while simultaneously supporting policy- and decision-making. InSAR measurements derived from time series of radar observations from Earth orbit uniquely can provide geographically comprehensive maps of surface deformation. Observing system simulations are suggested to evaluate the potential contributions of a future system. Simulations would adopt an open seismic hazard analysis (SHA) framework, OpenSHA, recognizing the need for more physics-based modeling and computational infrastructure. SHA is employed by the HAZUS-MH earthquake module to estimate losses. InSAR measurements of strain accumulation would provide event magnitude recurrence bounds for probabilistic SHA, while coseismic InSAR measurements would add constraints on fault rupture models for deterministic approaches. Moreover, interferograms would be incorporated graphically as proxy seismic risk maps for planning and mitigation.",NA,NA,10.1109/tgrs.2007.895848,included,NA
Compliance With European Union Environmental Law: An Analysis Of Digitalization Effects On Institutional Capacities,"This article presents evidence for the positive effects of digitalization on the institutional capacity of key stakeholders, which is a necessary precondition for narrowing the existing implementation gap in European Union environmental law. Based on document analysis and semistructured interviews with actors involved in the implementation process, four main factors are considered. First, the Commission's institutional capacity benefits from a change of focus of the reporting system from textual information to data and indicators and by the development of new data harvesting methods. Second, subnational actors have improved their institutional capacity through knowledge transfers and strategic planning, facilitated by better information and communication technology and statistical data. Third, inspection networks benefitted from technical advances, such as the access to satellite images, presenting new opportunities for the detection of environmental crimes, and new software programs facilitating risk-based inspections. Finally, citizens' and nongovernmental organizations' improved access to data and to justice in environmental matters strengthened their monitoring capacities.",NA,NA,10.1002/eet.1877,included,NA
