title,author,year,n_tokens,summary,error,pass,screening_decision,reason_for_exclusion,Quick notes,econ_method,societal_benefit,value_units,eo_data,applied_science_theme,revisited
The Value of Weather Information in Market Equilibrium,"Babcock, Bruce A.",1990,8335,"In the paper ""The Value of Weather Information in Market Equilibrium"" by Bruce A. Babcock, the author employs a stylized economic model to explore how improved weather forecasts affect the welfare of farmers and market equilibrium. Here is a summary of the methods used to estimate or quantify the societal benefits of satellite or Earth Observation data, particularly weather information.    ### Methods Overview    1. **Model Framework**:     - The study utilizes a competitive production model with rational expectations. Farmers are assumed to make decisions based on forecasts of weather, which affects both the physical productivity of their inputs and market prices.     - The model includes a representative farmer who operates under a production function influenced by weather inputs, which can take on different states (good or bad weather).    2. **Value of Information Calculation**:     - The value of weather information for an individual farmer is calculated as the difference between expected returns or utility using the forecasted information and without it. This involves estimating expected profits under different weather scenarios.     - The aggregate value of weather information is defined as the sum of individual values for all farmers in the market.    3. **Rational Expectations**:     - Farmers are assumed to have rational expectations, meaning they consider how other farmers will respond to information when making their own production decisions.     - The model incorporates the aggregate actions of all farmers to determine how individual decisions affect market prices and supply.    4. **Demand Elasticity Analysis**:     - The paper distinguishes between elastic and inelastic demand scenarios. It shows that improvements in weather information can lead to different outcomes depending on the elasticity of demand for agricultural products.     - For inelastic demand, improved forecasts may lead to lower expected profits because increased supply (due to better weather forecasts) can reduce market prices without sufficiently increasing revenue.    5. **Input Use Adjustments**:     - The analysis assesses how farmers adjust their input use (e.g., fertilizers, labor) based on the accuracy of weather forecasts. The model predicts that with more accurate forecasts, farmers may reduce their input use if they expect lower average prices due to increased supply.     - The study employs calculus to differentiate the expected profit functions with respect to input use to determine the marginal value of improved weather information.    6. **Expected Supply Calculation**:     - The expected supply is derived from the production decisions made under different weather conditions and forecast accuracies. The paper mathematically analyzes how the average use of inputs changes as the accuracy of forecasts increases.     - The results show that improved weather forecasts might decrease expected supply when farmers respond to lower expected prices by reducing input use, even if overall productivity potential increases.    7. **Counterintuitive Findings**:     - The paper concludes that better weather information does not universally lead to increased welfare for farmers, particularly when demand is inelastic. Instead, it shows that farmers can be worse off as improved forecasts lead to lower market prices, offsetting any potential productivity gains.    ### Conclusion  Babcock's study provides a nuanced perspective on the societal benefits of weather information through a rigorous economic model. It highlights the importance of considering market dynamics, demand elasticity, and farmer behavior when evaluating the value of satellite and Earth Observation data in agriculture. The findings suggest that simply improving the accuracy of weather forecasts may not always result in better economic outcomes for farmers, especially in markets characterized by inelastic demand.",NA,1,Include,,not satellite specifically,equilibrium model,ag production,conceptual,climate forecast,agriculture,x
Estimating the Social Value of Geologic Map Information: A Regulatory Application,"Bernknopf, Richard L. and Brookshire, David S. and McKee, Michael and Soller, David R.",1997,8164,"The paper ""Estimating the Social Value of Geologic Map Information: A Regulatory Application"" by Bernknopf et al. employs a structured approach to quantify the societal benefits derived from improved geologic map information, particularly in the context of regulatory land use decision-making. Below is a summary of the methods used in the study:    ### Key Methods    1. **Economic Decision Framework**:     - The authors develop a model that incorporates the objectives of regulators and utilizes geologic map information to evaluate land-use decisions.     - The model assesses whether investments in additional geologic map information are socially justified by comparing the economic impacts of decisions made with new versus existing data.    2. **Risk Assessment**:     - The analysis incorporates the concept of risk associated with land use, where the regulatory standard (acceptable risk) is defined based on geologic characteristics.     - The probability of violating the regulatory standard is modeled, with regulators aiming to minimize this probability using improved geologic information.    3. **Public Choice Model**:     - The regulatory behavior is modeled as that of a risk-averse agent who maximizes utility, balancing monetary payoffs against risk reduction.     - The regulators’ decisions are influenced by the uncertainty associated with geologic attributes, which are described using probability distributions.    4. **Geographic Information System (GIS)**:     - A GIS is used to incorporate both geologic and economic data to analyze the impact of improved geologic map information on regulatory decisions at two different scales.     - The GIS facilitates the integration of detailed geologic data into the decision-making framework.    5. **Comparison of Geologic Data**:     - The study compares the existing geologic map (1:500,000 scale from 1963) to an improved geologic map (1:100,000 scale from 1992). The latter provides more detailed and accurate geologic information.     - The benefits of the improved map are quantified by evaluating the changes in regulatory outcomes (e.g., siting decisions for waste disposal facilities).    6. **Loss Avoidance Calculation**:     - The benefits of improved geologic information are assessed by calculating the expected losses avoided due to better regulatory decisions. This involves estimating the potential losses from environmental hazards (e.g., groundwater contamination) based on geologic attributes.     - The expected loss avoided is calculated as the product of the probability of a loss occurring and the monetary value of that loss.    7. **Demonstration Study**:     - The paper presents a case study in Loudoun County, Virginia, where the improved geologic map information is applied to site a waste disposal facility.     - The analysis shows that using improved geologic information leads to more informed regulatory decisions, resulting in significant societal benefits in terms of avoided losses from potential contamination.    8. **Net Benefit Calculation**:     - The net social benefits of the improved geologic map are derived by subtracting the costs of producing the new map from the estimated societal value of the avoided losses.     - The study concludes with a quantification of net benefits, providing evidence for the economic value of accurate geologic information in regulatory applications.    ### Conclusion  Overall, the paper effectively illustrates how improved geologic map information can enhance regulatory decision-making, reduce environmental risks, and yield substantial societal benefits. The methods employed, including economic modeling, risk assessment, GIS analysis, and empirical demonstration, provide a robust framework for evaluating the value of geologic information in public policy contexts.",NA,1,Include,,not satellite,voi,reduced loss and harm from land use decisions based on reduced uncertainty,various,usgs geologic maps,various,x
"A New Process for Organizing Assessments of Social, Economic, and Environmental Outcomes: Case Study of Wildland Fire Management in the USA","Bruins, Randall Jf and Munns, Wayne R and Botti, Stephen J and Brink, Steve and Cleland, David and Kapustka, Larry and Lee, Danny and Luzadis, Valerie and Falk McCarthy, Laura and Rana, Naureen and Rideout, Douglas B and Rollins, Matt and Woodbury, Peter and Zupko, Mike",2010,17595,"The paper presents a comprehensive method termed Integrated Problem Formulation (IPF) aimed at improving the assessment of social, economic, and environmental outcomes in wildland fire management. The key methods used to estimate or quantify the societal benefits of satellite or Earth observation data, particularly in the context of wildland fire management, include:    1. **Integrated Problem Formulation (IPF)**: This process combines traditional planning and problem formulation steps with an emphasis on integrating ecological, economic, and social outcomes. It consists of eight guiding questions that help clarify the decision context, management objectives, and alternative strategies, facilitating a structured approach to assessment.    2. **Assessment Endpoints**: The paper emphasizes defining clear, measurable endpoints that reflect the management objectives. These endpoints are tailored to capture the societal benefits derived from various management alternatives. For example, endpoints may include the expected number of fires contained during initial response, acres treated for hazardous fuels, or improvements in air quality.    3. **Modeling and Simulation**: The study employs various modeling techniques to simulate the impacts of fire management strategies. These models predict how different management actions will affect the identified assessment endpoints over time, including their social and economic implications.    4. **Valuation Techniques**: The paper discusses different methods to value the expected changes in assessment endpoints. This includes both monetary and non-monetary approaches that account for ecological, social, and economic values. The use of multi-criteria decision analysis techniques is highlighted to integrate diverse values and objectives into the decision-making process.    5. **Cost-Effectiveness Analysis**: The authors emphasize the importance of modeling the costs associated with different management strategies, ensuring that the allocation of resources is optimized for maximum societal benefit. This includes comparing the costs of fire suppression versus proactive fuel management.    6. **Stakeholder Involvement**: A critical aspect of the methodology is engaging stakeholders throughout the assessment process. This ensures that diverse perspectives and values are integrated into the evaluation of management alternatives, helping to ground the analysis in real-world concerns.    7. **Data Integration**: The paper discusses the integration of various data sources, including satellite and Earth observation data, to inform assessments. This data is essential for understanding environmental conditions, fire risks, and the potential impacts of different management strategies.    8. **Performance Measures**: The development of performance measures aligned with the assessment endpoints allows for effective monitoring and evaluation of the management actions taken. These measures provide a means to assess the effectiveness of fire management strategies in achieving desired social, economic, and ecological outcomes.    By employing these methods, the paper aims to create a structured framework for assessing the complex interplay of fire management decisions and their broader societal impacts, facilitating more informed and effective management practices.",NA,1,Exclude,Data not valued,This is more about an improved decisionmaking process rather than anything about the ESI that goes into the decisionmaking,,,,,,x
Assessing the Usability and Potential Value of Seasonal Climate Forecasts in Land Management Decisions in the Southwest UK: Challenges and Reflections,"Bruno Soares, Marta",2017,5743,"The paper by Marta Bruno Soares, presented at the 16th EMS Annual Meeting and 11th European Conference on Applied Climatology, assesses the usability and potential value of Seasonal Climate Forecasts (SCF) for supporting land management decisions in Southwest UK. The study focuses on a semi-operational climate service prototype called the Land Management Tool (LMTool), developed in collaboration with local farmers.    ### Key Methods Used to Assess Usability and Value of SCF:    1. **Co-development Approach**: The LMTool was developed through a participatory approach involving farmers. This included continuous feedback from farmers to tailor the tool to their needs, ensuring relevance and usability.    2. **Workshops**: A workshop was conducted where farmers identified critical decisions related to their farming practices for the upcoming months. This helped in understanding the context in which SCF could be applied.    3. **Decision Calendars**: Farmers were encouraged to create decision calendars during the workshop. These calendars helped outline the timing of key decisions, the weather conditions affecting those decisions, and other influencing factors such as labor and financial resources.    4. **Follow-up Interviews**: After the winter season, follow-up interviews with selected farmers were conducted to reflect on their experiences with the SCF and their decision-making processes. This qualitative method provided insights into how forecasts influenced their decisions and the perceived value of the information.    5. **Qualitative Analysis**: The study employed a qualitative analysis to capture the farmers' experiences and perceptions regarding the usefulness of SCF. This included assessing how SCF impacted their decision-making regarding activities such as crop spraying and land management.    6. **Identifying Challenges**: The research identified several challenges in using SCF, including the complexity of farm decisions, farmers’ trust in probabilistic forecasts, and the need for longer-term SCF availability to build confidence among users.    ### Findings on Societal Benefits:  - Farmers who utilized SCF reported that it helped them adapt their decision-making and avoid unnecessary costs. However, the quantification of these benefits in economic terms proved challenging.  - The study underscores the importance of developing methods that can effectively capture the complex decision-making processes in agriculture and the associated benefits of using SCF.    ### Conclusion:  The paper emphasizes the need for ongoing evaluations and the development of new research methods to better assess the usability and societal benefits of SCF in agricultural decision-making. Building trust in SCF through sustained engagement and improving the clarity and relevance of the information provided are critical for enhancing its utility in farming practices.",NA,1,Include,,not satellite specifically,stated preference,ag production,qualitative,climate forecast,agriculture,x
Assessing the Value of Seasonal Climate Forecasts for Decision-making,"Bruno Soares, Marta and Daly, Meaghan and Dessai, Suraje",2018,24509,"The paper titled ""Assessing the Value of Seasonal Climate Forecasts for Decision-Making"" by Marta Bruno Soares, Meaghan Daly, and Suraje Dessai explores the methods used to estimate the societal benefits of seasonal climate forecasts (SCFs) in decision-making contexts. The authors review various economic and social research methodologies aimed at quantifying the value of SCFs. Here is a summary of the key methods discussed in the paper:    1. **Decision Theory-Based Models**: These models assess how agents make decisions to maximize objectives based on potential payoffs from using SCFs compared to climatological information. The value of SCFs is defined as the difference in expected outcomes when decisions are made with versus without SCFs. This approach often combines with management or production models to optimize decisions under different climate scenarios.    2. **General Equilibrium Models (GEM)**: GEMs consider the interconnectedness of decision-makers, reflecting how SCF use by one sector (e.g., agriculture) can influence others (e.g., prices in markets). While these models are complex and not frequently used for SCF valuation, they can inform partial equilibrium models that assess the economic effects of SCFs within a specific sector.    3. **Contingent Valuation (CV)**: A survey-based method that estimates the monetary benefits of non-marketed goods and services, CV assesses how much individuals are willing to pay (WTP) for SCFs or to receive compensation for their loss. This method has been applied to understand WTP among farmers for SCFs in various studies.    4. **Benefit Transfer**: This method uses existing economic values from one context (the ""study"" site) and applies them to a different context (the ""policy"" site). It is often employed due to its resource efficiency but faces challenges related to transferability and reliability.    5. **Qualitative and Participatory Studies**: These approaches emphasize the involvement of users in the evaluation process. They gather insights through interviews and focus groups to understand how SCFs are perceived and used in decision-making. They can capture non-economic benefits and the contextual factors affecting SCF value, although they may lack the quantitative rigor of other methods.    6. **Ex Ante and Ex Post Valuations**: The paper distinguishes between ex ante valuations (based on expected responses) and ex post valuations (based on observed responses). Ex ante studies are more common, but ex post studies can provide a clearer picture of the actual value derived from SCFs.    Overall, the authors stress the importance of integrating diverse methodological approaches to capture the full spectrum of benefits associated with SCFs. They advocate for co-evaluation with decision-makers to ensure that the valuation process reflects real-world complexities and user needs.",NA,1,Exclude,review,"good examination of the term ""value"" in context of seasonal climate forecasts though",,,,,,x
The Value of Climate Information When Farm Programs Matter,"Cabrera, Victor E. and Letson, David and Podest{\'a}, Guillermo",2007,10023,"The paper ""The Value of Climate Information When Farm Programs Matter"" by Cabrera et al. (2007) employs a comprehensive methodology to estimate the societal benefits of climate information, specifically focusing on the value of El Niño-Southern Oscillation (ENSO)-based climate forecasts for agricultural decision-making in a representative farm in North Florida. Below is a summary of the key methods used in the paper to estimate the societal benefits of Earth Observation data related to climate forecasts.    ### 1. **Study Design and Case Selection**  - The study centers on a representative 130 ha rainfed farm in Jackson County, Florida, growing peanuts, cotton, and maize. This specific case was selected due to its relevance to other major agricultural regions in the Southeastern U.S.    ### 2. **Climate Data and Yield Simulation**  - Historical climate data (1939-2003) were used, focusing on daily weather records to characterize rainfall and temperature variations associated with different ENSO phases.  - Crop yield simulations were conducted using biophysical crop models integrated into the Decision Support System for Agrotechnology Transfer (DSSAT). Yield predictions were adjusted to reflect locally reported averages.  - A stochastic yield generator was developed to produce synthetic crop yield distributions based on the simulation results, allowing for a more extensive analysis of yield variability.    ### 3. **Economic Component**  - **Price Simulation**: A stochastic multivariate distribution of crop prices was generated to reflect historical price variability. This involved collecting monthly average prices and applying statistical techniques (e.g., principal component analysis) to ensure the synthetic prices maintained the correlation structure of historical data.  - **Production Costs**: Variable and fixed production costs for each crop were incorporated based on local agricultural budgets.    ### 4. **Whole Farm Model**  - A stochastic non-linear whole farm model was developed to simulate farm decision-making under uncertainty, factoring in climate forecasts and federal farm programs (Commodity Loan Programs and Crop Insurance Programs).  - The model aimed to identify optimal crop selection and planting dates while maximizing expected utility based on different levels of risk aversion.    ### 5. **Expected Value of Information (EVOI) Calculation**  - The value of climate forecasts (EVOI) was estimated by comparing simulated net margins with and without the use of ENSO forecast information. This calculation was repeated across various risk aversion levels to understand how farmers’ risk preferences affected the value they derived from the forecasts.    ### 6. **Sensitivity Analysis**  - The impact of federal farm programs on the value of climate forecasts was analyzed. The authors assessed how these programs might enhance or limit the effectiveness of forecast information, revealing that the overall value of climate information decreased when such programs were in place, particularly for risk-averse farmers.    ### 7. **Results Interpretation**  - The analysis highlighted that the value of climate information is highly dependent on the risk aversion level of the farmer and the presence of government programs. Farmers with higher risk aversion could still derive considerable benefits from climate forecasts, especially during favorable ENSO phases.    ### Conclusion  The paper underscores the importance of integrating economic modeling with climate data to evaluate the societal benefits of Earth Observation data in agricultural decision-making. The methodology outlined provides a framework for assessing the economic impact of climate forecasts, particularly in the context of farm programs and risk management strategies, showcasing how such information can be harnessed to improve agricultural resilience and decision-making under uncertainty.",NA,1,Include,,not satellite specifically,farm decision model,ag production,dollars,climate forecast,agriculture,x
Agricultural Value of ENSO Information under Alternative Phase Definition,"Chen, Chi-Chung and McCarl, Bruce and Hill, Harvey",2002,8457,"The paper ""Value of ENSO Information to Agriculture Under Alternative ENSO Phase Definitions"" by Chi-Chung Chen et al. investigates the impact of the El Niño-Southern Oscillation (ENSO) on agricultural productivity and welfare by comparing the value of forecasts derived from two different definitions of ENSO phases: a three-phase model and a five-phase model. The methods employed to estimate societal benefits of satellite or Earth Observation data regarding agricultural responses to ENSO information are as follows:    ### Data Collection and Preparation  1. **Historical Data Gathering**: The authors collected crop yield data from 1972 to 1993 for 63 U.S. regions across 13 crops and total crop production data for 28 world regions. This comprehensive dataset was sourced from USDA agricultural statistics.      2. **Regression Analysis**: A regression-based approach was employed to remove systematic trends from the data. Independent variables included acreage, lagged yields, and time, allowing for the construction of a multivariate unconditional probability distribution of yields, which represents the crop yields across all crops and regions regardless of ENSO state.    3. **ENSO Phase Grouping**: The researchers constructed a conditional probability distribution of yields based on the ENSO phase definitions. They grouped yield data according to either the three-phase or five-phase definitions, which enabled them to analyze the effects of knowing an impending ENSO event on agricultural outcomes.    ### Modeling Framework  4. **Stochastic Agricultural Model**: The authors utilized a stochastic multi-commodity, multi-country agricultural model, termed ""GlobalASM,"" which simulates agricultural production across 63 U.S. regions and 28 world regions. This model incorporates varying weather states and allows for the assessment of how different ENSO phase definitions affect agricultural welfare.    5. **Decision Tree Approach**: The model employed a decision tree to represent different climate events and phases. It simulated adjustments in crop mix, storage, and consumption decisions based on the knowledge of which ENSO phase was occurring, and allowed for the exploration of potential welfare gains from improved information.    ### Simulation Scenarios  6. **Scenario Simulation**: The researchers conducted several scenarios to estimate the agricultural value of ENSO information:     - A baseline scenario without any ENSO phase information.     - A scenario using the three-phase definition.     - A scenario utilizing the five-phase definition.     - A “perfect foresight” scenario where decisions are made based on the exact nature of all past ENSO events.    7. **Welfare Measurement**: The outcomes included measuring total welfare gains, consumer surplus, producer surplus, and foreign surplus under each scenario. The differences in these welfare measures across scenarios provided insights into the value of improved ENSO forecasts.    ### Results Analysis  8. **Welfare Impacts**: The results indicated a substantial increase in welfare from the use of five-phase forecasts compared to three-phase forecasts, nearly doubling the estimated benefits. The findings highlighted the potential for further improvements if additional refinements to forecast methodologies were made.    9. **Sensitivity Analysis**: The variability of welfare measures was also assessed, showing that more refined phase definitions led to reduced variability in welfare outcomes for both U.S. consumers and producers.    ### Conclusion  The study concluded that enhanced ENSO phase information significantly benefits agricultural decision-making, allowing for better adaptation to climatic variations, ultimately leading to improved agricultural sector welfare. The methods used effectively quantified the societal benefits of satellite-based climate forecasts by demonstrating their direct application in agricultural yield predictions and resource management.    This comprehensive methodological framework showcases the effective use of historical data, statistical analysis, and simulation modeling to estimate the societal benefits derived from improved climate information in agriculture.",NA,1,Include,,"improved enso information, i.e., five phase vs three phase - not specifically satellite",stochastic model and voi,ag production,dollars,climate forecast,agriculture,x
The Value of El Nino Forecasts in the Management of Salmon: A Stochastic Dynamic Assessment,"Costello, Christopher J. and Adams, Richard M. and Polasky, Stephen",1998,12367,"The paper by Costello, Adams, and Polasky focuses on estimating the societal benefits of improved El Niño forecasts within the context of the management of the Pacific Northwest coho salmon fishery. The authors employ a bioeconomic model that integrates biological, climatological, and economic data to assess the value of improved forecasting for decision-making in fisheries management.    ### Key Methods Used:    1. **Bioeconomic Modeling**:     - The authors develop a stochastic dynamic model that combines biological dynamics (like fish growth and survival) with economic decision-making under uncertainty. This model captures the interaction between the El Niño-Southern Oscillation (ENSO) phases and salmon populations, allowing for the assessment of management strategies in response to climate variability.    2. **Value of Information (VoI)**:     - The VoI is calculated through a Bayesian framework that updates prior probabilities of different ENSO phases based on forecast accuracy. The expected net present value (NPV) of management outcomes is compared under different information scenarios (no forecast, imperfect forecast, and perfect forecasts) to determine the benefits derived from improved forecasting.    3. **Forecast Scenarios**:     - Several forecasting models are analyzed:       - **Naive Model**: Assumes no knowledge of ENSO conditions.       - **Certainty Equivalence Model**: Manages based on expected average conditions.       - **Hedge Model**: Incorporates some level of uncertainty in forecasts.       - **Improved Forecasts**: Examines the impact of various accuracy levels of one-year and multi-year forecasts.    4. **Dynamic Programming**:     - The authors employ dynamic programming techniques to solve for optimal management strategies over time, given the uncertainty in future ocean conditions and their impact on salmon survival and reproduction.    5. **Welfare Analysis**:     - The analysis includes multiple components of welfare, such as:       - **Consumer Surplus**: Derived from recreational fishing and the existence value of maintaining wild salmon populations.       - **Producer Quasi-Rents**: Associated with commercial fishing activities.       - **Passive-Use Values**: The value non-users place on the existence of healthy salmon populations.     - The results quantify how these welfare components shift under different management strategies influenced by forecasting accuracy.    6. **Statistical Analysis**:     - The study integrates empirical data and statistical analysis to estimate biological parameters, such as survival rates and recruitment functions, which are affected by ENSO conditions.    ### Summary of Findings:  - The paper finds that perfect El Niño forecasts could yield significant welfare gains (estimated at approximately $1 million annually), while imperfect forecasts still provide some benefits, albeit lesser.  - The optimal management strategy under uncertainty favors conservative approaches, resulting in lower harvest rates and higher wild fish escapement compared to management without consideration of ENSO forecasts.  - The analysis indicates that improving short-term forecast accuracy is more beneficial than merely extending the forecast horizon, highlighting the importance of timely and accurate climate information in fisheries management.    This comprehensive approach provides insights into the economic value of climate data and its implications for sustainable fishery management, emphasizing the need for continued investment in forecasting capabilities.",NA,1,Include,,not satellite specifically,bioeconomic model;voi,fishery production; sustainability,dollars,climate forecast,fisheries,x
Spatio-Temporal Design for a Water Quality Monitoring Network Maximizing the Economic Value of Information to Optimize the Detection of Accidental Pollution,"Destandau, Fran{\c c}ois and Zaiter, Youssef",2020,8713,"The paper titled ""Spatio-temporal design for a water quality monitoring network maximizing the economic value of information to optimize the detection of accidental pollution"" by Destandau and Zaiter presents a novel methodology for optimizing water quality monitoring networks (WQMNs) by estimating the Economic Value of Information (EVOI) derived from such networks. Here’s a summary of the key methods used to estimate or quantify societal benefits from satellite or Earth Observation data in the context of water quality monitoring:    1. **Economic Value of Information (EVOI):**      - The authors utilize the concept of EVOI, which is calculated based on Bayesian decision theory. This approach allows decision-makers to update their beliefs about the state of nature (e.g., water quality) based on new information acquired through monitoring.     - EVOI is defined as the difference between the expected utility of decisions made with new information versus those made without it. This quantifies the value that additional monitoring data can provide in terms of improved decision-making.    2. **Bayesian Framework:**     - The Bayesian method is central to the analysis, allowing for the integration of prior beliefs (initial probabilities about water quality states) with new data from monitoring stations. This iterative updating process helps refine the understanding of water quality conditions over time.    3. **Spatio-temporal Network Design:**     - The study focuses on optimizing both the spatial locations and the temporal frequency of monitoring stations. This dual optimization is crucial for maximizing the EVOI, as it highlights the trade-offs between the number of stations, their locations, and the frequency of measurements.     - Two scenarios are explored: one where damage from pollution is uniform across the river and another where damage decreases downstream. The optimization of monitoring stations is tailored to these specific damage scenarios.    4. **Cost-Benefit Analysis:**     - The methodology incorporates a cost-benefit analysis framework, allowing for the assessment of whether the costs associated with the monitoring network are justified by the benefits it generates in terms of reduced environmental damage.     - The net benefit is calculated as the difference between the EVOI and the costs of establishing and operating the monitoring stations.    5. **Optimization under Budget Constraints:**     - The paper presents a method to determine the optimal combination of monitoring stations and detection probabilities within the constraints of a fixed budget. This involves the use of iso-cost curves (representing combinations of costs) and indifference curves (representing combinations of benefits) to identify the most efficient design for the network.    6. **Simulation and Parameter Estimation:**     - The authors run simulations using chosen parameters to illustrate the relationships between the number of monitoring stations, detection probabilities, and the resulting EVOI. This empirical approach aids in visualizing how changes in design parameters impact the overall effectiveness of the monitoring network.    7. **Societal Benefits:**     - By quantifying the benefits derived from improved detection of accidental pollution through enhanced monitoring, the study provides a framework for policymakers and resource managers to justify investments in monitoring infrastructure. This includes assessing the societal impacts of preventing pollution events through timely detection and response.    Overall, the paper integrates economic analysis with environmental monitoring to demonstrate how strategically designed WQMNs can yield significant societal benefits, particularly in the context of managing water quality and preventing pollution. The methodologies developed can inform future research and practical applications in environmental management and policy-making.",NA,1,Include,,not satellite,voi,reduction of damage due to water pollution,,water quality monitoring network,water resources,x
Willingness to Pay for Soil Information Derived by Digital Maps: A Choice Experiment Approach,"Diafas, Iason and Panagos, Panos and Montanarella, Luca",2013,8765,"The paper ""Willingness to Pay for Soil Information Derived by Digital Maps: A Choice Experiment Approach"" by Iason Diafas, Panos Panagos, and Luca Montanarella (2013) employs a choice experiment (CE) methodology to estimate the economic value of soil information obtained from new digital mapping technologies. Here’s a summary of the methods used, especially focusing on how societal benefits of satellite or Earth Observation data are quantified.    ### 1. Choice Experiment Methodology:  The authors utilize a choice experiment, a stated preference method, to derive the willingness to pay (WTP) for various attributes of digital soil maps. This approach allows respondents to express their preferences for different features of the maps by presenting them with hypothetical scenarios (choice sets).    - **Design of Choice Sets**: The choice sets included various attributes related to soil information, such as:    - Spatial resolution (low, medium, high)    - Measurement accuracy for different soil properties (e.g., carbon content, water content)    - Inclusion of map interpretation    - Price per hectare    Each choice set presented respondents with two alternatives and an opt-out option, encouraging them to make trade-offs between the features and price.    ### 2. Survey Administration:  The survey was administered online to a sample of approximately 1,085 potential users from diverse backgrounds, including academia, government, and private sectors. The respondents were specifically targeted to ensure they had a genuine interest in soil maps, which was crucial for obtaining accurate WTP estimates.    ### 3. Econometric Modeling:  The WTP values were estimated using a Random Parameter Logit (RPL) model, which allows for the capture of preference heterogeneity across respondents—an essential aspect since different users may value attributes differently.    - **Utility Function**: The utility for each alternative was modeled as a function of its attributes and respondent characteristics. The model incorporated both deterministic and stochastic elements to account for observable and unobservable influences on choices.    - **WTP Calculation**: WTP for specific attributes was derived from the estimated coefficients of the utility function. The implicit price of each attribute was calculated, allowing for the estimation of the overall WTP for complete alternative versions of the mapping tool.    ### 4. Results and Interpretation:  The results indicated significant WTP for high-resolution and high-accuracy maps, particularly for the inclusion of map interpretation. The study found that the average WTP for a high-quality soil map could be as high as €447 per hectare, reflecting the perceived societal benefits of using enhanced soil information for agricultural and environmental purposes.    ### 5. Implications for Societal Benefits:  The choice experiment approach provides valuable insights into how users value different features of soil information derived from satellite or Earth Observation data. By translating user preferences into monetary terms, the study highlights the economic benefits associated with improved soil mapping technologies, which can inform policy decisions and investments in environmental management.    In summary, the paper utilizes a choice experiment to quantify the economic value of soil information derived from digital maps, effectively demonstrating the societal benefits of enhanced soil data through WTP estimations. This method not only provides direct insights into user preferences but also serves as a model for valuing similar environmental information derived from Earth Observation technologies.",NA,1,Include,,not satellite,choice experiment,ag production,dollars,digital soil map,agriculture,x
How to Measure the Economic Health Cost of Wildfires -- A Systematic Review of the Literature for Northern America,"Dittrich, Ruth and McCallum, Stuart",2020,15803,"The paper ""How to Measure the Economic Health Cost of Wildfires – A Systematic Review of the Literature for Northern America"" by Ruth Dittrich and Stuart McCallum examines methodologies employed to quantify the economic health costs associated with wildfire smoke exposure. The authors systematically reviewed studies from 2006 onward, particularly focusing on the health impacts of wildfire smoke and the economic approaches used to estimate associated costs.    ### Key Methods Used to Estimate Societal Benefits of Satellite or Earth Observation Data in Context of Wildfires:    1. **Literature Review and Synthesis**:     - The authors conducted a comprehensive literature search using academic databases and search engines to identify relevant studies. This included a focus on peer-reviewed articles and grey literature related to health impacts from wildfire smoke, particularly in North America.     - The review filtered studies based on specific criteria, ultimately identifying 47 relevant studies, 12 of which estimated economic health impacts, with five utilizing the BenMAP-CE tool.    2. **Economic Valuation Framework**:     - The authors discussed the use of economic concepts such as **Value of Statistical Life (VSL)**, **Cost of Illness (COI)**, and **Willingness to Pay (WTP)** for health impacts.      - VSL was used to estimate the monetary value associated with reducing mortality risk. WTP measures were derived through both revealed preference (market behavior) and stated preference (surveys asking for individuals' WTP for risk reductions).    3. **Use of BenMAP-CE Software**:     - A detailed examination was provided on the **BenMAP-CE** (Environmental Benefits Mapping and Analysis Program - Community Edition), which is an open-source software developed by the EPA for estimating the economic benefits of air quality improvements.     - The paper highlights how BenMAP-CE allows users to input air quality data, apply dose-response functions for health impacts, and assign economic values to health impacts, making the analysis of wildfire-related health costs more systematic and accessible.    4. **Dose-Response Functions**:     - The authors emphasized the importance of selecting appropriate dose-response functions that relate pollutant exposure levels (such as PM2.5 from wildfire smoke) to health outcomes (e.g., respiratory and cardiovascular diseases).     - They noted the differences in outcomes depending on whether wildfire-specific or urban air quality dose-response functions were used, with wildfire-specific functions often yielding higher morbidity costs.    5. **Comparative Analysis**:     - The paper discusses the variances in cost estimates arising from different methodologies and assumptions employed by various studies. It suggests that standardizing methodologies could enhance comparability and reliability of estimates across studies.    6. **Health Impact and Cost Estimation**:     - The authors analyzed how the economic costs associated with health impacts from wildfires include direct costs (medical expenses, hospital admissions) and indirect costs (lost productivity, quality of life reductions).     - The findings consistently indicated that the health costs from wildfire smoke exposure are substantial, often reaching millions or billions of dollars annually.    ### Conclusion:  The review underscored the critical need for incorporating health costs into the broader economic analysis of wildfires, highlighting the significant societal benefits of using satellite and Earth observation data to monitor air quality and predict health impacts from wildfires. The methodologies discussed offer a framework for future research and policy-making aimed at mitigating the adverse health effects of wildfire smoke through informed decision-making and resource allocation.",NA,1,Exclude,review,,,,,,,x
