title,author,year,n_tokens,summary,error,pass
Intangible Economic Benefit of Remote Sensing Data in Indonesia,"Diana, Shinta Rahma and Ibrahim, Ida Musdafia",2020,7899,"The paper titled ""Intangible Economic Benefit of Remote Sensing Data in Indonesia"" examines the intangible economic benefits of remote sensing activities in Indonesia. Here is a summary of the methods used in the study:    1. **Research Design**: The study employed qualitative techniques for descriptive and exploratory research.    2. **Data Collection**:      - Questionnaire: The research collected data through questionnaires distributed to end-users of remote sensing information from LAPAN in Indonesia, particularly in the agriculture and palm oil sectors.     - In-Depth Interviews: In-depth interviews were conducted with end-users in the Indonesian Center for Agricultural Land Resources Research and Development and the Indonesian Sustainable Palm Oil research department.    3. **Questionnaire Structure**:     - Perceived System Quality: Adaptability/portability, availability/response time, reliability/economy, usability/understandability.     - Information Quality: Completeness, user-friendliness, user satisfaction, relevance/use, security.     - User Satisfaction: Level of satisfaction, repeat uses, appropriateness of use.     - Intended Use: Nature of use, navigation patterns, number of visits, number of transactions executed.     - Net Benefit: Cost savings, work quality, decision making, reduced search costs, time savings.    4. **Sampling**:     - Purposive Sampling: Respondents included users of LAPAN's remote sensing data.       5. **Data Analysis**:     - Descriptive Analysis: Questionnaire results indicated high levels of user satisfaction and intended use of remote sensing information.     - In-Depth Interviews: Revealed the economic benefits of remote sensing in the agriculture and palm oil sectors, with an average of 64% cost savings post-implementation.    6. **Results and Discussion**:     - System and Information Quality: Respondents rated remote sensing information positively, highlighting benefits in work quality and productivity.     - Net Benefit: Remote sensing led to cost savings and improved decision-making capacity for both individuals and organizations.       7. **Implications and Recommendations**:     - The study confirmed the intangible economic benefits of remote sensing in Indonesia, demonstrating LAPAN's success in providing economic value.     - Recommendations include the continued utilization and development of remote sensing for societal and economic benefits.    Overall, the study utilized a combination of questionnaires and in-depth interviews to explore the intangible economic benefits of remote sensing data provided by LAPAN in Indonesia, primarily in the agriculture and palm oil sectors.",NA,1
CEOS Contributions to Informing Energy Management and Policy Decision Making Using Space-Based Earth Observations,"Eckman, Richard S. and Stackhouse, Paul W.",2012,4516,"The paper describes a variety of methods used to estimate and quantify the societal benefits of satellite or Earth Observation data in the energy sector. The methods employed include stakeholder engagement and marketing, engagement with professional societies, presenting research at conferences, utilizing publications in traditional and web-based formats, creating an internet presence for search engine visibility, creating tailored data products for end-users, and collaborating with international organizations.     Several case studies are presented in the paper, demonstrating the utility of data sets derived from Earth observations in enhancing decision-making in the energy sector. These case studies include the use of tailored data products for renewable energy resource assessment, the application of data in decision support tools like the RetScreen and HOMER models, and the utilization of Earth observations to forecast space weather impacts on the power grid.     Overall, the methods described in the paper highlight the importance of engaging with stakeholders and end-users, providing data in formats familiar and useful to decision makers, and collaborating with international partners to effectively leverage Earth observation data for societal benefit in the energy sector.",NA,1
Seeing Our Planet Whole: A Cultural and Ethical View of Earth Observation,"Eyres, Harry",2017,1532,"The paper ""Seeing Our Planet Whole: A Cultural and Ethical View of Earth Observation"" covers a wide range of topics related to Earth observation and its societal implications. While the methods used to estimate or quantify the societal benefits of satellite or Earth Observation data are not explicitly outlined in the provided summary, it seems that the paper integrates multiple disciplines such as history, philosophy, environmental ethics, and aesthetics to provide a holistic view of Earth observation.    Some of the key themes and methods discussed in the paper include:    1. Historical Context: The paper delves into the historical evolution of Earth observation, starting from ancient times to the modern era. It emphasizes the significance of past cultural and scientific developments in shaping our current understanding of the Earth.    2. Ethical Frameworks: The paper explores various ethical perspectives related to environmental conservation, sustainability, and responsibility. It discusses the evolution of environmental ethics from ancient philosophies to modern-day considerations, including the role of different belief systems in shaping attitudes towards the natural world.    3. Aesthetic Considerations: The paper highlights the aesthetic potential of Earth observation data, examining how artistic expressions, such as poetry, music, and visual arts, can capture the beauty and importance of Earth observation imagery.    4. Environmental Democracy: The concept of environmental democracy is introduced, promoting citizen involvement and participatory approaches in environmental decision-making. The paper discusses the importance of engaging the public in Earth observation initiatives to foster a more democratic and sustainable environmental governance.    5. Anthropocene and Human Responsibility: The discussion on the Anthropocene epoch and human adaptation to environmental changes underscores the need for responsible stewardship of the planet. The paper touches upon geoengineering, sustainable development goals, and the migration crisis as key challenges that require Earth observation data for informed decision-making.    In conclusion, the paper employs a multidisciplinary approach to shed light on the cultural, ethical, and societal dimensions of Earth observation. While specific quantitative methods for estimating societal benefits may not be explicitly outlined, the paper offers a rich tapestry of insights drawing on diverse intellectual traditions to illuminate the significance of Earth observation in contemporary society.",NA,1
Free Satellite Imagery and Digital Elevation Model Analyses Enabling Natural Resource Management in the Developing World: Case Studies from Eastern Indonesia,"Fisher, Rohan Peter and Hobgen, Sarah Elizabeth and Haleberek, Kristianus and Sula, Nelson and Mandaya, Iradaf",2018,11572,"The paper explores the use of free satellite imagery, digital elevation data, and open-source spatial analysis software for natural resource management in developing countries, focusing on Eastern Indonesia. Here are the main methods used in the paper to estimate or quantify the societal benefits of using satellite or Earth Observation data:    1. **Case Studies**: The paper presents case studies from Eastern Indonesia where local government and NGOs use free geospatial data and GIS software to improve evidence-based natural resource management. The cases focus on raster data applications for satellite image analysis and terrain modeling.    2. **Methodological Approach**:     - **Usage of Free Data**: Landsat 8 and Landsat 5 imagery, SRTM digital elevation data, and WorldClim modelled rainfall data were utilized in the analysis.     - **GIS Software**: The paper primarily uses SAGA GIS for training and analysis due to its ease of use, wide compatibility with standard GIS data formats, and active development team.     - **Spatial Analysis Techniques**: Techniques such as object-based image analysis, segmentation, and classification were applied to derive meaningful land cover information.    3. **Spatial Analysis Examples**:     - **Modeling Impacts from Small-Scale Mining**: Analyzing the impacts of artisanal and small-scale mining on land cover and potential off-site mining impacts through sediment flow modeling.     - **Catchment Function Analysis**: Assessing erosion risk using the Revised Universal Soil Loss Equation (RUSLE) to target erosion remediation and reforestation projects.     - **Seasonal Fire Mapping**: Mapping fire frequency to understand its impact on landscapes and inform fire management programs.     - **Forest Cover Change Mapping**: Analyzing changes in forest cover to evaluate reforestation projects and propose new interventions.    4. **Evaluation Criteria**:     - The paper evaluates the mentioned case studies against criteria suggested by McCall and Dunn (2012) for participatory GIS to contribute to good governance, including strengthening legitimacy, creating respect for local knowledge, developing equity, demonstrating competence, and creating accountability.    The paper suggests that using free and open-source geospatial tools and data can contribute significantly to improved natural resource management, promote good governance, build local capacity, and enhance transparency and accountability in decision-making processes.",NA,1
An Economic Value of Remote Sensing Information: Application to Agricultural Production and Maintaining Ground Water Quality,"Forney, William M. and Raunikar, R. and Mishra, Shruti and Bernknopf, R.",2012,42497,NA,manual: context window exceeded,NA
A Conceptual Framework for Assessing the Benefits of a Global Earth Observation System of Systems,"Fritz, S. and Scholes, R.J. and Obersteiner, M. and Bouma, J. and Reyers, B.",2008,15528,"The paper presents a conceptual framework for assessing the benefits of a global Earth observation system of systems (GEOSS). The aim of GEOSS is to improve information available to decision makers pertaining to various aspects such as human health, environmental protection, disaster reduction, and sustainable development. The paper proposes better international cooperation in collecting, interpreting, and sharing Earth observation data to achieve these goals.    Specific methods used in the paper include developing a ""benefit chain"" concept to assess the societal benefits of Earth observation data. The benefit chain concept establishes a causal pathway from incremental improvements in the observing system to better decision-making and ultimately better societal outcomes. The paper also discusses using order-of-magnitude approaches and qualitative understanding of cost-benefit curves to guide rational investment decisions in Earth observation systems.    The paper also provides three case studies illustrating the application of the benefit chain concept in different societal benefit areas: improved fire control with weather forecasts, improved data for conservation planning, and enhanced water quality monitoring. These case studies demonstrate how assessing the value of improved information can lead to more efficient decision-making and potentially substantial societal benefits.    Overall, the paper emphasizes the importance of quantifying the societal benefits of Earth observation data and justifying the investment in global collaboration efforts, such as GEOSS, by demonstrating that the benefits outweigh the incremental costs.",NA,1
Essential Variables for Environmental Monitoring: What Are the Possible Contributions of Earth Observation Data Cubes,"Giuliani, Gregory and Egger, Elvire and Italiano, Julie and Poussin, Charlotte and Richard, Jean-Philippe and Chatenoux, Bruno",2020,17069,NA,manual: context window exceeded,NA
Knowledge Generation Using Satellite Earth Observations to Support Sustainable Development Goals (SDG): A Use Case on Land Degradation,"Giuliani, Gregory and Mazzetti, Paolo and Santoro, Mattia and Nativi, Stefano and Van Bemmelen, Joost and Colangeli, Guido and Lehmann, Anthony",2020,13501,NA,context_length_exceeded,NA
As Seen From Space: Tele-Epidemiological Data as Pandemic Memory,"Gleason, Louis",2022,8576,"The paper proposes the use of satellite technology and Earth Observation (EO) methods to improve the surveillance and tracking of pandemic data, notably in locations with limited access to traditional healthcare infrastructure. The methods outlined include using satellites to track viral vectors, identify mass burial sites, and predict the movement of potential disease vectors.     In particular, tele-epidemiology is highlighted as a technique that utilizes satellite data to create geographic models of viral dispersion, aiding in identifying vulnerable areas and emerging epicenters of infection. Remote sensing techniques such as ground-penetrating radar and electrical earth resistance are mentioned as effective tools for locating concealed mass grave sites.     Moreover, the paper emphasizes the importance of satellite imagery in documenting instances of mass burials, such as those in remote or under-resourced areas, which may otherwise go unnoticed or unrecorded. Analysis of such data from mass graves can provide more accurate and inclusive records of the impact of pandemics, correcting historical amnesia and ensuring a more just historical narrative.    Overall, the methods proposed in the paper aim to address disparities in data collection and historical documentation related to pandemics, leveraging satellite technology to fill gaps in surveillance infrastructure and provide a more comprehensive understanding of pandemic history.",NA,1
Use of Climate Information for Socio-Economic Benefits,"Gunasekera, Don",2010,2243,"The paper ""Use of Climate Information for Socio-Economic Benefits"" by Don Gunasekera emphasizes the importance of climate information as a global public good and its role in adapting to climate change and mitigating greenhouse warming. The methods used in the paper include:    1. **Literature Review**: The paper reviews existing literature on the socio-economic benefits of climate information, focusing on its impact on various sectors such as agriculture, fisheries management, energy supply-demand management, natural disaster management, public health risks, and biosecurity risk management.    2. **Empirical Evidence**: The paper provides empirical evidence of the positive impact of climate information in various scenarios, such as its value for agricultural production in the US, drought mitigation strategies in Northeast Brazil, and livestock production in South Africa. This evidence highlights the potential economic benefits of using climate information in decision-making processes.    3. **Challenges and Opportunities**: The paper discusses the challenges faced by service providers and users in effectively utilizing climate information for economic benefits. These challenges include low accuracy, lack of lead time, institutional constraints, lack of decision models, and insufficient knowledge about climate information. It also suggests opportunities for overcoming these challenges through a multi-disciplinary approach, using analytical tools, collaboration between scientists, users, and policymakers, and improving outreach and communication activities.    4. **Proposed Framework**: The paper proposes the development of a Global Framework for Climate Services (GFCS) to link climate predictions, projections, and information with climate risk management and adaptation globally. The GFCS aims to improve access to climate services, especially for those most at risk but least able to access them, by encouraging public and private sector investment in basic research and innovation-driven solutions.    Overall, the methods used in the paper focus on providing a comprehensive understanding of the socio-economic benefits of climate information and highlighting the importance of addressing challenges to maximize its potential for societal well-being and sustainability.",NA,1
A Cost-Benefit Analysis of The National Map,"Halsing, David L. and Theissen, Kevin and Bernknopf, Richard",2003,34819,NA,manual: context window exceeded,NA
Pricing Policy and Legal Issues: 6th and 7th EOPOLE Workshops,"Harris, Ray and Olby, Nicola",2000,3493,"This paper discusses the methods and findings of the sixth and seventh EOpole workshops, focusing on pricing policy and legal issues related to Earth Observation data. The paper evaluates different approaches to pricing policy and assesses the impact of new developments in Earth Observation and information technology on data pricing. It also explores the constraints that legal frameworks impose on Earth Observation and ways to leverage them.     The methods used in estimating the societal benefits of satellite or Earth Observation data involve assessing the European Earth Observation market size and growth forecasts. Market analysis is conducted to understand the pricing mechanisms employed by suppliers based on factors such as pixel size, spatial resolution, and market demand. The paper also discusses the impact of commercialization models, such as offering data for free or through advertising, and the potential for new business models utilizing the internet and satellite technology. Additionally, the paper highlights the importance of legal frameworks and policies in shaping Earth Observation activities, including the need for regulatory structures to balance privacy concerns with data availability.    Overall, the methods used in the paper include market analysis, pricing strategies, legal framework assessments, and discussions on new business models to quantify the societal benefits of Earth Observation data. These methods aim to provide insights into the economic value of satellite data and strategies to promote sustainable growth in the Earth Observation sector.",NA,1
Earth Observation and the Public Good,"Harris, Ray and Miller, Lewis",2011,11193,"The paper examines the meaning of the concept of public goods in the context of Earth Observation data. It discusses the characteristics of public goods, such as non-rivalry and non-excludability, and applies these concepts to nine Earth Observation missions, programs, and data types. Here is a summary of the methods used to estimate or quantify societal benefits of satellite or Earth Observation data:    1. **Public Good Theory and Related Models:** The paper explores the theory of public goods, particularly focusing on the work of economists like Samuelson and Buchanan. It discusses the characteristics of public goods, private goods, common pool resources, merit goods, club goods, orphan drug scenarios, and information goods.    2. **Application to Earth Observation Data:** The study analyzes nine Earth Observation missions, programs, or data types, placing them on a diagram based on rivalry and excludability. The paper discusses each data type's classification and characteristics in terms of public goods, merit goods, club goods, and private goods.    3. **Case Studies of Earth Observation Data:** The analysis of specific Earth Observation data types, such as meteorological data, Landsat data, NOAA AVHRR data, Envisat ASAR data, SPOT data, RADARSAT SAR data, Google Earth, the International Charter for Space and Major Disasters, and Very High Resolution Sensors, is conducted to assess their non-rivalry and non-excludability characteristics and their categorization as public goods, merit goods, club goods, or private goods.    4. **Policy Implications and Recommendations:** The paper concludes by discussing the implications of misusing the term ""public good"" in the context of Earth Observation data and suggests a more nuanced approach to classifying and valuing Earth Observation data to better inform policy development and investment decisions in the sector.",NA,1
A Method for Estimating the Socioeconomic Impact of Earth Observations in Wildland Fire Suppression Decisions,"Herr, Vincent and Kochanski, Adam K. and Miller, Van V. and McCrea, Rich and O'Brien, Dan and Mandel, Jan",2020,12223,"The paper proposes a method for estimating the socioeconomic impact of Earth observations in the context of wildland fire suppression decisions. The core of the method involves analyzing outcomes of hypothetical fire suppression scenarios generated using a coupled atmosphere-fire behavior model. The scenarios are based on decisions made by a wildfire incident management team with and without the benefits of MODIS satellite observations and the WRF-SFIRE wildfire behavior simulation system. These scenarios were based on the New Mexico 2011 Las Conchas fire.    For each scenario, fire break line location decisions were used as inputs to the model, generating fire progression outcomes. The model's output was integrated with a property database to estimate the total losses associated with each scenario. The analysis aimed to estimate the socioeconomic impact of satellite and modeling data used during the decision-making process.    The study considered additional socioeconomic impacts, including property losses, timber values, firefighter safety, tourism impacts, and more. It also discussed limitations and future research questions to further refine the methodology and understand the broader impacts of leveraging satellite and modeling data in wildfire management decisions.",NA,1
The Potential Value of Improved Ocean Observation Systems in the Gulf of Mexico,"Kaiser, Mark J. and Pulsipher, Allan G.",2004,15657,NA,context_length_exceeded,NA
Agricultural Producers' Willingness to Pay for Real-Time Mesoscale Weather Information,"Kenkel, Phil L. and Norris, Patricia E.",1995,10140,"The paper uses the contingent valuation technique to determine agricultural producers' willingness to pay for real-time mesoscale weather information. The study includes a mail survey of 508 Oklahoma farmers and ranchers to gather data on their willingness to pay for improved weather information. The research focuses on the development of the mesoscale weather network ""Mesonet"" in Oklahoma, which provides more localized and timely weather data.    Key factors impacting the willingness to pay identified in the study include gross sales, irrigation usage, past weather-related losses, and crop production types such as cotton, peanut, and alfalfa. The analysis employs maximum likelihood models to estimate willingness to pay for both raw weather data and value-added information products derived from the mesoscale weather data.    The results indicate that, on average, producers are willing to pay approximately $5.83-$6.55 per month for raw weather data and value-added weather-related products. This modest willingness to pay suggests that user fees alone may not be sufficient to cover the operational costs of providing the improved weather information. The study provides insights into the economic value that agricultural producers place on real-time mesoscale weather information and decision aids.",NA,1
Valuing Weather Observation Systems For Forest Fire Management,"Khabarov, N. and Moltchanova, E. and Obersteiner, M.",2008,8240,"The paper presents a methodology to evaluate the societal benefits of improved weather observations for forest fire management using simulation studies. The study focuses on how enhancements in weather observation systems can help reduce burned areas by targeting and monitoring high-risk fire locations. The main method used in the paper is a simulation-based model that considers two weather datasets based on ""rough"" and ""fine"" grids to assess the impact of weather observations on forest fire management.    The Nesterov index is used to calculate the fire danger level based on observed weather data, which helps in determining air patrolling schedules to prevent forest fires. The study considers the reduction in burned areas and the total patrolling area as key metrics to evaluate the benefits of using better weather observations. Additionally, the paper explores the sensitivity of the model to the quality of input data, such as grid resolution, number of weather stations, and the design of the observation system.    Overall, the methodology involves developing a model that simulates forest fires based on weather data and air patrolling rules, and then assessing the benefits of improved weather observations in reducing burned areas and enhancing fire management efficiency. The results suggest that integrating precise yet expensive weather observations with broader, cheaper data can optimize the overall performance and cost-effectiveness of forest fire management systems.",NA,1
Assessing the Economic Value of Early Warning Systems,"Klafft, Michael and Meissen, Ulrich",2011,7257,"The paper by Klafft et al. proposes an economic assessment model for early warning systems, focusing on the societal benefits and tangible economic impacts. The authors highlight that investments in early warning systems are often driven by disasters, leading to inconsistent funding patterns and suboptimal decision-making. The model integrates socio-cultural factors to support policymakers and investors in making informed decisions regarding early warning applications.    The authors discuss two main methods for assessing the value of Earth Observation/Early Warning Systems: contingent valuation and cost avoidance calculations. Contingent valuation gauges the value of a system based on user willingness to pay, while cost avoidance calculations estimate the damage prevented by having a warning system in place. The paper emphasizes the challenges and biases associated with contingent valuation and recommends the cost avoidance approach for assessing early warning systems.    The paper outlines factors influencing the effectiveness of early warning systems, categorizing them into personal and cultural factors, prediction-related factors, and dissemination-related factors. These factors impact how recipients perceive and respond to warnings, the accuracy of disaster predictions, and the dissemination and reception of warning messages.    Finally, the paper introduces a mathematical model for assessing the economic value of early warning systems, incorporating variables related to disaster types, response actions, prediction accuracy, dissemination channels, and system costs. The model calculates the benefits of additional protective actions initiated by the system and compares them to the costs of operating the system. Ultimately, the model aims to provide a formal framework to evaluate the tangible economic value of early warning systems and inform investment decisions.",NA,1
A Scalable Earth Observations-Based Decision Support System for Hydropower Planning in Africa,"Koppa, Akash and Gebremichael, Mekonnen and Hopson, Thomas M. and Riddle, Emily and Boehnert, Jennifer and Broman, Daniel P.",2021,26560,NA,manual: context window exceeded,NA
Using Earth Observations to Enhance Water Resources Decision-Making and Disaster Assessment Processes in the United States and the Developing World,"Lee, Christine M. and Searby, Nancy D. and Hemmings, Sarah N.",2013,5451,"The paper discusses activities within the NASA Applied Sciences Program (ASP) that focus on using Earth observation tools to enhance water-related decision-making processes and disaster assessment. The methods employed in the paper include assessing end users in the U.S. through various mechanisms, developing applications to improve disasters management, supporting international efforts to improve humanitarian response, enhancing water resources management in specific regions, improving flood forecasting in developing countries, and training water managers to utilize Earth observations in decision-making.    The paper highlights projects such as the Global Flood and Landslide Monitoring/Forecasting project, the Land Data Assimilation System for Famine Early Warning, and the Central Valley Water Resources project. These projects utilize satellite data such as MODIS, TRMM, Landsat, and SRTM to address various water-related challenges. The capacity building program, such as the Applied Remote Sensing Training (ARSET) project, plays a crucial role in training decision-makers and building workforce capacity to use Earth observation data effectively.    Overall, the paper provides an overview of how Earth observations are utilized to address water resources management and disaster assessment challenges, especially in the U.S. and developing countries, through a combination of applications development and capacity building activities within the NASA ASP.",NA,1
Data Poverty: A Global Evaluation for 2009 to 2013 - Implications for Sustainable Development and Disaster Risk Reduction,"Leidig, Mathias and Teeuw, Richard M. and Gibson, Andrew D.",2016,13039,"The paper presents a detailed analysis of the Data Poverty Index (DPI) for the years 2009 to 2013, focusing on global access to data and information. The DPI is calculated based on factors such as internet speed, internet users, mobile phone subscriptions, and education level. The methodology used in the paper involved feature scaling the input data to ensure comparability, and then calculating the DPI values as a measure of data poverty.    The analysis showed that the average DPI score decreased globally over the studied period, indicating an improvement in data access. However, disparities were noted between different income classifications, with high-income countries tending to have lower DPI scores compared to low-income countries. The study also highlighted regional differences, with Africa showing higher levels of data poverty compared to other continents.    The authors discussed the implications of data poverty for sustainable development and disaster risk reduction, emphasizing the importance of monitoring ICT development and higher education on an annual basis. The paper concludes that the DPI can serve as a valuable tool for tracking progress in ICT capabilities and vulnerability, and highlights the need for continued efforts to bridge the digital divide and enhance data access worldwide.",NA,1
Do Users Benefit from Additional Information in Support of Operational Drought Management Decisions in the Ebro Basin?,"Lin{\'e}s, Clara and Iglesias, Ana and Garrote, Luis and Sot{\'e}s, Vicente and Werner, Micha",2018,20235,NA,manual: context window exceeded,NA
Valuing Geospatial Information: Using the Contingent Valuation Method to Estimate the Economic Benefits of Landsat Satellite Imagery,"Loomis, John and Koontz, Steve and Miller, Holly and Richardson, Leslie",2015,13137,"The paper ""Valuing Geospatial Information: Using the Contingent Valuation Method to Estimate the Economic Benefits of Landsat Satellite Imagery"" by John Loomis, Steve Koontz, Holly Miller, and Leslie Richardson illustrates a method to value Landsat and other imagery to users. A survey of downloaders of Landsat Lite imagery found that established US users value a scene at $912 USD, while new US users and users returning when the imagery became free value a scene at $367 USD. The total benefits for the 2.38 million scenes downloaded is estimated at $1.8 billion USD. The paper shows that charging for Landsat imagery would lead to an efficiency loss, with a price of $100 USD per scene resulting in a loss of $37.5 million USD per year.    The methods used in the paper include the contingent valuation method to estimate economic benefits, understanding users' willingness-to-pay through survey responses, and modeling the demand curve for Landsat imagery. The paper also calculates the societal benefits of Landsat imagery by analyzing the economic losses associated with charging various prices for the use of Landsat imagery. Overall, the research demonstrates the value of Landsat satellite imagery and the potential economic impact of charging for its use.",NA,1
Ascribing Societal Benefit to Environmental Observations of the Earth from Space: The Multiangle Imaging Spectroradiometer (Misr,"Macauley, Molly K.",2006,11832,"This paper by Molly K. Macauley discusses frameworks for estimating and illustrating societal benefits associated with earth observations, particularly focusing on the Multiangle Imaging Spectroradiometer (MISR) satellite. The paper outlines two frameworks for describing societal benefits:    1. **NASA Earth Science Framework:** This framework highlights the link between NASA Earth science data and their potential contributions to resource management and public policy. It emphasizes decision support tools and systems, as well as the translation of knowledge into practical information for decision-making.    2. **NRC Framework for the U.S. Department of Energy:** This framework categorizes benefits into ""realized benefits,"" ""options benefits,"" and ""knowledge benefits."" It allows for benefits associated with knowledge gained from research, as well as options opened up for future opportunities.    The paper then provides illustrative examples of how MISR contributes to societal benefits within these frameworks:    - **Realized Benefits:** MISR data has demonstrated potential in assisting diverse areas such as weather forecasting, carbon management, aviation safety, and air quality monitoring.  - **Options Benefits:** MISR has shown new ways of measuring environmental parameters and proof-of-concept applications.  - **Knowledge Benefits:** MISR provides new knowledge about cloud heights, aerosol distribution, surface roughness, and sources of aerosols.    The paper also highlights institutional factors that may limit the full realization of MISR's potential benefits, such as the experimental nature of the instrument, reliance on legacy instruments, data latency, lack of software compatibility, and concerns regarding data continuity.    In conclusion, the paper emphasizes the importance of identifying practical applications of earth observations, the need for financial and professional incentives to pursue these applications, and the challenges associated with defining, realizing, and communicating the societal benefits of satellite data like MISR.",NA,1
The Value of Information: Measuring the Contribution of Space-Derived Earth Science Data to Resource Management,"Macauley, Molly K.",2006,9503,"In the paper ""The Value of Information: Measuring the Contribution of Space-Derived Earth Science Data to Resource Management"" by Molly K. Macauley, the author discusses various methods and frameworks for measuring the societal benefits of Earth observation data. Here is a summary of the methods used to estimate the value of satellite or Earth observation data:    1. **General Framework:** The paper presents a general framework for measuring the value of information derived from Earth science data. This framework aims to provide a common basis for conducting and evaluating studies on the value of Earth science information.    2. **Econometric Estimation:** Some studies in the paper employ econometric methods to estimate the gains in output or productivity attributable to information derived from satellite data. These studies often compare expected profits under uncertain weather conditions with profits under forecasted weather conditions. They may use statistical analyses and simulation models to quantify the economic benefits.    3. **Hedonic Pricing Studies:** The paper also mentions the use of hedonic pricing models, which infer the value of specific characteristics (such as weather information) by analyzing how these characteristics are capitalized into prices of goods and services. For example, housing prices or wages may reflect differences in environmental quality due to weather conditions.    4. **Contingent Valuation Surveys:** Another approach discussed is contingent valuation surveys, which involve directly asking individuals or agencies how much they would be willing to pay for specific information or services derived from Earth science data. This method helps in understanding the perceived value of the information to stakeholders.    5. **Case Studies:** The paper provides examples of applications of these methods in various sectors like agriculture, energy forecasting, aviation safety, and environmental resource management. These case studies illustrate how the value of Earth observation data can be quantified in terms of productivity gains, cost savings, or improved decision-making.    By using these methods and frameworks, researchers aim to quantify and communicate the societal benefits of space-derived Earth science data, helping decision-makers justify investments in data acquisition and information development.",NA,1
Ascribing Societal Benefit to Applied Remote Sensing Data Products: An Examination of Methodologies Based on the Multi-angle Imaging SpectroRadiometer Experience,"Macauley, Molly K. and Diner, David J.",2007,12793,"This paper discusses and illustrates frameworks for evaluating the societal benefits associated with data products from the Multi-angle Imaging Spectroradiometer (MISR) instrument. The paper highlights the importance of considering practical applications of Earth observation data beyond their intrinsic scientific value. It references the need for Earth scientists to explicitly identify and demonstrate potential societal benefits, as urged by the US National Research Council's decadal survey of US Earth science.    The methods used in the paper include retrospective analysis of MISR data to showcase societal benefits, such as improved weather forecasting, climate change monitoring, and air quality assessment. The paper also discusses the challenges and limitations of using experimental Earth observation data for societal benefit assessment, such as data latency, format incompatibilities, and the need for funding and resources to pursue practical applications.    Overall, the paper provides a comprehensive overview of methodologies for assessing the societal benefits of Earth observation data products, using MISR as a case study. It offers insights into how future Earth observation missions could operationalize benefit assessments and improve communication between the scientific community and decision-makers.",NA,1
From Science to Applications: Determinants of Diffusion in the Use of Earth Observations,"Macauley, Molly K. and Maher, Joseph Andrew and Shih, J. S.",2010,14036,"The paper ""From Science to Applications: Determinants of Diffusion in the Use of Earth Observations"" by Molly Macauley, Joe Maher, and Jhih-Shyang Shih offers a framework and empirical evaluation to demonstrate the diffusion of Earth observations data in social science research. The methods used in the paper include:    1. **Literature Review:** The authors compiled a dataset of peer-reviewed articles using keyword searches in social science citation indices to identify articles using Earth observations data for land-related applications.    2. **Statistical Regression:** The authors used statistical regression analysis to estimate the effect of factors influencing the diffusion of Earth observations data, particularly the deployment of geographic information systems (GIS) and the cost of data. They used a conventional ""diffusion curve"" model to analyze the spread of applications over time.    3. **Bibliometric Analysis:** The paper utilized citation analysis to assess the extent to which authors cross-reference and build on each other's work within the sample of articles, providing insights into the strength of a community of practice in the field.    4. **Data Sources:** The study used data on GIS adoption trends from the Geospatial Information & Technology Association and Landsat data pricing information from the U.S. Geological Survey.    5. **Descriptive Analysis:** The authors described thematic and geographic focuses of the articles, instruments used as data sources, and trends over time in terms of topics, geographic regions, and data sources.    6. **Identification of Technical Articles:** The study identified technical articles in addition to applied research articles and compared the diffusion patterns of both types of publications.     The results of the study showed an increasing rate of applications of Earth observations data across various topics and regions, with GIS deployment and data prices influencing the diffusion of these applications. Additionally, the study provided insights into the patterns of reference and building upon existing research in the field.",NA,1
The Role of Stakeholders in Creating Societal Value From Coastal and Ocean Observations,"Mackenzie, Bev and Celliers, Louis and Assad, Luiz Paulo De Freitas and Heymans, Johanna J. and Rome, Nicholas and Thomas, Julie and Anderson, Clarissa and Behrens, James and Calverley, Mark and Desai, Kruti and DiGiacomo, Paul M. and Djavidnia, Samy and Dos Santos, Francisco and Eparkhina, Dina and Ferrari, Jos{\'e} and Hanly, Caitriona and Houtman, Bob and Jeans, Gus and Landau, Luiz and Larkin, Kate and Legler, David and Le Traon, Pierre-Yves and Lindstrom, Eric and Loosley, David and Nolan, Glenn and Petihakis, George and Pellegrini, Julio and Roberts, Zoe and Siddorn, John R. and Smail, Emily and {Sousa-Pinto}, Isabel and Terrill, Eric",2019,25213,NA,manual: context window exceeded,NA
Using Architecture Modeling to Assess the Societal Benefits of the Global Earth Observation System-of-Systems,"Martin, J.N.",2008,4685,"The paper describes the use of enterprise architecture modeling to assess the societal benefits of the Global Earth Observation System of Systems (GEOSS) by NASA. The architecture model includes around 3000 elements related to Earth science research, such as observation sources, sensors, environmental parameters, data products, and decision-support tools. The modeling approach incorporates traditional and nontraditional systems engineering methods.    The Earth Observation data are utilized to improve weather forecasting, reduce loss of life and property from disasters, protect and monitor ocean resources, understand and adapt to climate variability and change, support sustainable agriculture, and monitor energy resources. The architecture modeling process involves problem framing, conceptual schema development, and metamodel creation to capture business questions and priorities.    One example in the paper focuses on the contribution of Earth observation satellites to hurricane prediction. Satellites like Quikscat and TRMM provide crucial data for improving hurricane forecasts and tracking. Decision-support tools are utilized by organizations like NOAA to make policy decisions based on environmental predictions and models derived from Earth observation data.    Overall, the paper demonstrates the application of enterprise architecture modeling to understand the societal benefits of Earth Observation data and its impact on decision-making processes related to environmental monitoring and disaster management.",NA,1
