title,author,year,screening_decision,reason_for_exclusion,quick_notes,soc_method,societal_benefit,value_units,eo_data,applied_science_theme,revisited
Landsat Data Ecosystem Case Study: Actor Perceptions of the Use and Value of Landsat,"Molder, Edmund B. and Schenkein, Sarah F. and McConnell, Abby E. and Benedict, Karl K. and Straub, Crista L.",2022,include,NA,"semi-structured interview of landsat data users: where/how they access, what they do with it, what happens with the products created, and what are the values, benefits, challenges",stated preference,various,various,landsat,various,NA
Integrating Earth Observation Data into Geospatial Databases That Support Public Health Decisions,"Morain, S. A. and Budge, A. M.",2006,exclude,data not valued,dust forecasting - compares model outputs using higher-resolution eo data to see how model performs? no valuation of information except for model performance,NA,improved dust forecasting for health care,NA,modis;srtm;various,human health,NA
The Socio-Economic Value of Scientific Publications: The Case of Earth Observation Satellites,"Morretta, Valentina and Vurchio, Davide and Carrazza, Stefano",2022,include,NA,bibliometric analysis to see how cosmo skymed has contributed to knowledge generation through published papers and citations,cost-benefit analysis; marginal social value,improved knowledge generation,financial; publications,cosmo skymed,various,NA
The Value of Information: Methodological Frontiers and New Applications in Environment and Health,NA,2012,exclude,not a paper,"this is a book with chapters highlighting various examples and methods of valuing information, not necessarily eo data",NA,NA,NA,NA,NA,NA
Satellite Earth Observations and Their Impact on Society and Policy,NA,2017,exclude,not a paper,a book with chapters highlighting various assessments of benefits from satellite earth observations,NA,NA,NA,NA,NA,NA
Visual Evidence from Above: Assessing the Value of Earth Observation Satellites for Supporting Human Rights,"Notley, Tanya and {Webb-Gannon}, Camellia",2016,exclude,data not valued,"qualitative research approach - critical analysis, interviews, case studies of satellite images in human rights contexts.  doesn't quite ""measure"" the value, but connects specific aspects of justice to eo data",NA,aspects of justice,various,various,justice,NA
The Value of Near Real-Time Earth Observations for Improved Flood Disaster Response,"Oddo, Perry C. and Bolten, John D.",2019,include,NA,voi/bayesian decision theory - for emergency response vehicle routing.,voi,improved emergency response time,time,modis,disaster response,NA
Enhancing the Standardized Drought Vulnerability Index by Integrating Spatiotemporal Information from Satellite and in Situ Data,"Oikonomou, Panagiotis D. and Tsesmelis, Demetrios E. and Waskom, Reagan M. and Grigg, Neil S. and Karavitis, Christos A.",2019,exclude,data not valued,"incorporates satellite data into an updated standardized drought vuln index, but doesn't quite get to the point of showing how the new information improves value? so close!",NA,improved drought monitoring,NA,NA,NA,NA
The Public Value of Improving a Weather Forecasting System in Korea: A Choice Experiment Study,"Park, Sun-Young and Yoo, Seung-Hoon",2018,include,NA,not satellite specifically,choice experiment,household utility,dollars,weather forecast,NA,x
"Demonstrating the Value of Earth Observations - Methods, Practical Applications, and Solutions - Group on Earth Observations Side Event Proceedings","Pearlman, Francoise and Lawrence, Collin B. and Pindilli, Emily J. and Geppi, Denna and Shapiro, Carl D. and Grasso, Monica and Pearlman, Jay and Adkins, Jeffery and Sawyer, Geoff and Tassa, Alessandra",2019,exclude,conference abstract/proceedings,"workshop looking at valuing eo, value chains",NA,NA,NA,NA,NA,NA
Global Warming Uncertainties and the Value of Information: An Analysis Using CETA,"Peck, Stephen C. and Teisberg, Thomas J.",1993,exclude,ESI data not used,this is  about carbon emissions trajectory and policy rather than any kind of remote observation-related information,NA,NA,NA,NA,NA,x
Identifying Methods for Quantifying the Societal Impacts of the National Oceanic and Atmospheric Administration,"Pendleton, Linwood and Wiley, Peter and {Beller-Simms}, Nancy and Curtis, Rita and Gaynor, John and Huffer, Hillary and Morris, Charlie and Sagar, Heather and Smith, Adam and Sprague, Jennifer and Triezenberg, Heather",2011,exclude,data not valued;review,this reports results from a workshop; examples are not strictly a review but were not applied by the authors,NA,NA,NA,NA,NA,x
Socio-Economic Benefits of Weather and Climate Services in Europe,"Perrels, A. and Frei, {\relax Th}. and Espejo, F. and Jamin, L. and Thomalla, A.",2013,exclude,data not valued,this reports survey results for respondents whether they have applied valuation of socioeconomic benefits to their studies - meta,NA,NA,NA,NA,NA,x
An Assessment of the Value of Seasonal Forecasting Technology for Western Australian Farmers,"Petersen, E.H and Fraser, R.W",2001,include,NA,NA,stochastic programming;optimization;voi,ag production,dollars,climate forecast,agriculture,x
Australian Earth Observation Community Plan 2026,"Phinn, S. and Dekker, A. and Held, A. and Lane, A. and Legresy, B. and Lewis, A. and Lucieer, A. and Ong, C. and Paudyal, D. and Penning, C.",NA,exclude,data not valued,looks like it is more about implementation than valuing the data,NA,NA,NA,NA,NA,NA
The Economic Value of Drought Information for Water Management under Climate Change: A Case Study in the Ebro Basin,"Quiroga, S. and Garrote, L. and Iglesias, A. and {Fern{\'a}ndez-Haddad}, Z. and Schlickenrieder, J. and De Lama, B. and Mosso, C. and {S{\'a}nchez-Arcilla}, A.",2011,include,NA,NA,voi,water management; ag production,NA,climate forecast,water resources; agriculture,x
What Is the Economic Value of Satellite Imagery?,"Raunikar, Ronald P. and Forney, William M. and Benjamin, Susan P.",2013,exclude,review,"voi/bayesian decision theory - agricultural production and groundwater quality via nitrate loading, with and without high-quality info from satellite imagery - but really just a fact sheet referencing other actual studies",voi,avoided nitrate pollution of groundwater; improved crop value,financial,mrli,agriculture; water resources,NA
"Interactive Model for Assessing Mangrove Health, Ecosystem Services, Policy Consequences, and Satellite Design in Rio de Janeiro Using Earth Observation Data","Reida, Jack B. and Wood, Danielle",2020,exclude,data not valued,"causal impacts between evdt components - e.g., environment (eo data) and decision (socioeconomic benefit?).  does not actually calculate value of the data! but presents a framework for using data to inform decisions...",NA,NA,NA,NA,NA,NA
Using Willingness-to-pay to Assess the Economic Value of Weather Forecasts for Multiple Commercial Sectors,"Rollins, Kimberly S. and Shaykewich, Joseph",2003,include,NA,NA,contingent valuation,various,dollars,weather forecast,various,x
A PROFESSIONAL REVIEW FOR INTEGRATION OF EARTH OBSERVATIONS INTO FEWS NET DECISION SUPPORT,"Ross, Kenton W. and Underwood, Lauren W. and Brown, Molly E.",NA,exclude,conference abstract/proceedings,"survey of experts - “professional review questionnaire” - to elicit user requirements and importance of certain data types for famine early warning (fews net) - but see Ross ""Review of fews net biophysical monitoring requirements"" for a published version",expert elicitation,famine early warning,qualitative,various,agriculture; disaster response,NA
Impact of Global Earth Observation - Systemic View across GEOSS Societal Benefit Areas,"Rydzak, Felicjan and Obersteiner, Michael and Kraxner, Florian",2010,include,NA,"felix model is system dynamics model that captures how changes in one area affects other areas, e.g., feedback loops, delays, nonlinear relationships. baseline scenario to compare impact of improvements in geoss across different societal benefit areas",benefit chain; voi,various,various,various,various,NA
Landsat and Water: Case Studies of the Uses and Benefits of Landsat Imagery in Water Resources,"Serbina, Larisa O. and Miller, Holly M.",2014,exclude,data not valued,"describes a lot of case studies of the use of landsat data, and how that data contributes value, but is more a catalog of other efforts which should be mined for original sources",NA,NA,NA,NA,NA,NA
Value of ENSO-Forecasted Drought Information for the Management of Water Resources of Small to Mid-Size Communities,"Sharda, Vaishali and Srivastava, Puneet",2016,include,NA,NA,water management model,drought mitigation,dollars,climate forecast,water resources,x
Enhancing the Application of Earth Observations for Improved Environmental Decision-Making Using the Early Warning eXplorer (EWX),"Shukla, Shraddhanand and Landsfeld, Martin and Anthony, Michelle and Budde, Michael and Husak, Gregory J. and Rowland, James and Funk, Chris",2021,exclude,data not valued,"looks like introduction and application of a dst, and demonstration of how it supports value, but not actually calculating value",NA,NA,NA,NA,NA,NA
Enhancing Access and Usage of Earth Observations in Environmental Decision-Making in Eastern and Southern Africa Through Capacity Building,"Shukla, Shraddhanand and Macharia, Denis and Husak, Gregory J. and Landsfeld, Martin and Nakalembe, Catherine Lilian and Blakeley, S. Lucille and Adams, Emily Caitlin and {Way-Henthorne}, Juliet",2021,exclude,data not valued,"training to improve capacity and technology transfer - pre-assessment,",NA,NA,NA,NA,NA,NA
Valuation of Calibration for Satellite Constellations,"Siddiqi, Afreen and Baber, Sheila and {de Weck}, Olivier L and Durell, Chris and Russell, Brandon and Holt, Jeff",2020,exclude,conference abstract/proceedings; data not valued,"values calibration, not the data itself - slide deck, not paper... looks like voi/bayesian and quality of information in terms of false positive and negative error rates - calibration -> better information -> better decisions.  also “data value chain” from acquisition to decision.  what’s the context?  looks general in context",NA,NA,NA,NA,NA,x
Position Paper: Evaluation Methods and Techniques,"Smart, Alan",2014,exclude,review,"more like a primer on methods, with references to studies where those methods are used.  probably a valuable paper as an overview though!",NA,NA,NA,NA,NA,x
Geographic Microtargeting of Social Assistance with High-Resolution Poverty Maps,"Smythe, Isabella S. and Blumenstock, Joshua E.",2022,include,NA,compares performance of ml/eo based maps survey-based maps for targeting poverty alleviation in nigeria,NA,improved accuracy of targeting poverty,accuracy; households targeted,various,poverty,NA
Engaging Global Youth in Participatory Spatial Data Creation for the UN Sustainable Development Goals: The Case of Open Mapping for Malaria Prevention,"Sol{\'i}s, Patricia and McCusker, Brent and Menkiti, Nwasinachi and Cowan, Nuala and Blevins, Chad",2018,exclude,ESI data not valued,"participatory mapping by youthmappers network, to improve maps to inform things like malaria mitigation? uses phone photos and the like, not eo",NA,NA,NA,NA,NA,NA
The Value of Improved ENSO Prediction to U.S. Agriculture,"Solow, Andrew R and Adams, Richard F and Bryant, Kelly J and Legler, David M and O'Brien, James J and McCARL, BRUCE A and Nayda, William and Weiher, Rodney",1998,include,NA,NA,welfare analysis; voi,ag production,dollars,climate forecast,agriculture,x
A Benefit-Cost Analysis of a Regional Global Ocean Observing System: Seawatch Europe,"Stel, Jan H and Mannix, Brian F",1996,include,NA,"not satellite, bu network of global ocean observing system - cost-benefit analysis, societal benefits relative to cost.  estimates benefits in marine structural design, oil/gas exploration, commercial fisheries, aquaculture, tourism, crisis response, etc.",cost-benefit analysis,various,financial,seawatch network of instruments,various,NA
Quantifying the Human Health Benefits of Using Satellite Information to Detect Cyanobacterial Harmful Algal Blooms and Manage Recreational Advisories in U.S. Lakes,"Stroming, Signe and Robertson, Molly and Mabee, Bethany and Kuwayama, Yusuke and Schaeffer, Blake",2020,include,NA,satellite data used to improve forecasts of habs,voi,"reduced exposure, improved human health",people exposed; financial,sentinel; landsat,human health; water resources,NA
Using Satellite Data to Fill the Gaps in the US Air Pollution Monitoring Network,"Sullivan, Daniel M and Krupnick, Alan",NA,include,NA,"satellite data vs. official determinations of attainment of pm2.5 standards - difference in difference design, estimates impact of misclassification or premature deaths",regression,improved pollution monitoring,lives saved; financial,various,human health,NA
Program Goals for the NASA/NOAA Earth Observation Program Derived from a Stakeholder Value Network Analysis,"Sutherland, Timothy A. and Cameron, Bruce G. and Crawley, Edward F.",2012,exclude,data not valued,"stakeholder value network analysis (questionnaires? how?) to identify needs, objectives, interactions - societal benefits may not be measured, but maybe?  qualitative improvements?",NA,NA,NA,NA,NA,NA
"The Socio-Economic Value of Satellite Earth Observations: Huge, yet to Be Measured","Tassa, Alessandra",2020,exclude,data not valued,"value chain analysis - a framework or general set of methodologies, does not apply the framework but describes the basics",voi; value chain analysis,various,financial; various,sentinel,various,NA
"On-Going European Space Agency Activities on Measuring the Benefits of Earth Observations to Society: Challenges, Achievements and Next Steps","Tassa, Alessandra and Willekens, Stephanie and Lahcen, Arne and Laurich, Laurent and Mathieu, Charlotte",2022,include,NA,"methods to estimate societal benefits - cost-benefit analysis, socioeconomic indicators; mentions case studies in agriculture, cc mitigation, disaster management, public health.",voi,various,various,esa satellites,various,NA
Ten Rules to Increase the Societal Value of Earth Observations,"Virapongse, Arika and Pearlman, Francoise and Pearlman, Jay and Murambadoro, Miriam D. and Kuwayama, Yusuke and Glasscoe, Margaret T.",2020,exclude,data not valued,"provides a framework for *increasing* societal benefit, but not specifically for *measuring* societal benefit of eo data",NA,NA,NA,NA,NA,NA
The Social Innovation Potential of ICT-enabled Citizen Observatories to Increase eParticipation in Local Flood Risk Management,"Wehn, Uta and Evers, Jaap",2015,exclude,ESI data not used,citizen science “citizen observatories” to engagement with flood risk management,NA,NA,NA,NA,NA,NA
Potential Benefits of Coastal Ocean Observing Systems to Alaskan Commercial Fisheries,"Wellman, Katharine F. and Hartley, Marcus",2008,include,NA,"voi/bayesian - how do fisheries management decisions benefit from access to an enhanced coastal ocean observing system, e.g., stock assessment models, reducing uncertainty in management decisions",voi,improvements in fishery management,financial,alaska ocean observation system,ecological conservation,NA
A Bayesian Methodology for Estimating the Impacts of Improved Coastal Ocean Information on the Marine Recreational Fishing Industry,"Wieand, Kenneth",2008,include,NA,NA,voi,fishery production,NA,ocean observing system;hypothetical,fisheries,x
A Skill Score Based on Economic Value for Probability Forecasts,"Wilks, D S",2001,include,NA,"""value score"" sounds like a voi normalized by perfect information: ""as a percentage improvement in value between climatological and perfect information; as a function of the cost/loss ratio, for 0 < c/l < 1.",cost/loss problem,hypothetical,NA,hypothetical weather forecast,hypothetical,x
The Socioeconomic Benefits of Earth Science and Applications Research: Reducing the Risks and Costs of Natural Disasters in the USA,"Williamson, Ray A and Hertzfeld, Henry R and Cordes, Joseph and Logsdon, John M",2002,exclude,ESI data not valued,"cost-benefit analysis, reduction in economic losses and risks associated with disasters.  this seems to be generalized to just earth science research and forecasting models,? but not from any particular instance or type of eo data.",NA,NA,NA,NA,NA,NA
Cloud Services with Big Data Provide a Solution for Monitoring and Tracking Sustainable Development Goals,"Wu, Bingfang and Tian, Fuyou and Zhang, Miao and Zeng, Hongwei and Zeng, Yuan",2020,exclude,data not valued,NA,NA,NA,NA,NA,NA,NA
Satellite Earth Observation Value Added Services in the Nigerian Economy,Zahrah Naankwat Musa} and {Halilu A. Shaba,2010,exclude,data not valued,NA,NA,NA,NA,NA,NA,NA
Assimilation of GRACE Terrestrial Water Storage Data into a Land Surface Model: Results for the Mississippi River Basin,"Zaitchik, Benjamin F. and Rodell, Matthew and Reichle, Rolf H.",2008,exclude,data not valued,NA,NA,NA,NA,NA,NA,NA
A User-Driven Approach to Determining Critical Earth Observation Priorities for Societal Benefit,"Zell, Erica and Huff, Amy K. and Carpenter, Adam T. and Friedl, Lawrence A.",2012,exclude,data not valued,keep in mind for identifying gaps later on - papers that present priorities compared to implementations,NA,NA,NA,NA,NA,NA
Future Earth Observation Strategy for Societal Benefits,"Zhou, Guoqing and Baysal, O.",2005,exclude,data not valued,describing value of future satellite observation system for various use cases.  does not actually calculate value - mentions how data could drive benefits but no actual value calculation,NA,NA,NA,NA,NA,NA
Benefits of the Free and Open Landsat Data Policy,"Zhu, Zhe and Wulder, Michael A. and Roy, David P. and Woodcock, Curtis E. and Hansen, Matthew C. and Radeloff, Volker C. and Healey, Sean P. and Schaaf, Crystal and Hostert, Patrick and Strobl, Peter and Pekel, Jean-Francois and Lymburner, Leo and Pahlevan, Nima and Scambos, Ted A.",2019,exclude,review; data not valued,"describes benefits of free and open access to landsat imagery - more downloads, more publications, more uptake for research; also describes economic benefits, but referring to papers elsewhere that did those analyses",NA,greater uptake of landsat for academic studies,publications,landsat,various,NA
Economic Value of Environmental and Weather Information for Agricultural Decisions - A Case Study for Oklahoma Mesonet,"Ziolkowska, Jadwiga R.",2018,include,NA,NA,utility value;voi,ag production,dollars,mesonet,agriculture,x
Benefits and Beneficiaries of the Oklahoma Mesonet: A Multisectoral Ripple Effect Analysis,"Ziolkowska, Jadwiga R. and Fiebrich, Christopher A. and Carlson, J. D. and Melvin, Andrea D. and Sutherland, Albert J. and Kloesel, Kevin A. and McManus, Gary D. and Illston, Bradley G. and Hocker, James E. and Reyes, Reuben",2017,exclude,data not valued,"oklahoma mesonet network of weather stations - not satellite, but still eo?  benefits for improving predictions of extreme weather events - but these are not measured in this paper, but documented elsewhere and mentioned here?",NA,NA,NA,NA,NA,NA
