title,author,year,doi,notes,phase,screening_decision,reason_for_exclusion,quick_notes,soc_method,societal_benefit,value_units,eo_data,applied_science_theme
Measuring And Monitoring Restored Ecosystems: Can Remote Sensing Be Applied To The Ecological Recovery Wheel To Inform Restoration Success?,"McKenna, Phillip B. and Lechner, Alex M. and Santin, Lorna Hernandez and Phinn, Stuart and Erskine, Peter D.",2023,10.1111/rec.13724,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Satellite Data For The Offshore Renewable Energy Sector: Synergies And Innovation Opportunities,"Medina-Lopez, E. and McMillan, D. and Lazic, J. and Hart, E. and Zen, S. and Angeloudis, A. and Bannon, E. and Browell, J. and Dorling, S. and Dorrell, R. M. and Forster, R. and Old, C. and Payne, G. S. and Porter, G. and Rabaneda, A. S. and Sellar, B. and Tapoglou, E. and Trifonova, N. and Woodhouse, I. H. and Zampollo, A.",2021,10.1016/j.rse.2021.112588,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Increasing The Use Of Earth Science Data And Models In Air Quality Management,"Milford, Jana B. and Knight, Daniel",2017,10.1080/10962247.2016.1248303,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
The Value Of Earth Observations: Methods And Findings On The Value Of Landsat Imagery,"Miller, Holly M. and Serbina, Larisa O. and Richardson, Leslie A. and Ryker, Sarah J. and Newman, Timothy R.",2016,10.1007/978-3-319-20161-0_14,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
The Social Value Of Earth Observation: A New Evaluation Framework For Public High-Tech Infrastructures,"Morretta, Valentina and Florio, Massimo and Landoni, Matteo",2023,10.1016/j.strueco.2023.09.003,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
"Artisanal Exploitation Of Mineral Resources: Remote Sensing Observations Of Environmental Consequences, Social And Ethical Aspects","Ngom, Ndeye Marame and Baratoux, David and Bolay, Matthieu and Dessertine, Anna and Saley, Abdoulatif Abass and Baratoux, Lenka and Mbaye, Modou and Faye, Gayane and Yao, Alphonse Kouakou and Kouame, Kan Jean",2023,10.1007/s10712-022-09740-1,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
"Farmer Perception, Recollection, And Remote Sensing In Weather Index Insurance: An Ethiopia Case Study","Osgood, Daniel and Powell, Bristol and Diro, Rahel and Farah, Carlos and Enenkel, Markus and Brown, Molly E. and Husak, Greg and Blakeley, S. Lucille and Hoffman, Laura and McCarty, Jessica L.",2018,10.3390/rs10121887,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
The Economic Impact Analysis Of Satellite Development And Its Application In Korea,"Park, Jung Ho and Jung, Hojin and Lim, Chang Ho and Chang, Taejin",2020,10.1016/j.actaastro.2020.06.031,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Assessing The Benefit Of Satellite-Based Solar-Induced Chlorophyll Fluorescence In Crop Yield Prediction,"Peng, Bin and Guan, Kaiyu and Zhou, Wang and Jiang, Chongya and Frankenberg, Christian and Sun, Ying and He, Liyin and Kohler, Philipp",2020,10.1016/j.jag.2020.102126,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
European Space Agency's Strategic Contribution To Seismology,"Petiteville, Ivan",2013,10.1007/s11069-013-0579-0,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
"Application Of Google Earth Engine Python Api And Naip Imagery For Land Use And Land Cover Classification: A Case Study In Florida, Usa","Prasai, Ritika and Schwertner, T. Wayne and Mainali, Kumar and Mathewson, Heather and Kafley, Hemanta and Thapa, Swosthi and Adhikari, Dinesh and Medley, Paul and Drake, Jason",2021,10.1016/j.ecoinf.2021.101474,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Geospatial Information Contribution To Land Use Planning Evidence From Land Cover And Ecosystem Services Maps,"Rey-Valette, Helene and Maurel, Pierre and Jabbour, Chady and Cousin, Camille and Luque, Sandra and Billaud, Olivier and Salles, Jean Michel",2020,10.4000/developpementdurable.17778,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Disaster Risk Reduction In Agriculture Through Geospatial (Big) Data Processing,"Reznik, Tomas and Lukas, Vojtech and Charvat, Karel and Charvat, Jr., Karel and Krivanek, Zbynek and Kepka, Michal and Herman, Lukas and Reznikova, Helena",2017,10.3390/ijgi6080238,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Review Of Fews Net Biophysical Monitoring Requirements,"Ross, K. W. and Brown, M. E. and Verdin, J. P. and Underwood, L. W.",2009,10.1088/1748-9326/4/2/024009,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
"Measuring Conservation Value At Fine And Broad Scales: Implications For A Diverse And Fragmented Region, The Agulhas Plain","Rouget, M",2003,10.1016/s0006-3207(02)00415-9,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
A Multi-Scale Assessment Of Fire Scar Mapping In The Great Victoria Desert Of Western Australia,"Ruscalleda-Alvarez, Jaume and Moro, Dorian and van Dongen, Richard",2021,10.1071/wf21019,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
The Six Dimensions Of Value Associated To The Use Of Copernicus Sentinel Data: Key Findings From The Sentinel Benefits Study,"Sawyer, Geoff and Mamais, Eleftherios and Papadakis, Dimitri",2022,10.3389/fenvs.2022.804862,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Using Remote Sensing To Evaluate Environmental Institutional Designs: A Habitat Conservation Planning Example,"Schweik, CM and Thomas, CW",2002,10.1111/1540-6237.00081,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Monitoring Daily Evapotranspiration Over Two California Vineyards Using Landsat 8 In A Multi-Sensor Data Fusion Approach,"Semmens, Kathryn A. and Anderson, Martha C. and Kustas, William P. and Gao, Feng and Alfieri, Joseph G. and McKee, Lynn and Prueger, John H. and Hain, Christopher R. and Cammalleri, Carmelo and Yang, Yun and Xia, Ting and Sanchez, Luis and Alsina, Maria Mar and Velez, Monica",2016,10.1016/j.rse.2015.10.025,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
The Benefits Of Remote Sensing For Energy Policy,"Sen, A",2004,10.1016/j.spacepol.2003.11.003,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Translation Of Remote Sensing Data Into Weed Management Decisions,"Shaw, DR",2005,10.1614/ws-04-072r1,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Satellite Remote Sensing For Water Resources Management: Potential For Supporting Sustainable Development In Data-Poor Regions,"Sheffield, J. and Wood, E. F. and Pan, M. and Beck, H. and Coccia, G. and Serrat-Capdevila, A. and Verbist, K.",2018,10.1029/2017wr022437,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Land Cover Classification In Mangrove Ecosystems Based On Vhr Satellite Data And Machine Learning-An Upscaling Approach,"Toosi, Neda Bihamta and Soffianian, Ali Reza and Fakheran, Sima and Pourmanafi, Saeied and Ginzler, Christian and Waser, Lars T.",2020,10.3390/rs12172684,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
"How Remote Sensing Supports Mangrove Ecosystem Service Valuation: A Case Study In Ca Mau Province, Vietnam","Tuan Quoc Vo and Kuenzer, C. and Oppelt, N.",2015,10.1016/j.ecoser.2015.04.007,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Layering Natural Resource And Human Resource Data For Planning Watershed Conservation Strategies,"Tyson, B and Worthley, T and Danley, K",2004,10.1080/08941920490261276,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Targeting Villages For Rural Development Using Satellite Image Analysis,"Varshney, Kush R. and Chen, George H. and Abelson, Brian and Nowocin, Kendall and Sakhrani, Vivek and Xu, Ling and Spatocco, Brian L.",2015,10.1089/big.2014.0061,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Secure Spectrum Sharing For Satellite Internet-Of-Things Based On Blockchain,"Wang, Li and Zheng, Yuhang and Zhang, Yu and Li, Feng",2023,10.1007/s11277-023-10433-0,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
"Experiences From Near-Real-Time Satellite-Based Volcano Monitoring In Central America: Case Studies At Fuego, Guatemala","Webley, P. W. and Wooster, M. J. and Strauch, W. and Saballos, J. A. and Dill, K. and Stephenson, P. and Stephenson, J. and Wolf, R. Escobar and Matias, O.",2008,10.1080/01431160802168301,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Wetland Extent Tools For Sdg 6.6.1 Reporting From The Satellite-Based Wetland Observation Service (Swos),"Weise, Kathrin and Hoefer, Rene and Franke, Jonas and Guelmami, Anis and Simonson, Will and Muro, Javier and O'Connor, Brian and Strauch, Adrian and Flink, Stephan and Eberle, Jonas and Mino, Eric and Thulin, Susanne and Philipson, Petra and van Valkengoed, Eric and Truckenbrodt, John and Zanderg, Franziska and Sanchez, Antonio and Schroeder, Christoph and Thonfeld, Frank and Fitoka, Eleni and Scott, Emma and Ling, Matthew and Schwarz, Michael and Kunz, Ina and Thuemer, Grit and Plasmeijer, Anouska and Hilarides, Lammert",2020,10.1016/j.rse.2020.111892,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
"Mapping Regional Land Cover With Modis Data For Biological Conservation: Examples From The Greater Yellowstone Ecosystem, Usa And Para State, Brazil","Wessels, KJ and De Fries, RS and Dempewolf, J and Anderson, LO and Hansen, AJ and Powell, SL and Moran, EF",2004,10.1016/j.rse.2004.05.002,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Cost-Effectiveness Of Conservation Strategies Implemented In Boreal Forests: The Area Selection Process,"Wikberg, Sofie and Perhans, Karin and Kindstrand, Claes and Djupstrom, Line Boberg and Boman, Mattias and Mattsson, Leif and Schroeder, Leif Martin and Weslien, Jan and Gustafsson, Lena",2009,10.1016/j.biocon.2008.11.014,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Scenarios For Valuing Sample Information In Natural Resources,"Williams, Byron K. and Brown, Eleanor D.",2020,10.1111/2041-210x.13487,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Reducing The Cost Of Multi-Spectral Remote Sensing: Combining Near-Infrared Video Imagery With Colour Aerial Photography,"Wright, GG and Matthews, KB and Cadell, WM and Milne, R",2003,10.1016/s0168-1699(02)00141-2,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Runoff Estimation In The Upper Reaches Of The Heihe River Using An Lstm Model With Remote Sensing Data,"Xue, Huazhu and Liu, Jie and Dong, Guotao and Zhang, Chenchen and Jia, Dao",2022,10.3390/rs14102488,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Using Publicly Available Satellite Imagery And Deep Learning To Understand Economic Well-Being In Africa,"Yeh, Christopher and Perez, Anthony and Driscoll, Anne and Azzari, George and Tang, Zhongyi and Lobell, David and Ermon, Stefano and Burke, Marshall",2020,10.1038/s41467-020-16185-w,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Keeping Up With Remote Sensing And Gi Advances- Policy And Legal Perspectives,"Rao, Mukund and Murthi, K. R. Sridhara",2006,10.1016/j.spacepol.2006.09.001,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
"Coordinated Capacity Development To Maximize The Contributions Of Space Science, Technology, And Its Applications In Support Of Implementing Global Sustainable Development Agendas-A Conceptual Framework","Kumar, A. Senthil and Camacho, Sergio and Searby, Nancy D. and Teuben, Joost and Balogh, Werner",2020,10.1016/j.spacepol.2019.101346,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Using Landsat Satellite Data To Support Pesticide Exposure Assessment In California,"Maxwell, Susan K. and Airola, Matthew and Nuckols, John R.",2010,10.1186/1476-072x-9-46,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
