title,author,year,key,screening_decision,reason_for_exclusion,quick_notes,econ_method,societal_benefit,value_units,eo_data,applied_science_theme,notes
Public Health Benefits from Improved Identification of Severe Air Pollution Events with Geostationary Satellite Data,"O'Dell, Katelyn",NA,odell_publichealthbenefitsimproved_2024,include,,,modeled behavior modification,health,premature deaths,geostationary vs polar orbit,air quality/health,
"Farmer Perception, Recollection, and Remote Sensing in Weather Index Insurance: An Ethiopia Case Study","Osgood, Daniel and Powell, Bristol and Diro, Rahel and Farah, Carlos and Enenkel, Markus and Brown, Molly E. and Husak, Greg and Blakeley, S. Lucille and Hoffman, Laura and McCarty, Jessica L.",2018,osgood_farmerperceptionrecollectionremote_2018,exclude,calibration/validation,Compares farmers recollection of droughts to indicators from satellite RS - doesn't look at how much value this provides,,,,,,
The Economic Impact Analysis of Satellite Development and Its Application in Korea,"Park, Jung Ho and Jung, Hojin and Lim, Chang Ho and Chang, Taejin",2020,park_economicimpactanalysissatellite_2020,exclude,esi data not used,"Looks at value created by investment in the satellite program, not the value of the data returned by those satellites",,,,,,
Assessing the Benefit of Satellite-Based Solar-Induced Chlorophyll Fluorescence in Crop Yield Prediction,"Peng, Bin and Guan, Kaiyu and Zhou, Wang and Jiang, Chongya and Frankenberg, Christian and Sun, Ying and He, Liyin and Kohler, Philipp",2020,peng_assessingbenefitsatellitebased_2020,exclude,calibration/validation,,,,,,,
European Space Agency's Strategic Contribution to Seismology,"Petiteville, Ivan",2013,petiteville_europeanspaceagency'sstrategic_2013,exclude,data not valued,,,,,,,
Use of Remote Sensing in Control of Good Agricultural and Environmental Conditions on Agricultural Farms,"Pluto-Kossakowska}, J. and {Osi{\'n}ska-Skotak}, K. and Fija{\l}kowska, A. and Chmiel, J.",2013,plutokossakowska_remotesensingcontrolagricultural_2013,include,,,expert opinion?,maintenance of land in good agricultural conditions,qualitative utility,VHR satellite or aerial photography,agriculture,"Looks at using RS to monitor/control infringement of cropland regulations - Table 2 shows how well RS contributes to certain managmeent problems, though not entirely clear where the scores (++, +, -) came from"
"Application of Google Earth Engine Python Api and Naip Imagery for Land Use and Land Cover Classification: A Case Study in Florida, Usa","Prasai, Ritika and Schwertner, T. Wayne and Mainali, Kumar and Mathewson, Heather and Kafley, Hemanta and Thapa, Swosthi and Adhikari, Dinesh and Medley, Paul and Drake, Jason",2021,prasai_applicationgoogleearthengine_2021,exclude,calibration/validation,"""Our results demonstrate the usefulness of this approach for conducting land use and land cover analysis using much less time, money, and human resources"" but left generic",,,,,,
The Utility of Historical Aerial Photographs for Detecting and Judging the Effectiveness of Rangeland Remediation Treatments,"Rango, A. and Havstad, K.",2003,rango_utilityhistoricalaerialphotographs_2003,exclude,data not valued,,,,,,,
Keeping up with Remote Sensing and Gi Advances- Policy and Legal Perspectives,"Rao, Mukund and Murthi, K. R. Sridhara",2006,rao_keepingremotesensinggi_2006,exclude,data not valued,more of an overview,,,,,,
Geospatial Information Contribution to Land Use Planning Evidence from Land Cover and Ecosystem Services Maps,"Rey-Valette}, Helene and Maurel, Pierre and Jabbour, Chady and Cousin, Camille and Luque, Sandra and Billaud, Olivier and Salles, Jean Michel",2020,reyvalette_geospatialinformationcontributionland_2020,exclude,not in english,,,,,,,
Disaster Risk Reduction in Agriculture through Geospatial (Big) Data Processing,"Reznik, Tomas and Lukas, Vojtech and Charvat, Karel and Charvat, Jr., Karel and Krivanek, Zbynek and Kepka, Michal and Herman, Lukas and Reznikova, Helena",2017,reznik_disasterriskreductionagriculture_2017,exclude,data not valued,"""The benefits of re-using the techniques in disaster risk reduction processes are discussed"" but only very briefly and conceptually",,,,,,
Forestry,"Roberts, D.",2014,roberts_forestry_2014,exclude,review,basically an encyclopedia entry with general applications,,,,,,
Review of Fews Net Biophysical Monitoring Requirements,"Ross, K. W. and Brown, M. E. and Verdin, J. P. and Underwood, L. W.",2009,ross_reviewfewsnetbiophysical_2009,include,,,stated preference/survey,agricultural production info,,FEWS Net,agriculture,"Survey of expert end-users and content producers - mostly on which observations were most important for things like rainfall products, but also notes of value of particular products"
"Measuring Conservation Value at Fine and Broad Scales: Implications for a Diverse and Fragmented Region, the Agulhas Plain","Rouget, M",2003,rouget_measuringconservationfinebroad_2003,include,,,,conservation efficiency,,general,conservation,Not strictly remote sensing but definintely applicable - scale/resolution dependence of conservation planning exercises
A Multi-Scale Assessment of Fire Scar Mapping in the Great Victoria Desert of Western Australia,"Ruscalleda-Alvarez}, Jaume and Moro, Dorian and {van Dongen}, Richard",2021,ruscalledaalvarez_multiscaleassessmentfire_2021,include,,,time cost,reduced cost of fire scar mapping,"hours, dollars","Landsat, MODIS, Sentinel-2",,"Compares mapping effort by processing time in hours per 10k km^2 for Landsat and Sentinel, along with classification accuracy and some qualitative comparisons"
Geometric Accuracy Assessment of Very High-Resolution Optical Data Orthorectified Using Terrasar-x Dsm to Support Disaster Management in Indonesia,"Sari, I. L. and Siwi, S. E. and Brahmantara, R. P. and Dyatmika, H. S. and Suprijanto, A. and Pradono, K. A.",2018,sari_geometricaccuracyassessmentresolution_2018,exclude,calibration/validation,,,,,,,
The Six Dimensions of Value Associated to the Use of Copernicus Sentinel Data: Key Findings from the Sentinel Benefits Study,"Sawyer, Geoff and Mamais, Eleftherios and Papadakis, Dimitri",2022,sawyer_dimensionscopernicussentineldata_2022,include,,,value chain,various,various,Sentinel,various,This is in our benchmarks - why not flagged as dupe?
Using Remote Sensing to Evaluate Environmental Institutional Designs: A Habitat Conservation Planning Example,"Schweik, {\relax CM} and Thomas, {\relax CW",2002,schweik_remotesensingevaluateenvironmental_2002,include,,,cost-benefit,efficiency of conservation planning,dollars,Landsat,conservation,
Applications of Remote Sensing to Precision Agriculture with Dual Economic and Environmental Benefits,"Seielstad, G. A. and Laguette, S. and Seelan, S. and Lawrence, R. and Nielsen, G. A. and Clay, D. and Dalsted, K.",2002,seielstad_applicationsremotesensingprecision_2002,include,,,cost-benefit assessment,"precision agriculture, cost reduction",dollars; avoided nitrogen,"Landsat, AVHRR, IKONOS, etc",agriculture,
Monitoring Daily Evapotranspiration over Two California Vineyards Using Landsat 8 in a Multi-Sensor Data Fusion Approach,"Semmens, Kathryn A. and Anderson, Martha C. and Kustas, William P. and Gao, Feng and Alfieri, Joseph G. and McKee, Lynn and Prueger, John H. and Hain, Christopher R. and Cammalleri, Carmelo and Yang, Yun and Xia, Ting and Sanchez, Luis and Alsina, Maria Mar and Velez, Monica",2016,semmens_monitoringdailyevapotranspirationcalifornia_2016,exclude,calibration/validation,,,,,,,
The Benefits of Remote Sensing for Energy Policy,"Sen, A",2004,sen_benefitsremotesensingenergy_2004,exclude,data not valued,conceptual overview,,,,,,
Application of Remote Sensing Technology for Impact Assessment of Watershed Development Programme,"Shanwad, U. K. and Patil, V. C. and Gowda, H. H. and Dasog, G. S.",2008,shanwad_applicationremotesensingtechnology_2008,include,,,cost-benefit assessment,land change and biomass changes,Indian rupees,Indian Remote Sensing sateelite LISS III sensor,agriculture,
Translation of Remote Sensing Data into Weed Management Decisions,"Shaw, {\relax DR",2005,shaw_translationremotesensingdata_2005,exclude,review,Includes cost savings etc but all coming from other studies - no valuation in this study,,,,,,
Satellite Remote Sensing for Water Resources Management: Potential for Supporting Sustainable Development in Data-Poor Regions,"Sheffield, J. and Wood, E. F. and Pan, M. and Beck, H. and Coccia, G. and {Serrat-Capdevila}, A. and Verbist, K.",2018,sheffield_satelliteremotesensingwater_2018,exclude,review,,,,,,,
Use of Satellite Data in Coastal Zone Programmes,"Szekielda, K. H.",1976,szekielda_satellitedatacoastalzone_1976,exclude,data not valued,"""The economic benefits of remote sensing from satellite altitudes are evaluated for the marine sector.""  Refers to societal benefits from other studies",,,,,,
Drone Remote Sensing for Forestry Research and Practices,"Tang, L. and Shao, G.",2015,tang_droneremotesensingforestry_2015,exclude,data not valued,"""The benefits of drone remote sensing include low material and operational costs, flexible control of spatial and temporal resolution, high-intensity data collection, and the absence of risk to crews.""  But while costs are mentioned here and there, the benefits are left only as conceptual",,,,,,
Land Cover Classification in Mangrove Ecosystems Based on Vhr Satellite Data and Machine Learning-an Upscaling Approach,"Toosi, Neda Bihamta and Soffianian, Ali Reza and Fakheran, Sima and Pourmanafi, Saeied and Ginzler, Christian and Waser, Lars T.",2020,toosi_landcoverclassificationmangrove_2020,exclude,calibration/validation,"""Conservation and sustainable management in these ecosystems can be improved in the future""",,,,,,
"Smart Environmental Monitoring and Assessment Technologies (Semat)---a New Paradigm for Low-Cost, Remote Aquatic Environmental Monitoring","Trevathan, J. and Johnstone, R.",2018,trevathan_smartenvironmentalmonitoringassessment_2018,exclude,data not valued,More of a technical proposal of a water monitoring system; no data analysis involved,,,,,,
Application of near Real-Time and Multiscale Three Dimensional Earth Observation Platforms in Disaster Prevention,"Tsai, W. F. and Chen, B. and Chang, J. Y. and Lin, F. P. and Chang, C. H. and Sun, C. Y. and Su, W. R. and Chen, M. F. and Shih, D. S. and Chen, C. H. and Lin, S. C. and Yu, S. J.",2011,tsai_applicationrealtimemultiscale_2011,exclude,data not valued,"System reduces time to generate orthophotos after a disaster, but the societal benefit of this is not really explored",,,,,,
Layering Natural Resource and Human Resource Data for Planning Watershed Conservation Strategies,"Tyson, B and Worthley, T and Danley, K",2004,tyson_layeringnaturalresourcehuman_2004,exclude,data not valued,"""Together these two functions permit land protection techniques and landowner outreach strategies to be targeted where they will be most efficient and effective. Knowing the disposition of landowners in priority areas allows decision makers to plan their communication with these landowners strategically.""  But the satellite data seems only tangential",,,,,,
Air Quality Management Using Modern Remote Sensing and Spatial Technologies and Associated Societal Costs,"Uddin, W.",2006,uddin_airqualitymanagementmodern_2006,exclude,data not valued,"""Lifecycle benefits from reduced societal costs can be used to implement sustainable transportation policies, enhance investment decision-making, and protect public health and the environment.""  But the costs and benefits are related to transportation infrastructure, not ESI data.",,,,,,
Integrating Remote Sensing in Natura 2000 Habitat Monitoring: Prospects on the Way Forward,"Vanden Borre, J. and Paelinckx, D. and M{\""u}cher, C. A. and Kooistra, L. and Haest, B. and De Blust, G. and Schmidt, A. M.",2011,vandenborre_integratingremotesensingnatura_2011,exclude,data not valued,,,,,,,
Targeting Villages for Rural Development Using Satellite Image Analysis,"Varshney, Kush R. and Chen, George H. and Abelson, Brian and Nowocin, Kendall and Sakhrani, Vivek and Xu, Ling and Spatocco, Brian L.",2015,varshney_targetingvillagesruraldevelopment_2015,include,,,cost-benefit assessment,rural development,"hours, dollars",imagery from Google Maps,development,"""Effective planning in poor rural areas benefits from information that is not available and is difficult to obtain at any appreciable scale by any means other than algorithms for estimation and inference from remotely sensed images.""  They mention saving 100 person-hours with the satellite method vs manual village selection methods"
"How Remote Sensing Supports Mangrove Ecosystem Service Valuation: A Case Study in ca Mau Province, Vietnam","Vo, Tuan Quoc and Kuenzer, C. and Oppelt, N.",2015,tuanquocvoandkuenzer_remotesensingsupportsmangrove_2015,exclude,data not valued,"data used to help value ecosystem services, not the data themselves",,,,,,
The Role of Remote Sensing in Agriculture and Future Vision,"\v S}af{\'a}{\v r}, V. and Charv{\'a}t, K. and Mildorf, T. and Crehan, P. and Kolitzus, D. and Orlickas, T. and Rimgaila, M. and Ku{\v c}inskas, A. and Rybokien{\.e}, S. and Hor{\'a}kov{\'a}, {\v S} and Kub{\'i}{\v c}kov{\'a}, H.",2022,safar_roleremotesensingagriculture_2022,include,,,stated preference/survey,,,general,agriculture,"Includes survey of users across different ag sectors, in qualitative terms, showing which respondents prefer different datasets for different purposes"
Secure Spectrum Sharing for Satellite Internet-of-Things Based on Blockchain,"Wang, Li and Zheng, Yuhang and Zhang, Yu and Li, Feng",2023,wang_securespectrumsharingsatellite_2023,exclude,esi data not used,how did this get through the title/abstract screening?,,,,,,
"Experiences from Near-Real-Time Satellite-Based Volcano Monitoring in Central America: Case Studies at Fuego, Guatemala","Webley, P. W. and Wooster, M. J. and Strauch, W. and Saballos, J. A. and Dill, K. and Stephenson, P. and Stephenson, J. and Wolf, R. Escobar and Matias, O.",2008,webley_experiencesrealtimesatellite_2008,exclude,validation/calibration;data not valued,"""In such situations, an operational real-time satellite remote sensing system could provide rapid assessment of volcanic activity levels and potentially be used to derive crucial information for disaster prevention.""  But this focuses basically on showing that the method works - not how much value it produces for decision making",,,,,,
Wetland Extent Tools for Sdg 6.6.1 Reporting from the Satellite-Based Wetland Observation Service (Swos),"Weise, Kathrin and Hoefer, Rene and Franke, Jonas and Guelmami, Anis and Simonson, Will and Muro, Javier and O'Connor, Brian and Strauch, Adrian and Flink, Stephan and Eberle, Jonas and Mino, Eric and Thulin, Susanne and Philipson, Petra and {van Valkengoed}, Eric and Truckenbrodt, John and Zanderg, Franziska and Sanchez, Antonio and Schroeder, Christoph and Thonfeld, Frank and Fitoka, Eleni and Scott, Emma and Ling, Matthew and Schwarz, Michael and Kunz, Ina and Thuemer, Grit and Plasmeijer, Anouska and Hilarides, Lammert",2020,weise_wetlandextenttoolssdg_2020,exclude,data not valued,"""managers and data analysists from more than fifty wetland sites and river basins across Europe, the Middle East, and Africa investigated the benefits and limitations of this EO-based wetland mapping and monitoring approach.""  This does not seem to be a core part of the study?",,,,,,
"Mapping Regional Land Cover with Modis Data for Biological Conservation: Examples from the Greater Yellowstone Ecosystem, Usa and Para State, Brazil","Wessels, {\relax KJ} and De Fries, {\relax RS} and Dempewolf, J and Anderson, {\relax LO} and Hansen, {\relax AJ} and Powell, {\relax SL} and Moran, {\relax EF",2004,wessels_mappingregionallandcover_2004,exclude,calibration/validation,"""The usefulness of the MODIS data in addressing biodiversity conservation questions will ultimately depend upon the patch sizes of important habitats and the land cover transformations that threaten them"" but that usefulness not explored",,,,,,
Cost-Effectiveness of Conservation Strategies Implemented in Boreal Forests: The Area Selection Process,"Wikberg, Sofie and Perhans, Karin and Kindstrand, Claes and Djupstrom, Line Boberg and Boman, Mattias and Mattsson, Leif and Schroeder, Leif Martin and Weslien, Jan and Gustafsson, Lena",2009,wikberg_costeffectivenessconservationstrategies_2009,include,,,cost-benefit assessment,cost effective conservation,various,wRESEx satellite map,conservation,"""The least cost-effective strategy was one where the selection was based only on forest classes in a satellite map."""
Scenarios for Valuing Sample Information in Natural Resources,"Williams, Byron K. and Brown, Eleanor D.",2020,williams_scenariosvaluingsampleinformation_2020,exclude,esi data not used,"""Value of sample information analysis holds promise in emerging areas of ecol ogy such as ecological forecasting and the use of remote sensing in conservation, where potential new data from models and satellites can be evaluated in advance"" - the method would probably work but is not specific to ESI (mentioned in passing in the conclusion), it's just a general VOI paper",,,,,,
Reducing the Cost of Multi-Spectral Remote Sensing: Combining near-Infrared Video Imagery with Colour Aerial Photography,"Wright, {\relax GG} and Matthews, {\relax KB} and Cadell, {\relax WM} and Milne, R",2003,wright_reducingcostmultispectral_2003,exclude,data not valued,"""It is concluded that the system has significant potential utility for decision support and land-management applications"" but focusing on the ""potential"" not actually estimated",,,,,,
Incorporation of Satellite Remote Sensing Pan-Sharpened Imagery into Digital Soil Prediction and Mapping Models to Characterize Soil Property Variability in Small Agricultural Fields,"Xu, Y. and Smith, S. E. and Grunwald, S. and {Abd-Elrahman}, A. and Wani, S. P.",2017,xu_incorporationsatelliteremotesensing_2017,exclude,calibration/validation,"""Additionally, the results should benefit the large agricultural community through the reduction of routine soil sampling cost and improved prediction accuracy.""e",,,,,,
Runoff Estimation in the Upper Reaches of the Heihe River Using an Lstm Model with Remote Sensing Data,"Xue, Huazhu and Liu, Jie and Dong, Guotao and Zhang, Chenchen and Jia, Dao",2022,xue_runoffestimationupperreaches_2022,exclude,calibration/validation,"""Generally, the model used herein served as a useful tool for providing scientific support and water resource management guidance.""",,,,,,
Using Publicly Available Satellite Imagery and Deep Learning to Understand Economic Well-Being in Africa,"Yeh, Christopher and Perez, Anthony and Driscoll, Anne and Azzari, George and Tang, Zhongyi and Lobell, David and Ermon, Stefano and Burke, Marshall",2020,yeh_publiclysatelliteimagerydeep_2020,include,,"""We compare targeting accuracy, defined as the percent of villages receiving the correct program, using estimates from different satellite-based models, under the assumption that survey-based ground data describe the true asset distribution""",case study - ,targeting households for benefit distribution,dollars,Landsat,development,
Diversity Features Collaboration Technology for Monitoring Forest before and after Hurricane by Remote Sensing,"Zhong, X. and Feng, W. and Quan, Y. and Huang, W. and Xing, M.",2022,zhong_diversityfeaturescollaborationtechnology_2022,exclude,not in English,,,,,,,
An Active Service Recommendation Model for Multi-Source Remote Sensing Information Using Fusion of Attention and Multi-Perspective,"Zhu, L. and Wu, F. and Fu, K. and Hu, Y. and Wang, Y. and Tian, X. and Huang, K.",2023,zhu_activeservicerecommendationmodel_2023,include,,"Inferring data value based on characteristics and patterns of access from multiple users, to inform data recommendations for improved discovery… perhaps not tied to specific societal benefits, but interesting methods",statistical model? Revealed preference?,,,various,various,"Inferring data value based on characteristics and patterns of access from multiple users, to inform data recommendations for improved discovery… perhaps not tied to specific societal benefits, but interesting methods"
