title,topic,prob
Assessment of Flood Vulnerability of the Dongting Lake Area in China with Regard to Land Use/Cover Change,topic  17,0.185
Assessment of Flood Vulnerability of the Dongting Lake Area in China with Regard to Land Use/Cover Change,topic  19,0.116
Assessment of Flood Vulnerability of the Dongting Lake Area in China with Regard to Land Use/Cover Change,topic  39,0.294
Assessment of Flood Vulnerability of the Dongting Lake Area in China with Regard to Land Use/Cover Change,topic  48,0.08
"Assessment of Hydrological Drought Vulnerability using Geospatial Techniques in the Tons River Basin, India",topic  1,0.227
"Assessment of Hydrological Drought Vulnerability using Geospatial Techniques in the Tons River Basin, India",topic  17,0.099
"Assessment of Hydrological Drought Vulnerability using Geospatial Techniques in the Tons River Basin, India",topic  19,0.158
"Assessment of Hydrological Drought Vulnerability using Geospatial Techniques in the Tons River Basin, India",topic  29,0.125
"Assessment of Hydrological Drought Vulnerability using Geospatial Techniques in the Tons River Basin, India",topic  33,0.255
"Assessment of Hydrological Drought Vulnerability using Geospatial Techniques in the Tons River Basin, India",topic  39,0.13
"Assessment of LULC change dynamics and its relationship with LST and spectral indices in a rural area of Bengaluru district, Karnataka India",topic  15,0.162
"Assessment of LULC change dynamics and its relationship with LST and spectral indices in a rural area of Bengaluru district, Karnataka India",topic  16,0.096
"Assessment of LULC change dynamics and its relationship with LST and spectral indices in a rural area of Bengaluru district, Karnataka India",topic  24,0.125
"Assessment of LULC change dynamics and its relationship with LST and spectral indices in a rural area of Bengaluru district, Karnataka India",topic  28,0.152
"Assessment of LULC change dynamics and its relationship with LST and spectral indices in a rural area of Bengaluru district, Karnataka India",topic  48,0.418
"Assessment of Land Surface Temperature Variations and Implications of Land Use/Land Cover Changes: A Case of Malappuram Urban Agglomeration Region, Kerala, India",topic  15,0.257
"Assessment of Land Surface Temperature Variations and Implications of Land Use/Land Cover Changes: A Case of Malappuram Urban Agglomeration Region, Kerala, India",topic  16,0.499
"Assessment of Land Surface Temperature Variations and Implications of Land Use/Land Cover Changes: A Case of Malappuram Urban Agglomeration Region, Kerala, India",topic  23,0.114
"Assessment of Land Surface Temperature Variations and Implications of Land Use/Land Cover Changes: A Case of Malappuram Urban Agglomeration Region, Kerala, India",topic  48,0.102
"Assessment of Land Use Land Cover Changes and Future Predictions Using CA-ANN Simulation for Gazipur City Corporation, Bangladesh",topic  13,0.121
"Assessment of Land Use Land Cover Changes and Future Predictions Using CA-ANN Simulation for Gazipur City Corporation, Bangladesh",topic  16,0.11
"Assessment of Land Use Land Cover Changes and Future Predictions Using CA-ANN Simulation for Gazipur City Corporation, Bangladesh",topic  19,0.125
"Assessment of Land Use Land Cover Changes and Future Predictions Using CA-ANN Simulation for Gazipur City Corporation, Bangladesh",topic  38,0.069
"Assessment of Land Use Land Cover Changes and Future Predictions Using CA-ANN Simulation for Gazipur City Corporation, Bangladesh",topic  48,0.543
"Assessment of Land Use Land Cover Changes and Future Predictions Using CA-ANN Simulation for Selangor, Malaysia",topic  13,0.098
"Assessment of Land Use Land Cover Changes and Future Predictions Using CA-ANN Simulation for Selangor, Malaysia",topic  14,0.115
"Assessment of Land Use Land Cover Changes and Future Predictions Using CA-ANN Simulation for Selangor, Malaysia",topic  19,0.156
"Assessment of Land Use Land Cover Changes and Future Predictions Using CA-ANN Simulation for Selangor, Malaysia",topic  48,0.624
"Assessment of Runoff Potential for Disaster Risk Reduction Using Geospatial Technology in Opa Watershed, Southwestern Nigeria",topic  19,0.066
"Assessment of Runoff Potential for Disaster Risk Reduction Using Geospatial Technology in Opa Watershed, Southwestern Nigeria",topic  33,0.737
"Assessment of Runoff Potential for Disaster Risk Reduction Using Geospatial Technology in Opa Watershed, Southwestern Nigeria",topic  39,0.137
"Assessment of Sedimentation in a Coastal Lagoon: Chantuto-Panzacola, Mexico",topic  1,0.155
"Assessment of Sedimentation in a Coastal Lagoon: Chantuto-Panzacola, Mexico",topic  2,0.098
"Assessment of Sedimentation in a Coastal Lagoon: Chantuto-Panzacola, Mexico",topic  21,0.147
"Assessment of Sedimentation in a Coastal Lagoon: Chantuto-Panzacola, Mexico",topic  30,0.099
"Assessment of Sedimentation in a Coastal Lagoon: Chantuto-Panzacola, Mexico",topic  33,0.478
Assessment of UAV photogrammetric DTM-independent variables for modelling and mapping forest structural indices in mixed temperate forests,topic  10,0.315
Assessment of UAV photogrammetric DTM-independent variables for modelling and mapping forest structural indices in mixed temperate forests,topic  32,0.669
"Assessment of Urban Green Space Based on Bio-Energy Landscape Connectivity: A Case Study on Tongzhou District in Beijing, China",topic  2,0.152
"Assessment of Urban Green Space Based on Bio-Energy Landscape Connectivity: A Case Study on Tongzhou District in Beijing, China",topic  10,0.07
"Assessment of Urban Green Space Based on Bio-Energy Landscape Connectivity: A Case Study on Tongzhou District in Beijing, China",topic  16,0.591
"Assessment of Urban Green Space Based on Bio-Energy Landscape Connectivity: A Case Study on Tongzhou District in Beijing, China",topic  32,0.122
"Assessment of Urban Green Space Based on Bio-Energy Landscape Connectivity: A Case Study on Tongzhou District in Beijing, China",topic  43,0.06
Assessment of biomass and yield loss of maize caused by aerosols in heavily polluted agricultural areas of China based on APSIM model,topic  7,0.362
Assessment of biomass and yield loss of maize caused by aerosols in heavily polluted agricultural areas of China based on APSIM model,topic  15,0.17
Assessment of biomass and yield loss of maize caused by aerosols in heavily polluted agricultural areas of China based on APSIM model,topic  41,0.461
"Assessment of coastal Strandveld integrity using WorldView-2 imagery in False Bay, South Africa",topic  2,0.412
"Assessment of coastal Strandveld integrity using WorldView-2 imagery in False Bay, South Africa",topic  13,0.214
"Assessment of coastal Strandveld integrity using WorldView-2 imagery in False Bay, South Africa",topic  17,0.085
"Assessment of coastal Strandveld integrity using WorldView-2 imagery in False Bay, South Africa",topic  45,0.227
Assessment of direct economic losses of flood disasters based on spatial valuation of land use and quantification of vulnerabilities: a case study on the 2014 flood in Lishui city of China,topic  16,0.093
Assessment of direct economic losses of flood disasters based on spatial valuation of land use and quantification of vulnerabilities: a case study on the 2014 flood in Lishui city of China,topic  33,0.087
Assessment of direct economic losses of flood disasters based on spatial valuation of land use and quantification of vulnerabilities: a case study on the 2014 flood in Lishui city of China,topic  39,0.269
Assessment of direct economic losses of flood disasters based on spatial valuation of land use and quantification of vulnerabilities: a case study on the 2014 flood in Lishui city of China,topic  46,0.318
Assessment of direct economic losses of flood disasters based on spatial valuation of land use and quantification of vulnerabilities: a case study on the 2014 flood in Lishui city of China,topic  48,0.09
Assessment of direct economic losses of flood disasters based on spatial valuation of land use and quantification of vulnerabilities: a case study on the 2014 flood in Lishui city of China,topic  49,0.112
"Assessment of ecological environment quality in Kolkata urban agglomeration, India",topic  11,0.919
"Assessment of ecological environment quality in Kolkata urban agglomeration, India",topic  16,0.074
Assessment of ecosystem services in new perspective: A comprehensive ecosystem service index (CESI) as a proxy to integrate multiple ecosystem services,topic  2,0.134
Assessment of ecosystem services in new perspective: A comprehensive ecosystem service index (CESI) as a proxy to integrate multiple ecosystem services,topic  10,0.064
Assessment of ecosystem services in new perspective: A comprehensive ecosystem service index (CESI) as a proxy to integrate multiple ecosystem services,topic  11,0.448
Assessment of ecosystem services in new perspective: A comprehensive ecosystem service index (CESI) as a proxy to integrate multiple ecosystem services,topic  14,0.245
Assessment of ecosystem services in new perspective: A comprehensive ecosystem service index (CESI) as a proxy to integrate multiple ecosystem services,topic  26,0.078
Assessment of environmental hazards in the north western coast - Egypt using RS and GIS,topic  33,0.965
"Assessment of forest cover and carbon stock changes in sub-tropical pine forest of Azad Jammu \& Kashmir (AJK), Pakistan using multi-temporal Landsat satellite data and field inventory",topic  30,0.358
"Assessment of forest cover and carbon stock changes in sub-tropical pine forest of Azad Jammu \& Kashmir (AJK), Pakistan using multi-temporal Landsat satellite data and field inventory",topic  38,0.251
"Assessment of forest cover and carbon stock changes in sub-tropical pine forest of Azad Jammu \& Kashmir (AJK), Pakistan using multi-temporal Landsat satellite data and field inventory",topic  45,0.147
"Assessment of forest cover and carbon stock changes in sub-tropical pine forest of Azad Jammu \& Kashmir (AJK), Pakistan using multi-temporal Landsat satellite data and field inventory",topic  48,0.103
"Assessment of forest cover and carbon stock changes in sub-tropical pine forest of Azad Jammu \& Kashmir (AJK), Pakistan using multi-temporal Landsat satellite data and field inventory",topic  49,0.095
Assessment of grassland use intensity by remote sensing to support conservation schemes,topic  13,0.101
Assessment of grassland use intensity by remote sensing to support conservation schemes,topic  48,0.135
Assessment of grassland use intensity by remote sensing to support conservation schemes,topic  49,0.321
Assessment of grassland use intensity by remote sensing to support conservation schemes,topic  50,0.4
Assessment of groundwater nitrate contamination hazard in a semi-arid region by using integrated parametric IPNOA and data-driven logistic regression models,topic  6,0.075
Assessment of groundwater nitrate contamination hazard in a semi-arid region by using integrated parametric IPNOA and data-driven logistic regression models,topic  7,0.146
Assessment of groundwater nitrate contamination hazard in a semi-arid region by using integrated parametric IPNOA and data-driven logistic regression models,topic  13,0.149
Assessment of groundwater nitrate contamination hazard in a semi-arid region by using integrated parametric IPNOA and data-driven logistic regression models,topic  19,0.184
Assessment of groundwater nitrate contamination hazard in a semi-arid region by using integrated parametric IPNOA and data-driven logistic regression models,topic  29,0.268
Assessment of groundwater nitrate contamination hazard in a semi-arid region by using integrated parametric IPNOA and data-driven logistic regression models,topic  39,0.067
Assessment of groundwater nitrate contamination hazard in a semi-arid region by using integrated parametric IPNOA and data-driven logistic regression models,topic  48,0.053
Assessment of high spatial resolution satellite imagery for monitoring riparian vegetation: riverine management in the smallholding,topic  2,0.057
Assessment of high spatial resolution satellite imagery for monitoring riparian vegetation: riverine management in the smallholding,topic  13,0.108
Assessment of high spatial resolution satellite imagery for monitoring riparian vegetation: riverine management in the smallholding,topic  24,0.074
Assessment of high spatial resolution satellite imagery for monitoring riparian vegetation: riverine management in the smallholding,topic  31,0.714
"Assessment of human-induced impacts on hydrological regime of Gomti river basin, India",topic  18,0.083
"Assessment of human-induced impacts on hydrological regime of Gomti river basin, India",topic  29,0.432
"Assessment of human-induced impacts on hydrological regime of Gomti river basin, India",topic  31,0.339
"Assessment of land use and land cover changes and valuation of carbon stocks in the Sergipe semiarid region, Brazil: 1992-2030",topic  30,0.619
"Assessment of land use and land cover changes and valuation of carbon stocks in the Sergipe semiarid region, Brazil: 1992-2030",topic  38,0.053
"Assessment of land use and land cover changes and valuation of carbon stocks in the Sergipe semiarid region, Brazil: 1992-2030",topic  48,0.312
"Assessment of land use change in the wetland of Barotse Floodplain, Zambezi River Sub-Basin, Zambia",topic  2,0.15
"Assessment of land use change in the wetland of Barotse Floodplain, Zambezi River Sub-Basin, Zambia",topic  15,0.089
"Assessment of land use change in the wetland of Barotse Floodplain, Zambezi River Sub-Basin, Zambia",topic  34,0.163
"Assessment of land use change in the wetland of Barotse Floodplain, Zambezi River Sub-Basin, Zambia",topic  48,0.436
Assessment of morphometric characteristics of Chakrar watershed in Madhya Pradesh India using geospatial technique,topic  29,0.115
Assessment of morphometric characteristics of Chakrar watershed in Madhya Pradesh India using geospatial technique,topic  33,0.212
Assessment of morphometric characteristics of Chakrar watershed in Madhya Pradesh India using geospatial technique,topic  46,0.619
Assessment of nutrient distributions in Lake Champlain using satellite remote sensing,topic  6,0.588
Assessment of nutrient distributions in Lake Champlain using satellite remote sensing,topic  45,0.241
Assessment of nutrient distributions in Lake Champlain using satellite remote sensing,topic  49,0.163
"Assessment of optimum land use and water requirements for agricultural purpose in some soils South Paris Oasis, Western Desert, Egypt",topic  12,0.316
"Assessment of optimum land use and water requirements for agricultural purpose in some soils South Paris Oasis, Western Desert, Egypt",topic  33,0.222
"Assessment of optimum land use and water requirements for agricultural purpose in some soils South Paris Oasis, Western Desert, Egypt",topic  40,0.186
"Assessment of optimum land use and water requirements for agricultural purpose in some soils South Paris Oasis, Western Desert, Egypt",topic  41,0.189
"Assessment of potential changes in soil erosion using remote sensing and GIS: a case study of Dacaozi Watershed, China",topic  11,0.071
"Assessment of potential changes in soil erosion using remote sensing and GIS: a case study of Dacaozi Watershed, China",topic  33,0.864
Assessment of satellite products for filling rainfall data gaps in the Amazon region,topic  15,0.053
Assessment of satellite products for filling rainfall data gaps in the Amazon region,topic  47,0.903
Assessment of skin response in T4b breast carcinoma patients post-neoadjuvant chemotherapy,topic  1,0.995
"Assessment of soil erosion by Universal Soil Loss Equation model based on Geographic Information System data: a case study of the Mafragh watershed, north-eastern Algeria",topic  8,0.117
"Assessment of soil erosion by Universal Soil Loss Equation model based on Geographic Information System data: a case study of the Mafragh watershed, north-eastern Algeria",topic  33,0.85
Assessment of the Capability of Satellite Images in Determining the Topsoil Moisture Content in the Dust Hotspot of Southeastern Ahvaz in Iran,topic  10,0.071
Assessment of the Capability of Satellite Images in Determining the Topsoil Moisture Content in the Dust Hotspot of Southeastern Ahvaz in Iran,topic  34,0.602
Assessment of the Capability of Satellite Images in Determining the Topsoil Moisture Content in the Dust Hotspot of Southeastern Ahvaz in Iran,topic  45,0.196
Assessment of the Capability of Satellite Images in Determining the Topsoil Moisture Content in the Dust Hotspot of Southeastern Ahvaz in Iran,topic  49,0.125
Assessment of the Relationship Between NDVI-Based Actual Evapotranspiration by SEBS,topic  10,0.252
Assessment of the Relationship Between NDVI-Based Actual Evapotranspiration by SEBS,topic  15,0.181
Assessment of the Relationship Between NDVI-Based Actual Evapotranspiration by SEBS,topic  24,0.145
Assessment of the Relationship Between NDVI-Based Actual Evapotranspiration by SEBS,topic  29,0.286
Assessment of the Relationship Between NDVI-Based Actual Evapotranspiration by SEBS,topic  37,0.106
Assessment of the Urban Expansion and Its Impact on the Eco-Environment-A Case Study of Hefei Municipal Area,topic  11,0.762
Assessment of the Urban Expansion and Its Impact on the Eco-Environment-A Case Study of Hefei Municipal Area,topic  16,0.193
Assessment of the hyperspectral sensor CASI-2 for macroalgal discrimination on the Ria de Vigo coast (NW Spain) using field spectroscopy and modelled spectral libraries,topic  28,0.076
Assessment of the hyperspectral sensor CASI-2 for macroalgal discrimination on the Ria de Vigo coast (NW Spain) using field spectroscopy and modelled spectral libraries,topic  36,0.318
Assessment of the hyperspectral sensor CASI-2 for macroalgal discrimination on the Ria de Vigo coast (NW Spain) using field spectroscopy and modelled spectral libraries,topic  50,0.576
"Assessment of the lobster puerulus (<i>Panulirus homarus</i> and <i>Panulirus ornatus</i>, Decapoda: Palinuridae) resource of Indonesia and its potential for sustainable harvest for aquaculture",topic  9,0.996
Assessment of the resource dependence of six central and Eastern European Countries using the Extractives Dependence Index,topic  35,0.096
Assessment of the resource dependence of six central and Eastern European Countries using the Extractives Dependence Index,topic  43,0.82
Assessment of water quality in a tropical ramsar wetland of southern India in the wake of COVID-19,topic  6,0.203
Assessment of water quality in a tropical ramsar wetland of southern India in the wake of COVID-19,topic  23,0.585
Assessment of water quality in a tropical ramsar wetland of southern India in the wake of COVID-19,topic  36,0.204
Assessment on Changes of Ecosystem Carbon Storage in Reservoir Area due to Hydroproject,topic  2,0.131
Assessment on Changes of Ecosystem Carbon Storage in Reservoir Area due to Hydroproject,topic  11,0.094
Assessment on Changes of Ecosystem Carbon Storage in Reservoir Area due to Hydroproject,topic  29,0.325
Assessment on Changes of Ecosystem Carbon Storage in Reservoir Area due to Hydroproject,topic  30,0.321
Assessment on Changes of Ecosystem Carbon Storage in Reservoir Area due to Hydroproject,topic  48,0.065
"Assignment tests, telemetry and tag-recapture data converge to identify natal origins of leatherback turtles foraging in Atlantic Canadian waters",topic  5,0.227
"Assignment tests, telemetry and tag-recapture data converge to identify natal origins of leatherback turtles foraging in Atlantic Canadian waters",topic  25,0.769
"Assimilation of precipitation Estimates from the Integrated Multisatellite Retrievals for GPM (IMERG, early Run) in the Canadian Precipitation Analysis (CaPA)",topic  1,0.125
"Assimilation of precipitation Estimates from the Integrated Multisatellite Retrievals for GPM (IMERG, early Run) in the Canadian Precipitation Analysis (CaPA)",topic  47,0.87
Assimilation of weather radar and binary ubiquitous sensor measurements for quantitative precipitation estimation,topic  5,0.126
Assimilation of weather radar and binary ubiquitous sensor measurements for quantitative precipitation estimation,topic  47,0.689
Assimilation of weather radar and binary ubiquitous sensor measurements for quantitative precipitation estimation,topic  49,0.177
Assumption-versus data-based approaches to summarizing species' ranges,topic  26,0.907
Assumption-versus data-based approaches to summarizing species' ranges,topic  49,0.087
Atmospheric effects on long stand-off HSI applications,topic  1,0.505
Atmospheric effects on long stand-off HSI applications,topic  18,0.288
Atmospheric effects on long stand-off HSI applications,topic  37,0.093
Atmospheric effects on long stand-off HSI applications,topic  45,0.11
Atmospheric heating as a research tool: Link to space-based solar power,topic  12,0.929
Atmospheric heating as a research tool: Link to space-based solar power,topic  39,0.068
Atmospheric observations and numerical waeather prediction,topic  7,0.202
Atmospheric observations and numerical waeather prediction,topic  20,0.22
Atmospheric observations and numerical waeather prediction,topic  22,0.261
Atmospheric observations and numerical waeather prediction,topic  47,0.307
Automated Built-Up Extraction Index: A New Technique for Mapping Surface Built-Up Areas Using LANDSAT 8 OLI Imagery,topic  13,0.204
Automated Built-Up Extraction Index: A New Technique for Mapping Surface Built-Up Areas Using LANDSAT 8 OLI Imagery,topic  16,0.072
Automated Built-Up Extraction Index: A New Technique for Mapping Surface Built-Up Areas Using LANDSAT 8 OLI Imagery,topic  45,0.669
Automated Built-Up Extraction Index: A New Technique for Mapping Surface Built-Up Areas Using LANDSAT 8 OLI Imagery,topic  48,0.051
Automatic Correction of Contaminated Images for Assessment of Reservoir Surface Area Dynamics,topic  6,0.114
Automatic Correction of Contaminated Images for Assessment of Reservoir Surface Area Dynamics,topic  13,0.072
Automatic Correction of Contaminated Images for Assessment of Reservoir Surface Area Dynamics,topic  28,0.173
Automatic Correction of Contaminated Images for Assessment of Reservoir Surface Area Dynamics,topic  36,0.211
Automatic Correction of Contaminated Images for Assessment of Reservoir Surface Area Dynamics,topic  49,0.424
Automatic Waterline Pick-up Based on Improved Embedded Confidence,topic  24,0.544
Automatic Waterline Pick-up Based on Improved Embedded Confidence,topic  28,0.232
Automatic Waterline Pick-up Based on Improved Embedded Confidence,topic  36,0.219
Automatic detection of woody vegetation in repeat landscape photographs using a convolutional neural network,topic  13,0.334
Automatic detection of woody vegetation in repeat landscape photographs using a convolutional neural network,topic  28,0.122
Automatic detection of woody vegetation in repeat landscape photographs using a convolutional neural network,topic  50,0.457
Automatic procedures analyzing remote sensing data to minimize flood response time: a step towards National flood mapping service,topic  39,0.798
Automatic procedures analyzing remote sensing data to minimize flood response time: a step towards National flood mapping service,topic  49,0.155
Avulsions drive ecosystem services and economic changes in the Brazilian Pantanal wetlands,topic  2,0.134
Avulsions drive ecosystem services and economic changes in the Brazilian Pantanal wetlands,topic  9,0.177
Avulsions drive ecosystem services and economic changes in the Brazilian Pantanal wetlands,topic  25,0.445
Avulsions drive ecosystem services and economic changes in the Brazilian Pantanal wetlands,topic  31,0.142
Avulsions drive ecosystem services and economic changes in the Brazilian Pantanal wetlands,topic  48,0.068
BENCHMARKING OPTICAL/THERMAL SATELLITE IMAGERY FOR ESTIMATING EVAPOTRANSPIRATION AND SOIL MOISTURE IN DECISION SUPPORT TOOLS,topic  4,0.381
BENCHMARKING OPTICAL/THERMAL SATELLITE IMAGERY FOR ESTIMATING EVAPOTRANSPIRATION AND SOIL MOISTURE IN DECISION SUPPORT TOOLS,topic  10,0.137
BENCHMARKING OPTICAL/THERMAL SATELLITE IMAGERY FOR ESTIMATING EVAPOTRANSPIRATION AND SOIL MOISTURE IN DECISION SUPPORT TOOLS,topic  14,0.148
BENCHMARKING OPTICAL/THERMAL SATELLITE IMAGERY FOR ESTIMATING EVAPOTRANSPIRATION AND SOIL MOISTURE IN DECISION SUPPORT TOOLS,topic  29,0.16
BENCHMARKING OPTICAL/THERMAL SATELLITE IMAGERY FOR ESTIMATING EVAPOTRANSPIRATION AND SOIL MOISTURE IN DECISION SUPPORT TOOLS,topic  47,0.052
BENCHMARKING OPTICAL/THERMAL SATELLITE IMAGERY FOR ESTIMATING EVAPOTRANSPIRATION AND SOIL MOISTURE IN DECISION SUPPORT TOOLS,topic  49,0.104
"BENTHIC HABITAT CLASSIFICATION ON MULTISPATIAL SATELLITE IMAGERY IN KAPOTA AND KOMPOONE ISLANDS, WAKATOBI",topic  13,0.396
"BENTHIC HABITAT CLASSIFICATION ON MULTISPATIAL SATELLITE IMAGERY IN KAPOTA AND KOMPOONE ISLANDS, WAKATOBI",topic  25,0.068
"BENTHIC HABITAT CLASSIFICATION ON MULTISPATIAL SATELLITE IMAGERY IN KAPOTA AND KOMPOONE ISLANDS, WAKATOBI",topic  36,0.406
"BENTHIC HABITAT CLASSIFICATION ON MULTISPATIAL SATELLITE IMAGERY IN KAPOTA AND KOMPOONE ISLANDS, WAKATOBI",topic  42,0.082
BIG DATA ANALYSIS APPLIED IN AGRICULTURAL PLANTING LAYOUT OPTIMIZATION,topic  11,0.077
BIG DATA ANALYSIS APPLIED IN AGRICULTURAL PLANTING LAYOUT OPTIMIZATION,topic  40,0.498
BIG DATA ANALYSIS APPLIED IN AGRICULTURAL PLANTING LAYOUT OPTIMIZATION,topic  41,0.411
BIM for Heritage Documentation <i>An ontology</i>-<i>based approach</i>,topic  8,0.151
BIM for Heritage Documentation <i>An ontology</i>-<i>based approach</i>,topic  10,0.09
BIM for Heritage Documentation <i>An ontology</i>-<i>based approach</i>,topic  14,0.262
BIM for Heritage Documentation <i>An ontology</i>-<i>based approach</i>,topic  27,0.283
BIM for Heritage Documentation <i>An ontology</i>-<i>based approach</i>,topic  28,0.205
BUILDING OF ORIENTATION MODES ON YAMAL-200 COMMUNICATION SATELLITE WITHOUT ANGULAR SPEED SENSORS,topic  37,0.979
Bahamian seagrass extent and blue carbon accounting using Earth observation,topic  13,0.065
Bahamian seagrass extent and blue carbon accounting using Earth observation,topic  17,0.539
Bahamian seagrass extent and blue carbon accounting using Earth observation,topic  20,0.122
Bahamian seagrass extent and blue carbon accounting using Earth observation,topic  30,0.204
Bahamian seagrass extent and blue carbon accounting using Earth observation,topic  49,0.066
Balancing Tourism's Economic Benefit and CO<sub>2</sub> Emissions: An Insight from Input-Output and Tourism Satellite Account Analysis,topic  7,0.224
Balancing Tourism's Economic Benefit and CO<sub>2</sub> Emissions: An Insight from Input-Output and Tourism Satellite Account Analysis,topic  35,0.768
Balancing model generality and specificity in management-focused habitat selection models for Gunnison sage-grouse,topic  25,0.857
Balancing model generality and specificity in management-focused habitat selection models for Gunnison sage-grouse,topic  26,0.109
Baseline Assessment of Ecological Quality Index (EQI) of the Marine Coastal Habitats of Tonga Archipelago: Application for Management of Remote Regions in the Pacific,topic  13,0.092
Baseline Assessment of Ecological Quality Index (EQI) of the Marine Coastal Habitats of Tonga Archipelago: Application for Management of Remote Regions in the Pacific,topic  14,0.17
Baseline Assessment of Ecological Quality Index (EQI) of the Marine Coastal Habitats of Tonga Archipelago: Application for Management of Remote Regions in the Pacific,topic  25,0.378
Baseline Assessment of Ecological Quality Index (EQI) of the Marine Coastal Habitats of Tonga Archipelago: Application for Management of Remote Regions in the Pacific,topic  36,0.103
Baseline Assessment of Ecological Quality Index (EQI) of the Marine Coastal Habitats of Tonga Archipelago: Application for Management of Remote Regions in the Pacific,topic  42,0.166
Bat habitat selection reveals positive effects of retention forestry,topic  25,0.055
Bat habitat selection reveals positive effects of retention forestry,topic  26,0.478
Bat habitat selection reveals positive effects of retention forestry,topic  32,0.315
Bat habitat selection reveals positive effects of retention forestry,topic  38,0.146
Behind the Meter Strategies Energy management system with a Swedish case study,topic  12,0.966
Behind the fog: Forest degradation despite logging bans in an East African cloud forest,topic  32,0.112
Behind the fog: Forest degradation despite logging bans in an East African cloud forest,topic  38,0.835
Benefits and Challenges of UAS Imagery for Eelgrass (<i>Zostera marina</i>) Mapping in Small Estuaries of the Canadian West Coast,topic  5,0.081
Benefits and Challenges of UAS Imagery for Eelgrass (<i>Zostera marina</i>) Mapping in Small Estuaries of the Canadian West Coast,topic  9,0.494
Benefits and Challenges of UAS Imagery for Eelgrass (<i>Zostera marina</i>) Mapping in Small Estuaries of the Canadian West Coast,topic  13,0.215
Benefits and Challenges of UAS Imagery for Eelgrass (<i>Zostera marina</i>) Mapping in Small Estuaries of the Canadian West Coast,topic  49,0.13
Benefits and Challenges of UAS Imagery for Eelgrass (<i>Zostera marina</i>) Mapping in Small Estuaries of the Canadian West Coast,topic  50,0.073
Benefits of Increasing Information Accuracy in Variable Rate Technologies,topic  22,0.127
Benefits of Increasing Information Accuracy in Variable Rate Technologies,topic  41,0.805
Benefits of Increasing Information Accuracy in Variable Rate Technologies,topic  49,0.062
Benefits of earth observation data for conservation planning in the case of European wetland biodiversity,topic  21,0.141
Benefits of earth observation data for conservation planning in the case of European wetland biodiversity,topic  25,0.331
Benefits of earth observation data for conservation planning in the case of European wetland biodiversity,topic  48,0.09
Benefits of earth observation data for conservation planning in the case of European wetland biodiversity,topic  49,0.406
"Benefits of flood-prone land use and the role of coping capacity, Candaba floodplains, Philippines",topic  21,0.211
"Benefits of flood-prone land use and the role of coping capacity, Candaba floodplains, Philippines",topic  31,0.346
"Benefits of flood-prone land use and the role of coping capacity, Candaba floodplains, Philippines",topic  39,0.232
"Benefits of flood-prone land use and the role of coping capacity, Candaba floodplains, Philippines",topic  42,0.069
"Benefits of flood-prone land use and the role of coping capacity, Candaba floodplains, Philippines",topic  48,0.068
Benefits of hyperspectral remote sensing for tracking plant invasions,topic  22,0.147
Benefits of hyperspectral remote sensing for tracking plant invasions,topic  26,0.059
Benefits of hyperspectral remote sensing for tracking plant invasions,topic  49,0.15
Benefits of hyperspectral remote sensing for tracking plant invasions,topic  50,0.58
"Between the Lines - enhancing methodologies for the exploration of extensive, inundated palaeolandscapes",topic  8,0.788
"Between the Lines - enhancing methodologies for the exploration of extensive, inundated palaeolandscapes",topic  22,0.085
"Between the Lines - enhancing methodologies for the exploration of extensive, inundated palaeolandscapes",topic  42,0.076
"Between the devil and the deep blue sea: Trends, drivers, and impacts of coastal reclamation in Malaysia and way forward",topic  2,0.243
"Between the devil and the deep blue sea: Trends, drivers, and impacts of coastal reclamation in Malaysia and way forward",topic  9,0.056
"Between the devil and the deep blue sea: Trends, drivers, and impacts of coastal reclamation in Malaysia and way forward",topic  35,0.097
"Between the devil and the deep blue sea: Trends, drivers, and impacts of coastal reclamation in Malaysia and way forward",topic  36,0.075
"Between the devil and the deep blue sea: Trends, drivers, and impacts of coastal reclamation in Malaysia and way forward",topic  42,0.373
"Between the devil and the deep blue sea: Trends, drivers, and impacts of coastal reclamation in Malaysia and way forward",topic  48,0.064
"Between the devil and the deep blue sea: Trends, drivers, and impacts of coastal reclamation in Malaysia and way forward",topic  49,0.054
Beyond mapping: a case for geospatial analytics in humanitarian health,topic  14,0.79
Beyond mapping: a case for geospatial analytics in humanitarian health,topic  22,0.143
Beyond mapping: a case for geospatial analytics in humanitarian health,topic  46,0.06
Beyond parks as monoliths: Spatially differentiating park-people relationships in the Tadoba Andhari Tiger Reserve in India,topic  17,0.619
Beyond parks as monoliths: Spatially differentiating park-people relationships in the Tadoba Andhari Tiger Reserve in India,topic  38,0.341
Bi-objective analysis of water-sediment regulation for channel scouring and delta maintenance: A study of the lower Yellow River,topic  2,0.088
Bi-objective analysis of water-sediment regulation for channel scouring and delta maintenance: A study of the lower Yellow River,topic  29,0.423
Bi-objective analysis of water-sediment regulation for channel scouring and delta maintenance: A study of the lower Yellow River,topic  33,0.48
"Bias adjustment of satellite rainfall data through Gaussian process regression (GPR) based on rain intensity classification in the Greater Bay Area, China",topic  10,0.176
"Bias adjustment of satellite rainfall data through Gaussian process regression (GPR) based on rain intensity classification in the Greater Bay Area, China",topic  13,0.216
"Bias adjustment of satellite rainfall data through Gaussian process regression (GPR) based on rain intensity classification in the Greater Bay Area, China",topic  16,0.06
